aa|ˈa a
nemupotri|n ɛ m ˈʊ p ɔ t  r ɪ
nenimisiplisear|n ɛ n ɪ m ɪ s ɪ p l ˈɪ s ɛ a r
nenosadecinantesimauum|n ɛ n ɔ s a d ɛ k ɪ n a n t ɛ s ɪ m ˈaʊ ʊ m
nente|n ˈɛ n t ɛ
neomness|n ɛ ˈɔ m n ɛ s s
neos|n ˈɛ ɔ s
nepecatums|n ɛ p ˈɛ k a t ʊ m s
neperalquedcomdumteporaleip|n ɛ p ɛ r a l k w ɛ d k ɔ m d ʊ m t ɛ p ɔ r ˈa l ɛ ɪ p
nepermanam|n ɛ p ˈɛ r m a n a m
nepetusa|n ɛ p ˈɛ t ʊ s a 
nepimomquidem|n ɛ p ɪ m ˈɔ m k w ɪ d ɛ m
nepite|n ˈɛ p ɪ t ɛ
neplusbideaturloquiquam|n ɛ p l ʊ s b ɪ d ɛ a t ʊ r l ˈɔ k w ɪ k w a m
neppote|n ˈɛ pː ɔ t ɛ
neprostitu|n ɛ p  r ˈɔ s t ɪ t ʊ
neqe|ˈɛ n  ɛ  k w ˈuː  ɛ
neqecostis|ˈɛ n  ɛ  k w ˈuː  ɛ  k ˈeː  ˈoː  ˈɛ s  t ˈeː  ˈiː  ˈɛ s
neqegrafi|ˈɛ n  ɛ  k w ˈuː  ɛ  ɡ ˈeː  ˈɛ ɹ  a  ˈɛ f  ˈiː
neqeputle|ˈɛ n  ɛ  k w ˈuː  ɛ  p ˈeː  ˈuː  t ˈeː  ˈɛ l  ɛ
nequ|n ˈɛ k w 
nequead|n ˈɛ k w ɛ a d
nequeccuantanssiie|n ɛ k w ɛ kː ʊ a n t a n s s ˈɪ ʔ j j ɛ
nequeclmabiseu|n ɛ k w ɛ k l m ˈa b ɪ s ɛʊ 
nequecognoscendiquidsiret|n ɛ k w ɛ k ɔ ŋ n ɔ s k ɛ n d ɪ k w ˈɪ d s ɪ r ɛ t
nequeconcioniesha|n ɛ k w ɛ k ɔ ŋ k ɪ  ɔ n ɪ  ˈɛ s h a
nequede|n ˈɛ k w ɛ d ɛ
nequedis|n ˈɛ k w ɛ d ɪ s
nequee|n ˈɛ k w ɛ ɛ 
nequeeormmoqorumuib|ˈɛ n  ɛ  k w ˈuː  ˈuː  ɛ  ɛ  ˈoː  ˈɛ ɹ  ˈɛ m  ˈɛ m  ˈoː  k w ˈuː  ˈoː  ˈɛ ɹ  ˈuː  ˈɛ m  ˈuː  ˈiː  b ˈeː
nequeicoloquiusolus|n ɛ k w ɛ ɪ k ɔ l ɔ k w ɪ  ˈʊ s ɔ l ʊ s
nequelibiddoctormcosolar|n ɛ k w ɛ l ɪ b ɪ dː ɔ k t ɔ r m k ˈɔ s ɔ l a r
nequeni|n ˈɛ k w ɛ n ɪ
nequepeibus|n ɛ k w ɛ p ˈɛ ɪ b ʊ s
neques|n ˈɛ k w ɛ s
nequessubstiiouenii|n ɛ k w ɛ s s ʊ b s t ɪ ʔ j j ɔ w ˈɛ n ɪ ʔ ɪ
nequessuu|n ɛ k w ˈɛ s s ʊ ʊ
nequettanendrequssari|n ɛ k w ɛ tː a n ɛ n d  r ˈɛ k w s s a r ɪ
nequeud|n ˈɛ k w ɛʊ d
nequide|n ˈɛ k w ɪ d ɛ 
nequisinernibus|n ɛ k w ɪ s ɪ n ˈɛ r n ɪ b ʊ s
nequispr|n ˈɛ k w ɪ s p  r
nequispraessumat|n ɛ k w ɪ s p  r ˈaɪ s s ʊ m a t
nequissimosaserbos|n ɛ k w ɪ s s ɪ m ɔ s a s ˈɛ r b ɔ s
nequit|n ˈɛ k w ɪ t
nequituc|n ˈɛ k w ɪ t ʊ k
nera|n ˈɛ r a
nercaritu|n ɛ r k ˈa r ɪ t ʊ
nercosede|n ɛ r k ˈɔ s ɛ d ɛ
neri|n ˈɛ r ɪ
nerttibi|n ˈɛ r tː ɪ b ɪ
nerut|n ˈɛ r ʊ t 
nes|n ˈɛ s
nescire|n ˈɛ s k ɪ r ɛ
nescis|n ˈɛ s k ɪ s
nescistum|n ɛ s k ˈɪ s t ʊ m
nescusiposis|n ɛ s k ʊ s ˈɪ p ɔ s ɪ s
nesdibcico|n ɛ s d ˈɪ b k ɪ k ɔ
nese|n ˈɛ s ɛ
nesequnar|n ɛ s ˈɛ k w n a r
nesesit|n ˈɛ s ɛ s ɪ t
nesesitatea|n ɛ s ɛ s ɪ t ˈa t ɛ a
nesesitates|n ɛ s ɛ s ˈɪ t a t ɛ s
nesesitatus|n ɛ s ɛ s ˈɪ t a t ʊ s 
nesessariaidest|n ɛ s ɛ s s a r ɪ  ˈa ɪ d ɛ s t 
nesessestu|n ɛ s ɛ s s ˈɛ s t ʊ
nesibi|n ˈɛ s ɪ b ɪ
nesimusasepequidposmussaedtemtas|n ɛ s ɪ m ʊ s a s ɛ p ɛ k w ɪ d p ɔ s m ʊ s s aɪ d t ˈɛ m t a s
nesioquidestcospiritudusmure|n ɛ s ɪ  ɔ k w ɪ d ɛ s t k ɔ s p ɪ r ɪ t ʊ d ˈʊ s m ʊ r ɛ
nesipsius|n ɛ s ˈɪ p s ɪ  ʊ s
nesis|n ˈɛ s ɪ s
nesisqu|n ˈɛ s ɪ s k w 
nessaucioquidemeiusslociubicostitera|n ɛ s s aʊ k ɪ  ɔ k w ɪ d ɛ m ɛ j j ʊ s s l ɔ k ɪ  ʊ b ɪ k ɔ s t ˈɪ t ɛ r a
nesssaria|n ɛ s s s ˈa r ɪ  a
nestha|n ˈɛ s tʰ a
net|n ˈɛ t
nete|n ˈɛ t ɛ
netepus|n ˈɛ t ɛ p ʊ s
netesaiuquidemicies|n ɛ t ɛ s a j j ʊ k w ɪ d ɛ m ˈɪ k ɪ  ɛ s 
netessaria|n ɛ t ɛ s s ˈa r ɪ  a 
netessitatbus|n ɛ t ɛ s s ɪ t ˈa t b ʊ s
netiam|n ˈɛ t ɪ  a m
neticibeli|n ɛ t ɪ k ˈɪ b ɛ l ɪ
netipnuimass|n ɛ t ɪ p n ˈʊ ɪ m a s s
netium|n ˈɛ t ɪ  ʊ m
netorpea|n ɛ t ˈɔ r p ɛ a
netsesari|n ɛ t s ˈɛ s a r ɪ 
netseseesteteubiquete|n ɛ t s ɛ s ɛ ɛ s t ɛ t ɛʊ b ˈɪ k w ɛ t ɛ
netsesseestut|n ɛ t s ɛ s s ɛ ˈɛ s t ʊ t
netur|n ˈɛ t ʊ r
neud|n ˈɛʊ d
neuma|n ˈɛʊ m a
neuna|n ˈɛʊ n a
neunmnquidemnos|n ɛʊ n m ŋ k w ɪ d ˈɛ m n ɔ s
nexam|n ˈɛ k s a m
nexcsidea|n ɛ k s k s ˈɪ d ɛ a
nexcspirit|n ˈɛ k s k s p ɪ r ɪ t
nexsectussalucis|n ɛ k s s ɛ k t ʊ s s ˈa l ʊ k ɪ s
nexsegegatus|n ɛ k s s ɛ ɡ ˈɛ ɡ a t ʊ s
nexsinpunia|n ɛ k s s ɪ n p ˈʊ n ɪ  a 
nexsponte|n ɛ k s s p ˈɔ n t ɛ
nexspontetead|n ɛ k s s p ɔ n t ˈɛ t ɛ a d
nexsubessein|n ɛ k s s ʊ b ˈɛ s s ɛ ɪ n 
nexsupra|n ˈɛ k s s ʊ p  r a 
nextuplis|n ˈɛ k s t ʊ p l ɪ s
nfhabent|n f h ˈa b ɛ n t
ngalia|ŋ ɡ ˈa l ɪ  a
ngresmcoutamnet|ŋ ɡ  r ɛ s m k ɔ ʊ t ˈa m n ɛ t
ngusciaquia|ŋ ɡ ʊ s k ɪ  ˈa k w ɪ  a 
ngustis|ŋ ɡ ˈʊ s t ɪ s
nhedisie|n h ɛ d ˈɪ s ɪ  ɛ 
niarecumcristo|n ɪ  a r ɛ k ʊ m k  r ˈɪ s t ɔ
nibpsis|n ˈɪ b p s ɪ s
nic|n ˈɪ k
nicadmrispor|n ɪ k a d m  r ˈɪ s p ɔ r
nicdde|n ˈɪ k dː ɛ
nicenisi|n ɪ k ˈɛ n ɪ s ɪ
nici|n ˈɪ k ɪ 
nicidisensmisitatum|n ɪ k ɪ d ɪ s ɛ n s m ɪ s ˈɪ t a t ʊ m
nicigmiscarnalia|n ɪ k ɪ ɡ m ɪ s k a r n ˈa l ɪ  a
nicigratspaserepotes|n ɪ k ɪ ɡ  r a t s p a s ɛ r ˈɛ p ɔ t ɛ s
nicil|n ˈɪ k ɪ l
nicila|n ˈɪ k ɪ l a 
nicilbelparumpasiantur|n ɪ k ɪ l b ɛ l p a r ʊ m p a s ɪ  ˈa n t ʊ r
nicilbonih|n ɪ k ˈɪ l b ɔ n ɪ h
nicilbonissibia|n ɪ k ɪ l b ɔ n ɪ s s ˈɪ b ɪ  a
nicilducatanegisendum|n ɪ k ɪ l d ʊ k a t a n ɛ ɡ ɪ s ˈɛ n d ʊ m
nicilergama|n ɪ k ɪ l ˈɛ r ɡ a m a
nicilesiccotarium|n ɪ k ɪ l ɛ s ɪ kː ɔ t ˈa r ɪ  ʊ m
nicilest|n ˈɪ k ɪ l ɛ s t
nicilfforsccocupisereintern|n ɪ k ɪ l f f ɔ r s kː ɔ k ʊ p ɪ s ɛ r ɛ ˈɪ n t ɛ r n
nicilo|n ˈɪ k ɪ l ɔ
niciloma|n ɪ k ˈɪ l ɔ m a
nicilpermanensasubssolubi|n ɪ k ɪ l p ɛ r m a n ɛ n s a s ʊ b s s ˈɔ l ʊ b ɪ
nicilpossu|n ɪ k ɪ l p ˈɔ s s ʊ
nicilprodest|n ɪ k ˈɪ l p  r ɔ d ɛ s t
nicilsibireserbasexonbus|n ɪ k ɪ l s ɪ b ɪ r ɛ s ɛ r b a s ɛ k s ˈɔ n b ʊ s
niciltibis|n ɪ k ˈɪ l t ɪ b ɪ s
nicimiciau|n ɪ k ɪ m ˈɪ k ɪ  aʊ
nicinisiini|n ɪ k ɪ n ɪ s ˈɪ ʔ ɪ n ɪ
nicique|n ˈɪ k ɪ k w ɛ
nicisimsecerag|n ɪ k ɪ s ɪ m s ˈɛ k ɛ r a ɡ
niclassibi|n ɪ k l ˈa s s ɪ b ɪ
nicle|n ˈɪ k l ɛ
niclo|n ˈɪ k l ɔ
nicls|n ˈɪ k l s
nicnuerat|n ɪ k n ˈʊ ɛ r a t
nidicti|n ɪ d ˈɪ k t ɪ 
nidictus|n ɪ d ˈɪ k t ʊ s
nieni|n ˈɪ  ɛ n ɪ
nienusso|n ɪ  ɛ n ˈʊ s s ɔ
nietum|n ˈɪ  ɛ t ʊ m
nifcari|n ˈɪ f k a r ɪ
nificantilludcuprofetadisentess|n ɪ f ɪ k a n t ɪ l l ʊ d k ʊ p  r ɔ f ɛ t a d ɪ s ˈɛ n t ɛ s s 
nificarique|n ɪ f ɪ k ˈa r ɪ k w ɛ
nifiiucundiusnetilplenlusnec|n ɪ f ɪ ʔ j j ʊ k ʊ n d ɪ  ʊ s n ɛ t ɪ l p l ɛ n l ˈʊ s n ɛ k
nifil|n ˈɪ f ɪ l
nifisen|n ˈɪ f ɪ s ɛ n
nigelitatismeee|n ɪ ɡ ɛ l ɪ t a t ɪ s m ˈɛ ɛ ɛ 
nigiiterresmonastereit|n ɪ ɡ ɪ ʔ ɪ t ɛ r ɾ ɛ s m ɔ n a s t ˈɛ r ɛ ɪ t
niglboniineserfhabet|n ɪ ɡ l b ɔ n ɪ ʔ ɪ n ɛ s ˈɛ r f h a b ɛ t
nigrandenilpetsiosume|n ɪ ɡ  r a n d ɛ n ɪ l p ɛ t s ɪ  ˈɔ s ʊ m ɛ
niidixsistiet|n ɪ ʔ ɪ d ɪ k s s ˈɪ s t ɪ  ɛ t
niinomentum|n ɪ ʔ ɪ n ɔ m ˈɛ n t ʊ m
niiquedepribatoa|n ɪ ʔ ɪ k w ɛ d ɛ p  r ɪ b ˈa t ɔ a
niiquipotestipsumopitumiplere|n ɪ ʔ ɪ k w ɪ p ɔ t ɛ s t ɪ p s ʊ m ɔ p ɪ t ʊ m ˈɪ p l ɛ r ɛ
niiussat|n ɪ ʔ j j ˈʊ s s a t
niiutrescibannrescribo|n ɪ ʔ j j ʊ t  r ɛ s k ɪ b a n n  r ˈɛ s k  r ɪ b ɔ
niixionbus|n ɪ ʔ ɪ k s ɪ  ˈɔ n b ʊ s
nil|n ˈɪ l
nilat|n ˈɪ l a t
nilcupi|n ˈɪ l k ʊ p ɪ
nilde|n ˈɪ l d ɛ 
nilgr|n ˈɪ l ɡ  r
niliutimentibus|n ɪ l ɪ  ʊ t ɪ m ˈɛ n t ɪ b ʊ s
nilreput|n ˈɪ l  r ɛ p ʊ t
nilsic|n ˈɪ l s ɪ k
nilsse|n ˈɪ l s s ɛ
nilte|n ˈɪ l t ɛ 
niltepraleque|n ɪ l t ɛ p  r ˈa l ɛ k w ɛ
nimia|n ˈɪ m ɪ  a 
nimim|n ˈɪ m ɪ m
nimima|n ˈɪ m ɪ m a
nimis|n ˈɪ m ɪ s
nimistiffere|n ɪ m ɪ s t ˈɪ f f ɛ r ɛ
nimistristiset|n ɪ m ɪ s t  r ˈɪ s t ɪ s ɛ t
nimiuaudere|n ɪ m ɪ w ˈaʊ d ɛ r ɛ
nin|n ˈɪ n
ninissima|n ɪ n ˈɪ s s ɪ m a
ninomine|n ɪ n ˈɔ m ɪ n ɛ
ninoque|n ˈɪ n ɔ k w ɛ
ninsit|n ˈɪ n s ɪ t
niormtantmutaturcosiliu|n ɪ  ɔ r m t a n t m ʊ t a t ʊ r k ɔ s ˈɪ l ɪ  ʊ
niosc|n ˈɪ  ɔ s k
nioscuegoomnesh|n ɪ  ɔ s k ʊ ɛ ɡ ɔ ˈɔ m n ɛ s h
nipsma|n ˈɪ p s m a
niputareterelictum|n ɪ p ʊ t a r ɛ t ɛ r ɛ l ˈɪ k t ʊ m
nire|n ˈɪ r ɛ 
niremereantur|n ɪ r ɛ m ɛ r ɛ ˈa n t ʊ r
niret|n ˈɪ r ɛ t
niriposit|n ɪ r ˈɪ p ɔ s ɪ t
nirissucurat|n ɪ r ɪ s s ˈʊ k ʊ r a t
nirub|n ˈɪ r ʊ b
nirumts|n ˈɪ r ʊ m t s
nis|n ˈɪ s
niscobersifuertiset|n ɪ s k ɔ b ɛ r s ɪ f ʊ ˈɛ r t ɪ s ɛ t
nisi|n ˈɪ s ɪ
nisiaud|n ˈɪ s ɪ  aʊ d 
nisibenbibensum|n ɪ s ɪ b ɛ n b ɪ b ˈɛ n s ʊ m
nisibia|n ɪ s ˈɪ b ɪ  a
nisibirtus|n ɪ s ɪ b ˈɪ r t ʊ s
nisibisioban|n ɪ s ɪ b ɪ s ˈɪ  ɔ b a n
nisibonecosiensieis|n ɪ s ɪ b ɔ n ɛ k ɔ s ɪ  ɛ n s ˈɪ  ɛ ɪ s 
nisicombenfeseris|n ɪ s ɪ k ɔ m b ɛ n f ˈɛ s ɛ r ɪ s 
nisicombumilitatetre|n ɪ s ɪ k ɔ m b ʊ m ɪ l ɪ t ˈa t ɛ t  r ɛ
nisicopustumqumomniiucuditate|n ɪ s ɪ k ɔ p ʊ s t ʊ m k w m ɔ m n ɪ ʔ j j ʊ k ʊ d ˈɪ t a t ɛ
nisicristo|n ɪ s ɪ k  r ˈɪ s t ɔ
nisiextotocordepraopterdemsesubisiant|n ɪ s ɪ  ɛ k s t ɔ t ɔ k ɔ r d ɛ p  r a ɔ p t ɛ r d ɛ m s ɛ s ʊ b ˈɪ s ɪ  a n t
nisiffaloriufenis|n ɪ s ɪ f f a l ɔ r ɪ  ˈʊ f ɛ n ɪ s
nisiifernumet|n ɪ s ɪ ʔ ɪ f ˈɛ r n ʊ m ɛ t
nisiinstante|n ɪ s ɪ ʔ ɪ n s t ˈa n t ɛ
nisimii|n ɪ s ˈɪ m ɪ ʔ ɪ
nisiora|n ɪ s ˈɪ  ɔ r a
nisipecata|n ɪ s ɪ p ˈɛ k a t a
nisipius|n ɪ s ˈɪ p ɪ  ʊ s
nisipribata|n ɪ s ɪ p  r ˈɪ b a t a
nisiprius|n ɪ s ˈɪ p  r ɪ  ʊ s
nisipriusidicatmuof|n ɪ s ɪ p  r ɪ  ʊ s ɪ d ɪ k ˈa t m ʊ ɔ f
nisiquantu|n ɪ s ɪ k w ˈa n t ʊ
nisique|n ˈɪ s ɪ k w ɛ 
nisisantis|n ɪ s ɪ s ˈa n t ɪ s
nisiteobsebarepreseptaregul|n ɪ s ɪ t ɛ ɔ b s ɛ b a r ɛ p  r ɛ s ɛ p t ˈa r ɛ ɡ ʊ l
nisitit|n ˈɪ s ɪ t ɪ t 
nisitudeus|n ɪ s ˈɪ t ʊ d ɛʊ s
nisiuttristissmasup|n ɪ s ɪ  ʊ tː  r ɪ s t ˈɪ s s m a s ʊ p 
nisse|n ˈɪ s s ɛ 
nisseinuituos|n ɪ s s ɛ ɪ n ʊ ˈɪ t ʊ ɔ s
nissimunest|n ɪ s s ˈɪ m ʊ n ɛ s t
nissingesus|n ɪ s s ˈɪ ŋ ɡ ɛ s ʊ s
nissms|n ˈɪ s s m s
nist|n ˈɪ s t
nistimeta|n ɪ s t ˈɪ m ɛ t a
nistrepe|n ˈɪ s t  r ɛ p ɛ
nisuretinenissirii|n ɪ s ʊ r ɛ t ɪ n ɛ n ɪ s s ˈɪ r ɪ ʔ ɪ
nit|n ˈɪ t
nitabat|n ˈɪ t a b a t
nitios|n ˈɪ t ɪ  ɔ s
nitittque|n ɪ t ˈɪ tː k w ɛ
nitte|n ˈɪ tː ɛ
nitudnem|n ɪ t ˈʊ d n ɛ m 
nitur|n ˈɪ t ʊ r
niuoresqueammosstrarm|n ɪ w ɔ r ɛ s k w ɛ a m m ˈɔ s s t  r a r m
niussusuuo|n ɪ  ʊ s s ʊ s ˈʊ w ɔ
nlibique|n l ˈɪ b ɪ k w ɛ
nmade|n m ˈa d ɛ
nmisissolus|n m ɪ s ˈɪ s s ɔ l ʊ s
nmitoifit|n m ɪ t ˈɔ ɪ f ɪ t
nmnibusque|n m n ɪ b ˈʊ s k w ɛ
nmpos|n m p ˈɔ s
nmpotest|n m p ˈɔ t ɛ s t
nmqa|ˈɛ n  ˈɛ m  k w ˈuː  a
nmterffectuquod|n m t ɛ r f f ˈɛ k t ʊ k w ɔ d
nnamplius|nː ˈa m p l ɪ  ʊ s
nnanpius|nː ˈa n p ɪ  ʊ s
nnernte|nː ˈɛ r n t ɛ
nnesetifimo|nː ɛ s ɛ t ˈɪ f ɪ m ɔ 
nnestegoutatmcormeub|nː ɛ s t ɛ ɡ ɔ ʊ t a t m k ˈɔ r m ɛʊ b
nnestilis|nː ˈɛ s t ɪ l ɪ s
nnestnobu|nː ˈɛ s t n ɔ b ʊ
nnestperson|nː ɛ s t p ˈɛ r s ɔ n
nngantur|nː ɡ ˈa n t ʊ r
nnondesipiatu|nː ɔ n d ɛ s ɪ p ˈɪ  a t ʊ 
no|n ˈɔ
noanmoberi|n ɔ a n m ˈɔ b ɛ r ɪ 
nob|n ˈɔ b
noba|n ˈɔ b a
nobalsspirit|n ɔ b ˈa l s s p ɪ r ɪ t
nobare|n ˈɔ b a r ɛ 
nobast|n ˈɔ b a s t
nobbus|n ˈɔ bː ʊ s
nobelusisre|n ɔ b ɛ l ʊ s ˈɪ s  r ɛ
nobem|n ˈɔ b ɛ m
nobeni|n ˈɔ b ɛ n ɪ
noberet|n ˈɔ b ɛ r ɛ t
noberi|n ˈɔ b ɛ r ɪ
noberitesseilu|n ɔ b ɛ r ɪ t ɛ s s ˈɛ ɪ l ʊ 
nobettepus|n ɔ b ˈɛ tː ɛ p ʊ s
nobgisad|n ˈɔ b ɡ ɪ s a d 
nobicdtasonesabscondtasquia|n ɔ b ɪ k d t a s ɔ n ɛ s a b s k ɔ n d t ˈa s k w ɪ  a
nobidemus|n ɔ b ˈɪ d ɛ m ʊ s
nobidesideriut|n ɔ b ɪ d ɛ s ɪ d ˈɛ r ɪ  ʊ t
nobidi|n ˈɔ b ɪ d ɪ
nobidisamatornoquiesit|n ɔ b ɪ d ɪ s a m a t ɔ r n ɔ k w ˈɪ  ɛ s ɪ t
nobiiloc|n ɔ b ˈɪ ʔ ɪ l ɔ k
nobilia|n ɔ b ˈɪ l ɪ  a
nobilibus|n ɔ b ˈɪ l ɪ b ʊ s
nobilimunre|n ɔ b ɪ l ɪ m ˈʊ n  r ɛ
nobilissimushet|n ɔ b ɪ l ɪ s s ɪ m ˈʊ s h ɛ t
nobilit|n ˈɔ b ɪ l ɪ t
nobilitatemsustinere|n ɔ b ɪ l ɪ t a t ɛ m s ʊ s t ˈɪ n ɛ r ɛ
nobis|n ˈɔ b ɪ s
nobisa|n ˈɔ b ɪ s a
nobiscredtur|n ɔ b ɪ s k  r ˈɛ d t ʊ r
nobiscum|n ɔ b ˈɪ s k ʊ m
nobisest|n ˈɔ b ɪ s ɛ s t 
nobishadestet|n ɔ b ɪ s h a d ˈɛ s t ɛ t
nobisifuturo|n ɔ b ɪ s ɪ f ˈʊ t ʊ r ɔ
nobisin|n ˈɔ b ɪ s ɪ n
nobisperserbostuos|n ɔ b ɪ s p ɛ r s ɛ r b ˈɔ s t ʊ ɔ s 
nobispotereemendatsonmamalormqcquius|ˈɛ n  ˈoː  b ˈeː  ˈiː  ˈɛ s  p ˈeː  ˈoː  t ˈeː  ɛ  ˈɛ ɹ  ɛ  ɛ  ˈɛ m  ɛ  ˈɛ n  d ˈeː  a  t ˈeː  ˈɛ s  ˈoː  ˈɛ n  ˈɛ m  a  ˈɛ m  a  ˈɛ l  ˈoː  ˈɛ ɹ  ˈɛ m  k w ˈuː  k ˈeː  k w ˈuː  ˈuː  ˈiː  ˈuː  ˈɛ s
nobissmum|n ɔ b ˈɪ s s m ʊ m
nobisspleruuquerebustuden|n ɔ b ɪ s s p l ɛ r ʊ ʊ k w ɛ r ɛ b ˈʊ s t ʊ d ɛ n
nobissustinet|n ɔ b ɪ s s ˈʊ s t ɪ n ɛ t
nobistamen|n ɔ b ˈɪ s t a m ɛ n
nobistebtanostasique|n ɔ b ɪ s t ɛ b t a n ɔ s t ˈa s ɪ k w ɛ
nobisutet|n ɔ b ˈɪ s ʊ t ɛ t
nobit|n ˈɔ b ɪ t
nobita|n ˈɔ b ɪ t a
nobiterbenisquisadacoubersonm|n ɔ b ɪ t ɛ r b ɛ n ɪ s k w ɪ s a d a k ɔ ʊ b ˈɛ r s ɔ n m
nobitussimopasa|n ɔ b ɪ t ʊ s s ɪ m ˈɔ p a s a
nobs|n ˈɔ b s
nobsascut|n ɔ b s ˈa s k ʊ t 
nobsminsura|n ɔ b s m ˈɪ n s ʊ r a
nobssiciplebtu|n ɔ b s s ɪ k ɪ p l ˈɛ b t ʊ
nobssifimis|n ɔ b s s ˈɪ f ɪ m ɪ s
nobtestmeitouordinquo|n ɔ b t ɛ s t m ɛ ɪ t ɔ w ɔ r d ˈɪ ŋ k w ɔ
nobu|n ˈɔ b ʊ
nobum|n ˈɔ b ʊ m
nocceiposse|n ɔ kː ɛ ɪ p ˈɔ s s ɛ
noccitis|n ˈɔ kː ɪ t ɪ s
nocentem|n ɔ k ˈɛ n t ɛ m
nocentumsistertia|n ɔ k ɛ n t ʊ m s ɪ s t ˈɛ r t ɪ  a
nocgrabis|n ˈɔ k ɡ  r a b ɪ s 
nocis|n ˈɔ k ɪ s
nocnittur|n ɔ k n ˈɪ tː ʊ r 
nocobersiunis|n ɔ k ɔ b ɛ r s ˈɪ  ʊ n ɪ s
nocotis|n ˈɔ k ɔ t ɪ s 
nocotistetur|n ɔ k ɔ t ˈɪ s t ɛ t ʊ r
nocredase|n ɔ k  r ˈɛ d a s ɛ
nocsut|n ˈɔ k s ʊ t
nocte|n ˈɔ k t ɛ
nocteequitauconffectoiscioss|n ɔ k t ɛ ɛ k w ɪ t aʊ k ɔ n f f ɛ k t ɔ ˈɪ s k ɪ  ɔ s s
noctepausetur|n ɔ k t ɛ p ˈaʊ s ɛ t ʊ r
noctes|n ˈɔ k t ɛ s
noctesurgamusad|n ɔ k t ɛ s ʊ r ɡ ˈa m ʊ s a d
noctesusebam|n ɔ k t ɛ s ˈʊ s ɛ b a m
noctibus|n ˈɔ k t ɪ b ʊ s
noctisasudendumes|n ɔ k t ɪ s a s ʊ d ˈɛ n d ʊ m ɛ s
noctisieruentu|n ɔ k t ɪ s ɪ  ɛ r ʊ ˈɛ n t ʊ
noctistertinna|n ɔ k t ɪ s t ɛ r t ˈɪ n n a
noctuna|n ˈɔ k t ʊ n a
noctuque|n ˈɔ k t ʊ k w ɛ
nocturna|n ɔ k t ˈʊ r n a
nocturnis|n ɔ k t ˈʊ r n ɪ s 
nocur|n ˈɔ k ʊ r 
nod|n ˈɔ d
noddormta|n ɔ dː ˈɔ r m t a
node|n ˈɔ d ɛ
nodebes|n ˈɔ d ɛ b ɛ s
nodedritaodpermiser|n ɔ d ɛ d  r ɪ t a ɔ d p ˈɛ r m ɪ s ɛ r
nodiscuts|n ɔ d ˈɪ s k ʊ t s
nodm|n ˈɔ d m
nodomb|n ˈɔ d ɔ m b
nodum|n ˈɔ d ʊ m
noe|n ˈɔɪ
noereaudebit|n ɔɪ r ɛ ˈaʊ d ɛ b ɪ t
noestsecudu|n ɔɪ s t s ˈɛ k ʊ d ʊ
nofactu|n ɔ f ˈa k t ʊ
nofaslecredutomniena|n ɔ f a s l ɛ k  r ɛ d ʊ t ɔ m n ˈɪ  ɛ n a
nofietadpportm|n ɔ f ɪ  ɛ t ˈa d pː ɔ r t m
nog|n ˈɔ ɡ
nogcousidra|n ɔ ɡ k ɔ ˈʊ s ɪ d  r a 
nogt|n ˈɔ ɡ t
noismacnmmmineis|n ɔ ɪ s m a k n m m m ˈɪ n ɛ ɪ s
nol|n ˈɔ l
nolabuorir|n ɔ l a b ˈʊ ɔ r ɪ r
nolamprius|n ɔ l ˈa m p  r ɪ  ʊ s
nolbumurosu|n ɔ l b ʊ m ˈʊ r ɔ s ʊ
nolcomqupisere|n ɔ l k ɔ m k w p ˈɪ s ɛ r ɛ
nolcontedre|n ɔ l k ˈɔ n t ɛ d  r ɛ
nolebat|n ˈɔ l ɛ b a t
nolebats|n ˈɔ l ɛ b a t s
nolecusolaria|n ɔ l ɛ k ʊ s ɔ l ˈa r ɪ  a
noleesia|n ɔ l ɛ ˈɛ s ɪ  a
nolens|n ˈɔ l ɛ n s
nolentu|n ɔ l ˈɛ n t ʊ
nolesaspiritui|n ɔ l ɛ s a s p ɪ r ˈɪ t ʊ ɪ
nolesset|n ɔ l ˈɛ s s ɛ t
noli|n ˈɔ l ɪ
nolia|n ˈɔ l ɪ  a
nolib|n ˈɔ l ɪ b
nolibeniu|n ɔ l ɪ b ˈɛ n ɪ  ʊ
nolibisitatsionmtuam|n ɔ l ɪ b ɪ s ɪ t a t s ɪ  ˈɔ n m t ʊ a m
nolicosulationmtuama|n ɔ l ɪ k ɔ s ʊ l a t ɪ  ɔ n m t ˈʊ a m a
nolicredea|n ɔ l ɪ k  r ˈɛ d ɛ a
nolicumeocotedr|n ɔ l ɪ k ʊ m ɛ ˈɔ k ɔ t ɛ d  r
nolicurare|n ɔ l ɪ k ˈʊ r a r ɛ
nolidesspicerepopertatemounestis|n ɔ l ɪ d ɛ s s p ɪ k ɛ r ɛ p ɔ p ɛ r t a t ɛ m ɔ ʊ n ˈɛ s t ɪ s
nolidi|n ˈɔ l ɪ d ɪ
noliduiteraser|n ɔ l ɪ d ʊ ɪ t ˈɛ r a s ɛ r 
noliergo|n ɔ l ɪ  ˈɛ r ɡ ɔ
noliextoli|n ɔ l ɪ  ˈɛ k s t ɔ l ɪ
noliisptarecumcodttorbustuis|n ɔ l ɪ ʔ ɪ s p t a r ɛ k ʊ m k ɔ d tː ɔ r b ˈʊ s t ʊ ɪ s
nolilet|n ˈɔ l ɪ l ɛ t 
