$|d ˈo l a
nimekimbia|n ˌi m e k i m b ˈi a
nimekosa|n ˌi m e k ˈo s a
nimekuacha|n ˌi m e k u ˈa tʃ a
nimekuchagua|n ˌi m e k ˌu tʃ a ɡ ˈu a
nimekuchora|n ˌi m e k u tʃ ˈo r a
nimekufundisha|n ˌi m e k ˌu f u n d ˈi ʃ a
nimekufurahia|n ˌi m e k ˌu f u r a h ˈi a
nimekuita|n ˌi m e k u ˈi t a
nimekuja|n ˌi m e k ˈu ɟ a
nimekujibu|n ˌi m e k u ɟ ˈi b u
nimekujulisha|n ˌi m e k ˌu ɟ u l ˈi ʃ a
nimekukomboa|n ˌi m e k ˌu k o m b ˈo a
nimekukosa|n ˌi m e k u k ˈo s a
nimekukubali|n ˌi m e k ˌu k u b ˈa l i
nimekunja|n ˌi m e k ˈu ɲ ɟ a
nimekununulia|n ˌi m e k ˌu n u n u l ˈi a
nimekuomba|n ˌi m e k u ˈo m b a
nimekuombea|n ˌi m e k ˌu o m b ˈe a
nimekuona|n ˌi m e k u ˈo n a
nimekuonesha|n ˌi m e k ˌu o n ˈe ʃ a
nimekuongoza|n ˌi m e k ˌu o ŋ ɡ ˈo z a
nimekuonyesha|n ˌi m e k ˌu o ɲ ˈe ʃ a
nimekupa|n ˌi m e k ˈu p a
nimekupenda|n ˌi m e k u p ˈe n d a
nimekuponya|n ˌi m e k u p ˈo ɲ a
nimekurehemu|n ˌi m e k ˌu r e h ˈe m u
nimekusafisha|n ˌi m e k ˌu s a f ˈi ʃ a
nimekusaidia|n ˌi m e k ˌu s a i d ˈi a
nimekusikia|n ˌi m e k ˌu s i k ˈi a
nimekusitiri|n ˌi m e k ˌu s i t ˈi r i
nimekusudia|n ˌi m e k ˌu s u d ˈi a
nimekutajia|n ˌi m e k ˌu t a ɟ ˈi a
nimekutamani|n ˌi m e k ˌu t a m ˈa n i
nimekutenda|n ˌi m e k u t ˈe n d a
nimekutumikia|n ˌi m e k ˌu t u m i k ˈi a
nimekuumba|n ˌi m e k u ˈu m b a
nimekuwa|n ˌi m e k ˈu w a
nimekuweka|n ˌi m e k u w ˈe k a
nimekwenda|n ˌi m e k w ˈe n d a
nimekwisha|n ˌi m e k w ˈi ʃ a
nimelala|n ˌi m e l ˈa l a
nimeliamuru|n ˌi m e l ˌi a m ˈu r u
nimeliona|n ˌi m e l i ˈo n a
nimelisikia|n ˌi m e l ˌi s i k ˈi a
nimembariki|n ˌi m e m b a r ˈi k i
nimemchukia|n ˌi m e m tʃ u k ˈi a
nimemhuluku|n ˌi m e m h u l ˈu k u
nimemjua|n ˌi m e m ɟ ˈu a
nimemkataa|n ˌi m e m  k a t ˈa a
nimemleta|n ˌi m e m l ˈe t a
nimempa|n i m ˈe m p a
nimempenda|n ˌi m e m p ˈe n d a
nimemshawishi|n ˌi m e m ʃ a w ˈi ʃ i
nimemshika|n ˌi m e m ʃ ˈi k a
nimemtajirisha|n ˌi m e m t ˌa ɟ i r ˈi ʃ a
nimemtawaza|n ˌi m e m t a w ˈa z a
nimemtembelea|n ˌi m e m t ˌe m b e l ˈe a
nimemwambia|n ˌi m e m w a m b ˈi a
nimemweka|n ˌi m e m w ˈe k a
nimemweza|n ˌi m e m w ˈe z a
nimemwinua|n ˌi m e m w i n ˈu a
nimemwita|n ˌi m e m w ˈi t a
nimemwomba|n ˌi m e m w ˈo m b a
nimemwona|n ˌi m e m w ˈo n a
nimemwua|n ˌi m e m w ˈu a
nimemwumba|n ˌi m e m w ˈu m b a
nimemzalia|n ˌi m e m z a l ˈi a
nimenena|n ˌi m e n ˈe n a
nimenunua|n ˌi m e n u n ˈu a
nimenusurika|n ˌi m e n ˌu s u r ˈi k a
nimenyamaza|n ˌi m e ɲ a m ˈa z a
nimenyang'anya|n ˌi m e ɲ a ŋ ˈa ɲ a
nimenyimwa|n ˌi m e ɲ ˈi m w a
nimeoa|n ˌi m e ˈo a
nimeoka|n ˌi m e ˈo k a
nimeokoa|n ˌi m e o k ˈo a
nimeona|n ˌi m e ˈo n a
nimeondoa|n ˌi m e o n d ˈo a
nimeonekana|n ˌi m e ˌo n e k ˈa n a
nimeonewa|n ˌi m e o n ˈe w a
nimeonyesha|n ˌi m e o ɲ ˈe ʃ a
nimeonyeshwa|n ˌi m e o ɲ ˈe ʃ w a
nimeota|n ˌi m e ˈo t a
nimepambana|n ˌi m e p a m b ˈa n a
nimepanda|n ˌi m e p ˈa n d a
nimepata|n ˌi m e p ˈa t a
nimependezwa|n ˌi m e p e n d ˈe z w a
nimepitia|n ˌi m e p i t ˈi a
nimepokea|n ˌi m e p o k ˈe a
nimepona|n ˌi m e p ˈo n a
nimepotea|n ˌi m e p o t ˈe a
nimerejea|n ˌi m e r e ɟ ˈe a
nimeridhika|n ˌi m e r i ð ˈi k a
nimesafisha|n ˌi m e s a f ˈi ʃ a
nimesalia|n ˌi m e s a l ˈi a
nimeshanunua|n ˌi m e ʃ ˌa n u n ˈu a
nimeshika|n ˌi m e ʃ ˈi k a
nimesikia|n ˌi m e s i k ˈi a
nimesulibiwa|n ˌi m e s ˌu l i b ˈi w a
nimetaabika|n ˌi m e t ˌa a b ˈi k a
nimetaka|n ˌi m e t ˈa k a
nimetakasika|n ˌi m e t ˌa k a s ˈi k a
nimetamani|n ˌi m e t a m ˈa n i
nimetandika|n ˌi m e t a n d ˈi k a
nimetangaza|n ˌi m e t a ŋ ɡ ˈa z a
nimetazama|n ˌi m e t a z ˈa m a
nimeteketeza|n ˌi m e t ˌe k e t ˈe z a
nimetenda|n ˌi m e t ˈe n d a
nimetia|n ˌi m e t ˈi a
nimetoa|n ˌi m e t ˈo a
nimetubu|n ˌi m e t ˈu b u
nimetuma|n ˌi m e t ˈu m a
nimetumia|n ˌi m e t u m ˈi a
nimeukata|n ˌi m e u k ˈa t a
nimeukubali|n ˌi m e ˌu k u b ˈa l i
nimeumiza|n ˌi m e u m ˈi z a
nimeunyosha|n ˌi m e u ɲ ˈo ʃ a
nimeutia|n ˌi m e u t ˈi a
nimeuza|n ˌi m e ˈu z a
nimeuzwa|n ˌi m e ˈu z w a
nimevunjika|n ˌi m e v u ɲ ɟ ˈi k a
nimewaacha|n ˌi m e w a ˈa tʃ a
nimewaagiza|n ˌi m e w ˌa a ɡ ˈi z a
nimewaalika|n ˌi m e w ˌa a l ˈi k a
nimewaamuru|n ˌi m e w ˌa a m ˈu r u
nimewaandikia|n ˌi m e w ˌa a n d i k ˈi a
nimewaangalia|n ˌi m e w ˌa a ŋ ɡ a l ˈi a
nimewaangamiza|n ˌi m e w ˌa a ŋ ɡ a m ˈi z a
nimewafanya|n ˌi m e w a f ˈa ɲ a
nimewahi|n ˌi m e w ˈa h i
nimewaita|n ˌi m e w a ˈi t a
nimewalisha|n ˌi m e w a l ˈi ʃ a
nimewanyoshea|n ˌi m e w ˌa ɲ o ʃ ˈe a
nimewapa|n ˌi m e w ˈa p a
nimewapasha|n ˌi m e w a p ˈa ʃ a
nimewapatia|n ˌi m e w ˌa p a t ˈi a
nimewauza|n ˌi m e w a ˈu z a
nimeweka|n ˌi m e w ˈe k a
nimeyafuta|n ˌi m e j a f ˈu t a
nimeyahakikisha|n ˌi m e j ˌa h a k i k ˈi ʃ a
nimeyaona|n ˌi m e j a ˈo n a
nimeyashika|n ˌi m e j a ʃ ˈi k a
nimeyasikia|n ˌi m e j ˌa s i k ˈi a
nimeyasikiliza|n ˌi m e j ˌa s i k i l ˈi z a
nimeyataja|n ˌi m e j a t ˈa ɟ a
nimeyatia|n ˌi m e j a t ˈi a
nimezichafua|n ˌi m e z ˌi tʃ a f ˈu a
nimeziona|n ˌi m e z i ˈo n a
nimeziondoa|n ˌi m e z ˌi o n d ˈo a
nimezitaja|n ˌi m e z i t ˈa ɟ a
nimeziweka|n ˌi m e z i w ˈe k a
nimezoea|n ˌi m e z o ˈe a
nimezungumza|n ˌi m e z u ŋ ɡ ˈu m z a
nimfiche|n i m f ˈi tʃ e
nimhurumiaye|n ˌi m h u r ˌu m i ˈa j e
nimletee|n ˌi m l e t ˈe e
nimonia|n ˌi m o n ˈi a
nimpe|n ˈi m p e
nimpige|n i m p ˈi ɡ e
nimrehemuye|n ˌi m  r e h e m ˈu j e
nimrimu|n i m  r ˈi m u
nimrodi|n i m  r ˈo d i
nimsaidie|n ˌi m s a i d ˈi e
nimtangulie|n ˌi m t a ŋ ɡ u l ˈi e
nimtegemezaye|n ˌi m t e ɡ ˌe m e z ˈa j e
nimtumaye|n ˌi m t u m ˈa j e
nimtume|n i m t ˈu m e
nimuhimu|n ˌi m u h ˈi m u
nimuombe|n ˌi m u ˈo m b e
nimuulize|n ˌi m u u l ˈi z e
nimwabudu|n ˌi m w a b ˈu d u
nimwabuduye|n ˌi m w a b u d ˈu j e
nimwahi|n i m w ˈa h i
nimwambiaye|n ˌi m w a m b i ˈa j e
nimwambie|n ˌi m w a m b ˈi e
nimwimbie|n ˌi m w i m b ˈi e
nimwishie|n ˌi m w i ʃ ˈi e
nimwombayo|n ˌi m w o m b ˈa j o
nina|n ˈi n a
ninaacha|n ˌi n a ˈa tʃ a
ninaahidhi|n ˌi n a a h ˈi ð i
ninaahidi|n ˌi n a a h ˈi d i
ninaamini|n ˌi n a a m ˈi n i
ninaamu|n ˌi n a ˈa m u
ninaanza|n ˌi n a ˈa n z a
ninabadilisha|n ˌi n a b ˌa d i l ˈi ʃ a
ninachagua|n ˌi n a tʃ a ɡ ˈu a
ninachofanya|n ˌi n a tʃ o f ˈa ɲ a
ninachosema|n ˌi n a tʃ o s ˈe m a
ninachukua|n ˌi n a tʃ u k ˈu a
ninaelewa|n ˌi n a e l ˈe w a
ninaendelea|n ˌi n a ˌe n d e l ˈe a
ninafanya|n ˌi n a f ˈa ɲ a
ninafikiria|n ˌi n a f ˌi k i r ˈi a
ninafunzwa|n ˌi n a f ˈu n z w a
ninahakika|n ˌi n a h a k ˈi k a
ninahisi|n ˌi n a h ˈi s i
ninahitaji|n ˌi n a h i t ˈa ɟ i
ninahofia|n ˌi n a h o f ˈi a
ninahubiri|n ˌi n a h u b ˈi r i
ninaifanya|n ˌi n a i f ˈa ɲ a
ninaimba|n ˌi n a ˈi m b a
ninaishi|n ˌi n a ˈi ʃ i
ninajali|n ˌi n a ɟ ˈa l i
ninajaribu|n ˌi n a ɟ a r ˈi b u
ninajaza|n ˌi n a ɟ ˈa z a
ninajifunza|n ˌi n a ɟ i f ˈu n z a
ninajiuliza|n ˌi n a ɟ ˌi u l ˈi z a
ninajivunia|n ˌi n a ɟ ˌi v u n ˈi a
ninajua|n ˌi n a ɟ ˈu a
ninajuta|n ˌi n a ɟ ˈu t a
ninakaa|n ˌi n a k ˈa a
ninakomesha|n ˌi n a k o m ˈe ʃ a
ninaku|n i n ˈa k u
ninakufa|n ˌi n a k ˈu f a
ninakujia|n ˌi n a k u ɟ ˈi a
ninakula|n ˌi n a k ˈu l a
ninakumbuka|n ˌi n a k u m b ˈu k a
ninakunywa|n ˌi n a k ˈu ɲ u a
ninakupongeza|n ˌi n a k ˌu p o ŋ ɡ ˈe z a
ninakushukuru|n ˌi n a k ˌu ʃ u k ˈu r u
ninakusudia|n ˌi n a k ˌu s u d ˈi a
ninakwenda|n ˌi n a k w ˈe n d a
ninaleta|n ˌi n a l ˈe t a
ninalo|n i n ˈa l o
ninalokuamuru|n ˌi n a l ˌo k u a m ˈu r u
ninalolitenda|n ˌi n a l ˌo l i t ˈe n d a
ninamcheka|n ˌi n a m tʃ ˈe k a
ninamjua|n ˌi n a m ɟ ˈu a
ninampa|n i n ˈa m p a
ninampenda|n ˌi n a m p ˈe n d a
ninao|n i n ˈa o
ninaogopa|n ˌi n a o ɡ ˈo p a
ninaomba|n ˌi n a ˈo m b a
ninaona|n ˌi n a ˈo n a
ninaonekana|n ˌi n a ˌo n e k ˈa n a
ninaousikia|n ˌi n a ˌo u s i k ˈi a
ninaowashawishi|n ˌi n a ˌo w a ʃ a w ˈi ʃ i
ninapambana|n ˌi n a p a m b ˈa n a
ninapanga|n ˌi n a p ˈa ŋ ɡ a
ninapenda|n ˌi n a p ˈe n d a
ninapendekeza|n ˌi n a p ˌe n d e k ˈe z a
ninapiga|n ˌi n a p ˈi ɡ a
ninapoanza|n ˌi n a p o ˈa n z a
ninapokushukuru|n ˌi n a p ˌo k u ʃ u k ˈu r u
ninapokuwa|n ˌi n a p o k ˈu w a
ninashangaa|n ˌi n a ʃ a ŋ ɡ ˈa a
ninashuku|n ˌi n a ʃ ˈu k u
ninashukuru|n ˌi n a ʃ u k ˈu r u
ninasifu|n ˌi n a s ˈi f u
ninasikia|n ˌi n a s i k ˈi a
ninasikiliza|n ˌi n a s ˌi k i l ˈi z a
ninatafuta|n ˌi n a t a f ˈu t a
ninatamani|n ˌi n a t a m ˈa n i
ninatanga|n ˌi n a t ˈa ŋ ɡ a
ninatenda|n ˌi n a t ˈe n d a
ninateswa|n ˌi n a t ˈe s w a
ninathamini|n ˌi n a θ a m ˈi n i
ninatoa|n ˌi n a t ˈo a
ninatumai|n ˌi n a t u m ˈa i
ninatumia|n ˌi n a t u m ˈi a
ninaudhiwa|n ˌi n a u ð ˈi w a
ninaugua|n ˌi n a u ɡ ˈu a
ninauliza|n ˌi n a u l ˈi z a
ninaumwa|n ˌi n a ˈu m w a
ninavaa|n ˌi n a v ˈa a
ninavyofikiri|n ˌi n a v j ˌo f i k ˈi r i
ninawaletea|n ˌi n a w ˌa l e t ˈe a
ninawashukuru|n ˌi n a w ˌa ʃ u k ˈu r u
ninaweka|n ˌi n a w ˈe k a
ninaweza|n ˌi n a w ˈe z a
ninawezaje|n ˌi n a w e z ˈa ɟ e
ninawi|n i n ˈa w i
ninaye|n i n ˈa j e
ninayeishi|n ˌi n a j e ˈi ʃ i
ninayejua|n ˌi n a j e ɟ ˈu a
ninayeondoka|n ˌi n a j ˌe o n d ˈo k a
ninayetenda|n ˌi n a j e t ˈe n d a
ninayoipenda|n ˌi n a j ˌo i p ˈe n d a
ninayoisikia|n ˌi n a j ˌo i s i k ˈi a
ninayokutuma|n ˌi n a j ˌo k u t ˈu m a
ninayopitia|n ˌi n a j ˌo p i t ˈi a
ninayosikia|n ˌi n a j ˌo s i k ˈi a
ninayowaandikia|n ˌi n a j ˌo w a ˌa n d i k ˈi a
ninayoyasema|n ˌi n a j ˌo j a s ˈe m a
ninazoendelea|n ˌi n a z ˌo e n d e l ˈe a
ninenaye|n ˌi n e n ˈa j e
ningali|n i ŋ ɡ ˈa l i
ningeachana|n ˌi ŋ ɡ e a tʃ ˈa n a
ningeandika|n ˌi ŋ ɡ e a n d ˈi k a
ningeapa|n ˌi ŋ ɡ e ˈa p a
ningeenda|n ˌi ŋ ɡ e ˈe n d a
ningefanya|n ˌi ŋ ɡ e f ˈa ɲ a
ningefurahi|n ˌi ŋ ɡ e f u r ˈa h i
ningeiteketeza|n ˌi ŋ ɡ e ˌi t e k e t ˈe z a
ningejua|n ˌi ŋ ɡ e ɟ ˈu a
ningekuambia|n ˌi ŋ ɡ e k ˌu a m b ˈi a
ningekumbuka|n ˌi ŋ ɡ e k u m b ˈu k a
ningekupa|n ˌi ŋ ɡ e k ˈu p a
ningekuwa|n ˌi ŋ ɡ e k ˈu w a
ningekuwapo|n ˌi ŋ ɡ e k u w ˈa p o
ningeli|n i ŋ ɡ ˈe l i
ningelikuwa|n ˌi ŋ ɡ e l i k ˈu w a
ningemelezea|n ˌi ŋ ɡ e m ˌe l e z ˈe a
ningengoja|n ˌi ŋ ɡ e ŋ ɡ ˈo ɟ a
ningepanga|n ˌi ŋ ɡ e p ˈa ŋ ɡ a
ningepata|n ˌi ŋ ɡ e p ˈa t a
ningependa|n ˌi ŋ ɡ e p ˈe n d a
ningependelea|n ˌi ŋ ɡ e p ˌe n d e l ˈe a
ningetaka|n ˌi ŋ ɡ e t ˈa k a
ningeweza|n ˌi ŋ ɡ e w ˈe z a
ningi|n ˈi ŋ ɡ i
nini|n ˈi n i
ninja|n ˈi ɲ ɟ a
ninyamaze|n ˌi ɲ a m ˈa z e
nio|n ˈi o
niohundra|n ˌi o h ˈu n d  r a
niokolewe|n ˌi o k o l ˈe w e
nionane|n ˌi o n ˈa n e
nionde|n i ˈo n d e
niondoaye|n ˌi o n d o ˈa j e
niondoe|n ˌi o n d ˈo e
niondoke|n ˌi o n d ˈo k e
nione|n i ˈo n e
niongee|n ˌi o ŋ ɡ ˈe e
nionyeshe|n ˌi o ɲ ˈe ʃ e
niotusen|n ˌi o t ˈu s e n
nipandikizwe|n ˌi p a n d i k ˈi z w e
nipandishie|n ˌi p a n d i ʃ ˈi e
nipate|n i p ˈa t e
nipateje|n ˌi p a t ˈe ɟ e
nipatie|n ˌi p a t ˈi e
nipe|n ˈi p e
nipelekee|n ˌi p e l e k ˈe e
nipendavyo|n ˌi p e n d ˈa v j o
nipeni|n i p ˈe n i
nipewe|n i p ˈe w e
nipigie|n ˌi p i ɡ ˈi e
nipitapo|n ˌi p i t ˈa p o
nipo|n ˈi p o
nipumzike|n ˌi p u m z ˈi k e
nira|n ˈi r a
nirudi|n i r ˈu d i
nirudishe|n ˌi r u d ˈi ʃ e
nisalimieni|n ˌi s a l ˌi m i ˈe n i
nischen|n ˈi s tʃ e n
nisemalo|n ˌi s e m ˈa l o
nisemayo|n ˌi s e m ˈa j o
niseme|n i s ˈe m e
nishani|n i ʃ ˈa n i
nishikenishikeni|n ˌi ʃ i k ˌe n i ʃ i k ˈe n i
nishindane|n ˌi ʃ i n d ˈa n e
nishughulikie|n ˌi ʃ u ɣ ˌu l i k ˈi e
nishuke|n i ʃ ˈu k e
nisibadilishe|n ˌi s i b ˌa d i l ˈi ʃ e
nisichopanda|n ˌi s i tʃ o p ˈa n d a
nisichowaonyesha|n ˌi s i tʃ ˌo w a o ɲ ˈe ʃ a
nisichoweka|n ˌi s i tʃ o w ˈe k a
nisidhuru|n ˌi s i ð ˈu r u
nisiende|n ˌi s i ˈe n d e
nisifanye|n ˌi s i f ˈa ɲ e
nisife|n i s ˈi f e
nisifiwe|n ˌi s i f ˈi w e
nisihubiri|n ˌi s i h u b ˈi r i
nisiione|n ˌi s i i ˈo n e
nisije|n i s ˈi ɟ e
nisijue|n ˌi s i ɟ ˈu e
nisikia|n ˌi s i k ˈi a
nisikieni|n ˌi s i k i ˈe n i
nisikilize|n ˌi s i k i l ˈi z e
nisikilizeni|n ˌi s i k ˌi l i z ˈe n i
nisikudhuru|n ˌi s i k u ð ˈu r u
nisikukatilie|n ˌi s i k ˌu k a t i l ˈi e
nisikupelekee|n ˌi s i k ˌu p e l e k ˈe e
nisikuue|n ˌi s i k u ˈu e
nisilolipenda|n ˌi s i l ˌo l i p ˈe n d a
nisimtende|n ˌi s i m t ˈe n d e
nisimtendee|n ˌi s i m t e n d ˈe e
nisimwage|n ˌi s i m w ˈa ɡ e
nisimwone|n ˌi s i m w ˈo n e
nisingalimwoa|n ˌi s i ŋ ɡ ˌa l i m w ˈo a
nisingeenda|n ˌi s i ŋ ɡ e ˈe n d a
nisingeimba|n ˌi s i ŋ ɡ e ˈi m b a
nisingelisikia|n ˌi s i ŋ ɡ ˌe l i s i k ˈi a
nisingenunua|n ˌi s i ŋ ɡ ˌe n u n ˈu a
nisingepata|n ˌi s i ŋ ɡ e p ˈa t a
nisione|n ˌi s i ˈo n e
nisipate|n ˌi s i p ˈa t e
nisipatwe|n ˌi s i p ˈa t w e
nisipokufunulia|n ˌi s i p ˌo k u f ˌu n u l ˈi a
nisirushe|n ˌi s i r ˈu ʃ e
nisishikamane|n ˌi s i ʃ ˌi k a m ˈa n e
nisiunyoshe|n ˌi s i u ɲ ˈo ʃ e
nisivue|n ˌi s i v ˈu e
nisiwaharibu|n ˌi s i w ˌa h a r ˈi b u
nisiwaone|n ˌi s i w a ˈo n e
nisiwe|n i s ˈi w e
nisiweze|n ˌi s i w ˈe z e
nisiyemjua|n ˌi s i j e m ɟ ˈu a
nisiyoitenda|n ˌi s i j ˌo i t ˈe n d a
nisiyoyafahamu|n ˌi s i j ˌo j a f a h ˈa m u
nisiyoyafahamumwendo|n ˌi s i j ˌo j a f ˌa h a m u m w ˈe n d o
nisiyoyafurahia|n ˌi s i j ˌo j a f ˌu r a h ˈi a
nisizae|n ˌi s i z ˈa e
nisizalishe|n ˌi s i z a l ˈi ʃ e
nisroki|n i s  r ˈo k i
nisubiri|n ˌi s u b ˈi r i
nisujudie|n ˌi s u ɟ u d ˈi e
nita|n ˈi t a
nitaadhibu|n ˌi t a a ð ˈi b u
nitaagana|n ˌi t a a ɡ ˈa n a
nitaahirisha|n ˌi t a ˌa h i r ˈi ʃ a
nitaamka|n ˌi t a ˈa m k a
nitaanda|n ˌi t a ˈa n d a
nitaandika|n ˌi t a a n d ˈi k a
nitaangamia|n ˌi t a ˌa ŋ ɡ a m ˈi a
nitaapa|n ˌi t a ˈa p a
nitaathiriwa|n ˌi t a ˌa θ i r ˈi w a
nitabadirisha|n ˌi t a b ˌa d i r ˈi ʃ a
nitabaki|n ˌi t a b ˈa k i
nitabomoa|n ˌi t a b o m ˈo a
nitachagua|n ˌi t a tʃ a ɡ ˈu a
nitacheka|n ˌi t a tʃ ˈe k a
nitachelewa|n ˌi t a tʃ e l ˈe w a
nitachukua|n ˌi t a tʃ u k ˈu a
nitadhihaki|n ˌi t a ð i h ˈa k i
nitaeleza|n ˌi t a e l ˈe z a
nitaenda|n ˌi t a ˈe n d a
nitaendelea|n ˌi t a ˌe n d e l ˈe a
nitafanana|n ˌi t a f a n ˈa n a
nitafanya|n ˌi t a f ˈa ɲ a
nitaficha|n ˌi t a f ˈi tʃ a
nitafichua|n ˌi t a f i tʃ ˈu a
nitafunua|n ˌi t a f u n ˈu a
nitafurahi|n ˌi t a f u r ˈa h i
nitafuteni|n ˌi t a f u t ˈe n i
nitafutieni|n ˌi t a f ˌu t i ˈe n i
nitageuza|n ˌi t a ɡ e ˈu z a
nitahakikisha|n ˌi t a h ˌa k i k ˈi ʃ a
nitaharibu|n ˌi t a h a r ˈi b u
nitaiambia|n ˌi t a ˌi a m b ˈi a
nitaifagilia|n ˌi t a ˌi f a ɡ i l ˈi a
nitaifanya|n ˌi t a i f ˈa ɲ a
nitaihamisha|n ˌi t a ˌi h a m ˈi ʃ a
nitaihukumu|n ˌi t a ˌi h u k ˈu m u
nitaikata|n ˌi t a i k ˈa t a
nitaikausha|n ˌi t a ˌi k a ˈu ʃ a
nitaikomesha|n ˌi t a ˌi k o m ˈe ʃ a
nitailinda|n ˌi t a i l ˈi n d a
nitaingia|n ˌi t a i ŋ ɡ ˈi a
nitainuka|n ˌi t a i n ˈu k a
nitainyeshea|n ˌi t a ˌi ɲ e ʃ ˈe a
nitairithi|n ˌi t a i r ˈi θ i
nitairudia|n ˌi t a ˌi r u d ˈi a
nitaishughulikia|n ˌi t a ˌi ʃ u ɣ ˌu l i k ˈi a
nitaistarehesha|n ˌi t a ˌi s t a r e h ˈe ʃ a
nitaitaka|n ˌi t a i t ˈa k a
nitaitukuza|n ˌi t a ˌi t u k ˈu z a
nitaitwaa|n ˌi t a i t w ˈa a
nitajaribu|n ˌi t a ɟ a r ˈi b u
nitajenga|n ˌi t a ɟ ˈe ŋ ɡ a
nitajiambia|n ˌi t a ɟ ˌi a m b ˈi a
nitajibu|n ˌi t a ɟ ˈi b u
nitajiinua|n ˌi t a ɟ ˌi i n ˈu a
nitajiinulia|n ˌi t a ɟ ˌi i n u l ˈi a
nitajipatia|n ˌi t a ɟ ˌi p a t ˈi a
nitajitukuza|n ˌi t a ɟ ˌi t u k ˈu z a
nitajizuia|n ˌi t a ɟ ˌi z u ˈi a
nitajua|n ˌi t a ɟ ˈu a
nitajuaje|n ˌi t a ɟ u ˈa ɟ e
nitakaa|n ˌi t a k ˈa a
nitakachofanya|n ˌi t a k ˌa tʃ o f ˈa ɲ a
nitakalo|n ˌi t a k ˈa l o
nitakalolitenda|n ˌi t a k ˌa l o l i t ˈe n d a
nitakalotenda|n ˌi t a k ˌa l o t ˈe n d a
nitakaokuambia|n ˌi t a k ˌa o k ˌu a m b ˈi a
nitakaosafiri|n ˌi t a k ˌa o s a f ˈi r i
nitakapojua|n ˌi t a k ˌa p o ɟ ˈu a
nitakapokuja|n ˌi t a k ˌa p o k ˈu ɟ a
nitakapokujia|n ˌi t a k ˌa p o k u ɟ ˈi a
nitakapokusanya|n ˌi t a k ˌa p o k u s ˈa ɲ a
nitakapokuwa|n ˌi t a k ˌa p o k ˈu w a
nitakapomleta|n ˌi t a k ˌa p o m l ˈe t a
nitakapompa|n ˌi t a k a p ˈo m p a
nitakaporudi|n ˌi t a k ˌa p o r ˈu d i
nitakapotolewa|n ˌi t a k ˌa p o t o l ˈe w a
nitakapoukata|n ˌi t a k ˌa p o u k ˈa t a
nitakapowaondolea|n ˌi t a k ˌa p o w ˌa o n d o l ˈe a
nitakapowapata|n ˌi t a k ˌa p o w a p ˈa t a
nitakavyotenda|n ˌi t a k ˌa v j o t ˈe n d a
nitakavyowafariji|n ˌi t a k ˌa v j o w ˌa f a r ˈi ɟ i
nitakaye|n ˌi t a k ˈa j e
nitakayekupandishia|n ˌi t a k ˌa j e k ˌu p a n d i ʃ ˈi a
nitakayemtaja|n ˌi t a k ˌa j e m t ˈa ɟ a
nitakayemwangalia|n ˌi t a k ˌa j e m w ˌa ŋ ɡ a l ˈi a
nitakayo|n ˌi t a k ˈa j o
nitakayokuambia|n ˌi t a k ˌa j o k ˌu a m b ˈi a
nitakayokuonyesha|n ˌi t a k ˌa j o k ˌu o ɲ ˈe ʃ a
nitakazofanya|n ˌi t a k ˌa z o f ˈa ɲ a
nitaketi|n ˌi t a k ˈe t i
nitakifutilia|n ˌi t a k ˌi f u t i l ˈi a
nitakiinua|n ˌi t a k ˌi i n ˈu a
nitakirudisha|n ˌi t a k ˌi r u d ˈi ʃ a
nitakitia|n ˌi t a k i t ˈi a
nitakuacha|n ˌi t a k u ˈa tʃ a
nitakuambia|n ˌi t a k ˌu a m b ˈi a
nitakubaliana|n ˌi t a k ˌu b a l i ˈa n a
nitakuelekezea|n ˌi t a k ˌu e l ˌe k e z ˈe a
nitakufanya|n ˌi t a k u f ˈa ɲ a
nitakufuata|n ˌi t a k ˌu f u ˈa t a
nitakufunga|n ˌi t a k u f ˈu ŋ ɡ a
nitakuhakikishia|n ˌi t a k ˌu h a k ˌi k i ʃ ˈi a
nitakuhifadhi|n ˌi t a k ˌu h i f ˈa ð i
nitakuhukumu|n ˌi t a k ˌu h u k ˈu m u
nitakuhusuru|n ˌi t a k ˌu h u s ˈu r u
nitakuja|n ˌi t a k ˈu ɟ a
nitakujaribu|n ˌi t a k ˌu ɟ a r ˈi b u
nitakukumbatia|n ˌi t a k ˌu k u m b a t ˈi a
nitakukusanya|n ˌi t a k ˌu k u s ˈa ɲ a
nitakuletea|n ˌi t a k ˌu l e t ˈe a
nitakulipa|n ˌi t a k u l ˈi p a
nitakulisha|n ˌi t a k u l ˈi ʃ a
nitakuokoa|n ˌi t a k ˌu o k ˈo a
nitakuona|n ˌi t a k u ˈo n a
nitakuonesha|n ˌi t a k ˌu o n ˈe ʃ a
nitakuongoza|n ˌi t a k ˌu o ŋ ɡ ˈo z a
nitakuonyesha|n ˌi t a k ˌu o ɲ ˈe ʃ a
nitakupa|n ˌi t a k ˈu p a
nitakupandisha|n ˌi t a k ˌu p a n d ˈi ʃ a
nitakupatia|n ˌi t a k ˌu p a t ˈi a
nitakupiga|n ˌi t a k u p ˈi ɡ a
nitakurarua|n ˌi t a k ˌu r a r ˈu a
nitakurehemu|n ˌi t a k ˌu r e h ˈe m u
nitakurudia|n ˌi t a k ˌu r u d ˈi a
nitakurudisha|n ˌi t a k ˌu r u d ˈi ʃ a
