aachen|AA K EH0 N
murpelare|M UW RRR P EH0 L AE RRR EH0
mus|M UW S
museer|M UH S EH0 EH RRR
museum|M UH S EH0 UH M
musik|M UW S IY K
muskedunder|M UH S K EH D UH N D EH RRR
muslim|M UH S L IY M
musseron|M UH S EH RRR AO N
must|M UH S T
mycket|M K EH T
mygga|M G AE
myla|M Y UW1 L AE
mynning|M N IH NG
mynt|M N T
myrsnäppa|M Y UW1 RRR S N EH P AE
myrspov|M Y UW1 RRR S P UW V
mys|M Y UW1 S
mysa|M Y UW1 S AE
mysig|M Y UW1 S IH G
mystisk|M S T IH S K
myt|M Y UW1 T
mäkla|M EH K L AE
mäktig|M EH K T IH G
män|M EH N
människa|M EH N IH AE
mänsklig|M EH N S K L IH G
märklig|M AE RRR K L IH G
mästare|M EH S T AE RRR EH
mäster|M EH S T EH RRR
mästerskap|M EH S T EH0 RRR S K AA P
mäta|M EH T AE
må|M OW0
mål|M OW0 L
måla|M OW0 L AE
månad|M OW0 N AE D
måndag|M AO N D AA G
måne|M OW0 N EH
mångata|M OW0 NG G AA T AE
månsing|M AO N S IH NG
mårka|M AO RRR K AE
mårtensgås|M AO RRR T EH N G OW0 S
måttbestämd|M AO T B EH S T EH M D
mö|M OE
mög|M OE G
mögel|M ER G EH L
möjlig|M ER Y L IH G
mölla|M ER L AE
möp|M OE P
mörk|M UH RRR K
mörker|M UH RRR K EH RRR
mörkna|M UH RRR K N AE
mötesplats|M OE T EH S P L AE T S
nacka|N AE K AE
nackskinn|N AE K IH N
nafs|N AE F S
nagel|N AA G EH L
naiv|N AE IY V
namn|N AE M N
nasa|N AA S AE
nasare|N AA S AE RRR EH
nation|N AE T UW N
nationalist|N AE T UH N AE L IH S T
nationell|N AE T UH N EH L
nato|N AA T UH
natrium|N AA T RRR IH UH M
natt|N AE T
natthäger|N AE T HH EH G EH RRR
ned|N EH0 D
neder|N EH0 D EH RRR
nederländerna|N EH0 D EH RRR L EH N D EH N IY0 AE
nedladdning|N EH0 D L AE D N IH NG
nej|N EH Y
nektarin|N EH K T AE RRR IY N
nellie|N EH L IH
nelly|N EH L
neodym|N EH0 UH D Y UW1 M
neon|N EH OW0 N
nepalesisk|N EH P AE L EH0 S IH S K
neptunium|N EH P T UW N IH UH M
neptunus|N EH P T UW N UH S
ner|N EH0 RRR
neutral|N EH0 UH T RRR AA L
neutron|N EH0 UH T RRR OW0 N
ni|N IY
nicke|N IH K EH
niger|N IY G EH RRR
nigeria|N IH G EH0 RRR IH AE
nigger|N IH G EH0 RRR
nilgås|N IY L G OW0 S
nim|N IH M
nimma|N IH M AE
nio|N IY UH
nionde|N IY AO N D EH
nittio|N IH T IH UH
nitton|N IH T AO N
nja|N Y AA
njalla|N Y AE L AE
njure|N Y UW RRR EH
njut|N Y UW T
njuta|N Y UW T AE
njöt|N Y OE T
nobba|N AO B AE
nobben|N AO B EH N
nobel|N UH B EH L
noll|N AO L
nominativ|N UH M IH N AE T IY V
nord|N UW D
nordbo|N UW RRR D B UW
nordkorea|N UW D K UH RRR EH0 AE
nordsångare|N UW RRR D S AO NG AE RRR EH
norge|N AO RRR Y EH
norr|N AO RRR
norrköping|N AO RRR SH OE P IH NG
norrmalmstorgssyndrom|N AO RRR M AE L M S T AO RRR Y S S N D RRR OW0 M
norska|N AO SH K AE
not|N UW T
november|N UH V EH M B EH RRR
nu|N UW
nummer|N UH M EH RRR
nunatak|N UW N AE T AE K
nusvenska|N UW S V EH N S K AE
ny|N Y UW1
nya|N Y UW1 AE
nyckel|N K EH L
nying|N Y UW1 IH NG
nypa|N Y UW1 P AE
nypon|N Y UW1 P AO N
nyps|N P S
nyss|N S
nyttig|N T IH G
nytänkande|N Y UW1 T EH NG K AE N D EH0
nä|N EH
näbbdjur|N EH B Y UW RRR
näckros|N EH K RRR UW S
nämen|N EH M EH N
nännas|N EH N AE S
näsa|N EH S AE
nästkusin|N EH S T K UH S IY N
nätter|N EH T AH0 RRR
nå|N OW0
någon|N AO N
något|N AO T
några|N OW0 G RRR AE
nål|N OW0 L
nålginst|N OW0 L G IH N S T
nåt|N AO T
nått|N AO T
nödrim|N OE D RRR IH M
nödvändig|N OE D V EH N D IH G
nödvändighet|N OE D V EH N D IH G HH EH0 T
nörd|N OE RRR D
nördig|N OE RRR D IH G
nöt|N OE T
nötkråka|N OE T K RRR OW0 K AE
nött|N ER T
o|UH
obelisk|OW0 B EH L IH S K
objekt|AO B Y EH K T
objektiv|AO B Y EH K T IY V
obskyr|AO B S K Y UW1 RRR
och|AO K
ock|AO K
odjur|UW Y UW RRR
offert|UH F AE T
officiell|AO F IY S Y EH L
offside|AO F S AE Y D
ogge|AO G EH
ogilla|UW Y IH L AE
ohemul|UW HH EH0 M UW L
ohygglig|UH HH G L IH G
okapabel|UW K AE P AA B EH L
okej|UH K EH Y
oklar|UW K L AA RRR
oktober|UH K T UH B EH RRR
okynnesäta|UW SH N EH S EH T AE
olaglig|UW L AA G L IH G
olle|UH L EH
ollon|AO L AO N
olof|UW L AO V
olycka|UW L K AE
olycklig|UW L K L IH G
om|AO M
ombudsman|AO M B UW D S M AE N
omfång|AO M F AO NG
omljud|AO M Y UW D
omständig|AO M S T EH N D IH G
omständlig|AO M S T EH N D L IH G
omöjlig|UW M OE Y L IH G
onsdag|UH N S D AA G
orange|UH RRR AE NG EH
ord|UW RRR D
ordbok|UW RRR D B UW K
orden|AO RRR D EH N
ordentlig|UH D EH NG K L IH G
order|AO RRR D EH RRR
ordning|AO RRR D N IH NG
orientering|AO RRR Y EH N T EH0 RRR IH NG
orientseglare|AO R IH Y EH N T S EH0 G L AE R EH
orienttalgoxe|OW0 RRR IY Y EH N T AE L Y OW0 K S UH1
orientvadarsvala|AO RRR Y EH N T V AA D AE RRR S V AA L AE
orka|AO RRR K AE
orkan|UH RRR K AA N
orm|UH RRR M
orma|UH RRR M AE
ormörn|UH RRR M OE RRR N
ort|UH T
osa|UW S AE
oscar|AO S K AE RRR
oskar|AO S K AE RRR
oslo|UH S L UH
oss|AO S
osäker|UW S EH K EH RRR
otagbar|UW T AA G B AA RRR
otålig|UW T OW0 L IH G
ovan|UW V AA N
ove|UW V EH
overall|UH V EH RRR OW0 L
oxid|AO K S IY D
oändlig|UH EH N D L IH G
page|P AA
paj|P AE Y
paket|P AE K EH0 T
palats|P AE L AE T S
palladium|P AE L AA D IH UH M
palmduva|P AE L M D UW V AE
pals|P AE L S
paludarium|P AA L UH D AA RRR IH UH M
panda|P AE N D AE
panpsykism|P AE N P S Y UW1 K IH S M
panteon|P AE N T EH0 UH N
pantoffel|P AE N T AO F EH L
papegojalka|P AE P EH G AO Y AE L K AE
papper|P AE P EH RRR
paraply|P AE RRR AE P L Y UW1
parentes|P AE RRR EH N T EH0 S
paris|P AE RRR IY S
part|P AA T
partiell|P AE RRR SH EH L
passage|P AE S AA SH
passagerare|P AE S AE EH0 RRR AE RRR EH
pastej|P AE S T EH Y
patent|P AE T EH N T
paul|P OW0 L
paulina|P AE UH L IY N AE
paus|P AE UH S
pava|P AA V AE
pax|P AE K S
ped|P EH0 D
peda|P EH0 D
pedagog|P EH0 D AE G OW0 G
pekoral|P EH0 K UH RRR AA L
peng|P EH NG
pension|P AE N UW N
penultima|P EH0 N UH L T IH M AE
pep|P EH0 P
peppar|P EH P AE RRR
period|P EH RRR Y UW D
persilja|P EH RRR S IH L Y AE
person|P EH RRR S UW N
personlig|P EH SH OW0 N L IH G
personligen|P EH RRR S UW N L IH G EH N
peter|P EH T AH0 RRR
picka|P IH K AE
pigg|P IH G
pille|P IH L EH
pin|P IH N
pinje|P IH N Y EH
pipare|P IY P AE R EH
piparsnäppa|P IY P AE RRR S N EH P AE
piper|P IY P EH RRR
pirog|P IH RRR OW0 G
pizza|P IH T S AE
pjäs|P Y EH S
pladdra|P L AE D RRR AE
planta|P L AE N T AE
platina|P L AA T IH N AE
platt|P L AE T
plocka|P L AO K AE
plundring|P L UH N D RRR IH NG
pluskvamperfekt|P L UH S K V AE M P EH RRR F EH K T
plös|P L OE S
podd|P AO D
pojk|P AO Y K
pojkar|P AO Y K AE RRR
pojke|P AO Y K EH
pokal|P UH K AA L
pol|P UW L
polarvarg|P UH L AA RRR V AE RRR Y
politik|P UH L IH T IY K
politiker|P UH L IH T IY K EH RRR
polska|P AO L S K AE
ponke|P AO NG K EH
pool|P UW L
post|P AO S T
postavi|P AO S T AA V IY
potatiskorv|P UH T AA T IH S K AO RRR V
praktejder|P R AE K T EH Y D EH R
praktmes|P R AE K T M EH0 S
prao|P RRR AA UH
praoa|P RRR AE UH AE
prat|P RRR AA T
prata|P RRR AA T AE
precis|P RRR EH S IH S
presens|P RRR EH0 S EH N S
present|P RRR EH0 S EH0 N T
pressmeddelande|P RRR EH S M EH0 D EH0 L AE N D EH
pretentiös|P RRR EH T AE N OE S
pretentiöst|P RRR EH T AE N ER S T
preussen|P RRR AO Y S EH N
prilla|P RRR IH L AE
princip|P RRR IH N S IY P
pris|P RRR IY S
privatjet|P RRR IH V AA T Y EH T
problem|P RRR UH B L EH0 M
procent|P RRR UH S EH N T
process|P RRR UH S EH S
prognos|P RRR AO G N OW0 S
prosa|P RRR UW S AE
prosit|P RRR UW S IH T
proton|P RRR UH T OW0 N
prutgås|P R UW T G OW0 S
prutt|P RRR UH T
prutta|P RRR UH T AE
prärielöpare|P RRR EH RRR IH Y EH L OE P AE RRR EH0
prärietrana|P R EH R IH Y EH T R AA N AE
prärievarg|P RRR EH RRR IH EH V AE RRR Y
pröva|P RRR OE V AE
prövning|P RRR OE V N IH NG
puka|P UW K AE
pulka|P UH L K AE
pumla|P UH M L AE
pungmes|P UH NG M EH0 S
punkt|P UH NG K T
punktlig|P UH NG T L IH G
purpurhäger|P UH RRR P UH RRR HH EH G EH RRR
pusha|P UH AE
puss|P UH S
pussa|P UH S AE
pys|P Y UW1 S
pyttipanna|P T IH P AE N AE
pära|P AE RRR AE
päron|P AE RRR AO N
på|P OW0
påg|P OW0 G
pålägg|P OW0 L EH G
påskalamm|P AO S K AE L AE M
påskas|P AO S K AE S
påskkärring|P AO S K SH EH RRR IH NG
påskmust|P AO S K M UH S T
påtår|P OW0 T OW0 RRR
pöl|P OE L
rabatt|RRR AE B AE T
rabba|RRR AE B AE
rabbemos|RRR AE B EH M UW S
rabbis|RRR AE B IH S
radar|RRR AA D AE RRR
radon|RRR AE D OW0 N
ragge|RRR AE G EH
ragnarök|RRR AE NG N AE RRR OE K
rajd|RRR AE Y D
rallhäger|RRR AE L HH EH G EH RRR
ram|RRR AA M
rand|RRR AE N D
ras|RRR AA S
rationell|RRR AE T UH N EH L
rauk|RRR AE UH K
realisationsvinstbeskattning|RRR EH0 AE L IH S AE UW N S V IH N S T B EH S K AE T N IH NG
recept|RRR EH S EH P T
red|RRR EH0 D
reform|RRR EH0 F AO RRR M
regera|RRR EH Y EH0 RRR AE
regering|RRR EH Y EH0 RRR IH NG
regi|RRR EH IY
regim|RRR EH IY M
regissör|RRR EH IH S OE RRR
register|RRR EH Y IH S T EH RRR
registrera|RRR EH G IH S T RRR EH0 RRR AE
regn|RRR EH NG N
regna|RRR EH0 NG N AE
rejäl|RRR EH Y EH L
reklam|RRR EH K L AA M
reklamera|RRR EH K L AE M EH0 RRR AE
rekommendera|RRR EH K UH M EH N D EH0 RRR AE
relation|RRR EH L AE UW N
relativitet|RRR EH L AE T IH V IH T EH0 T
relativitetsteori|RRR EH L AE T IH V IH T EH0 T S T EH UH RRR IY
religion|RRR EH L IH Y UW N
religiös|RRR EH L IH OE S
renommé|RRR EH N AO M EH0
renommésnyltning|RRR EH N AO M EH0 S N L T N IH NG
rent|RRR EH0 N T
rep|RRR EH0 P
replokal|RRR EH0 P L UH K AA L
reson|RRR EH S UW N
restaurang|RRR EH S T UH RRR AE NG
resultat|RRR EH S UH L T AA T
rev|RRR EH0 V
revolution|RRR EH V UH L UH UW N
reykjavik|RRR EH Y K Y AE V IY K
ribbstol|RRR IH B S T UW L
rik|RRR IY K
rike|RRR IY K EH
riksrätt|RRR IH K S RRR EH T
rikssvenska|RRR IH K S S V EH N S K AE
riktig|RRR IH K T IH G
ringand|R IH NG AE N D
ringduva|R IH NG D UW V AE
ris|RRR IY S
robert|RRR OW0 B EH T
rock|RRR AO K
roffe|RRR AO F EH
rom|RRR UH M
romare|RRR UH M AE RRR EH
ros|RRR UW S
rosa|RRR UW S AE
rosenstare|RRR UW S EH N S T AA RRR EH
rosentärna|RRR UW S EH N T UH1 RRR N AE
rosett|RRR UH S EH T
roskarl|RRR UW S K AA RRR L
rostand|R AO S T AE N D
rostgumpsvala|RRR AO S T G UH M P S V AA L AE
rostmes|RRR AO S T M EH0 S
rot|RRR UW T
rotmos|RRR UW T M UW S
rotting|RRR AO T IH NG
rov|RRR UW V
rova|RRR UW V AE
ruckel|RRR UH K EH L
rulle|RRR UH L EH
rum|RRR UH M
rumänska|RRR UH M EH N S K AE
russin|RRR UH S IH N
rwanda|RRR V AE N D AE
ryska|RRR S K AE
ryssja|RRR AE
ryttare|RRR T AE RRR EH0
räd|RRR EH D
rälig|RRR EH L IH G
ränna|RRR EH N AE
räv|RRR EH V
rävar|RRR EH V AE RRR
rävtik|RRR EH V T IY K
rävtikar|RRR EH V T IY K AE RRR
rävtiken|RRR EH V T IY K EH N
rävunge|RRR EH V UH NG EH
rå|RRR OW0
råd|RRR OW0 D
rådjur|RRR OW0 Y UW RRR
råg|RRR OW0 G
rån|RRR OW0 N
råtta|RRR AO T AE
röd|RRR OE D
rödbena|RRR OE D B EH0 N AE
rödfalk|RRR OE D F AE L K
rödlök|RRR OE D L OE K
rödspov|RRR OE D S P UW V
rödvarg|RRR OE D V AE RRR Y
rök|RRR OE K
rökfritt|RRR OE K F RRR IH T
rökning|RRR OE K N IH NG
rölleka|RRR ER L EH K AE
rörhöna|R OE R HH OE N AE
rörlig|RRR ER L IH G
rörsångare|RRR OE RRR S AO NG AE RRR EH
rösa|RRR OE S AE
röst|RRR ER S T
rövslickare|RRR OE V S L IH K AE RRR EH
sa|S AA
sabla|S AA B L AE
sabotage|S AE B UH T AA
sade|S AA D EH
saft|S AE F T
sagt|S AE K T
sak|S AA K
sakna|S AA K N AE
saldo|S AE L D UH
salt|S AE L T
sam|S AE M
sambo|S AE M B UW
samling|S AE M L IH NG
sammanhänga|S AE M AE N HH EH NG AE
samt|S AE M T
samtal|S AE M T AA L
sandig|S AE N D IH G
sandlöpare|S AE N D L OE P AE RRR EH0
sandsnäppa|S AE N D S N EH P AE
sandtärna|S AE N D T UH1 RRR N AE
sandvita|S AE N D V IY T AE
sareptasenap|S AE RRR EH P T AE S EH0 N AE P
satan|S AA T AE N
saturnus|S AE T UH RRR N UH S
schack|AE K
schampo|AE M P UH
schasa|AA S AE
schejk|EH Y K
schema|EH0 M AE
schlager|L AA G EH0 RRR
schweiz|SH V EH Y T S
se|S EH0
sedan|S EH N
sedel|S EH0 D EH L
seeda|S IY D AE
seg|S EH0 G
seger|S EH0 G EH RRR
segling|S EH0 G L IH NG
sejour|S EH UW RRR
selen|S EH L EH0 N
semester|S EH M EH S T EH RRR
semestrar|S EH M EH S T RRR AE RRR
semla|S EH M L AE
sen|S EH N
senapsgul|S EH0 N AE P S G UW L
senapssill|S EH0 N AE P S S IH L
sent|S EH0 N T
separation|S EH0 P AE RRR AE UW N
september|S EH P T EH M B EH RRR
serve|S UH RRR V
set|S EH T
seta|S EH T AE
sett|S EH T
sevilla|S EH V IY AE
sex|S EH K S
sextio|S EH K S T IH UH
sexton|S EH K S T AO N
sexualitet|S EH K S UH AE L IH T EH0 T
sexualkunskap|S EH K S UH AA L K UH N S K AA P
shetlandsöarna|EH T L AE N D S OE AE N AE
shobresvenska|SH UW B RRR EH S V EH N S K AE
shopping|AO P IH NG
shorts|SH OW0 T SH
show|AO
sida|S IY D AE
sig|S EH Y
sikt|S IH K T
silkeshäger|S IH L K EH S HH EH G EH RRR
sill|S IH L
sillgrissla|S IH L G RRR IH S L AE
silltrut|S IH L T RRR UW T
silver|S IH L V EH RRR
silvertärna|S IH L V EH RRR T UH1 RRR N AE
simma|S IH M AE
sin|S IY N
sinfonietta|S IH N F AO N IH EH T AE
sinnes|S IH N EH S
sitar|S IH T AA RRR
sitt|S IH T
sitta|S IH T AE
situation|S IH T UH AE UW N
sjal|AA L
sjok|UW K
sju|UW
sjucker|UH K EH RRR
sjuda|UW D AE
sjuk|UW K
sjuka|UW K AE
sjukdom|UW K D UH M
sjukhus|UW K HH UW S
sjukna|UW K N AE
sjuksköterska|UW K OE T EH RRR S K AE
sjukt|UW K T
sjunde|UH N D EH
sjunga|UH NG AE
sjunka|UH NG K AE
sjuttio|UH T IH UH
sjutton|UH T AO N
själ|EH L
själv|EH L V
självklar|EH L V K L AA RRR
självklarhet|EH L V K L AA RRR HH EH0 T
sjätte|EH T EH
sjö|OE
sjökalv|OE K AE L V
sjökvist|OE K V IH S T
sjöman|OE M AE N
sjön|ER N
sjöorre|OE AO R EH
sjöquist|OE K V IH S T
sjöqvist|OE K V IH S T
ska|S K AA
skabb|S K AE B
skaffel|AE F EH L
skakis|S K AA K IH S
skakning|S K AA K N IH NG
skall|S K AE L
skam|S K AE M
skandium|S K AE N D IH UH M
skapa|S K AA P AE
skapelse|S K AA P EH L S EH
skatgök|S K AA T Y OE K
ske|EH0
sked|EH0 D
skedand|EH0 D AE N D
skedstork|EH0 D S T AO RRR K
sken|EH0 N
skepp|EH P
skepparkrans|EH P AE RRR K RRR AE N S
skeptisk|EH P T IH S K
sket|EH0 T
skev|EH0 V
skicka|IH K AE
skiffer|IH F EH RRR
skiffermes|IH F EH R M EH0 S
skiffertrut|IH F EH RRR T RRR UW T
skildring|IH L D RRR IH NG
skilja|IH L Y AE
skilling|IH L IH NG
skillnad|IH L N AE D
skina|IY N AE
skinn|IH N
skit|IY T
skiva|IY V AE
skjorta|UH RRR T AE
skjul|UW L
skjuta|UW T AE
skjutglad|UW T G L AA D
skjutsa|UH S AE
sko|S K UW
skock|S K AO K
skogsduva|S K UH G D UW V AE
skogssnäppa|S K UH G S S N EH P AE
skogsstjärna|S K UH K S EH RRR N AE
skola|S K UW L AE
skolbespisning|S K UW L B EH S P IY S N IH NG
skolka|S K AO L K AE
skolmat|S K UW L M AA T
skolmatsal|S K UW L M AA T S AA L
skorsten|S K AO SH T EH0 N
skorstensseglare|S K AO SH T EH0 N S EH0 G L AE R EH
skoskav|S K UW S K AA V
skotskt|S K AO T S K T
skottland|S K AO T L AE N D
skraj|S K RRR AE Y
skribent|S K RRR IH B EH N T
skridsko|S K RRR IH S K UH
skrik|S K RRR IY K
skrikstrandpipare|S K RRR IY K S T RRR AE N D P IY P AE RRR EH
skrikörn|S K RRR IY K OE RRR N
skrin|S K RRR IY N
skriva|S K RRR IY V AE
skrivmaskin|S K RRR IY V M AE IY N
skrivning|S K RRR IY V N IH NG
skrota|S K RRR UW T AE
skruv|S K RRR UW V
skrämma|S K RRR EH M AE
skräntärna|S K RRR EH N T UH1 RRR N AE
skula|S K UW L AE
skull|S K UH L
skulle|S K UH L AH0
skumvin|S K UW M V IY N
skur|S K UW RRR
skvader|S K V AA D EH RRR
sky|Y UW1
skydd|D
skyddshjälm|D S Y EH L M
skyddsväg|SH Y UW1 D S V EH0 G
skyfall|F AE L
skygg|G
skyhög|HH OE G
skylt|L T
skymma|M AE
skymning|M N IH NG
skytt|T
skytte|T EH
skytten|T EH N
skägg|EH G
skäggdopping|EH G D AO P IH NG
skäggmes|EH G M EH0 S
skäggtärna|EH G T UH1 RRR N AE
skäl|EH L
skälig|EH L IH G
skämskudde|EH M S K UH D EH
skämt|EH M T
skänka|EH NG K AE
skär|AE RRR
skära|AE RRR AE
skärfläcka|EH R F L EH K AE
skärp|SH AE RRR P
skärpa|AE RRR P AE
skärsnäppa|EH RRR S N EH P AE
skåda|S K OW0 D AE
sköld|ER L D
sköldpadda|ER L D P AE D AE
skölja|ER L Y AE
skön|OE N
skönhetssalong|OE N HH EH0 T S S AE L AO NG
skörbjugg|ER RRR B Y UH G
sköt|OE T
sköts|OE T S
slagsmål|S L AE K S M OW0 L
slaguggla|S L AA G UH G L AE
slangens|S L AE NG EH0 N S
sleva|S L EH0 V AE
slitvarg|S L IY T V AE RRR Y
slog|S L UW G
slogs|S L UH K S
slussa|S L UH S AE
slut|S L UW T
sluten|S L UW T EH N
slutrea|S L UW T RRR EH0 AE
slutspurt|S L UW T S P UH RRR T
släkt|S L EH K T
slät|S L EH T
slå|S L OW0
slån|S L OW0 N
slö|S L OE
slöjd|S L ER Y D
slösa|S L OE S AE
slöseri|S L OE S EH RRR IY
smarrig|S M AE RRR IH G
smaska|S M AE S K AE
smaskig|S M AE S K IH G
smed|S M EH0 D
smet|S M EH0 T
smittkurva|S M IH T K UH RRR V AE
smoking|S M OW0 K IH NG
smulgubbe|S M UW L G UH B EH
smultron|S M UH L T RRR AO N
smultronställe|S M UH L T RRR AO N S T EH L EH
smurf|S M UH RRR F
smutsgam|S M UH T S G AA M
smyg|S M Y UW1 G
små|S M OW0
småborgare|S M OW0 B AO RRR Y AE RRR EH0
småborgerlig|S M OW0 B AO RRR Y EH RRR L IH G
småborgerlighet|S M OW0 B AO RRR Y EH RRR L IH G HH EH0 T
smådopping|S M OW0 D AO P IH NG
småkusin|S M OW0 K UH S IY N
smålom|S M OW0 L UH M
småskrake|S M OW0 K R AA K EH
småskuren|S M OW0 S K UW RRR EH N
småsnäppa|S M OW0 S N EH P AE
småtrapp|S M AO T R AE P
småtärna|S M OW0 T UH1 RRR N AE
smör|S M OE RRR
smörgås|S M ER RRR G AO S
smörgåsbord|S M ER RRR G AO S B UW RRR D
smörgåstårta|S M ER RRR G AO S T OW0 RRR T AE
snabb|S N AE B
snabbt|S N AE P T
snacka|S N AE K AE
snapsvisa|S N AE P S V IY S AE
snart|S N AA T
snatterand|S N AE T EH R AE N D
sne|S N EH0
snickare|S N IH K AE RRR EH
snickeri|S N IH K EH RRR IY
snickra|S N IH K RRR AE
snida|S N IY D AE
sno|S N UW
snor|S N UW RRR
snowboots|S N AO UW B AO T S
snudd|S N UH D
snus|S N UW S
snusa|S N UW S AE
snusare|S N UW S AE RRR EH
snusig|S N UW S IH G
snuskhummer|S N UH S K HH UH M EH RRR
snusmumrik|S N UW S M UH M RRR IH K
snut|S N UW T
snutt|S N UH T
snygging|S N G IH NG
snylta|S N L T AE
snyltning|S N L T N IH NG
snäll|S N EH L
snälla|S N EH L AE
snäppa|S N EH P AE
snål|S N OW0 L
snåljåp|S N OW0 L Y OW0 P
snålvarg|S N OW0 L V AE RRR Y
snö|S N OE
snöa|S N OE AE
snöga|S N OE G AE
snön|S N ER N
so|S UW
social|S OW0 AA L
sockenmål|S UH K EH N M OW0 L
soda|S UW D AE
sofia|S UH F IY AE
sol|S UW L
solk|S AO L K
solna|S OW0 L N AE
solsken|S UW L EH0 N
solvarg|S UW L V AE RRR Y
som|S AO M
somaliames|S AO M AA L Y AE M EH0 S
sommar|S AO M AE RRR
sommartid|S AO M AE RRR T IY D
somras|S AO M RRR AE S
son|S OW0 N
soppa|S AO P AE
sorg|S AO RRR Y
sorl|S OW0 RRR L
sortering|S UH RRR T EH0 RRR IH NG
sosse|S UH S EH
sossig|S UH S IH G
sot|S UW T
sothöna|S UW T HH OE N AE
sotis|S UW T IH S
sottärna|S UW T T UH1 RRR N AE
sov|S OW0 V
sova|S OW0 V AE
sovel|S OW0 V EH L
sovjet|S UH V Y EH T
sovstad|S OW0 V S T AA D
spanska|S P AE N S K AE
spara|S P AA RRR AE
sparvuggla|S P AE RRR V UH G L AE
spasm|S P AE S M
spegel|S P EH0 G EH L
spel|S P EH0 L
spela|S P EH0 L AE
spelar|S P EH0 L AE RRR
spenat|S P EH N AA T
speta|S P EH0 T AE
spetsbergsgrissla|S P EH T S B EH RRR Y S G RRR IH S L AE
spetsbergsgås|S P EH T S B EH R Y S G OW0 S
spettekaka|S P EH T EH K AA K AE
spetälska|S P EH0 T AE L S K AE
spik|S P IY K
spis|S P IY S
spisa|S P IY S AE
spjut|S P Y UW T
sport|S P UH T
spov|S P UW V
spovsnäppa|S P UH V S N EH P AE
sprida|S P RRR IY D AE
sprit|S P RRR IY T
spruta|S P RRR UW T AE
språk|S P RRR OW0 K
spurt|S P UH RRR T
spy|S P Y UW1
spänna|S P EH N AE
spå|S P OW0
spåga|S P OW0 G AE
spår|S P OW0 RRR
spö|S P OE
spöke|S P OE K EH
spöregn|S P OE RRR EH NG N
stab|S T AA B
stad|S T AA D
stadig|S T AA D IH G
stadsbo|S T AE T S B UW
stal|S T AA L
stamområde|S T AE M AO M RRR OW0 D EH
stat|S T AA T
station|S T AE UW N
stationär|S T AE T UH N AE RRR
statlig|S T AA T L IH G
stav|S T AA V
stava|S T AA V AE
stege|S T EH0 G EH
stel|S T EH0 L
sten|S T EH0 N
stenfalk|S T EH0 N F AE L K
stensvala|S T EH0 N S V AA L AE
stickelbär|S T IH K EH L B EH RRR
stig|S T IY G
stillhet|S T IH L HH EH0 T
stjäl|EH L
stjäla|EH L AE
stjälk|EH L K
stjälpa|EH L P AE
stjärt|EH RRR T
stjärtand|EH T AE N D
stockholm|S T AO K HH AO L M
stockholmssyndrom|S T AO K HH AO L M S S N D RRR OW0 M
stod|S T UW G
stoft|S T AO F T
stol|S T UW L
stomme|S T UW M EH0
stor|S T UW RRR
storlabb|S T UW RRR L AE B
storlom|S T UW RRR L UH M
storm|S T AO RRR M
stormaktstid|S T UW RRR M AE K T S T IY D
stormfågel|S T AO RRR M F OW0 G EH L
storskrake|S T UW R S K R AA K EH
storspov|S T UW RRR S P UW V
stortrapp|S T UW R T R AE P
stova|S T OW0 V AE
strandskata|S T R AE N D S K AA T AE
strass|S T RRR AE S
strejk|S T RRR EH Y K
strontium|S T RRR AO N T S IH UH M
stryka|S T RRR Y UW1 K AE
stråla|S T R OW0 L AE
stråle|S T RRR OW0 L AH0
ströbröd|S T RRR ER B RRR ER D
ström|S T RRR ER M
strömand|S T R ER M AE N D
strömming|S T RRR ER M IH NG
stubb|S T UH B
stubbstjärtseglare|S T UH B EH T S EH0 G L AE R EH
student|S T UH D EH N T
studio|S T UW D IH UH
studsa|S T UH T S AE
stuga|S T UW G AE
stulit|S T UW L IH T
stut|S T UW T
stuva|S T UW V AE
styltlöpare|S T L T L OE P AE R EH
styltsnäppa|S T L T S N EH P AE
städerska|S T EH D EH SH K AE
ställningstagande|S T EH L N IH NG S T AA G AE N D EH
stämma|S T EH M AE
stäpp|S T EH P
stäppflyghöna|S T EH P F L Y UW1 G HH OE N AE
stäpphök|S T EH P HH OE K
stäppsångare|S T EH P S AO NG AE RRR EH
stäppvarg|S T EH P V AE RRR Y
stäppvipa|S T EH P V IY P AE
stäppörn|S T EH P OE RRR N
stå|S T OW0
stål|S T OW0 L
stöd|S T OE D
störa|S T ER RRR AE
störtregn|S T T RRR EH NG N
störtskur|S T T S K UW RRR
subjekt|S UH B Y EH K T
subjektiv|S UH B Y EH K T IY V
substantiv|S UH B S T AE N T IY V
succé|S UW K S EH0
suck|S UH K
sumpvipa|S UH M P V IY P AE
sund|S UH N D
sundsvall|S UH N D S V AE L
supa|S UW P AE
super|S UW P EH RRR
supinum|S UH P IY N UH M
sur|S UW RRR
sura|S UW RRR AE
surpuppa|S UW RRR P UH P AE
surströmming|S UW RRR S T RRR ER M IH NG
svag|S V AA G
svala|S V AA L AE
svan|S V AA N
svans|S V AA N S
svansrem|S V AE N S RRR EH M
svar|S V AA RRR
svara|S V AA RRR AE
svart|S V AE RRR T
svartand|S V AE T AE N D
svarthakedopping|S V AE T HH AA K EH D AO P IH NG
svartis|S V AE RRR T IH S
svartkråka|S V AE RRR T K RRR OW0 K AE
