afia|AE F IY0 AE
minukio|M IY0 N UW0 K IY0 OW0
minuko|M IY0 N UW0 K OW0
minuno|M IY0 N UW0 N OW0
minunurisho|M IY0 N UW0 N UW0 R IY0 SH OW0
minya|M IY0 N IY0 AE
minyaa|M IY0 N IY0 AE AE
minyanya|M IY0 N IY0 AE N IY0 AE
minyenyekeo|M IY0 N IY0 EH0 N IY0 EH0 K EH0 OW0
minyeo|M IY0 N IY0 EH0 OW0
minyevu|M IY0 N IY0 EH0 V UW0
minyimo|M IY0 N IY0 IY0 M OW0
minyiri|M IY0 N IY0 IY0 R IY0
minyo|M IY0 N IY0 OW0
minyoo|M IY0 N IY0 OW0 OW0
minyororo|M IY0 N IY0 OW0 R OW0 R OW0
minyunyo|M IY0 N IY0 UW0 N IY0 OW0
minywo|M IY0 N IY0 W OW0
mio|M IY0 OW0
mioshi|M IY0 OW0 SH IY0
mioto|M IY0 OW0 T OW0
mioyo|M IY0 OW0 Y OW0
mioyoni|M IY0 OW0 Y OW0 N IY0
mipaka|M IY0 P AE K AE
mipakani|M IY0 P AE K AE N IY0
mipakato|M IY0 P AE K AE T OW0
mipako|M IY0 P AE K OW0
mipalilio|M IY0 P AE L IY0 L IY0 OW0
mipalio|M IY0 P AE L IY0 OW0
mipana|M IY0 P AE N AE
mipapai|M IY0 P AE P AE IY0
mipapatiko|M IY0 P AE P AE T IY0 K OW0
mipapayu|M IY0 P AE P AE Y UW0
mipapura|M IY0 P AE P UW0 R AE
mipapuro|M IY0 P AE P UW0 R OW0
mipare|M IY0 P AE R EH0
miparuro|M IY0 P AE R UW0 R OW0
miparuzo|M IY0 P AE R UW0 Z OW0
mipasuko|M IY0 P AE S UW0 K OW0
mipato|M IY0 P AE T OW0
mipea|M IY0 P EH0 AE
mipekecho|M IY0 P EH0 K EH0 T SH OW0
mipeketo|M IY0 P EH0 K EH0 T OW0
mipenyezo|M IY0 P EH0 N IY0 EH0 Z OW0
mipepea|M IY0 P EH0 P EH0 AE
mipera|M IY0 P EH0 R AE
mipiko|M IY0 P IY0 K OW0
mipimo|M IY0 P IY0 M OW0
mipini|M IY0 P IY0 N IY0
mipira|M IY0 P IY0 R AE
mipoporo|M IY0 P OW0 P OW0 R OW0
mipururo|M IY0 P UW0 R UW0 R OW0
mipweke|M IY0 P W EH0 K EH0
mirama|M IY0 R AE M AE
mirao|M IY0 R AE OW0
mirasharahsa|M IY0 R AE SH AE R AE HH S AE
mirasharasha|M IY0 R AE SH AE R AE SH AE
mirashi|M IY0 R AE SH IY0
mirathi|M IY0 R AE TH IY0
mirefu|M IY0 R EH0 F UW0
mirera|M IY0 R EH0 R AE
mirihani|M IY0 R IY0 HH AE N IY0
mirima|M IY0 R IY0 M AE
mirimo|M IY0 R IY0 M OW0
miropoko|M IY0 R OW0 P OW0 K OW0
mirua|M IY0 R UW0 AE
miruko|M IY0 R UW0 K OW0
mirule|M IY0 R UW0 L EH0
misa|M IY0 S AE
misafa|M IY0 S AE F AE
misafara|M IY0 S AE F AE R AE
misaha|M IY0 S AE HH AE
misahafu|M IY0 S AE HH AE F UW0
misahala|M IY0 S AE HH AE L AE
misala|M IY0 S AE L AE
misalani|M IY0 S AE L AE N IY0
misale|M IY0 S AE L EH0
misamaha|M IY0 S AE M AE HH AE
misamiati|M IY0 S AE M IY0 AE T IY0
misamilo|M IY0 S AE M IY0 L OW0
misasa|M IY0 S AE S AE
misazo|M IY0 S AE Z OW0
misemo|M IY0 S EH0 M OW0
miseto|M IY0 S EH0 T OW0
misewe|M IY0 S EH0 W EH0
mishahara|M IY0 SH AE HH AE R AE
mishakiki|M IY0 SH AE K IY0 K IY0
mishale|M IY0 SH AE L EH0
mishamo|M IY0 SH AE M OW0
mishawasha|M IY0 SH AE W AE SH AE
mishazari|M IY0 SH AE Z AE R IY0
mishemishe|M IY0 SH EH0 M IY0 SH EH0
misheni|M IY0 SH EH0 N IY0
mishikaki|M IY0 SH IY0 K AE K IY0
mishikamamno|M IY0 SH IY0 K AE M AE M N OW0
mishikano|M IY0 SH IY0 K AE N OW0
mishikizo|M IY0 SH IY0 K IY0 Z OW0
mishipa|M IY0 SH IY0 P AE
mishipani|M IY0 SH IY0 P AE N IY0
mishipi|M IY0 SH IY0 P IY0
mishono|M IY0 SH OW0 N OW0
mishororo|M IY0 SH OW0 R OW0 R OW0
mishtuko|M IY0 SH T UW0 K OW0
mishtuo|M IY0 SH T UW0 OW0
mishuko|M IY0 SH UW0 K OW0
mishumaa|M IY0 SH UW0 M AE AE
mishwasha|M IY0 SH W AE SH AE
misikiti|M IY0 S IY0 K IY0 T IY0
misimamo|M IY0 S IY0 M AE M OW0
misimu|M IY0 S IY0 M UW0
misio|M IY0 S IY0 OW0
misisimko|M IY0 S IY0 S IY0 M K OW0
misisitizo|M IY0 S IY0 S IY0 T IY0 Z OW0
misitamu|M IY0 S IY0 T AE M UW0
misitu|M IY0 S IY0 T UW0
misituni|M IY0 S IY0 T UW0 N IY0
miski|M IY0 S K IY0
miskri|M IY0 S K R IY0
misoa|M IY0 S OW0 AE
mistafeli|M IY0 S T AE F EH0 L IY0
mistari|M IY0 S T AE R IY0
mistatili|M IY0 S T AE T IY0 L IY0
misuani|M IY0 S UW0 AE N IY0
misufi|M IY0 S UW0 F IY0
misuka|M IY0 S UW0 K AE
misukano|M IY0 S UW0 K AE N OW0
misuko|M IY0 S UW0 K OW0
misukosuko|M IY0 S UW0 K OW0 S UW0 K OW0
misukumo|M IY0 S UW0 K UW0 M OW0
misukwano|M IY0 S UW0 K W AE N OW0
misuli|M IY0 S UW0 L IY0
misumari|M IY0 S UW0 M AE R IY0
misumeno|M IY0 S UW0 M EH0 N OW0
misuraki|M IY0 S UW0 R AE K IY0
misururu|M IY0 S UW0 R UW0 R UW0
misuto|M IY0 S UW0 T OW0
misuwaki|M IY0 S UW0 W AE K IY0
misuzo|M IY0 S UW0 Z OW0
miswaki|M IY0 S W AE K IY0
miswala|M IY0 S W AE L AE
mita|M IY0 T AE
mitaa|M IY0 T AE AE
mitaala|M IY0 T AE AE L AE
mitafaruku|M IY0 T AE F AE R UW0 K UW0
mitafura|M IY0 T AE F UW0 R AE
mitai|M IY0 T AE IY0
mitali|M IY0 T AE L IY0
mitama|M IY0 T AE M AE
mitanizi|M IY0 T AE N IY0 Z IY0
mitano|M IY0 T AE N OW0
mitanuko|M IY0 T AE N UW0 K OW0
mitapo|M IY0 T AE P OW0
mitatizo|M IY0 T AE T IY0 Z OW0
mitatu|M IY0 T AE T UW0
mitazamo|M IY0 T AE Z AE M OW0
mitelemko|M IY0 T EH0 L EH0 M K OW0
miteni|M IY0 T EH0 N IY0
mitepe|M IY0 T EH0 P EH0
miteremko|M IY0 T EH0 R EH0 M K OW0
miteremo|M IY0 T EH0 R EH0 M OW0
mitetemeko|M IY0 T EH0 T EH0 M EH0 K OW0
mitetemezi|M IY0 T EH0 T EH0 M EH0 Z IY0
mitetemo|M IY0 T EH0 T EH0 M OW0
mithaki|M IY0 TH AE K IY0
mithali|M IY0 TH AE L IY0
mithili|M IY0 TH IY0 L IY0
mithilisha|M IY0 TH IY0 L IY0 SH AE
miti|M IY0 T IY0
mitihani|M IY0 T IY0 HH AE N IY0
mitikiti|M IY0 T IY0 K IY0 T IY0
mitiko|M IY0 T IY0 K OW0
mitilili|M IY0 T IY0 L IY0 L IY0
mitima|M IY0 T IY0 M AE
mitini|M IY0 T IY0 N IY0
mitiririko|M IY0 T IY0 R IY0 R IY0 K OW0
mitirizi|M IY0 T IY0 R IY0 Z IY0
mito|M IY0 T OW0
mitoki|M IY0 T OW0 K IY0
mitomo|M IY0 T OW0 M OW0
mitomoko|M IY0 T OW0 M OW0 K OW0
mitopetope|M IY0 T OW0 P EH0 T OW0 P EH0
mitoriro|M IY0 T OW0 R IY0 R OW0
mitu|M IY0 T UW0
mitume|M IY0 T UW0 M EH0
mitupa|M IY0 T UW0 P AE
mitupo|M IY0 T UW0 P OW0
mitupu|M IY0 T UW0 P UW0
mitutu|M IY0 T UW0 T UW0
mitutumo|M IY0 T UW0 T UW0 M OW0
mitwana|M IY0 T W AE N AE
miunyu|M IY0 UW0 N IY0 UW0
miuo|M IY0 UW0 OW0
miuya|M IY0 UW0 Y AE
mivi|M IY0 V IY0
mivinyo|M IY0 V IY0 N IY0 OW0
mivuke|M IY0 V UW0 K EH0
mivuko|M IY0 V UW0 K OW0
mivukuto|M IY0 V UW0 K UW0 T OW0
mivule|M IY0 V UW0 L EH0
mivumo|M IY0 V UW0 M OW0
mivuo|M IY0 V UW0 OW0
mivuto|M IY0 V UW0 T OW0
miwa|M IY0 W AE
miwale|M IY0 W AE L EH0
miwani|M IY0 W AE N IY0
miwili|M IY0 W IY0 L IY0
miyaa|M IY0 Y AE AE
miye|M IY0 Y EH0
miyeyuko|M IY0 Y EH0 Y UW0 K OW0
miyeyusho|M IY0 Y EH0 Y UW0 SH OW0
mizaha|M IY0 Z AE HH AE
mizani|M IY0 Z AE N IY0
mizania|M IY0 Z AE N IY0 AE
mizeituni|M IY0 Z EH0 IY0 T UW0 N IY0
miziki|M IY0 Z IY0 K IY0
mizima|M IY0 Z IY0 M AE
mizio|M IY0 Z IY0 OW0
mizito|M IY0 Z IY0 T OW0
mizizi|M IY0 Z IY0 Z IY0
mizizimo|M IY0 Z IY0 Z IY0 M OW0
mizo|M IY0 Z OW0
mizozo|M IY0 Z OW0 Z OW0
mizuka|M IY0 Z UW0 K AE
mizumai|M IY0 Z UW0 M AE IY0
mizuri|M IY0 Z UW0 R IY0
mkaa|M K AE AE
mkaazi|M K AE AE Z IY0
mkae|M K AE EH0
mkafanya|M K AE F AE N IY0 AE
mkafanye|M K AE F AE N IY0 EH0
mkafanywa|M K AE F AE N IY0 W AE
mkafuata|M K AE F UW0 AE T AE
mkahale|M K AE HH AE L EH0
mkahawa|M K AE HH AE W AE
mkahukumiwa|M K AE HH UW0 K UW0 M IY0 W AE
mkaipata|M K AE IY0 P AE T AE
mkaipokea|M K AE IY0 P OW0 K EH0 AE
mkaitafune|M K AE IY0 T AE F UW0 N EH0
mkaitwa|M K AE IY0 T W AE
mkaiweke|M K AE IY0 W EH0 K EH0
mkaka|M K AE K AE
mkakamavu|M K AE K AE M AE V UW0
mkakao|M K AE K AE OW0
mkakasi|M K AE K AE S IY0
mkakataa|M K AE K AE T AE AE
mkakau|M K AE K AE UW0
mkakaya|M K AE K AE Y AE
mkale|M K AE L EH0
mkali|M K AE L IY0
mkalimani|M K AE L IY0 M AE N IY0
mkalimu|M K AE L IY0 M UW0
mkalio|M K AE L IY0 OW0
mkama|M K AE M AE
mkamasi|M K AE M AE S IY0
mkamateni|M K AE M AE T EH0 N IY0
mkamato|M K AE M AE T OW0
mkame|M K AE M EH0
mkamhukumu|M K AE M HH UW0 K UW0 M UW0
mkamia|M K AE M IY0 AE
mkamilifu|M K AE M IY0 L IY0 F UW0
mkamlete|M K AE M L EH0 T EH0
mkampe|M K AE M P EH0
mkampelekee|M K AE M P EH0 L EH0 K EH0 EH0
mkamshi|M K AE M SH IY0
mkamtupe|M K AE M T UW0 P EH0
mkamwache|M K AE M W AE T SH EH0
mkamwamini|M K AE M W AE M IY0 N IY0
mkamwone|M K AE M W OW0 N EH0
mkamwua|M K AE M W UW0 AE
mkanaani|M K AE N AE AE N IY0
mkang|oa M K AE NG OW0 AE
mkanione|M K AE N IY0 OW0 N EH0
mkanipa|M K AE N IY0 P AE
mkanisikili|M K AE N IY0 S IY0 K IY0 L IY0
mkanivika|M K AE N IY0 V IY0 K AE
mkano|M K AE N OW0
mkanya|M K AE N IY0 AE
mkao|M K AE OW0
mkaone|M K AE OW0 N EH0
mkaote|M K AE OW0 T EH0
mkapatwa|M K AE P AE T W AE
mkapeleleza|M K AE P EH0 L EH0 L EH0 Z AE
mkapeleleze|M K AE P EH0 L EH0 L EH0 Z EH0
mkaponywe|M K AE P OW0 N IY0 W EH0
mkapoteza|M K AE P OW0 T EH0 Z AE
mkapotoshwa|M K AE P OW0 T OW0 SH W AE
mkapumzike|M K AE P UW0 M Z IY0 K EH0
mkarafuu|M K AE R AE F UW0 UW0
mkarakala|M K AE R AE K AE L AE
mkarara|M K AE R AE R AE
mkarati|M K AE R AE T IY0
mkareti|M K AE R EH0 T IY0
mkarimu|M K AE R IY0 M UW0
mkaruka|M K AE R UW0 K AE
mkasa|M K AE S AE
mkasama|M K AE S AE M AE
mkasema|M K AE S EH0 M AE
mkasi|M K AE S IY0
mkasikilize|M K AE S IY0 K IY0 L IY0 Z EH0
mkasimame|M K AE S IY0 M AE M EH0
mkasiri|M K AE S IY0 R IY0
mkata|M K AE T AE
mkataa|M K AE T AE AE
mkataka|M K AE T AE K AE
mkatale|M K AE T AE L EH0
mkatani|M K AE T AE N IY0
mkatavu|M K AE T AE V UW0
mkate|M K AE T EH0
mkatili|M K AE T IY0 L IY0
mkato|M K AE T OW0
mkatufiche|M K AE T UW0 F IY0 T SH EH0
mkatumikia|M K AE T UW0 M IY0 K IY0 AE
mkatupe|M K AE T UW0 P EH0
mkauacha|M K AE UW0 AE T SH AE
mkaumwa|M K AE UW0 M W AE
mkaupokea|M K AE UW0 P OW0 K EH0 AE
mkavaa|M K AE V AE AE
mkavu|M K AE V UW0
mkavune|M K AE V UW0 N EH0
mkawa|M K AE W AE
mkawafanye|M K AE W AE F AE N IY0 EH0
mkawalete|M K AE W AE L EH0 T EH0
mkawaletea|M K AE W AE L EH0 T EH0 AE
mkawape|M K AE W AE P EH0
mkawaue|M K AE W AE UW0 EH0
mkayakaya|M K AE Y AE K AE Y AE
mkaza|M K AE Z AE
mkazae|M K AE Z AE EH0
mkazi|M K AE Z IY0
mkazo|M K AE Z OW0
mke|M K EH0
mkeka|M K EH0 K AE
mkeketo|M K EH0 K EH0 T OW0
mkekewa|M K EH0 K EH0 W AE
mkemea|M K EH0 M EH0 AE
mkeneko|M K EH0 N EH0 K OW0
mkenya|M K EH0 N IY0 AE
mkeo|M K EH0 OW0
mkesha|M K EH0 SH AE
mkeshe|M K EH0 SH EH0
mketo|M K EH0 T OW0
mkewe|M K EH0 W EH0
mkia|M K IY0 AE
mkiani|M K IY0 AE N IY0
mkichaa|M K IY0 T SH AE AE
mkiepa|M K IY0 EH0 P AE
mkifanya|M K IY0 F AE N IY0 AE
mkifika|M K IY0 F IY0 K AE
mkifikiri|M K IY0 F IY0 K IY0 R IY0
mkiishi|M K IY0 IY0 SH IY0
mkikaa|M K IY0 K AE AE
mkikasirika|M K IY0 K AE S IY0 R IY0 K AE
mkiki|M K IY0 K IY0
mkikimkiki|M K IY0 K IY0 M K IY0 K IY0
mkila|M K IY0 L AE
mkilisha|M K IY0 L IY0 SH AE
mkilua|M K IY0 L UW0 AE
mkiluwa|M K IY0 L UW0 W AE
mkimsamehe|M K IY0 M S AE M EH0 HH EH0
mkimu|M K IY0 M UW0
mkimwa|M K IY0 M W AE
mkimwona|M K IY0 M W OW0 N AE
mkimya|M K IY0 M Y AE
mkinaifu|M K IY0 N AE IY0 F UW0
mkipotea|M K IY0 P OW0 T EH0 AE
mkirika|M K IY0 R IY0 K AE
mkisali|M K IY0 S AE L IY0
mkisema|M K IY0 S EH0 M AE
mkisha|M K IY0 SH AE
mkishika|M K IY0 SH IY0 K AE
mkishiriki|M K IY0 SH IY0 R IY0 K IY0
mkisikia|M K IY0 S IY0 K IY0 AE
mkitaka|M K IY0 T AE K AE
mkitazama|M K IY0 T AE Z AE M AE
mkitumwa|M K IY0 T UW0 M W AE
mkivumilia|M K IY0 V UW0 M IY0 L IY0 AE
mkiwa|M K IY0 W AE
mkiwakosesh|M K IY0 W AE K OW0 S EH0 SH
mkiwasalimu|M K IY0 W AE S AE L IY0 M UW0
mkiwasamehe|M K IY0 W AE S AE M EH0 HH EH0
mkiwatii|M K IY0 W AE T IY0 IY0
mkiyahukumu|M K IY0 Y AE HH UW0 K UW0 M UW0
mkiyasoma|M K IY0 Y AE S OW0 M AE
mkiyatekelez|M K IY0 Y AE T EH0 K EH0 L EH0 Z
mkizaa|M K IY0 Z AE AE
mkizi|M K IY0 Z IY0
mkizishika|M K IY0 Z IY0 SH IY0 K AE
mko|M K OW0
mkoa|M K OW0 AE
mkoani|M K OW0 AE N IY0
mkoche|M K OW0 T SH EH0
mkoi|M K OW0 IY0
mkoko|M K OW0 K OW0
mkokoteni|M K OW0 K OW0 T EH0 N IY0
mkokoto|M K OW0 K OW0 T OW0
mkole|M K OW0 L EH0
mkoleni|M K OW0 L EH0 N IY0
mkoloni|M K OW0 L OW0 N IY0
mkoma|M K OW0 M AE
mkomafi|M K OW0 M AE F IY0
mkomavu|M K OW0 M AE V UW0
mkomo|M K OW0 M OW0
mkomunisti|M K OW0 M UW0 N IY0 S T IY0
mkomwe|M K OW0 M W EH0
mkoni|M K OW0 N IY0
mkoniferasi|M K OW0 N IY0 F EH0 R AE S IY0
mkono|M K OW0 N OW0
mkonokono|M K OW0 N OW0 K OW0 N OW0
mkononi|M K OW0 N OW0 N IY0
mkonowe|M K OW0 N OW0 W EH0
mkoo|M K OW0 OW0
mkopeshi|M K OW0 P EH0 SH IY0
mkopi|M K OW0 P IY0
mkopo|M K OW0 P OW0
mkora|M K OW0 R AE
mkorofi|M K OW0 R OW0 F IY0
mkoromo|M K OW0 R OW0 M OW0
mkoroshi|M K OW0 R OW0 SH IY0
mkorosho|M K OW0 R OW0 SH OW0
mkosa|M K OW0 S AE
mkosefu|M K OW0 S EH0 F UW0
mkosi|M K OW0 S IY0
mkota|M K OW0 T AE
mkowa|M K OW0 W AE
mkowe|M K OW0 W EH0
mkucha|M K UW0 T SH AE
mkuchokucho|M K UW0 T SH OW0 K UW0 T SH OW0
mkufu|M K UW0 F UW0
mkuki|M K UW0 K IY0
mkuku|M K UW0 K UW0
mkukuriko|M K UW0 K UW0 R IY0 K OW0
mkukuto|M K UW0 K UW0 T OW0
mkulima|M K UW0 L IY0 M AE
mkulivu|M K UW0 L IY0 V UW0
mkulo|M K UW0 L OW0
mkunatuu|M K UW0 N AE T UW0 UW0
mkunazi|M K UW0 N AE Z IY0
mkung|uto M K UW0 NG UW0 T OW0
mkuno|M K UW0 N OW0
mkunoni|M K UW0 N OW0 N IY0
mkunyati|M K UW0 N IY0 AE T IY0
mkunyuo|M K UW0 N IY0 UW0 OW0
mkuo|M K UW0 OW0
mkupi|M K UW0 P IY0
mkupuo|M K UW0 P UW0 OW0
mkupuzi|M K UW0 P UW0 Z IY0
mkure|M K UW0 R EH0
mkuro|M K UW0 R OW0
mkurupusho|M K UW0 R UW0 P UW0 SH OW0
mkururo|M K UW0 R UW0 R OW0
mkururuo|M K UW0 R UW0 R UW0 OW0
mkuruti|M K UW0 R UW0 T IY0
mkuruzo|M K UW0 R UW0 Z OW0
mkusanya|M K UW0 S AE N IY0 AE
mkusanyiko|M K UW0 S AE N IY0 IY0 K OW0
mkusanyo|M K UW0 S AE N IY0 OW0
mkusi|M K UW0 S IY0
mkuta|M K UW0 T AE
mkutane|M K UW0 T AE N EH0
mkutaniko|M K UW0 T AE N IY0 K OW0
mkutano|M K UW0 T AE N OW0
mkutanoni|M K UW0 T AE N OW0 N IY0
mkuto|M K UW0 T OW0
mkutuo|M K UW0 T UW0 OW0
mkuu|M K UW0 UW0
mkuukuu|M K UW0 UW0 K UW0 UW0
mkuwiyati|M K UW0 W IY0 Y AE T IY0
mkuyati|M K UW0 Y AE T IY0
mkuyu|M K UW0 Y UW0
mkuzo|M K UW0 Z OW0
mkwachuro|M K W AE T SH UW0 R OW0
mkwakwa|M K W AE K W AE
mkwakwara|M K W AE K W AE R AE
mkwara|M K W AE R AE
mkwarakwara|M K W AE R AE K W AE R AE
mkware|M K W AE R EH0
mkwaruzano|M K W AE R UW0 Z AE N OW0
mkwaruzo|M K W AE R UW0 Z OW0
mkwasi|M K W AE S IY0
mkwayakwaya|M K W AE Y AE K W AE Y AE
mkwaza|M K W AE Z AE
mkwe|M K W EH0
mkweli|M K W EH0 L IY0
mkweme|M K W EH0 M EH0
mkweo|M K W EH0 OW0
mkwepo|M K W EH0 P OW0
mkwepuzi|M K W EH0 P UW0 Z IY0
mkwewe|M K W EH0 W EH0
mkwezi|M K W EH0 Z IY0
mkwiro|M K W IY0 R OW0
mla|M L AE
mlaanifu|M L AE AE N IY0 F UW0
mlaanizi|M L AE AE N IY0 Z IY0
mlafi|M L AE F IY0
mlaka|M L AE K AE
mlakasa|M L AE K AE S AE
mlala|M L AE L AE
mlalamishi|M L AE L AE M IY0 SH IY0
mlalavi|M L AE L AE V IY0
mlale|M L AE L EH0
mlama|M L AE M AE
mlamu|M L AE M UW0
mlasa|M L AE S AE
mlaso|M L AE S OW0
mlawi|M L AE W IY0
mlazo|M L AE Z OW0
mle|M L EH0
mlei|M L EH0 IY0
mlele|M L EH0 L EH0
mleli|M L EH0 L IY0
mlemavu|M L EH0 M AE V UW0
mleo|M L EH0 OW0
mleoleo|M L EH0 OW0 L EH0 OW0
mlete|M L EH0 T EH0
mletee|M L EH0 T EH0 EH0
mleteeni|M L EH0 T EH0 EH0 N IY0
mleteni|M L EH0 T EH0 N IY0
mlevi|M L EH0 V IY0
mlezi|M L EH0 Z IY0
mli|M L IY0
mlia|M L IY0 AE
mlicho|M L IY0 T SH OW0
mlichokishu|M L IY0 T SH OW0 K IY0 SH UW0
mlichokuwa|M L IY0 T SH OW0 K UW0 W AE
mlichonong|o M L IY0 T SH OW0 N OW0 NG OW0
mlichonong|on M L IY0 T SH OW0 N OW0 NG OW0 N
mlichopata|M L IY0 T SH OW0 P AE T AE
mlichosema|M L IY0 T SH OW0 S EH0 M AE
mlifanya|M L IY0 F AE N IY0 AE
mlifi|M L IY0 F IY0
mlifufuliwa|M L IY0 F UW0 F UW0 L IY0 W AE
mliheshimika|M L IY0 HH EH0 SH IY0 M IY0 K AE
mliipokea|M L IY0 IY0 P OW0 K EH0 AE
mliishi|M L IY0 IY0 SH IY0
mliitwa|M L IY0 IY0 T W AE
mlikataa|M L IY0 K AE T AE AE
mlikula|M L IY0 K UW0 L AE
mlikusanya|M L IY0 K UW0 S AE N IY0 AE
mlikuwa|M L IY0 K UW0 W AE
mlikwisha|M L IY0 K W IY0 SH AE
mliloamriwa|M L IY0 L OW0 AE M R IY0 W AE
mliloitiwa|M L IY0 L OW0 IY0 T IY0 W AE
mlilokataa|M L IY0 L OW0 K AE T AE AE
mlilopata|M L IY0 L OW0 P AE T AE
mlilopewa|M L IY0 L OW0 P EH0 W AE
mlilosikia|M L IY0 L OW0 S IY0 K IY0 AE
mlima|M L IY0 M AE
mlimani|M L IY0 M AE N IY0
mlimao|M L IY0 M AE OW0
mlimau|M L IY0 M AE UW0
mlimi|M L IY0 M IY0
mlimkataa|M L IY0 M K AE T AE AE
mlimo|M L IY0 M OW0
mlimokuwa|M L IY0 M OW0 K UW0 W AE
mlimpokea|M L IY0 M P OW0 K EH0 AE
mlimweka|M L IY0 M W EH0 K AE
mlimwua|M L IY0 M W UW0 AE
mliniletea|M L IY0 N IY0 L EH0 T EH0 AE
mlinipokea|M L IY0 N IY0 P OW0 K EH0 AE
mlinitafuta|M L IY0 N IY0 T AE F UW0 T AE
mlinitii|M L IY0 N IY0 T IY0 IY0
mlinunuliwa|M L IY0 N UW0 N UW0 L IY0 W AE
mlio|M L IY0 OW0
mliofanana|M L IY0 OW0 F AE N AE N AE
mliofufuliw|M L IY0 OW0 F UW0 F UW0 L IY0 W
mlioitiwa|M L IY0 OW0 IY0 T IY0 W AE
mlioitwa|M L IY0 OW0 IY0 T W AE
mlioko|M L IY0 OW0 K OW0
mliokuwa|M L IY0 OW0 K UW0 W AE
mliolaaniwa|M L IY0 OW0 L AE AE N IY0 W AE
mliompa|M L IY0 OW0 M P AE
mlionifuata|M L IY0 OW0 N IY0 F UW0 AE T AE
mlioshiriki|M L IY0 OW0 SH IY0 R IY0 K IY0
mliotayarish|M L IY0 OW0 T AE Y AE R IY0 SH
mliotayarisha|M L IY0 OW0 T AE Y AE R IY0 SH AE
mlioteuliwa|M L IY0 OW0 T EH0 UW0 L IY0 W AE
mlioupokea|M L IY0 OW0 UW0 P OW0 K EH0 AE
mliousikia|M L IY0 OW0 UW0 S IY0 K IY0 AE
mliowe|M L IY0 OW0 W EH0
mlipa|M L IY0 P AE
mlipata|M L IY0 P AE T AE
mlipatikana|M L IY0 P AE T IY0 K AE N AE
mlipatwa|M L IY0 P AE T W AE
mlipeni|M L IY0 P EH0 N IY0
mlipiza|M L IY0 P IY0 Z AE
mlipo|M L IY0 P OW0
mlipoisikia|M L IY0 P OW0 IY0 S IY0 K IY0 AE
mlipoitwa|M L IY0 P OW0 IY0 T W AE
mlipokataa|M L IY0 P OW0 K AE T AE AE
mlipokea|M L IY0 P OW0 K EH0 AE
mlipokuwa|M L IY0 P OW0 K UW0 W AE
mliponiita|M L IY0 P OW0 N IY0 IY0 T AE
mlipopata|M L IY0 P OW0 P AE T AE
mliposikia|M L IY0 P OW0 S IY0 K IY0 AE
mlipotawali|M L IY0 P OW0 T AE W AE L IY0
mlipu|M L IY0 P UW0
mlipuko|M L IY0 P UW0 K OW0
mliruka|M L IY0 R UW0 K AE
mlisha|M L IY0 SH AE
mlishawishiw|M L IY0 SH AE W IY0 SH IY0 W
mlishi|M L IY0 SH IY0
mlishiriki|M L IY0 SH IY0 R IY0 K IY0
mlisho|M L IY0 SH OW0
mlisikia|M L IY0 S IY0 K IY0 AE
mlistahimil|M L IY0 S T AE HH IY0 M IY0 L
mlitahiriwa|M L IY0 T AE HH IY0 R IY0 W AE
mlitaka|M L IY0 T AE K AE
mlitawaliwa|M L IY0 T AE W AE L IY0 W AE
mliteswa|M L IY0 T EH0 S W AE
mlitii|M L IY0 T IY0 IY0
mlitoka|M L IY0 T OW0 K AE
mlitukanwa|M L IY0 T UW0 K AE N W AE
mlituma|M L IY0 T UW0 M AE
mliufuata|M L IY0 UW0 F UW0 AE T AE
mliupokea|M L IY0 UW0 P OW0 K EH0 AE
mliusikia|M L IY0 UW0 S IY0 K IY0 AE
mlivyo|M L IY0 V Y OW0
mlivyokuwa|M L IY0 V Y OW0 K UW0 W AE
mlivyomkari|M L IY0 V Y OW0 M K AE R IY0
mlivyomwona|M L IY0 V Y OW0 M W OW0 N AE
mlivyonipa|M L IY0 V Y OW0 N IY0 P AE
mlivyonisai|M L IY0 V Y OW0 N IY0 S AE IY0
mlivyoona|M L IY0 V Y OW0 OW0 N AE
mlivyopata|M L IY0 V Y OW0 P AE T AE
mlivyosikia|M L IY0 V Y OW0 S IY0 K IY0 AE
mlivyotukar|M L IY0 V Y OW0 T UW0 K AE R
mlivyoziach|M L IY0 V Y OW0 Z IY0 AE T SH
mliwa|M L IY0 W AE
mliyempokea|M L IY0 Y EH0 M P OW0 K EH0 AE
mliyemtia|M L IY0 Y EH0 M T IY0 AE
mliyo|M L IY0 Y OW0
mliyoamriwa|M L IY0 Y OW0 AE M R IY0 W AE
mliyoifanya|M L IY0 Y OW0 IY0 F AE N IY0 AE
mliyoisikia|M L IY0 Y OW0 IY0 S IY0 K IY0 AE
mliyoitiwa|M L IY0 Y OW0 IY0 T IY0 W AE
mliyokwisha|M L IY0 Y OW0 K W IY0 SH AE
mliyoonyesh|M L IY0 Y OW0 OW0 N IY0 EH0 SH
mliyopaswa|M L IY0 Y OW0 P AE S W AE
mliyopewa|M L IY0 Y OW0 P EH0 W AE
mliyopokea|M L IY0 Y OW0 P OW0 K EH0 AE
mliyosema|M L IY0 Y OW0 S EH0 M AE
mliyowapa|M L IY0 Y OW0 W AE P AE
mliyoyaona|M L IY0 Y OW0 Y AE OW0 N AE
mlizamu|M L IY0 Z AE M UW0
mlizi|M L IY0 Z IY0
mlizikwa|M L IY0 Z IY0 K W AE
