a|AE
fescennia|F EH0 S K EH0 N N IY AE
fescennīne|F EH0 S K EH0 N N IY N EH0
fescennīnus|F EH0 S K EH0 N N IY N UW S
fessior|F EH0 S S IY OW0 RRR
fessus|F EH0 S S UW S
fessōnia|F EH0 S S OW0 N IY AE
festīnante|F EH0 S T IY N AE N T EH0
festīnantī|F EH0 S T IY N AE N T IY
festīnantō|F EH0 S T IY N AE N T OW0
festīnor|F EH0 S T IY N OW0 RRR
festīnus|F EH0 S T IY N UW S
festīnābundus|F EH0 S T IY N AE B UW N D UW S
festīnās|F EH0 S T IY N AE S
festīnātiō|F EH0 S T IY N AE T IY OW0
festīnīs|F EH0 S T IY N IY S
festīnō|F EH0 S T IY N OW0
festīnōs|F EH0 S T IY N OW0 S
festūca|F EH0 S T UW K AE
fiala|F IY AE L AE
fiber|F IY B EH0 RRR
fibra|F IY B RRR AE
fictilis|F IY K T IY L IY S
fictiliārius|F IY K T IY L IY AE RRR IY UW S
fictrīx|F IY K T RRR IY K S
fictīcius|F IY K T IY K IY UW S
fictītius|F IY K T IY T IY UW S
fidicen|F IY D IY K EH0 N
fidicina|F IY D IY K IY N AE
fidicinis|F IY D IY K IY N IY S
fidicinīs|F IY D IY K IY N IY S
fidicula|F IY D IY K UW L AE
fidiculae|F IY D IY K UW L AE EH0
fidiculānius|F IY D IY K UW L AE N IY UW S
fidustius|F IY D UW S T IY UW S
fidēlis|F IY D EH0 L IY S
fidēliter|F IY D EH0 L IY T EH0 RRR
fidēlitās|F IY D EH0 L IY T AE S
fidēprōmissor|F IY D EH0 P RRR OW0 M IY S S OW0 RRR
fidēs|F IY D EH0 S
fidī|F IY D IY
figulus|F IY G UW L UW S
figulāris|F IY G UW L AE RRR IY S
figulīnus|F IY G UW L IY N UW S
figūra|F IY G UW RRR AE
figūrat|F IY G UW RRR AE T
figūrābilis|F IY G UW RRR AE B IY L IY S
figūrō|F IY G UW RRR OW0
filicornis|F IY L IY K OW0 RRR N IY S
filictum|F IY L IY K T UW M
filicātus|F IY L IY K AE T UW S
filtreus|F IY L T RRR EH0 UW S
fimbria|F IY M B RRR IY AE
fimbriae|F IY M B RRR IY AE EH0
fimbriārius|F IY M B RRR IY AE RRR IY UW S
fimbriāte|F IY M B RRR IY AE T EH0
fimbriātus|F IY M B RRR IY AE T UW S
fimicolus|F IY M IY K OW0 L UW S
fimum|F IY M UW M
fimus|F IY M UW S
fimārium|F IY M AE RRR IY UW M
fimētum|F IY M EH0 T UW M
findō|F IY N D OW0
fingō|F IY N G OW0
finnus|F IY N N UW S
fircellius|F IY RRR K EH0 L L IY UW S
firma|F IY RRR M AE
firmis|F IY RRR M IY S
firmitās|F IY RRR M IY T AE S
firmitūdō|F IY RRR M IY T UW D OW0
firmius|F IY RRR M IY UW S
firmus|F IY RRR M UW S
firmāmen|F IY RRR M AE M EH0 N
firmāmentum|F IY RRR M AE M EH0 N T UW M
firmīs|F IY RRR M IY S
firmō|F IY RRR M OW0
fiscella|F IY S K EH0 L L AE
fiscellus|F IY S K EH0 L L UW S
fiscus|F IY S K UW S
fiscālis|F IY S K AE L IY S
fissilis|F IY S S IY L IY S
fissipēs|F IY S S IY P EH0 S
fissiō|F IY S S IY OW0
fissī|F IY S S IY
fissō|F IY S S OW0
fistula|F IY S T UW L AE
fistulāris|F IY S T UW L AE RRR IY S
fistulātor|F IY S T UW L AE T OW0 RRR
fistulātus|F IY S T UW L AE T UW S
fistulēscō|F IY S T UW L EH0 S K OW0
fistulōsus|F IY S T UW L OW0 S UW S
fistūca|F IY S T UW K AE
fitilla|F IY T IY L L AE
flacceō|F L AE K K EH0 OW0
flaccidus|F L AE K K IY D UW S
flaccus|F L AE K K UW S
flagellum|F L AE G EH0 L L UW M
flagellō|F L AE G EH0 L L OW0
flagritrība|F L AE G RRR IY T RRR IY B AE
flagrum|F L AE G RRR UW M
flagrāns|F L AE G RRR AE N S
flagrō|F L AE G RRR OW0
flamma|F L AE M M AE
flammeolum|F L AE M M EH0 OW0 L UW M
flammeum|F L AE M M EH0 UW M
flammeus|F L AE M M EH0 UW S
flammifer|F L AE M M IY F EH0 RRR
flammiger|F L AE M M IY G EH0 RRR
flammipēs|F L AE M M IY P EH0 S
flammivomus|F L AE M M IY UW OW0 M UW S
flammula|F L AE M M UW L AE
flammābundus|F L AE M M AE B UW N D UW S
flammō|F L AE M M OW0
flandricus|F L AE N D RRR IY K UW S
flanātēs|F L AE N AE T EH0 S
flanōna|F L AE N OW0 N AE
flectō|F L EH0 K T OW0
flet|F L EH0 T
flexanimus|F L EH0 K S AE N IY M UW S
flexibilis|F L EH0 K S IY B IY L IY S
flexibilitās|F L EH0 K S IY B IY L IY T AE S
flexilis|F L EH0 K S IY L IY S
flexiloquus|F L EH0 K S IY L OW0 K UW S
flexipēs|F L EH0 K S IY P EH0 S
flexiō|F L EH0 K S IY OW0
flexus|F L EH0 K S UW S
flexuōsus|F L EH0 K S UW OW0 S UW S
fleō|F L EH0 OW0
floccipendō|F L OW0 K K IY P EH0 N D OW0
floccōsus|F L OW0 K K OW0 S UW S
flocēs|F L OW0 K EH0 S
flucticolor|F L UW K T IY K OW0 L OW0 RRR
flucticulus|F L UW K T IY K UW L UW S
fluctigenus|F L UW K T IY G EH0 N UW S
fluctisonus|F L UW K T IY S OW0 N UW S
fluctiō|F L UW K T IY OW0
fluentisonus|F L UW EH0 N T IY S OW0 N UW S
fluibundus|F L UW IY B UW N D UW S
fluida|F L UW IY D AE
fluidus|F L UW IY D UW S
fluitō|F L UW IY T OW0
fluor|F L UW OW0 RRR
fluviālis|F L UW UW IY AE L IY S
fluviātilis|F L UW UW IY AE T IY L IY S
fluxus|F L UW K S UW S
fluō|F L UW OW0
fluōnia|F L UW OW0 N IY AE
fluōrum|F L UW OW0 RRR UW M
flābellifolius|F L AE B EH0 L L IY F OW0 L IY UW S
flābellum|F L AE B EH0 L L UW M
flābellātus|F L AE B EH0 L L AE T UW S
flābilis|F L AE B IY L IY S
flābrum|F L AE B RRR UW M
flāgitium|F L AE G IY T IY UW M
flāgitiōsus|F L AE G IY T IY OW0 S UW S
flāgitātiō|F L AE G IY T AE T IY OW0
flāgitō|F L AE G IY T OW0
flāgrāns|F L AE G RRR AE N S
flāmen|F L AE M EH0 N
flāminica|F L AE M IY N IY K AE
flāminius|F L AE M IY N IY UW S
flāte|F L AE T EH0
flātus|F L AE T UW S
flātō|F L AE T OW0
flātūlentārus|F L AE T UW L EH0 N T AE RRR UW S
flāveolus|F L AE UW EH0 OW0 L UW S
flāveō|F L AE UW EH0 OW0
flāvicaudus|F L AE UW IY K AE UW D UW S
flāviceps|F L AE UW IY K EH0 P S
flāvicollis|F L AE UW IY K OW0 L L IY S
flāvicomus|F L AE UW IY K OW0 M UW S
flāvicornis|F L AE UW IY K OW0 RRR N IY S
flāvicostus|F L AE UW IY K OW0 S T UW S
flāvidus|F L AE UW IY D UW S
flāvifrōns|F L AE UW IY F RRR OW0 N S
flāvimanus|F L AE UW IY M AE N UW S
flāviobrīga|F L AE UW IY OW0 B RRR IY G AE
flāvionāvia|F L AE UW IY OW0 N AE UW IY AE
flāvipalpus|F L AE UW IY P AE L P UW S
flāvipennis|F L AE UW IY P EH0 N N IY S
flāvipinnis|F L AE UW IY P IY N N IY S
flāvipēs|F L AE UW IY P EH0 S
flāvipūnctātus|F L AE UW IY P UW N K T AE T UW S
flāvitarsis|F L AE UW IY T AE RRR S IY S
flāvius|F L AE UW IY UW S
flāviventris|F L AE UW IY UW EH0 N T RRR IY S
flāvomaculātus|F L AE UW OW0 M AE K UW L AE T UW S
flāvoviridis|F L AE UW OW0 UW IY RRR IY D IY S
flāvovirēns|F L AE UW OW0 UW IY RRR EH0 N S
flāvus|F L AE UW UW S
flāvōlīneātus|F L AE UW OW0 L IY N EH0 AE T UW S
flēbilis|F L EH0 B IY L IY S
flēmen|F L EH0 M EH0 N
flēre|F L EH0 RRR EH0
flētus|F L EH0 T UW S
flētī|F L EH0 T IY
flīctus|F L IY K T UW S
flīgō|F L IY G OW0
flō|F L OW0
flōra|F L OW0 RRR AE
flōrae|F L OW0 RRR AE EH0
flōram|F L OW0 RRR AE M
flōrentia|F L OW0 RRR EH0 N T IY AE
flōresiēnsis|F L OW0 RRR EH0 S IY EH0 N S IY S
flōreō|F L OW0 RRR EH0 OW0
flōribundus|F L OW0 RRR IY B UW N D UW S
flōricomus|F L OW0 RRR IY K OW0 M UW S
flōrida|F L OW0 RRR IY D AE
flōridulus|F L OW0 RRR IY D UW L UW S
flōridus|F L OW0 RRR IY D UW S
flōridānus|F L OW0 RRR IY D AE N UW S
flōridānō|F L OW0 RRR IY D AE N OW0
flōridēnsis|F L OW0 RRR IY D EH0 N S IY S
flōrigenus|F L OW0 RRR IY G EH0 N UW S
flōriger|F L OW0 RRR IY G EH0 RRR
flōrilegium|F L OW0 RRR IY L EH0 G IY UW M
flōrilegus|F L OW0 RRR IY L EH0 G UW S
flōriparus|F L OW0 RRR IY P AE RRR UW S
flōritiō|F L OW0 RRR IY T IY OW0
flōrius|F L OW0 RRR IY UW S
flōrulentus|F L OW0 RRR UW L EH0 N T UW S
flōrus|F L OW0 RRR UW S
flōrālia|F L OW0 RRR AE L IY AE
flōrēscō|F L OW0 RRR EH0 S K OW0
flōrētum|F L OW0 RRR EH0 T UW M
flōrōsus|F L OW0 RRR OW0 S UW S
flōs|F L OW0 S
flūctiger|F L UW K T IY G EH0 RRR
flūctivagus|F L UW K T IY UW AE G UW S
flūctuat|F L UW K T UW AE T
flūctus|F L UW K T UW S
flūctuābundus|F L UW K T UW AE B UW N D UW S
flūctuō|F L UW K T UW OW0
flūmen|F L UW M EH0 N
flūmineus|F L UW M IY N EH0 UW S
flūminēnsis|F L UW M IY N EH0 N S IY S
flūsor|F L UW S OW0 RRR
flūxus|F L UW K S UW S
focunātēs|F OW0 K UW N AE T EH0 S
focāceus|F OW0 K AE K EH0 UW S
focācius|F OW0 K AE K IY UW S
focāria|F OW0 K AE RRR IY AE
focārius|F OW0 K AE RRR IY UW S
focātius|F OW0 K AE T IY UW S
focī|F OW0 K IY
focō|F OW0 K OW0
fodicō|F OW0 D IY K OW0
fodiās|F OW0 D IY AE S
fodiō|F OW0 D IY OW0
fodīna|F OW0 D IY N AE
foecundus|F OW0 EH0 K UW N D UW S
foederātiō|F OW0 EH0 D EH0 RRR AE T IY OW0
foederō|F OW0 EH0 D EH0 RRR OW0
foedifraga|F OW0 EH0 D IY F RRR AE G AE
foedifragae|F OW0 EH0 D IY F RRR AE G AE EH0
foedifragam|F OW0 EH0 D IY F RRR AE G AE M
foedifrage|F OW0 EH0 D IY F RRR AE G EH0
foedifragus|F OW0 EH0 D IY F RRR AE G UW S
foedifragārum|F OW0 EH0 D IY F RRR AE G AE RRR UW M
foedifragās|F OW0 EH0 D IY F RRR AE G AE S
foedifragī|F OW0 EH0 D IY F RRR AE G IY
foedifragīs|F OW0 EH0 D IY F RRR AE G IY S
foedifragō|F OW0 EH0 D IY F RRR AE G OW0
foedifragōrum|F OW0 EH0 D IY F RRR AE G OW0 RRR UW M
foedifragōs|F OW0 EH0 D IY F RRR AE G OW0 S
foedō|F OW0 EH0 D OW0
foelīx|F OW0 EH0 L IY K S
foenum|F OW0 EH0 N UW M
foenārius|F OW0 EH0 N AE RRR IY UW S
foetor|F OW0 EH0 T OW0 RRR
foetulentus|F OW0 EH0 T UW L EH0 N T UW S
foetus|F OW0 EH0 T UW S
foetālis|F OW0 EH0 T AE L IY S
folium|F OW0 L IY UW M
foliāte|F OW0 L IY AE T EH0
foliātus|F OW0 L IY AE T UW S
foliī|F OW0 L IY IY
foliō|F OW0 L IY OW0
foliōsus|F OW0 L IY OW0 S UW S
folliculus|F OW0 L L IY K UW L UW S
folliculāris|F OW0 L L IY K UW L AE RRR IY S
follicō|F OW0 L L IY K OW0
follis|F OW0 L L IY S
fontanārius|F OW0 N T AE N AE RRR IY UW S
fontarius|F OW0 N T AE RRR IY UW S
fonte|F OW0 N T EH0
fonticulus|F OW0 N T IY K UW L UW S
fontus|F OW0 N T UW S
fontānus|F OW0 N T AE N UW S
fontēius|F OW0 N T EH0 IY UW S
for|F OW0 RRR
forceps|F OW0 RRR K EH0 P S
forcipātus|F OW0 RRR K IY P AE T UW S
fordeāceus|F OW0 RRR D EH0 AE K EH0 UW S
forentum|F OW0 RRR EH0 N T UW M
forer|F OW0 RRR EH0 RRR
foresta|F OW0 RRR EH0 S T AE
forfex|F OW0 RRR F EH0 K S
foria|F OW0 RRR IY AE
foris|F OW0 RRR IY S
formiae|F OW0 RRR M IY AE EH0
formus|F OW0 RRR M UW S
formīca|F OW0 RRR M IY K AE
formīcula|F OW0 RRR M IY K UW L AE
formīcīnus|F OW0 RRR M IY K IY N UW S
formīcō|F OW0 RRR M IY K OW0
formīdolōsus|F OW0 RRR M IY D OW0 L OW0 S UW S
formīdulōsus|F OW0 RRR M IY D UW L OW0 S UW S
formīdābilis|F OW0 RRR M IY D AE B IY L IY S
fornicandō|F OW0 RRR N IY K AE N D OW0
fornicor|F OW0 RRR N IY K OW0 RRR
fornicāria|F OW0 RRR N IY K AE RRR IY AE
fornicāriam|F OW0 RRR N IY K AE RRR IY AE M
fornicāriās|F OW0 RRR N IY K AE RRR IY AE S
fornicāriō|F OW0 RRR N IY K AE RRR IY OW0
fornicāriōs|F OW0 RRR N IY K AE RRR IY OW0 S
fornicātor|F OW0 RRR N IY K AE T OW0 RRR
fornicātrīce|F OW0 RRR N IY K AE T RRR IY K EH0
fornicātrīx|F OW0 RRR N IY K AE T RRR IY K S
fornicātōre|F OW0 RRR N IY K AE T OW0 RRR EH0
fornicātōrī|F OW0 RRR N IY K AE T OW0 RRR IY
fornicēs|F OW0 RRR N IY K EH0 S
fornix|F OW0 RRR N IY K S
fornācula|F OW0 RRR N AE K UW L AE
fornācālia|F OW0 RRR N AE K AE L IY AE
fornāx|F OW0 RRR N AE K S
forratus|F OW0 RRR RRR AE T UW S
forsitan|F OW0 RRR S IY T AE N
forticulus|F OW0 RRR T IY K UW L UW S
fortificō|F OW0 RRR T IY F IY K OW0
fortitūdō|F OW0 RRR T IY T UW D OW0
fortuīta|F OW0 RRR T UW IY T AE
fortuīte|F OW0 RRR T UW IY T EH0
fortuītus|F OW0 RRR T UW IY T UW S
fortuītās|F OW0 RRR T UW IY T AE S
fortuītī|F OW0 RRR T UW IY T IY
fortuītō|F OW0 RRR T UW IY T OW0
fortuītōs|F OW0 RRR T UW IY T OW0 S
fortāx|F OW0 RRR T AE K S
fortēs|F OW0 RRR T EH0 S
fortūna|F OW0 RRR T UW N AE
fortūnāta|F OW0 RRR T UW N AE T AE
fortūnātus|F OW0 RRR T UW N AE T UW S
fortūnātī|F OW0 RRR T UW N AE T IY
fortūnātō|F OW0 RRR T UW N AE T OW0
fortūnō|F OW0 RRR T UW N OW0
forulī|F OW0 RRR UW L IY
forum|F OW0 RRR UW M
forābilis|F OW0 RRR AE B IY L IY S
forāgō|F OW0 RRR AE G OW0
forāmen|F OW0 RRR AE M EH0 N
forāmina|F OW0 RRR AE M IY N AE
forāminōsus|F OW0 RRR AE M IY N OW0 S UW S
forās|F OW0 RRR AE S
forēnsis|F OW0 RRR EH0 N S IY S
forīs|F OW0 RRR IY S
foslius|F OW0 S L IY UW S
fossa|F OW0 S S AE
fossae|F OW0 S S AE EH0
fossilis|F OW0 S S IY L IY S
fossiō|F OW0 S S IY OW0
fossor|F OW0 S S OW0 RRR
fossula|F OW0 S S UW L AE
fossus|F OW0 S S UW S
fossātum|F OW0 S S AE T UW M
fossātus|F OW0 S S AE T UW S
fossīcius|F OW0 S S IY K IY UW S
fossō|F OW0 S S OW0
fossōria|F OW0 S S OW0 RRR IY AE
fossōrius|F OW0 S S OW0 RRR IY UW S
fossūra|F OW0 S S UW RRR AE
fosī|F OW0 S IY
fovea|F OW0 UW EH0 AE
foveolātus|F OW0 UW EH0 OW0 L AE T UW S
foveālis|F OW0 UW EH0 AE L IY S
foveālium|F OW0 UW EH0 AE L IY UW M
foveō|F OW0 UW EH0 OW0
fraeniger|F RRR AE EH0 N IY G EH0 RRR
fraenō|F RRR AE EH0 N OW0
fragilis|F RRR AE G IY L IY S
fragilī|F RRR AE G IY L IY
fraglāns|F RRR AE G L AE N S
fragmen|F RRR AE G M EH0 N
fragmentum|F RRR AE G M EH0 N T UW M
fragor|F RRR AE G OW0 RRR
fragōsus|F RRR AE G OW0 S UW S
francia|F RRR AE N K IY AE
francisca|F RRR AE N K IY S K AE
franciscopolis|F RRR AE N K IY S K OW0 P OW0 L IY S
franciscus|F RRR AE N K IY S K UW S
francium|F RRR AE N K IY UW M
francogallia|F RRR AE N K OW0 G AE L L IY AE
francogallice|F RRR AE N K OW0 G AE L L IY K EH0
francogallicus|F RRR AE N K OW0 G AE L L IY K UW S
francogallus|F RRR AE N K OW0 G AE L L UW S
franconicus|F RRR AE N K OW0 N IY K UW S
francus|F RRR AE N K UW S
frangulus|F RRR AE N G UW L UW S
frangō|F RRR AE N G OW0
fratillus|F RRR AE T IY L L UW S
fraudiger|F RRR AE UW D IY G EH0 RRR
fraudulenter|F RRR AE UW D UW L EH0 N T EH0 RRR
fraudulentia|F RRR AE UW D UW L EH0 N T IY AE
fraudulentus|F RRR AE UW D UW L EH0 N T UW S
fraudātiō|F RRR AE UW D AE T IY OW0
fraudō|F RRR AE UW D OW0
fraus|F RRR AE UW S
fraxineus|F RRR AE K S IY N EH0 UW S
fraxinus|F RRR AE K S IY N UW S
fraxinētum|F RRR AE K S IY N EH0 T UW M
fraxō|F RRR AE K S OW0
frederīcus|F RRR EH0 D EH0 RRR IY K UW S
frederīcō|F RRR EH0 D EH0 RRR IY K OW0
fregellae|F RRR EH0 G EH0 L L AE EH0
fregēnae|F RRR EH0 G EH0 N AE EH0
fremebundus|F RRR EH0 M EH0 B UW N D UW S
fremitus|F RRR EH0 M IY T UW S
fremō|F RRR EH0 M OW0
frendere|F RRR EH0 N D EH0 RRR EH0
frendēre|F RRR EH0 N D EH0 RRR EH0
frendō|F RRR EH0 N D OW0
frequentia|F RRR EH0 K EH0 N T IY AE
frequentātiō|F RRR EH0 K EH0 N T AE T IY OW0
frequentō|F RRR EH0 K EH0 N T OW0
frequēns|F RRR EH0 K EH0 N S
fretum|F RRR EH0 T UW M
fricō|F RRR IY K OW0
friderica|F RRR IY D EH0 RRR IY K AE
friderīce|F RRR IY D EH0 RRR IY K EH0
friderīcum|F RRR IY D EH0 RRR IY K UW M
friderīcus|F RRR IY D EH0 RRR IY K UW S
friderīcī|F RRR IY D EH0 RRR IY K IY
friderīcō|F RRR IY D EH0 RRR IY K OW0
frigga|F RRR IY G G AE
frigūtiō|F RRR IY G UW T IY OW0
fringilla|F RRR IY N G IY L L AE
friniātēs|F RRR IY N IY AE T EH0 S
friscus|F RRR IY S K UW S
frisicus|F RRR IY S IY K UW S
frisiō|F RRR IY S IY OW0
fritillus|F RRR IY T IY L L UW S
frixus|F RRR IY K S UW S
friābilis|F RRR IY AE B IY L IY S
friāre|F RRR IY AE RRR EH0
friō|F RRR IY OW0
frondeō|F RRR OW0 N D EH0 OW0
frondēscō|F RRR OW0 N D EH0 S K OW0
frondōsus|F RRR OW0 N D OW0 S UW S
frontāle|F RRR OW0 N T AE L EH0
frontālis|F RRR OW0 N T AE L IY S
frontālēs|F RRR OW0 N T AE L EH0 S
frontō|F RRR OW0 N T OW0
frontōsus|F RRR OW0 N T OW0 S UW S
fruor|F RRR UW OW0 RRR
frusinō|F RRR UW S IY N OW0
frustror|F RRR UW S T RRR OW0 RRR
fruticētum|F RRR UW T IY K EH0 T UW M
fruticō|F RRR UW T IY K OW0
fruticōsus|F RRR UW T IY K OW0 S UW S
frāctiō|F RRR AE K T IY OW0
frāctūra|F RRR AE K T UW RRR AE
frāglō|F RRR AE G L OW0
frāgrantēs|F RRR AE G RRR AE N T EH0 S
frāgrō|F RRR AE G RRR OW0
frāgum|F RRR AE G UW M
frātellus|F RRR AE T EH0 L L UW S
frāter|F RRR AE T EH0 RRR
frāterna|F RRR AE T EH0 RRR N AE
frāternitās|F RRR AE T EH0 RRR N IY T AE S
frāternus|F RRR AE T EH0 RRR N UW S
frāternālis|F RRR AE T EH0 RRR N AE L IY S
frāternālēs|F RRR AE T EH0 RRR N AE L EH0 S
frāternālī|F RRR AE T EH0 RRR N AE L IY
frāternē|F RRR AE T EH0 RRR N EH0
frāternō|F RRR AE T EH0 RRR N OW0
frātricīda|F RRR AE T RRR IY K IY D AE
frātricīdium|F RRR AE T RRR IY K IY D IY UW M
frēnat|F RRR EH0 N AE T
frēniger|F RRR EH0 N IY G EH0 RRR
frēnum|F RRR EH0 N UW M
frēnō|F RRR EH0 N OW0
frīgefactō|F RRR IY G EH0 F AE K T OW0
frīgere|F RRR IY G EH0 RRR EH0
frīgerō|F RRR IY G EH0 RRR OW0
frīgeō|F RRR IY G EH0 OW0
frīgidiusculus|F RRR IY G IY D IY UW S K UW L UW S
frīgidulus|F RRR IY G IY D UW L UW S
frīgidus|F RRR IY G IY D UW S
frīgorificus|F RRR IY G OW0 RRR IY F IY K UW S
frīgus|F RRR IY G UW S
frīgusculum|F RRR IY G UW S K UW L UW M
frīgēdō|F RRR IY G EH0 D OW0
frīgēre|F RRR IY G EH0 RRR EH0
frīgēscō|F RRR IY G EH0 S K OW0
frīgō|F RRR IY G OW0
frīsiī|F RRR IY S IY IY
frīvolus|F RRR IY UW OW0 L UW S
frōns|F RRR OW0 N S
frūctifer|F RRR UW K T IY F EH0 RRR
frūctifera|F RRR UW K T IY F EH0 RRR AE
frūctiferās|F RRR UW K T IY F EH0 RRR AE S
frūctiferō|F RRR UW K T IY F EH0 RRR OW0
frūctificātiō|F RRR UW K T IY F IY K AE T IY OW0
frūctificō|F RRR UW K T IY F IY K OW0
frūctus|F RRR UW K T UW S
frūctuārius|F RRR UW K T UW AE RRR IY UW S
frūctuōsus|F RRR UW K T UW OW0 S UW S
frūgifer|F RRR UW G IY F EH0 RRR
frūgiferēns|F RRR UW G IY F EH0 RRR EH0 N S
frūgiparus|F RRR UW G IY P AE RRR UW S
frūgiperdus|F RRR UW G IY P EH0 RRR D UW S
frūgālis|F RRR UW G AE L IY S
frūmen|F RRR UW M EH0 N
frūmentor|F RRR UW M EH0 N T OW0 RRR
frūmentum|F RRR UW M EH0 N T UW M
frūmentārius|F RRR UW M EH0 N T AE RRR IY UW S
frūnīscor|F RRR UW N IY S K OW0 RRR
frūstrandō|F RRR UW S T RRR AE N D OW0
frūstrante|F RRR UW S T RRR AE N T EH0
frūstrantēs|F RRR UW S T RRR AE N T EH0 S
frūstrat|F RRR UW S T RRR AE T
frūstrem|F RRR UW S T RRR EH0 M
frūstrā|F RRR UW S T RRR AE
frūstrārem|F RRR UW S T RRR AE RRR EH0 M
frūstrārās|F RRR UW S T RRR AE RRR AE S
frūstrārēs|F RRR UW S T RRR AE RRR EH0 S
frūstrās|F RRR UW S T RRR AE S
frūstrāsse|F RRR UW S T RRR AE S S EH0
frūstrāssem|F RRR UW S T RRR AE S S EH0 M
frūstrāssēs|F RRR UW S T RRR AE S S EH0 S
frūstrātiō|F RRR UW S T RRR AE T IY OW0
frūstrātōrius|F RRR UW S T RRR AE T OW0 RRR IY UW S
frūstrēs|F RRR UW S T RRR EH0 S
frūstrō|F RRR UW S T RRR OW0
frūstulentus|F RRR UW S T UW L EH0 N T UW S
frūstum|F RRR UW S T UW M
frūx|F RRR UW K S
fueram|F UW EH0 RRR AE M
fuerant|F UW EH0 RRR AE N T
fuerat|F UW EH0 RRR AE T
fuerim|F UW EH0 RRR IY M
fuerimus|F UW EH0 RRR IY M UW S
fuerint|F UW EH0 RRR IY N T
fueris|F UW EH0 RRR IY S
fuerit|F UW EH0 RRR IY T
fueritis|F UW EH0 RRR IY T IY S
fuerāmus|F UW EH0 RRR AE M UW S
fuerās|F UW EH0 RRR AE S
fuerātis|F UW EH0 RRR AE T IY S
fuerō|F UW EH0 RRR OW0
fuga|F UW G AE
fugibilis|F UW G IY B IY L IY S
fugitum|F UW G IY T UW M
fugitīva|F UW G IY T IY UW AE
fugitīvus|F UW G IY T IY UW UW S
fugitīvārius|F UW G IY T IY UW AE RRR IY UW S
fugitīvās|F UW G IY T IY UW AE S
fugitīvō|F UW G IY T IY UW OW0
fugitīvōs|F UW G IY T IY UW OW0 S
fugium|F UW G IY UW M
fugāciter|F UW G AE K IY T EH0 RRR
fugācitās|F UW G AE K IY T AE S
fugātor|F UW G AE T OW0 RRR
fugāx|F UW G AE K S
fugēla|F UW G EH0 L AE
fugō|F UW G OW0
fuimus|F UW IY M UW S
fuisse|F UW IY S S EH0
fuissem|F UW IY S S EH0 M
fuissent|F UW IY S S EH0 N T
fuisset|F UW IY S S EH0 T
fuissēmus|F UW IY S S EH0 M UW S
fuissēs|F UW IY S S EH0 S
fuissētis|F UW IY S S EH0 T IY S
fuistis|F UW IY S T IY S
fuistī|F UW IY S T IY
fuit|F UW IY T
fukienēnsis|F UW K IY EH0 N EH0 N S IY S
fulcipedia|F UW L K IY P EH0 D IY AE
fulciō|F UW L K IY OW0
fulcīmen|F UW L K IY M EH0 N
fulcīmentum|F UW L K IY M EH0 N T UW M
fulcīnius|F UW L K IY N IY UW S
fulgidus|F UW L G IY D UW S
fulginia|F UW L G IY N IY AE
fulgor|F UW L G OW0 RRR
fulgur|F UW L G UW RRR
fulgurālis|F UW L G UW RRR AE L IY S
fulgurātor|F UW L G UW RRR AE T OW0 RRR
fulgurō|F UW L G UW RRR OW0
fulgō|F UW L G OW0
fulica|F UW L IY K AE
fulix|F UW L IY K S
fullō|F UW L L OW0
fullōnius|F UW L L OW0 N IY UW S
fulmen|F UW L M EH0 N
fulmenta|F UW L M EH0 N T AE
fulmentum|F UW L M EH0 N T UW M
fulmineus|F UW L M IY N EH0 UW S
fulminātus|F UW L M IY N AE T UW S
fulminō|F UW L M IY N OW0
fulvaster|F UW L UW AE S T EH0 RRR
fulvicornis|F UW L UW IY K OW0 RRR N IY S
fulvipēs|F UW L UW IY P EH0 S
fulvitarsis|F UW L UW IY T AE RRR S IY S
fulvius|F UW L UW IY UW S
fulviventris|F UW L UW IY UW EH0 N T RRR IY S
fulvus|F UW L UW UW S
fulvēscēns|F UW L UW EH0 S K EH0 N S
fumaroxidāns|F UW M AE RRR OW0 K S IY D AE N S
fumārium|F UW M AE RRR IY UW M
funda|F UW N D AE
fundifōrmis|F UW N D IY F OW0 RRR M IY S
fundulus|F UW N D UW L UW S
fundus|F UW N D UW S
fundā|F UW N D AE
fundāmen|F UW N D AE M EH0 N
fundāmenta|F UW N D AE M EH0 N T AE
fundāmentum|F UW N D AE M EH0 N T UW M
fundāmentālis|F UW N D AE M EH0 N T AE L IY S
fundāmentō|F UW N D AE M EH0 N T OW0
fundātiō|F UW N D AE T IY OW0
fundātor|F UW N D AE T OW0 RRR
fundī|F UW N D IY
fungor|F UW N G OW0 RRR
fungus|F UW N G UW S
fungīnus|F UW N G IY N UW S
fungōsus|F UW N G OW0 S UW S
furca|F UW RRR K AE
furcifer|F UW RRR K IY F EH0 RRR
furcātus|F UW RRR K AE T UW S
furcīs|F UW RRR K IY S
furenter|F UW RRR EH0 N T EH0 RRR
furet|F UW RRR EH0 T
furfur|F UW RRR F UW RRR
furfuriō|F UW RRR F UW RRR IY OW0
furfurāceus|F UW RRR F UW RRR AE K EH0 UW S
furia|F UW RRR IY AE
furibundus|F UW RRR IY B UW N D UW S
furiālis|F UW RRR IY AE L IY S
furiō|F UW RRR IY OW0
furiōsus|F UW RRR IY OW0 S UW S
furmīca|F UW RRR M IY K AE
furnius|F UW RRR N IY UW S
furnus|F UW RRR N UW S
furor|F UW RRR OW0 RRR
