ء|Q
بنجر|B AE N D AE RRR
بنجنكشت|B AE N D AE N K UW SH T
بند|B AE N D
بندر|B AE N D AE RRR
بندق|B UW N D UW G
بندقاني|B UW N D UW K AE N IY
بنطال|B AE N T AE L
بنغلاديش|B AE N HH L AE D EH0 SH
بنفسج|B AE N AE F S AE D
بنفسجي|B AE N AE F S AE D IY Y Y
بنك|B AE N K
بنما|B AE N AE M AE
بنين|B IY N IY N
بهاء|B AE HH AE Q
بهائي|B AE HH AE Q IY Y Y
بهار|B UW HH AE RRR
بهر|B AE HH AE RRR AE
بهرج|B AE HH RRR AE D
بهشية|B AE HH AE SH IY Y Y AE
بهلول|B UW HH L UW L
بهمن|B AE HH M AE N
بهيج|B AE HH IY D
بهيجة|B AE HH IY D AE
بهيم|B AE HH IY M
بهيمة|B AE HH IY M AE
بواب|B AE W W AE B
بوابة|B AE W W AE B AE
بواليع|B AE W AE L IY RH
بوان|B IY W AE N
بوتاسيوم|B UW T AE S IY Y UW M
بوتان|B UW T AE N
بوخارست|B UW HH AE RRR EH0 S T
بودابست|B UW D AE B IY S T
بوذا|B UW DH AE
بوذي|B UW DH IY Y Y
بوذية|B UW DH IY Y Y AE
بورتسودان|B UW RRR T S UW D AE N
بورسودان|B UW RRR S UW D AE N
بورصة|B UW RRR S AE
بورما|B UW RRR M AE
بورندي|B UW RRR UW N D IY
بوروندي|B UW RRR UW N D IY
بوري|B UW RRR IY
بوسة|B UW S AE
بوسكورة|B UW S K UW RRR AE
بوصلة|B UW S UW L AE
بوصير|B UW S IY RRR
بوط|B UW T
بولاد|B UW L AE D
بولس|B UW L UW S
بولندا|P OW0 L AE N D AE
بوليس|B UW L IY S
بوليفيا|B UW L IY F IY Y AE
بيئة|B IY Q AE
بيت|B IY T AE
بيد|B AE Y D AE
بيداء|B AE Y D AE Q
بيدر|B AE Y D AE RRR
بيدق|B AE Y D AE K
بيرق|B AE Y RRR AE K
بيرو|B EH0 RRR UW
بيروت|B AE Y RRR UW T
بيروقراطي|B IY RRR UW K RRR AE T IY Y Y
بيسوس|B AE Y S UW S
بيش|B IY SH
بيض|B IY D
بيطرة|B AE Y T AE RRR AE
بيع|B AE Y RH
بيعة|B IY RH AE
بيفام|B IY F AE M
بيقية|B IY K IY Y Y AE
بيلادونا|B IY L AE D UW N AE
بيلاروسي|B IY L AE RRR UW S IY Y Y
بيلاروسيا|B EH0 L AE RRR UW S Y AE
بيلقان|B AE Y L AE K AE N
بين|B AE Y N AE
بينما|B AE Y N AE M AE
بينيت|B IY N IY T
بينيث|B IY N IY TH
بيوت|B UW Y UW T
ة|RRR
ت|T AE Q
تأثير|T AE Q TH IY RRR
تأخير|T AE Q HH IY RRR
تأرجح|T AE Q AE RRR D AE HH AE
تأسف|T AE Q AE S S AE F AE
تأكيد|T AE Q K IY D
تألف|T AE Q AE L L AE F AE
تألق|T AE Q AE L L UW K
تأمرك|T AE Q AE M RRR AE K AE
تأمور|T AE Q M UW RRR
تأموري|T AE Q M UW RRR IY Y Y
تأميم|T AE Q M IY M
تأنجل|T AE Q AE N G AE L AE
تأنق|T AE Q AE N N AE K AE
تأوه|T AE Q AE W W UW HH
تاء|T AE Q
تاب|T AE B AE
تابوت|T AE B UW T
تاج|T AE D
تاجر|T AE D IY RRR
تاجورة|T AE D UW RRR AE
تارة|T AE RRR AE
تاريخ|T AE RRR IY HH
تاريخية|T AE RRR IY HH IY Y Y AE
تازة|T AE Z AE
تاسع|T AE S IY RH
تافه|T AE F IY HH
تاق|T AE K AE
تاكسي|T AE K S IY
تال|T AE L IY N
تالله|T AE L L AE HH IY
تالي|T AE L IY
تامول|T AE M UW L
تانبول|T AE N AE B UW L
تاوريرت|T AE W RRR IY RRR T
تايلاند|T AE Y L AE N D
تايلند|T AE Y L AE N D
تايلندي|T AE Y L AE N D IY Y Y
تايوان|T AE Y W AE N
تب|T AE B B AE
تبارى|T AE B AE RRR AE
تباطأ|T AE B AE T AE Q AE
تباكى|T AE B AE K AE
تباهى|T AE B AE HH AE
تبحر|T AE B AE HH HH AE RRR AE
تبرع|T AE B AE RRR RRR AE RH AE
تبرم|T AE B AE RRR RRR AE M AE
تبرير|T AE B RRR IY RRR
تبريز|T AE B RRR IY Z
تبشير|T AE B SH IY RRR
تبعية|T AE B AE RH IY Y Y AE
تبغ|T IY B HH
تترى|T AE T RRR AE
تتلى|T UW T L AE
تتويج|T AE T W IY D
تجادل|T AE D AE D AE L AE
تجارة|T IY D AE RRR AE
تجاري|T IY D AE RRR IY Y Y
تجاوزات|T AE D AE W UW Z AE T
تجدد|T AE D AE D D UW D
تجذير|T AE D DH IY RRR
تجربة|T AE D RRR IY B AE
تجرد|T AE D AE RRR RRR UW D
تجرع|T AE D AE RRR RRR AE RH AE
تجريف|T AE D RRR IY F
تجنب|T AE D AE N N UW B
تجنى|T AE D AE N N AE
تجوف|T AE D AE W W UW F
تحاشى|T AE HH AE SH AE
تحالف|T AE HH AE L UW F
تحت|T AE HH T UW
تحدى|T AE HH AE D D AE
تحذير|T AE HH DH IY RRR
تحرش|T UW HH RRR AE SH UW
تحرك|T AE HH AE RRR RRR AE K AE
تحرير|T AE HH RRR IY RRR
تحريض|T AE HH RRR IY D
تحريضي|T AE HH RRR IY D IY Y Y
تحسس|T AE HH AE S S AE S AE
تحفة|T UW HH F AE
تحكم|T AE HH AE K K UW M
تحكيم|T AE HH K IY M
تحليلي|T AE HH L IY L IY Y Y
تحمس|T AE HH AE M M UW S
تحمم|T AE HH AE M M AE M AE
تحوز|T AE HH AE W W AE Z AE
تحوط|T AE HH AE W W UW T
تحولة|T AE HH W IY L AE
تحويط|T AE HH W IY T
تحيز|T AE HH AE W W AE Z AE
تخت|T AE HH T
تختج|T AE HH T AE D
تخدر|T AE HH AE D D AE RRR AE
تخدير|T AE HH D IY RRR
تخضخض|T AE HH AE D HH AE D AE
تخطى|T AE HH AE T T AE
تخفيض|T AE HH F IY D
تخفيف|T AE HH F IY F
تخلص|T AE HH AE L L UW S
تخم|T UW HH M
تداع|T AE D AE RH IY N
تداعى|T AE D AE RH AE
تدثر|T AE D AE TH TH AE RRR AE
تدخين|T AE D HH IY N
تدرب|T AE D AE RRR RRR UW B
تدربس|T AE D AE RRR B AE S AE
تدرج|T AE D RRR UW D
تدريب|T AE D RRR IY B
تدريج|T AE D RRR IY D
تدريجي|T AE D RRR IY D IY Y Y
تدريس|T AE D RRR IY S
تدلى|T AE D AE L L AE
تدليك|T AE D L IY K
تدليل|T AE D L IY L
تدمير|T AE D M IY RRR
تدهور|T AE D AE HH W UW RRR
تدوير|T AE D W IY RRR
تذاكى|T AE DH AE K AE
تذبذب|T AE DH AE B DH UW B
تذكار|T IY DH K AE RRR
تذكر|T AE DH AE K K UW RRR
تذكرة|T AE DH K IY RRR AE
تذمر|T AE DH AE M M UW RRR
تراب|T UW RRR AE B
تراجم|T AE RRR AE D IY M
تراجيديا|T RRR AE D IY D Y AE
تراخوما|T IY RRR AE HH UW M AE
ترانزستور|T RRR AE N Z IY S T UW RRR
تراوح|T AE RRR AE W UW HH
تربة|T UW RRR B AE
تربية|T AE RRR B IY Y AE
ترجم|T AE RRR D AE M AE
ترجمة|T AE RRR D AE M AE
ترجى|T AE RRR AE D D AE
ترسانة|T IY RRR S AE N AE
ترسة|T IY RRR S AE
ترصد|T AE RRR AE S S AE D AE
ترعة|T UW RRR RH AE
ترعرع|T AE RRR AE RH RRR AE RH AE
ترفع|T AE RRR AE F F UW RH
ترقوة|T AE RRR K UW W AE
ترك|T UW RRR K
تركاش|T AE RRR K AE SH
تركمانستان|T UW RRR K UW M AE N IY S T AE N
تركيا|T UW RRR K IY Y Y AE
تركيب|T AE RRR K IY B
ترمس|T UW RRR M UW S
ترميم|T AE RRR M IY M
ترنج|T UW RRR UW N D
ترنجان|T UW RRR UW N D AE N
ترنح|T AE RRR AE N N AE HH AE
ترنيم|T AE RRR N IY M
ترياق|T IY RRR Y AE K
تريث|T AE RRR AE Y Y AE TH AE
تزامن|T AE Z AE M UW N
تزحزح|T AE Z AE HH Z AE HH AE
تزحلق|T AE Z AE HH L UW K
تزعزع|T AE Z AE RH Z AE RH AE
تزويد|T AE Z W IY D
تساءل|T AE S AE Q AE L AE
تساقط|T AE S AE K UW T
تسامح|T AE S AE M UW HH
تساوى|T UW S AE W AE
تسبسب|T AE S AE B S AE B AE
تسريب|T AE S RRR IY B
تسع|T IY S RH
تسعة|T IY S RH AE
تسعمائة|T IY S RH UW M IY Q AE
تسعون|T IY S RH UW N
تسكع|T AE S AE K K AE RH AE
تسلط|T AE S AE L L AE T AE
تسلق|T AE S AE L L UW K
تسلل|T AE S AE L L AE L AE
تسلم|T AE S AE L L UW M
تسلية|T AE S L IY Y AE
تسويق|T AE S W IY K
تسييس|T AE S Y IY S
تشاعر|T AE SH AE RH AE RRR AE
تشالة|T AE SH SH AE L AE
تشبث|T AE SH AE B B AE TH AE
تشخيصي|T AE SH HH IY S IY Y Y
تشرفنا|T AE SH AE RRR RRR AE F N AE
تشكيك|T AE SH K IY K
تشنج|T AE SH AE N N UW D
تشهل|T AE SH AE HH HH AE L AE
تشويق|T AE SH W IY K
تشيكوسلوفاكيا|T SH IY K UW S L UW V AE K IY Y AE
تشيلي|T SH IY L IY
تصاءى|T AE S AE Q AE
تصادأ|T AE S AE D AE Q AE
تصادف|T AE S AE D UW F
تصادم|T AE S AE D UW M
تصاعدي|T AE S AE RH UW D IY Y Y
تصالح|T AE S AE L AE HH AE
تصبصب|T AE S AE B S AE B AE
تصبيرة|T AE S B IY RRR AE
تصتم|T AE S AE T T AE M AE
تصدير|T AE S D IY RRR
تصرف|T AE S AE RRR RRR UW F
تصعيد|T AE S RH IY D
تصغير|T AE S HH IY RRR
تصفح|T AE S AE F F AE HH AE
تصميم|T AE S M IY M
تصنيف|T AE S N IY F
تصهين|T AE S AE HH Y UW N
تصوير|T AE S W IY RRR
تضاد|T AE D AE D D AE
تضامني|T AE D AE M UW N IY Y Y
تضرر|T AE D AE RRR RRR UW RRR
تضمن|T AE D AE M M UW N
تطاير|T AE T AE Y AE RRR AE
تطبب|T AE T AE B B AE B AE
تطبيق|T AE T B IY K
تطفل|T AE T AE F F AE L AE
تطوان|T IY T W AE N
تعادل|T AE RH AE D AE L AE
تعافى|T AE RH AE F AE
تعالم|T AE RH AE L AE M AE
تعالى|T AE RH AE L AE
تعاير|T AE RH AE Y AE RRR AE
تعدى|T AE RH AE D D AE
تعذب|T AE RH AE DH DH AE B AE
تعرض|T AE RH AE RRR RRR AE D AE
تعرية|T AE RH RRR IY Y AE
تعريف|T AE RH RRR IY F
تعزب|T AE RH AE Z Z AE B AE
تعزل|T AE RH AE Z Z AE L AE
تعزم|T AE RH AE Z Z AE M AE
تعس|T AE RH AE S AE
تعسفي|T AE RH AE S S UW F IY Y Y
تعشق|T AE RH AE SH SH AE K AE
تعشن|T AE RH AE SH SH AE N AE
تعشيقة|T AE RH IY SH IY K AE
تعصب|T AE RH AE S S UW B
تعصر|T AE RH AE S S AE RRR AE
تعطى|T UW RH T AE
تعفج|T AE RH AE F F AE D AE
تعلة|T AE RH IY L L AE
تعليق|T AE RH L IY K
تعليم|T AE RH L IY M
تعويذة|T AE RH W IY DH AE
تعين|T AE RH AE Y Y AE N AE
تغذية|T AE HH DH IY Y AE
تغريد|T AE HH RRR IY D
تغريدة|T AE HH RRR IY D AE
تغلب|T AE HH AE L L AE B AE
تغمى|T AE HH AE M M AE
تغوط|T AE HH AE W W AE T AE
تغيير|T AE HH Y IY RRR
تفاجأ|T AE F AE D AE Q AE
تفاح|T UW F F AE HH
تفاحة|T UW F F AE HH AE
تفادى|T AE F AE D AE
تفاف|T IY F AE F
تفاوض|T AE F AE W UW D
تفرغ|T AE F AE RRR RRR UW HH
تفريط|T AE F RRR IY T
تفريغ|T AE F RRR IY HH
تفسير|T AE F S IY RRR
تفسيري|T AE F S IY RRR IY Y Y
تفصيل|T AE F S IY L
تفقد|T AE F AE K K AE D AE
تفوق|T AE F AE W W UW K
تقاعس|T AE K AE RH UW S
تقبض|T AE K AE B B AE D AE
تقدد|T AE K AE D D AE D AE
تقدر|T AE K AE D D AE RRR AE
تقدس|T AE K AE D D AE S AE
تقدم|T AE K AE D D UW M
تقدمي|T AE K AE D D UW M IY Y Y
تقديم|T AE K D IY M
تقرأ|T AE K AE RRR RRR AE Q AE
تقرح|T AE K AE RRR RRR AE HH AE
تقرر|T AE K AE RRR RRR AE RRR AE
تقريبا|T AE K RRR IY B AE N
تقرير|T AE K RRR IY RRR
تقزز|T AE K AE Z Z AE Z AE
تقضب|T AE K AE D D AE B AE
تقضى|T UW K D AE
تقليد|T AE K L IY D
تقليدي|T AE K L IY D IY Y Y
تقني|T IY K N IY Y Y
تقوض|T AE K AE W W AE D AE
تقوى|T AE K W AE
تقويم|T AE K W IY M
تقيأ|T AE K AE Y Y AE Q AE
تقيؤ|T AE K AE Y Y UW Q
تقية|T AE K IY Y Y AE
تكاتب|T AE K AE T UW B
تكدس|T UW K D AE S UW
تكديس|T AE K D IY S
تكشف|T AE K AE SH SH AE F AE
تكعيب|T AE K RH IY B
تكفير|T AE K F IY RRR
تكفيري|T AE K F IY RRR IY Y Y
تكلم|T AE K AE L L UW M
تكميلي|T AE K M IY L IY Y Y
تكويت|T AE K W IY T
تكية|T AE K IY Y Y AE
تل|T AE L L
تلا|T AE L AE
تلاش|T AE L AE SH IY N
تلاشى|T AE L AE SH AE
تلاصق|T AE L AE S UW K
تلاوم|T AE L AE W UW M
تلبرل|T AE L AE B RRR UW L
تلحين|T AE L HH IY N
تلعثم|T AE L AE RH TH AE M AE
تلغراف|T IY L IY HH RRR AE F
تلفاز|T IY L F AE Z
تلفاف|T IY L F AE F
تلفت|T AE L AE F F AE T AE
تلفون|T UW L F UW N AE
تلقاء|T IY L K AE Q AE
تلقى|T AE L AE K K AE
تلك|T IY L K AE
تلم|T AE L AE M
تلميح|T AE L M IY HH
تلميذ|T IY L M IY DH
تلهف|T AE L AE HH HH AE F AE
تليس|T IY L L IY S
تم|T AE M M AE
تمادى|T AE M AE D AE
تمارة|T AE M AE RRR AE
تماسك|T AE M AE S UW K
تماشى|T AE M AE SH AE
تماما|T AE M AE M AE N
تمتم|T AE M T AE M AE
تمتمة|T AE M T AE M AE
تمرد|T AE M AE RRR RRR UW D
تمركز|T AE M AE RRR K AE Z AE
تمرين|T AE M UW RRR RRR IY N AE
تمساح|T IY M S AE HH
تمسيح|T AE M S IY HH
تمسيد|T AE M S IY D
تمطى|T AE M AE T T AE
تململ|T AE M AE L M AE L AE
تمنى|T AE M AE N N AE
تمهل|T AE M AE HH HH AE L AE
تمهيد|T AE M HH IY D
تميس|T AE M AE Y UW1 Y UW1 AE S AE
تمييز|T AE M Y IY Z
تنازع|T AE N AE Z AE RH AE
تنازلي|T AE N AE Z UW L IY Y Y
تناسق|T AE N AE S UW K
تناسى|T AE N AE S AE
تناعس|T AE N AE RH AE S AE
تناغم|T AE N AE HH UW M
تناقض|T AE N AE K UW D
تنامى|T AE N AE M AE
تناوب|T AE N AE W UW B
تناوم|T AE N AE W UW M
تنبول|T UW M B UW L
تنجرة|T AE N D AE RRR AE
تنحى|T AE N AE HH HH AE
تنديل|T IH N D EH0 L
تنرفز|T AE N AE RRR F AE Z AE
تنزانيا|T AE N Z AE N Y AE
تنزل|T AE N AE Z Z AE L AE
تنزه|T AE N AE Z Z AE HH AE
تنسيق|T AE N S IY K
تنظيم|T AE N DH IY M
تنفس|T UW N F AE S UW
تنفيذ|T AE N F IY DH
تنقض|T AE N K AE D IY
تنميل|T AE N M IY L
تنهد|T AE N AE HH HH AE D AE
تنوب|T AE N N UW B
تنور|T AE N N UW RRR
تنورة|T AE N N UW RRR AE
تنوير|T AE N W IY RRR
تنين|T IY N N IY N
تهالك|T AE HH AE L AE K AE
تهتلر|T AE HH AE T L AE RRR AE
تهج|T AE HH AE D D IY N
تهجى|T AE HH AE D D AE
تهدج|T AE HH AE D D AE D AE
تهدد|T AE HH AE D D AE D AE
تهدل|T AE HH AE D D UW L
تهديد|T AE HH D IY D
تهذيب|T AE HH DH IY B
تهكم|T AE HH AE K K AE M AE
تهلين|T AE HH L IY N
تهيأ|T AE HH AE Y Y AE Q AE
توأم|T AE W Q AE M
توارى|T AE W AE RRR AE
توازى|T AE W AE Z AE
تواص|T AE W AE S IY N
تواصى|T AE W AE S AE
تواضع|T AE W AE D UW RH
تواطأ|T AE W AE T AE Q AE
تواطؤ|T AE W AE T UW Q
تواقف|T AE W AE K UW F
توبة|T OW0 B AA
توتيا|T UW T IY Y AE
توتياء|T UW T IY Y AE Q
توج|T UW D
توجه|T AE W AE D D AE HH AE
توجو|T OW0 G OW0
تودري|T UW D AE RRR IY Y Y
تودريج|T UW D AE RRR IY D
توراة|T AH0 W RRR AA T
تورم|T AE W AE RRR RRR UW M
توزيع|T AE W Z IY RH
توسع|T AE W AE S S AE RH AE
توصية|T AE W S IY Y AE
توضح|T AE W AE D D AE HH AE
توظيف|T AE W DH IY F
توعوي|T AE W RH AE W IY Y Y
توعية|T AE W RH IY Y AE
توغو|T OW0 HH OW0
توفى|T AE W AE F F AE
توفيق|T AE W F IY K
توقف|T AE W AE K K UW F
توقيف|T AE W K IY F
توكيد|T AE W K IY D
تومان|T UW M AE N
تونس|T UW N UW S
توهج|T AE W AE HH HH AE D AE
تيش|T IY SH
تيغار|T IY HH AE RRR
تيقظ|T AE Y AE K K AE DH AE
تيموثاوس|T IY M UW TH AE W UW S
تين|T IY N
تينة|T IY N AE
ث|TH AE Q
ثآليل|TH AE Q AE L IY L
ثؤلول|TH UW Q L UW L
ثاء|TH AE Q
ثابت|TH AE B IY T
ثالوث|TH AE L UW TH
ثان|TH AE N IY N
ثانوي|TH AE N AE W IY Y Y
ثانية|TH AE N IY Y AE
ثاودسيوس|TH AE W UW D UW S IY Y UW S
ثداء|TH UW D D AE Q
ثدياء|TH AE D Y AE Q
ثديي|TH AE D Y IY Y Y
ثدييات|TH AE D Y IY Y Y AE T
ثرب|TH AE RRR B
ثروة|TH AE RRR W AE
ثرى|TH AE RRR AE N
ثريد|TH AE RRR IY D
ثعبان|TH UW RH B AE N
ثعلب|TH AE RH L AE B
ثفروق|TH UW F RRR UW K
ثقافة|TH AE K AE F AE
ثقافي|TH AE K AE F IY Y Y
ثقبة|TH UW K B AE
ثقة|TH IY K AE
ثقل|TH IY K L UW N
ثقيل|TH AE K IY L
ثكل|TH AE K IY L AE
ثلاثة|TH AE L AE TH AE
ثلاثون|TH AE L AE TH UW N AE
ثلاجة|TH AE L L AE D AE
ثلة|TH UW L L AE
ثلج|TH AE L D
ثم|TH UW M M AE
ثمان|TH AE M AE N IY N
ثمانون|TH AE M AE N UW N
ثمانية|TH AE M AE N IY Y AE
ثمر|TH AE M AE RRR
ثمن|TH UW M UW N
ثنايا|TH AE N AE Y AE
ثنوية|TH AE N AE W IY Y Y AE
ثوب|TH AE W B
ثور|TH AE W RRR
ثورة|TH AE W RRR AE
ثوري|TH UW RRR IY
ثوم|TH UW M
ثيتل|TH AE Y T AE L
ثيوقراطي|TH IY Y UW K RRR AE T IY Y Y
ج|D IY M
جأش|D AE Q SH
جاء|D AE Q IY N
جائحة|D AE Q IY HH AE
جائز|D AE Q IY Z
جائع|D AE Q IY RH
جاب|D AE B IY N
جابية|D AE B IY Y AE
جاد|D AE D AE
جادل|D AE D AE L AE
جاذبية|D AE DH IY B IY Y Y AE
جار|D AE RRR
جارة|D AE RRR AE
جارية|D AE RRR IY Y AE
جازون|K AE Z UW N
جاع|D AE RH AE
جاف|D AE F F
جاكيت|D AE K IY T
جام|D AE M
جامايكا|D AE M AE Y K AE
جامع|G AE M IY RH
جامعة|D AE M IY RH AE
جاموس|D AE M UW S
جانرك|D AE N AE RRR IY K
جاهز|D AE HH IY Z
جاوب|D AE W AE B AE
جاورجيوس|D AE W UW RRR D IY Y UW S
جاورس|D AE W AE RRR S
جاوشير|D AE W AE SH IY RRR
جبان|D AE B B AE N
جبانات|D AE B AE N AE T
جبة|D UW B B AE
جبت|D IY B T
جبران|D UW B RRR AE N
جبروت|D AE B AE RRR UW T
جبس|D IY B S
جبل|D AE B L
جبن|D UW B N
جبناء|D UW B AE N AE Q
جبه|D AE B AE HH AE
جبهة|D AE B HH AE
جبيز|D AE B IY Z
جثة|D UW TH TH AE
جثجاث|D AE TH D AE TH
جثمان|D UW TH M AE N
جحا|D UW HH AE
جحر|D UW HH RRR
جحفل|D HH F AE L AE
جخى|D AE HH HH AE
جد|D AE D D
جدا|D IY D D AE N
جدار|D IY D AE RRR
جدد|D UW D AE D
جدر|D AE D UW RRR AE
جدري|D UW D AE RRR IY Y Y
جدع|D AE D RH
جدوار|D AE D W AE RRR
جدول|D AE D W AE L
جدوى|D AE D W AE
جديد|D AE D IY D
جذاب|D AE DH DH AE B
جذام|D UW DH AE M
جذر|D IY DH RRR
جذع|D IY DH RH
جذمور|D UW DH M UW RRR
جذوع|D UW DH UW RH
جرأة|D UW RRR Q AE
جرؤ|D AE RRR UW Q AE
جرابي|D IY RRR AE B IY Y Y
جراحة|D IY RRR AE HH AE
جراد|D AE RRR AE D
جرادة|D AE RRR AE D AE
جرارة|D AE RRR RRR AE RRR AE
جرافة|D AE RRR RRR AE F AE
جربندية|D AE RRR AE B AE N D IY Y Y AE
جربوز|D AE RRR B UW Z
جربوع|D AE RRR B UW RH
جرثوم|D UW RRR TH UW M
جرجان|D AE RRR D AE N
جرجس|D UW RRR D UW S
جرجير|D IY RRR D IY RRR
جردل|D AE RRR D AE L
جرذ|D UW RRR AE DH
جرعة|D UW RRR RH AE
جرو|D UW RRR W
جريب|D UW RRR AE Y B
جريد|D AE RRR IY D
جريدة|D AE RRR IY D AE
جريمة|D AE RRR IY M AE
جرينلاند|G IY RRR IY N L AE N D
جز|D AE Z Z AE
جزء|D UW Z Q
جزئي|D UW Z Q IY Y Y
جزاء|D IY Z AE Q
جزائري|D AE Z AE Q IY RRR IY Y Y
جزدان|D UW Z D AE N
جزع|D AE Z AE RH AE
جزمازج|D AE Z M AE Z AE D
جزمازق|D AE Z M AE Z AE K
جزمازك|D AE Z M AE Z AE K
جزيرة|D AE Z IY RRR AE
جسارة|D AE S AE RRR AE
جسامة|D AE S AE M AE
جسر|D IY S RRR
جسم|D IY S M
جسمان|D UW S M AE N
جسماني|D UW S M AE N IY Y Y
جسور|D UW S UW RRR
جسيم|D UW S AE Y M
جشاء|D UW SH AE Q
جص|D IY S S
جعة|D IY RH AE
جعضيض|D AE RH D IY D
جعفر|D AE RH F AE RRR
جعفيل|D AE RH F IY L
جعل|D AE RH L
جفاء|D AE F AE Q
جفن|D IY F IY N
جفنة|D AE F N AE
جلاد|D AE L L AE D
جلب|D AE L AE B AE
جلباب|D IY L B AE B
جلجلان|D UW L D UW L AE N
جلد|D IY L D
جلس|D AE L AE S AE
جلنار|D UW L L AE N AE RRR
جلنجبين|D UW L L AE N D UW B IY N
جلهاب|D IY L HH AE B
جلهم|D UW L HH UW M
جلوز|D IY L L AE W Z
جلي|D AE L IY Y Y
جليد|D AE L IY D
جليس|D AE L IY S
جم|D AE M M
جما|D AE M M AE N
جماد|D AE M AE D
جمادى|D UW M AE D AE
جماعة|D AE M AE RH AE
جمال|D IY M AE L
جمان|D UW M AE N
جمانة|D UW M AE N AE
جمجمة|D UW M D UW M AE
جمدانة|D AE M AE D AE N AE
جمع|D AE M RH
جمعة|D UW M RH AE
جمعي|D AE M RH IY Y Y
جمعية|D AE M RH IY Y Y AE
جمل|D UW M AE L
جملة|D UW M L AE
جمهور|D UW M HH UW RRR
جمهورية|D UW M HH UW RRR IY Y Y AE
جميز|D UW M M AE Y Z
جميزة|D UW M M AE Y Z
جميع|D AE M IY RH
جميل|G AE M IY L
جميلة|D AE M IY L AE
جنائي|D IY N AE Q IY Y Y
جناح|D UW N AE HH
جنازة|ZH N AE Z AE
جنب|D UW N IY B AE
جنة|D AE N N AE
جنح|D UW N HH
جندب|D UW N D UW B
جندبادستر|D UW N D UW B AE D AE S T AE RRR
جندي|D UW N D IY Y Y
جندية|D UW N D IY Y Y AE
جنس|ZH IY N S
جنسي|D IY N S IY Y Y
جنسية|D IY N S IY Y Y AE
جنطيانا|D UW N T AE Y AE N AE
جنك|D UW N K
جنوب|G AE N UW B
جنى|D AE N AE
جني|D UW N N IY
جنيف|D IY N IY F
جنين|D AE N IY N
جنينة|D UW N AE Y N AE
جنيه|G IY N EH0 HH
جهاد|D IY HH AE D
جهادي|D IY HH AE D IY Y Y
جهة|D IY HH AE
جهد|D UW HH D
جهنم|D AE HH AE N N AE M
جو|ZH AE W W
جواب|D AE W AE B
جواد|D AE W AE D
جوارش|D AE W AE RRR IY SH
جوافة|D UW W AE F AE
جواهري|D AE W AE HH IY RRR IY Y Y
جودر|D AE W D AE RRR
جوذاب|D UW DH AE B
جوذر|D AE W DH AE RRR
جور|D AE W RRR
جورب|D AE W RRR AE B
جورجي|D UW RRR D IY Y Y
جورجيا|D UW RRR D IY Y AE
جوز|D OW0 Z
جوزل|D AE W Z AE L
جولة|D AE W L AE
جولق|D AE W L AE K
جوهر|D AE W HH AE RRR
جوهري|D AE W HH AE RRR IY Y Y
جوي|D AE W W IY Y Y
جيء|D IY Q AE
جيد|D IY D
جيش|D AE Y SH
جيفة|D IY F AE
جيل|D IY L
جيم|D IY M
جين|D IY N
جينز|D IY N Z
ح|HH AE Q
حاء|HH AE Q
حائض|HH AE Q IY D
حائط|HH AE Q IY T
حاجة|HH AE D AE
حاجز|HH AE D IY Z
حاجيات|HH AE D IY Y AE T
حاد|HH AE D D
حادث|HH AE D IY TH
حادثة|HH AE D IY TH AE
حاذق|HH AE DH IY K
حارس|HH AE RRR IY S
حاز|HH AE Z AE
حازوقة|HH AE Z UW K AE
حاسد|HH AE S IY D
حاسم|HH AE S IY M
حاسوب|HH AE S UW B
حاشا|HH AE SH AE
حاص|HH AE S AE
حاضرة|HH AE D IY RRR AE
حاط|HH AE T AE
حاف|HH AE F IY N
حافة|HH AE F F AE
حافظة|HH AE F IY DH AE
حافلات|HH AE F IY L AE T
حافلة|HH AE F IY L AE
حاك|HH AE K AE
حالا|HH AE L AE N
حالب|HH AE L IY B
حالة|HH AE L AE T AE
حامض|HH AA M IH DH
حامول|HH AE M UW L
حان|HH AE N AE
حانوت|HH AE N UW T
حاول|HH AE W AE L AE
حب|HH UW B B
حبارى|HH UW B AE RRR AE
حبالة|HH IY B AE L AE
حبة|HH AE B B AE
حبرج|HH UW B RRR UW D
حبس|HH AE B B AE S AE
حبشي|HH AE B AE SH IY Y Y
حبق|HH AE B AE K AE
حبل|HH AE B L
حبلى|HH UW B L AE
حبن|HH UW B IY N AE
حبيبي|HH AE B IY B IY
حتام|HH AE T T AE M AE
حتما|HH AE T M AE N
حج|HH AE ZH ZH
حجاب|HH IY ZH AE B
حجامة|HH IY D AE M AE
حجة|HH UW D D AE
حجر|HH UW D RRR
حجرة|HH UW D RRR AE
حجفة|HH AE D AE F AE
حجم|HH AE D M
حجن|HH AE D AE N AE
حح|HH UW HH
حد|HH IY D
حدا|HH AE D AE
حدج|HH IY D D UW N
حدد|HH AE D D AE D AE
حدق|HH AE D AE K AE
حدوة|HH IY D W AE
حديث|HH AE D IY TH
حديد|HH AE D IY D
حديقة|HH AE D IY G AE
حذار|HH AE DH AE RRR IY
حذفي|HH AE DH AE F IY Y Y
حذلقة|HH AE DH L AE K AE
حذو|HH AE DH W AE
حر|HH UW RRR RRR
حراري|HH AE RRR AE RRR IY Y Y
حرامي|HH AE RRR AE M IY Y Y
حرباء|HH IY RRR B AE Q
حربة|HH AE RRR B AE
حربث|HH UW RRR B UW TH
حربي|HH AE RRR B IY Y UW N
