а|AA
літераторка|L IY T EH0 RRR AA T AO RRR K AA
література|L IY T EH0 RRR AA T UW RRR AA
літературний|L IY T EH0 RRR AA T UW RRR N EH0 IY
літній|L IY T N IY IY
літо|L IY T AO
літопис|L IY T AO P EH0 S
літр|L IY T RRR
ліфт|L IY F T
ліхтар|L IY HH T AA RRR
ліхтенштейн|L IY HH T EH0 N SH T EH IY N
ліцензія|L IY T EH N Z IY Y AA
лічити|L IY T IH T EH0
м'яз|M Y AA Z
м'яза|M Y AA Z AA
м'язам|M Y AA Z AA M
м'язами|M Y AA Z AA M EH0
м'язах|M Y AA Z AA HH
м'язи|M Y AA Z EH0
м'язові|M Y AA Z AO V IY
м'язом|M Y AA Z AO M
м'язу|M Y AA Z UH
м'язі|M Y AA Z IY
м'язів|M Y AA Z IY UW
м'який|M Y AA K IH IY
м'якість|M Y AA K IY S T
м'янма|M Y AA N M AA
м'ясо|M Y AA S AO
м'ясорубка|M Y AA S OW0 RRR UW B K AA
м'ясоїдний|M Y AA S AO Y IY D N EH0 IY
м'ята|M Y AA T AA
м'яти|M Y AA T EH0
м'яч|M Y AA T
маастрихт|M AA AA S T RRR IH HH T
мабуть|M AA B UH T
мавпа|M AA UW P AA
маврикій|M AA UW RRR IH K IY IY
магазин|M AA AA Z IH N
магнетизм|M AA N EH0 T IH Z M
магній|M AA N IY IY
магніт|M AA N IY T
магнітофон|M AA N IY T AO F AO N
мадяр|M AA D AA RRR
маз|M AA Z
мазати|M AA Z AA T EH0
мазь|M AA Z
майбутнє|M AA IY B UW T N EH0
майбутній|M AA IY B UW T N IY IY
майдан|M AA IY D AA N
майже|M AA IY ZH EH0
майно|M AA IY N AO
майонез|M AA Y AO N EH Z
майстерня|M AA IY S T EH RRR N AA
майя|M AA IY Y AA
мак|M AA K
македонський|M AA K EH0 D AO N S K EH0 IY
македонія|M AA K EH0 D AO N IY Y AA
маковий|M AA K AO V EH0 IY
макові|M AA K AO V IY
максим|M AA K S IH M
максимальний|M AA K S EH0 M AA L N EH0 IY
максимум|M AA K S EH0 M UH M
маківка|M AA K IY UW K AA
маківочка|M AA K IY W AO T K AA
малайзія|M AA L AA IY Z IY Y AA
маланка|M AA L AA N K AA
маленький|M AA L EH N K EH0 IY
малий|M AA L IH IY
малина|M AA L IH N AA
мало|M AA L AO
мальта|M AA L T AA
малювати|M AA L UH V AA T EH0
малярство|M AA L AA RRR S T W AO
малі|M AA L IY
мама|M AA M AA
мамо|M AA M AO
мамонт|M AA M AO N T
мамут|M AA M UH T
манго|M AA N AO
мандрувати|M AA N D RRR UH V AA T EH0
мандрівник|M AA N D RRR IY UW N IH K
маневр|M AA N EH UW RRR
манометр|M AA N AO M EH0 T RRR
маніпулювати|M AA N IY P UH L UH V AA T EH0
маніпуляція|M AA N IY P UH L AA T IY Y AA
мапа|M AA P AA
маргінальний|M AA RRR IY N AA L N EH0 IY
маргіналізація|M AA RRR IY N AA L IY Z AA T IY Y AA
маргіналізувати|M AA RRR IY N AA L IY Z UH V AA T EH0
марево|M AA RRR EH0 W AO
марихуана|M AA RRR EH0 HH UH AA N AA
марка|M AA RRR K AA
марко|M AA RRR K AO
марксист|M AA RRR K S IH S T
мармур|M AA RRR M UH RRR
марний|M AA RRR N EH0 IY
марнотратити|M AA RRR N AO T RRR AA T EH0 T EH0
марнувати|M AA RRR N UH V AA T EH0
марність|M AA RRR N IY S T
марсохід|M AA RRR S OW0 HH IY D
марта|M AA RRR T AA
маршрут|M AA RRR SH RRR UW T
маршрути|M AA RRR SH RRR UW T EH0
маршрутка|M AA RRR SH RRR UW T K AA
маршрутів|M AA RRR SH RRR UW T IY UW
маріонетка|M AA RRR IY AO N EH T K AA
маріуполь|M AA RRR IY UW P AO L
марія|M AA RRR IY Y AA
маріїн|M AA RRR IY Y IY N
масаж|M AA S AA ZH
масажувати|M AA S AA ZH UH V AA T EH0
маска|M AA S K AA
маскат|M AA S K AA T
маслина|M AA S L IH N AA
масло|M AA S L AO
мастурбація|M AA S T UH RRR B AA T IY Y AA
мастурбувати|M AA S T UH RRR B UH V AA T EH0
масть|M AA S T
масштаб|M AA SH T AA B
матвійчук|M AA T V IY IY T UW K
математика|M AA T EH0 M AA T EH0 K AA
математичний|M AA T EH0 M AA T IH T N EH0 IY
матеріал|M AA T EH0 RRR IY AA L
матеріальний|M AA T EH0 RRR IY AA L N EH0 IY
матерія|M AA T EH RRR IY Y AA
мати|M AA T EH0
матися|M AA T EH0 S AA
матрьошка|M AA T RRR AO SH K AA
матуся|M AA T UW S AA
матч|M AA T
машина|M AA SH IH N AA
машинерія|M AA SH EH0 N EH RRR IY Y AA
машинний|M AA SH IH N EH0 IY
меблі|M EH B L IY
мева|M EH V AA
мегаліт|M EH0 AA L IY T
мегалітичний|M EH0 AA L IY T IH T N EH0 IY
мед|M EH D
медалей|M EH0 D AA L EH0 IY
медаллю|M EH0 D AA L UH
медаль|M EH0 D AA L
медалями|M EH0 D AA L AA M EH0
медалях|M EH0 D AA L AA HH
медалі|M EH0 D AA L IY
медикамент|M EH0 D EH0 K AA M EH N T
медитація|M EH0 D EH0 T AA T IY Y AA
медицина|M EH0 D EH0 T IH N AA
медичний|M EH0 D IH T N EH0 IY
медовий|M EH0 D AO V EH0 IY
медсестра|M EH0 D S EH0 S T RRR AA
медуза|M EH0 D UW Z AA
меж|M EH ZH
межа|M EH0 ZH AA
межах|M EH ZH AA HH
межи|M EH0 ZH IH
межі|M EH ZH IY
мексика|M EH K S EH0 K AA
мексиканець|M EH0 K S EH0 K AA N EH0 T
мексиканка|M EH0 K S EH0 K AA N K AA
мексиканський|M EH0 K S EH0 K AA N S K EH0 IY
меланія|M EH0 L AA N IY Y AA
мелатонін|M EH0 L AA T OW0 N IY N
мелодій|M EH0 L AO D IY IY
мелодію|M EH0 L AO D IY Y UH
мелодія|M EH0 L AO D IY Y AA
мелодіям|M EH0 L AO D IY Y AA M
мелодіями|M EH0 L AO D IY Y AA M EH0
мелодіях|M EH0 L AO D IY Y AA HH
мелодіє|M EH0 L AO D IY Y EH0
мелодією|M EH0 L AO D IY Y EH0 Y UH
мелодії|M EH0 L AO D IY Y IY
мем|M EH M
меморандум|M EH0 M AO RRR AA N D UH M
меморіальний|M EH0 M AO RRR IY AA L N EH0 IY
мене|M EH0 N EH
менеджер|M EH N EH0 D EH0 RRR
менеджмент|M EH N EH0 D M EH0 N T
менструація|M EH0 N S T RRR UH AA T IY Y AA
менськ|M EH N S K
менталітет|M EH0 N T AA L IY T EH T
ментовка|M EH0 N T AO UW K AA
менш|M EH N SH
менше|M EH N SH EH0
менший|M EH N SH EH0 IY
меншина|M EH0 N SH IH N AA
меншість|M EH N SH IY S T
мені|M EH0 N IY
мер|M EH RRR
мережа|M EH0 RRR EH ZH AA
мереживо|M EH0 RRR EH ZH EH0 W AO
мертвий|M EH RRR T V EH0 IY
мерти|M EH RRR T EH0
мести|M EH0 S T IH
мет|M EH T
мета|M EH0 T AA
метаболізм|M EH0 T AA B OW0 L IY Z M
метаболічний|M EH0 T AA B OW0 L IY T N EH0 IY
метал|M EH0 T AA L
металевий|M EH0 T AA L EH V EH0 IY
металобрухт|M EH0 T AA L OW0 B RRR UW HH T
металург|M EH0 T AA L UW RRR
металургійний|M EH0 T AA L UH RRR IY IY N EH0 IY
металургія|M EH0 T AA L UW RRR IY Y AA
метам|M EH T AA M
метами|M EH T AA M EH0
метафора|M EH0 T AA F AO RRR AA
метафоричний|M EH0 T AA F AO RRR IH T N EH0 IY
метах|M EH T AA HH
метелик|M EH0 T EH L EH0 K
метеорит|M EH0 T EH0 AO RRR IH T
мети|M EH T EH0
мето|M EH T AO
метод|M EH T AO D
методичний|M EH0 T AO D IH T N EH0 IY
метою|M EH0 T AO Y UH
метр|M EH T RRR
метри|M EH T RRR EH0
метро|M EH0 T RRR AO
метрів|M EH T RRR IY UW
мету|M EH0 T UW
меті|M EH0 T IY
механізм|M EH0 HH AA N IY Z M
механік|M EH0 HH AA N IY K
механіка|M EH0 HH AA N IY K AA
механіст|M EH0 HH AA N IY S T
механічний|M EH0 HH AA N IY T N EH0 IY
меч|M EH T
меча|M EH0 T AA
мечам|M EH0 T AA M
мечами|M EH0 T AA M EH0
мечах|M EH0 T AA HH
мечем|M EH0 T EH M
мечу|M EH T UH
мешканець|M EH SH K AA N EH0 T
мешканка|M EH SH K AA N K AA
мешкання|M EH SH K AA N AA
мешкати|M EH SH K AA T EH0
ми|M IH
микола|M EH0 K AO L AA
миколаїв|M EH0 K AO L AA Y IY UW
милий|M IH L EH0 IY
мило|M IH L AO
милосердний|M EH0 L AO S EH RRR D N EH0 IY
мильна|M IH L N AA
мильний|M IH L N EH0 IY
мимоволі|M EH0 M AO W AO L IY
мимовільний|M EH0 M AO V IY L N EH0 IY
минуле|M EH0 N UW L EH0
минулий|M EH0 N UW L EH0 IY
мир|M IH RRR
мирний|M IH RRR N EH0 IY
миролюбний|M EH0 RRR OW0 L UW B N EH0 IY
миротворець|M EH0 RRR AO T W AO RRR EH0 T
мироточення|M EH0 RRR AO T AO T EH0 N AA
мироточець|M EH0 RRR AO T AO T EH0 T
мис|M IH S
мислитель|M EH0 S L IH T EH0 L
мислити|M IH S L EH0 T EH0
мистецтво|M EH0 S T EH T T W AO
мити|M IH T EH0
митний|M IH T N EH0 IY
митниця|M IH T N EH0 T AA
миттєвий|M EH0 T EH V EH0 IY
мить|M IH T
михайло|M EH0 HH AA IY L AO
михаїл|M EH0 HH AA Y IY L
миша|M IH SH AA
млин|M L IH N
множення|M N AO ZH EH0 N AA
множина|M N AO ZH EH0 N AA
множинний|M N AO ZH IH N EH0 IY
мною|M N AO Y UH
мобільний|M OW0 B IY L N EH0 IY
мобілізація|M AO B IY L IY Z AA T IY Y AA
мова|M AO V AA
мовити|M AO V EH0 T EH0
мовлення|M AO UW L EH0 N AA
мовний|M AO UW N EH0 IY
мовознавець|M AO W AO Z N AA V EH0 T
мовознавство|M AO W AO Z N AA UW S T W AO
мовчання|M AO UW T AA N AA
мовчати|M AO UW T AA T EH0
могила|M AO IH L AA
могильов|M AO EH0 L AO UW
мого|M AO AO
могти|M AO T IH
могутній|M AO UH T N IY IY
мода|M AO D AA
модель|M AO D EH L
модернізація|M AO D EH0 RRR N IY Z AA T IY Y AA
модернізувати|M AO D EH0 RRR N IY Z UH V AA T EH0
модифікація|M AO D EH0 F IY K AA T IY Y AA
модифікувати|M AO D EH0 F IY K UH V AA T EH0
модний|M AO D N EH0 IY
модрина|M AO D RRR IH N AA
можливий|M AO ZH L IH V EH0 IY
можливість|M AO ZH L IH V IY S T
можна|M AO ZH N AA
мозамбік|M AO Z AA M B IY K
мозок|M AO Z AO K
мойого|M AO Y AO AO
мокнути|M AO K N UH T EH0
мокрий|M AO K RRR EH0 IY
молдавія|M AO L D AA V IY Y AA
молдова|M AO L D AO V AA
молекула|M AO L EH K UH L AA
молекулярна|M AO L EH0 K UH L AA RRR N AA
молекулярний|M AO L EH0 K UH L AA RRR N EH0 IY
молитва|M AO L IH T V AA
молитися|M AO L IH T EH0 S AA
молитовник|M AO L EH0 T AO UW N EH0 K
молодий|M AO L AO D IH IY
молодице|M AO L AO D IH T EH0
молодицею|M AO L AO D IH T EH0 Y UH
молодиць|M AO L AO D IH T
молодицю|M AO L AO D IH T UH
молодиця|M AO L AO D IH T AA
молодицям|M AO L AO D IH T AA M
молодицями|M AO L AO D IH T AA M EH0
молодицях|M AO L AO D IH T AA HH
молодиці|M AO L AO D IH T IY
молодята|M AO L AO D AA T AA
молодість|M AO L AO D IY S T
молоко|M AO L AO K AO
молот|M AO L AO T
молоти|M AO L AO T EH0
молоття|M AO L AO T AA
молотьба|M AO L AO D B AA
молочний|M AO L AO T N EH0 IY
молюск|M OW0 L UW S K
момент|M AO M EH N T
монако|M AO N AA K AO
монархій|M AO N AA RRR HH IY IY
монархію|M AO N AA RRR HH IY Y UH
монархія|M AO N AA RRR HH IY Y AA
монархіям|M AO N AA RRR HH IY Y AA M
монархіями|M AO N AA RRR HH IY Y AA M EH0
монархіях|M AO N AA RRR HH IY Y AA HH
монархіє|M AO N AA RRR HH IY Y EH0
монархією|M AO N AA RRR HH IY Y EH0 Y UH
монархії|M AO N AA RRR HH IY Y IY
монастир|M AO N AA S T IH RRR
монах|M AO N AA HH
монгольський|M AO N AO L S K EH0 IY
монголія|M AO N AO L IY Y AA
моногамний|M AO N AO AA M N EH0 IY
моногамія|M AO N AO AA M IY Y AA
монолог|M AO N AO L AO
монополіст|M AO N AO P OW0 L IY S T
монохромний|M AO N AO HH RRR AO M N EH0 IY
монумент|M AO N UH M EH N T
монументальний|M AO N UH M EH0 N T AA L N EH0 IY
мораторій|M AO RRR AA T AO RRR IY IY
мордувати|M AO RRR D UH V AA T EH0
море|M AO RRR EH0
морква|M AO RRR K V AA
морквяний|M AO RRR K V AA N EH0 IY
мороз|M AO RRR AO Z
морозиво|M AO RRR AO Z EH0 W AO
морозити|M AO RRR AO Z EH0 T EH0
морок|M AO RRR AO K
морський|M AO RRR S K IH IY
морфологічний|M AO RRR F AO L OW0 IY T N EH0 IY
морфологія|M AO RRR F AO L AO IY Y AA
моря|M AO RRR AA
москаль|M AO S K AA L
москва|M AO S K V AA
мостовий|M AO S T AO V IH IY
мотиваційний|M AO T EH0 V AA T IY IY N EH0 IY
мотивація|M AO T EH0 V AA T IY Y AA
мотивувати|M AO T EH0 W UH V AA T EH0
моторний|M AO T AO RRR N EH0 IY
мотоцикл|M AO T AO T IH K L
мотоцикла|M AO T AO T IH K L AA
мотоциклам|M AO T AO T IH K L AA M
мотоциклами|M AO T AO T IH K L AA M EH0
мотоциклах|M AO T AO T IH K L AA HH
мотоцикли|M AO T AO T IH K L EH0
мотоциклом|M AO T AO T IH K L AO M
мотоциклів|M AO T AO T IH K L IY UW
мох|M AO HH
мошонка|M AO SH AO N K AA
мощі|M AO SH T IY
мою|M AO Y UW
моя|M AO Y AA
моє|M AO Y EH
моєго|M AO Y EH0 AO
моєму|M AO Y EH M UH
моєю|M AO Y EH Y UH
моєї|M AO Y EH Y IY
мої|M AO Y IY
моїй|M AO Y IY IY
моїм|M AO Y IY M
моїми|M AO Y IY M EH0
моїх|M AO Y IY HH
мрій|M RRR IY IY
мрію|M RRR IY Y UH
мрія|M RRR IY Y AA
мріям|M RRR IY Y AA M
мріями|M RRR IY Y AA M EH0
мріяти|M RRR IY Y AA T EH0
мріях|M RRR IY Y AA HH
мріє|M RRR IY Y EH0
мрією|M RRR IY Y EH0 Y UH
мрії|M RRR IY Y IY
мудрий|M UW D RRR EH0 IY
муж|M UW ZH
мужність|M UW ZH N IY S T
мужчина|M UH ZH T IH N AA
музей|M UH Z EH IY
музика|M UH Z IH K AA
музикант|M UH Z EH0 K AA N T
музикантка|M UH Z EH0 K AA N T K AA
музичний|M UH Z IH T N EH0 IY
мука|M UH K AA
муніципальний|M UH N IY T EH0 P AA L N EH0 IY
мур|M UW RRR
мураха|M UH RRR AA HH AA
мурахоїд|M UH RRR AA HH AO Y IY D
мурашка|M UH RRR AA SH K AA
мурашко|M UH RRR AA SH K AO
мурашник|M UH RRR AA SH N EH0 K
мусити|M UW S EH0 T EH0
мусульманин|M UH S UH L M AA N EH0 N
мусульманка|M UH S UH L M AA N EH0 N
мусульманство|M UH S UH L M AA N S T W AO
мусульманський|M UH S UH L M AA N S K EH0 IY
мутація|M UH T AA T IY Y AA
муха|M UW HH AA
мучити|M UW T EH0 T EH0
мігрант|M IY RRR AA N T
мігрантка|M IY RRR AA N T K AA
міграційний|M IY RRR AA T IY IY N EH0 IY
міграція|M IY RRR AA T IY Y AA
мігрень|M IY RRR EH N
мід|M IY D
мідь|M IY D
між|M IY ZH
міжвоєнний|M IY ZH W AO Y EH N EH0 IY
міжгалактичний|M IY ZH AA L AA K T IH T N EH0 IY
міжзоряне|M IY ZH Z AO RRR AA N EH0
міжзоряний|M IY ZH Z AO RRR AA N EH0 IY
міжнародний|M IY ZH N AA RRR AO D N EH0 IY
міжнародними|M IY ZH N AA RRR AO D N EH0 M EH0
міжособистісний|M IY ZH AO S AO B IH S T IY S N EH0 IY
міжособовий|M IY ZH AO S AO B AO V EH0 IY
міжряддя|M IY ZH RRR AA D AA
міжурядовий|M IY ZH UH RRR AA D AO V EH0 IY
мізантроп|M IY Z AA N T RRR AO P
мізантропія|M IY Z AA N T RRR AO P IY Y AA
мізерний|M IY Z EH RRR N EH0 IY
мій|M IY IY
мікрорайон|M IY K RRR AO RRR AA Y AO N
мікроскоп|M IY K RRR AO S K AO P
мікроскопічний|M IY K RRR AO S K OW0 P IY T N EH0 IY
мікроскопія|M IY K RRR AO S K OW0 P IY Y AA
мікрофон|M IY K RRR AO F AO N
мікрохвильова|M IY K RRR AO HH V EH0 L AO V AA
мікрохвильовий|M IY K RRR AO HH V EH0 L AO V IH IY
мікрохвильовка|M IY K RRR AO HH V EH0 L AO UW K AA
мілина|M IY L EH0 N AA
мілкий|M IY L K IH IY
міль|M IY L
мільйон|M IY L Y AO N
мільярд|M IY L Y AA RRR D
міліампер|M IY L IY AA M P EH RRR
міліметр|M IY L IY M EH T RRR
мілітаризація|M IY L IY T AA RRR EH0 Z AA T IY Y AA
мілітаризувати|M IY L IY T AA RRR EH0 Z UH V AA T EH0
міліція|M IY L IY T IY Y AA
мінералогія|M IY N EH0 RRR AA L AO IY Y AA
мінськ|M IY N S K
мінімальна|M IY N IY M AA L N AA
мінімальний|M IY N IY M AA L N EH0 IY
мінімалізм|M IY N IY M AA L IY Z M
мінімаліст|M IY N IY M AA L IY S T
мінімалістичний|M IY N IY M AA L IY S T IH T N EH0 IY
мінімум|M IY N IY M UH M
мінімізація|M IY N IY M IY Z AA T IY Y AA
мінімізувати|M IY N IY M IY Z UH V AA T EH0
міністерство|M IY N IY S T EH RRR S T W AO
міністр|M IY N IY S T RRR
міра|M IY RRR AA
міркувати|M IY RRR K UH V AA T EH0
мірою|M IY RRR AO Y UH
міряти|M IY RRR AA T EH0
міст|M IY S T
містечко|M IY S T EH T K AO
містити|M IY S T IH T EH0
містичний|M IY S T IH T N EH0 IY
місто|M IY S T AO
містобудування|M IY S T AO B UH D UH V AA N AA
місце|M IY S T EH0
місцевий|M IY S T EH V EH0 IY
міський|M IY S K IH IY
місяцевий|M IY S AA T EH V EH0 IY
місяць|M IY S AA T
місячний|M IY S AA T N EH0 IY
місіонер|M IY S IY AO N EH RRR
місіонерка|M IY S IY AO N EH RRR K AA
місія|M IY S IY Y AA
міт|M IY T
мітинг|M IY T EH0 N
мітла|M IY T L AA
мітоз|M IY T AO Z
мітологія|M IY T AO L AO IY Y AA
мітотичний|M IY T AO T IH T N EH0 IY
мітохондрія|M IY T AO HH AO N D RRR IY Y AA
міф|M IY F
міфологічний|M IY F AO L OW0 IY T N EH0 IY
міфологія|M IY F AO L AO IY Y AA
міх|M IY HH
міхур|M IY HH UW RRR
міцний|M IY T N IH IY
міць|M IY T
мічурін|M IY T UW RRR IY N
мішаний|M IY SH AA N EH0 IY
мішок|M IY SH AO K
на|N AA
набагато|N AA B AA AA T AO
наближати|N AA B L EH0 ZH AA T EH0
наближення|N AA B L IH ZH EH0 N AA
наблизити|N AA B L IH Z EH0 T EH0
набряк|N AA B RRR AA K
набій|N AA B IY IY
набійка|N AA B IY IY K AA
навесні|N AA V EH0 S N IY
навидіти|N AA V EH0 D IY T EH0
навичка|N AA V EH0 T K AA
навколишнє|N AA UW K AO L EH0 SH N EH0
навколишній|N AA UW K AO L EH0 SH N IY IY
навколо|N AA UW K AO L AO
навколосвітній|N AA UW K AO L AO S V IY T N IY IY
навмання|N AA UW M AA N AA
навмисний|N AA UW M IH S N EH0 IY
навмисно|N AA UW M IH S N AO
наволочка|N AA W AO L AO T K AA
наврез|N AA UW RRR EH Z
навруз|N AA UW RRR UW Z
навчальний|N AA UW T AA L N EH0 IY
навчання|N AA UW T AA N AA
навчати|N AA UW T AA T EH0
навчити|N AA UW T IH T EH0
навігаційний|N AA V IY AA T IY IY N EH0 IY
навігація|N AA V IY AA T IY Y AA
навіть|N AA V IY T
навіщо|N AA V IY SH T AO
нагадати|N AA AA D AA T EH0
нагадувати|N AA AA D UH V AA T EH0
нагий|N AA IH IY
наголос|N AA AO L AO S
наголосити|N AA AO L AO S IH T EH0
наголошений|N AA AO L AO SH EH0 N EH0 IY
наголошувати|N AA AO L AO SH UH V AA T EH0
нагромаджувати|N AA RRR AO M AA D UH V AA T EH0
нагромадити|N AA RRR AO M AA D EH0 T EH0
над|N AA D
надавати|N AA D AA V AA T EH0
надання|N AA D AA N AA
надати|N AA D AA T EH0
надворі|N AA D W AO RRR IY
надвір|N AA D V IY RRR
наддержава|N AA D EH0 RRR ZH AA V AA
надзвичайний|N AA D V EH0 T AA IY N EH0 IY
надзвичайно|N AA D V EH0 T AA IY N AO
надзвуковий|N AA D W UH K AO V IH IY
надлишковий|N AA D L IH SH K AO V EH0 IY
надлишок|N AA D L IH SH AO K
надмір|N AA D M IY RRR
надмірний|N AA D M IY RRR N EH0 IY
надприродний|N AA D P RRR EH0 RRR AO D N EH0 IY
надто|N AA D T AO
надій|N AA D IY IY
надійний|N AA D IY IY N EH0 IY
надійність|N AA D IY IY N IY S T
надіти|N AA D IY T EH0
надію|N AA D IY Y UH
надія|N AA D IY Y AA
надіям|N AA D IY Y AA M
надіями|N AA D IY Y AA M EH0
надіятися|N AA D IY Y AA T EH0 S AA
надіях|N AA D IY Y AA HH
надіє|N AA D IY Y EH0
надією|N AA D IY Y EH0 Y UH
надії|N AA D IY Y IY
наживо|N AA ZH IH W AO
назавжди|N AA Z AA UW ZH D EH0
назавше|N AA Z AA UW SH EH0
назва|N AA Z V AA
названий|N AA Z V AA N EH0 IY
назвати|N AA Z V AA T EH0
назви|N AA Z V EH0
називати|N AA Z EH0 V AA T EH0
називний|N AA Z EH0 UW N IH IY
найбільш|N AA IY B IY L SH
найбільше|N AA IY B IY L SH EH0
найбільший|N AA IY B IY L SH EH0 IY
найвродливіший|N AA Y W RRR AO D L IH V IY SH EH0 IY
найдружелюбніший|N AA IY D RRR UH ZH EH0 L UW B N IY SH EH0 IY
найманець|N AA IY M AA N EH0 T
найманка|N AA IY M AA N K AA
наймати|N AA IY M AA T EH0
найменш|N AA IY M EH N SH
найменше|N AA IY M EH N SH EH0
найменший|N AA IY M EH N SH EH0 IY
наймит|N AA IY M EH0 T
наймичка|N AA IY M EH0 T K AA
найнижчий|N AA IY N IH ZH T EH0 IY
найновіший|N AA IY N AO V IY SH EH0 IY
найняти|N AA IY N AA T EH0
наказовий|N AA K AA Z AO V EH0 IY
налаштовувати|N AA L AA SH T AO W UH V AA T EH0
налаштувати|N AA L AA SH T UH V AA T EH0
належати|N AA L EH ZH AA T EH0
нам|N AA M
намагатися|N AA M AA AA T EH0 S AA
намет|N AA M EH T
нами|N AA M EH0
намисто|N AA M IH S T AO
намокати|N AA M AO K AA T EH0
намокнути|N AA M AO K N UH T EH0
намібія|N AA M IY B IY Y AA
намір|N AA M IY RRR
наміри|N AA M IY RRR EH0
наміру|N AA M IY RRR UH
намірів|N AA M IY RRR IY UW
напад|N AA P AA D
нападник|N AA P AA D N EH0 K
напам'ять|N AA P AA M Y AA T
напередодні|N AA P EH0 RRR EH0 D AO D N IY
наперсток|N AA P EH RRR S T AO K
написати|N AA P EH0 S AA T EH0
направити|N AA P RRR AA V EH0 T EH0
направляти|N AA P RRR AA UW L AA T EH0
наприклад|N AA P RRR IH K L AA D
наприкінці|N AA P RRR IH K IY N T IY
напружений|N AA P RRR UW ZH EH0 N EH0 IY
напружити|N AA P RRR UW ZH EH0 T EH0
напружувати|N AA P RRR UW ZH UH V AA T EH0
напрям|N AA P RRR AA M
напрямок|N AA P RRR AA M AO K
напій|N AA P IY IY
наразі|N AA RRR AA Z IY
нарвал|N AA RRR V AA L
наречена|N AA RRR EH T EH0 N AA
нарешті|N AA RRR EH SH T IY
наркоз|N AA RRR K AO Z
наркозалежний|N AA RRR K AO Z AA L EH ZH N EH0 IY
наркозалежність|N AA RRR K AO Z AA L EH ZH N IY S T
наркоманія|N AA RRR K AO M AA N IY Y AA
наркотик|N AA RRR K AO T EH0 K
наркотичний|N AA RRR K AO T IH T N EH0 IY
народ|N AA RRR AO D
народження|N AA RRR AO D EH0 N AA
народжуваність|N AA RRR AO D UH V AA N IY S T
народжувати|N AA RRR AO D UH V AA T EH0
народжуватися|N AA RRR AO D UH V AA T EH0 S AA
народити|N AA RRR AO D IH T EH0
народитися|N AA RRR AO D IH T EH0 S AA
народний|N AA RRR AO D N EH0 IY
народовладдя|N AA RRR AO D AO UW L AA D AA
наручний|N AA RRR UW T N EH0 IY
нарід|N AA RRR IY D
нарік|N AA RRR IY K
нас|N AA S
насамперед|N AA S AA M P EH0 RRR EH0 D
населений|N AA S EH L EH0 N EH0 IY
населення|N AA S EH L EH0 N AA
населити|N AA S EH0 L IH T EH0
населяти|N AA S EH0 L AA T EH0
насильство|N AA S IH L S T W AO
наскрізь|N AA S K RRR IY Z
наслідок|N AA S L IY D AO K
насолоджуватися|N AA S AO L AO D UH V AA T EH0 S AA
насолодитися|N AA S AO L AO D IH T EH0 S AA
насправді|N AA S P RRR AA UW D IY
наставати|N AA S T AA V AA T EH0
настати|N AA S T AA T EH0
настроювати|N AA S T RRR AO Y UH V AA T EH0
настроїти|N AA S T RRR AO Y IY T EH0
настрій|N AA S T RRR IY IY
наступний|N AA S T UW P N EH0 IY
наступник|N AA S T UW P N EH0 K
наступниця|N AA S T UW P N EH0 T AA
наступного|N AA S T UW P N AO AO
настільний|N AA S T IY L N EH0 IY
насінина|N AA S IY N IH N AA
насіння|N AA S IY N AA
наталія|N AA T AA L IY Y AA
натовп|N AA T AO UW P
натуральний|N AA T UH RRR AA L N EH0 IY
натще|N AA T SH T EH0
наук|N AA UW K
наука|N AA UW K AA
науковий|N AA UH K AO V EH0 IY
науково|N AA UH K AO W AO
нафта|N AA F T AA
нахил|N AA HH EH0 L
національний|N AA T IY AO N AA L N EH0 IY
національність|N AA T IY AO N AA L N IY S T
націоналізм|N AA T IY AO N AA L IY Z M
націоналіст|N AA T IY AO N AA L IY S T
націоналістичний|N AA T IY AO N AA L IY S T IH T N EH0 IY
нація|N AA T IY Y AA
начальник|N AA T AA L N EH0 K
начальство|N AA T AA L S T W AO
наче|N AA T EH0
начиння|N AA T IH N AA
наш|N AA SH
наша|N AA SH AA
наше|N AA SH EH0
наші|N AA SH IY
наявний|N AA Y AA UW N EH0 IY
наявність|N AA Y AA UW N IY S T
не|N EH
неба|N EH B AA
небажаний|N EH0 B AA ZH AA N EH0 IY
небажання|N EH0 B AA ZH AA N AA
небезпека|N EH0 B EH0 Z P EH K AA
небезпеки|N EH0 B EH0 Z P EH K EH0
небезпечний|N EH0 B EH0 Z P EH T N EH0 IY
небеса|N EH0 B EH0 S AA
небесний|N EH0 B EH S N EH0 IY
небо|N EH B AO
небог|N EH0 B AO
небога|N EH0 B AO AA
небувалий|N EH0 B UH V AA L EH0 IY
небіж|N EH B IY ZH
нева|N EH0 V AA
невблаганний|N EH0 UW B L AA AA N EH0 IY
невдача|N EH0 UW D AA T AA
невже|N EH0 UW ZH EH
невидимий|N EH0 V IH D EH0 M EH0 IY
невидимість|N EH0 V IH D EH0 M IY S T
невичерпний|N EH0 V EH0 T EH RRR P N EH0 IY
невмирущий|N EH0 UW M EH0 RRR UW SH T EH0 IY
невралгічний|N EH0 UW RRR AA L IY T N EH0 IY
невроз|N EH0 UW RRR AO Z
неврологічний|N EH UW RRR AO L OW0 IY T N EH0 IY
неврологія|N EH0 UW RRR AO L AO IY Y AA
невротичний|N EH0 UW RRR AO T IH T N EH0 IY
невтомний|N EH0 UW T AO M N EH0 IY
