'k|AH0 K
knauwen|K N AA UW AH0 N
knecht|K N EH HH T
knechtschap|K N EH HH T S HH AA P
kneden|K N EH0 D AH0 N
kneedbom|K N EH0 T B AO M
kneedgum|K N EH0 T HH M
kneiter|K N EH IY T AH0 RRR
knekel|K N EH0 K AH0 L
knekelhuis|K N EH0 K AH0 L ER Y UW1 S
knekelstad|K N EH0 K AH0 L S T AA T
knekelveld|K N EH0 K AH0 L V EH L T
knettergek|K N EH T AH0 RRR HH EH K
knetterstoned|K N EH T AH0 RRR S T OW0 N T
kneu|K N OE
kneuzen|K N OE Z AH0 N
knevel|K N EH0 V AH0 L
knibbelen|K N IH B AH0 L AH0 N
knie|K N IY
kniekous|K N IY K AA UW S
kniepertje|K N IY P AH0 RRR T Y AH0
knieschijf|K N IY S HH EH IY F
knieviool|K N IY V IY OW0 L
knieën|K N IY AH0 N
kniftig|K N IH F T AH0 HH
knijf|K N EH IY F
knijpbril|K N EH IY P B RRR IH L
knijpen|K N EH IY P AH0 N
knijper|K N EH IY P AH0 RRR
knijpkat|K N EH IY P K AA T
knikken|K N IH K AH0 N
knikker|K N IH K AH0 RRR
knil|K N IH L
knipkunst|K N IH P K N S T
knipogen|K N IH P OW0 HH AH0 N
knipoog|K N IH P OW0 HH
knippen|K N IH P AH0 N
knipperlicht|K N IH P AH0 RRR L IH HH T
knipperlichtrelatie|K N IH P AH0 RRR L IH HH T RRR EH0 L AE T S IY
knipsel|K N IH P S AH0 L
knisperen|K N IH S P AH0 RRR AH0 N
knisteren|K N IH S T AH0 RRR AH0 N
knobbel|K N AO B AH0 L
knobbelzwijn|K N AO B AH0 L Z V EH IY N
knoedel|K N UW D AH0 L
knoeften|K N UW F T AH0 N
knoeien|K N UW IY AH0 N
knoeperd|K N UW P AH0 RRR T
knoert|K N UW RRR T
knoflook|K N AO F L OW0 K
knoflookpad|K N AO F L OW0 K P AA T
knokfilm|K N AO K F IH L M
knokkel|K N AO K AH0 L
knokkelkoorts|K N AO K AH0 L K OW0 RRR T S
knokken|K N AO K AH0 N
knokpartij|K N AO K P AA RRR T EH IY
knokploeg|K N AO K P L UW HH
knol|K N AO L
knolraap|K N AO L RRR AE P
knook|K N OW0 K
knoop|K N OW0 P
knoopcel|K N OW0 P S EH L
knoopcelbatterij|K N OW0 P S EH L B AA T AH0 RRR EH IY
knooppunt|K N OW0 P N T
knopen|K N OW0 P AH0 N
knor|K N AO RRR
knorrepot|K N AO RRR AH0 P AO T
knorrepotten|K N AO RRR AH0 P AO T AH0 N
knorrig|K N AO RRR AH0 HH
knot|K N AO T
knots|K N AO T S
knotsgek|K N AO T S HH EH K
knotwilg|K N AO T V IH L HH
knudde|K N D AH0
knuffel|K N F AH0 L
knuffelbeer|K N F AH0 L B EH0 RRR
knuffelbeest|K N F AH0 L B EH0 S T
knuffelcrimineel|K N F AH0 L K RRR IY M IY N EH0 L
knuffeldier|K N F AH0 L D IY RRR
knuffelen|K N F AH0 L AH0 N
knuffelt|K N F AH0 L T
knurft|K N RRR F T
knus|K N S
knäckebrood|K N EH K AH0 B RRR OW0 T
knäckebröd|K N EH K AH0 B RRR OE T
kobalt|K OW0 B AA L T
kobold|K OW0 B AO L T
kocht|K AO HH T
kochte|K AO HH T AH0
kochten|K AO HH T AH0 N
kockengen|K AO K EH NG AH0 N
kodakmoment|K OW0 D AA K M OW0 M EH N T
kodiakbeer|K OW0 D IY AA K B EH0 RRR
koe|K UW
koebeest|K UW B EH0 S T
koedijk|K UW D EH IY K
koedoe|K UW D UW
koehandel|K UW AA N D AH0 L
koeherder|K UW EH RRR D AH0 RRR
koeien|K UW IY AH0 N
koeienhandel|K UW Y AH0 N AA N D AH0 L
koeienletter|K UW IY AH0 N L EH T AH0 RRR
koeienmelk|K UW IY AH0 N M EH L K
koeiensap|K UW Y AH0 N S AA P
koeioneren|K UW Y OW0 N EH0 RRR AH0 N
koek|K UW K
koekblik|K UW K B L IH K
koekeloeren|K UW K AH0 L UW RRR AH0 N
koeken|K UW K AH0 N
koekenbakker|K UW K AH0 N B AA K AH0 RRR
koekendoos|K UW K AH0 N D OW0 S
koekenpan|K UW K AH0 M P AA N
koekhappen|K UW K AA P AH0 N
koekje|K UW K Y AH0
koekjessnijder|K UW K Y AH0 S N EH IY D AH0 RRR
koekoek|K UW K UW K
koekoeksklok|K UW K UW K S K L AO K
koektrommel|K UW K T RRR AO M AH0 L
koel|K UW L
koelbloedig|K UW L B L UW D AH0 HH
koelbloedigheid|K UW L B L UW D AH0 HH EH IY T
koelcel|K UW L S EH L
koelen|K UW L AH0 N
koelie|K UW L IY
koeling|K UW L IH NG
koelkast|K UW L K AA S T
koelkastmagneet|K UW L K AA S T M AA HH N EH0 T
koelte|K UW L T AH0
koeltoren|K UW L T OW0 RRR AH0 N
koelwagen|K UW L V AE HH AH0 N
koemelk|K UW M EH L K
koen|K UW N
koepel|K UW P AH0 L
koepeldak|K UW P AH0 L D AA K
koer|K UW RRR
koerdisch|K UW RRR D IY S
koers|K UW RRR S
koersverandering|K UW RRR S F EH RRR AA N D AH0 RRR IH NG
koerswijziging|K UW RRR S V EH IY Z AH0 HH IH NG
koesteren|K UW S T AH0 RRR AH0 N
koet|K UW T
koeterwaals|K UW T AH0 RRR V AE L S
koetje|K UW T Y AH0
koets|K UW T S
koetshuis|K UW T S ER Y UW1 S
koetsier|K UW T S IY RRR
koetsiersglas|K UW T S IY RRR S HH L AA S
koevanger|K UW V AA NG AH0 RRR
koevoet|K UW V UW T
koewachter|K UW V AA HH T AH0 RRR
koeweit|K UW V EH IY T
koffer|K AO F AH0 RRR
kofferbak|K AO F AH0 RRR B AA K
kofferruimte|K AO F AH0 RRR RRR ER Y UW1 M T AH0
koffie|K AO F IY
koffieautomaat|K AO F IY AA UW T OW0 M AE T
koffieboon|K AO F IY B OW0 N
koffiecultuur|K AO F IY K L T Y UW1 RRR
koffiedik|K AO F IY D IH K
koffiefilter|K AO F IY F IH L T AH0 RRR
koffiekan|K AO F IY K AA N
koffieleut|K AO F IY L OE T
koffiemelk|K AO F IY M EH L K
koffiemolen|K AO F IY M OW0 L AH0 N
koffieplantage|K AO F IY P L AA N T AE ZH AH0
koffieplanter|K AO F IY P L AA N T AH0 RRR
koffiepot|K AO F IY P AO T
koffieprut|K AO F IY P RRR T
koffieroom|K AO F IY RRR OW0 M
koffiezetapparaat|K AO F IY Z EH T AA P AE RRR AE T
kofschip|K AO F S HH IH P
kogel|K OW0 HH AH0 L
kogelbrief|K OW0 HH AH0 L B RRR IY F
kogelen|K OW0 HH AH0 L AH0 N
kogelhuls|K OW0 HH AH0 L L S
kogellager|K OW0 HH AH0 L L AE HH AH0 RRR
kogelregen|K OW0 HH AH0 L RRR EH0 HH AH0 N
kogelstoten|K OW0 HH AH0 L S T OW0 T AH0 N
kogelvis|K OW0 HH AH0 L V IH S
kogelvrij|K OW0 HH AH0 L V RRR EH IY
koikarper|K AO IY K AA RRR P AH0 RRR
kok|K AO K
kokarde|K OW0 K AA RRR D AH0
koken|K OW0 K AH0 N
koker|K OW0 K AH0 RRR
kokerjuffer|K OW0 K AH0 RRR Y F AH0 RRR
kokerworm|K OW0 K AH0 RRR V AO RRR M
koket|K OW0 K EH T
kokkin|K AO K IH N
kokmeeuw|K AO K M EH0 UW
kokos|K OW0 K AO S
kokosbrood|K OW0 K AO S B RRR OW0 T
kokoskrab|K OW0 K AO S K RRR AA P
kokosmelk|K OW0 K AO S M EH L K
kokosnoot|K OW0 K AO S N OW0 T
kokospalm|K OW0 K AO S P AA L M
koksmaat|K AO K S M AE T
kokstoven|K AO K S T OW0 V AH0 N
kol|K AO L
kola|K OW0 L AE
kolchoz|K AO L HH AO Z
kolder|K AO L D AH0 RRR
kolderschijf|K AO L D AH0 RRR S HH EH IY F
kolderstok|K AO L D AH0 RRR S T AO K
kolenbekken|K OW0 L AH0 N B EH K AH0 N
kolenboer|K OW0 L AH0 N B UW RRR
kolengas|K OW0 L AH0 N HH AA S
kolengruis|K OW0 L AH0 N HH RRR ER Y UW1 S
kolenkit|K OW0 L AH0 N K IH T
kolenlijn|K OW0 L AH0 N L EH IY N
kolenschop|K OW0 L AH0 N S HH AO P
kolenveld|K OW0 L AH0 N V EH L T
kolere|K OW0 L EH0 RRR AH0
kolgans|K AO L HH AA N S
kolk|K AO L K
kolken|K AO L K AH0 N
kollewijns|K AO L AH0 V EH IY N S
kolonel|K OW0 L OW0 N EH L
koloniaal|K OW0 L OW0 N IY AE L
kolonialisme|K OW0 L OW0 N IY AE L IH S M AH0
kolonie|K OW0 L OW0 N IY
kolonisator|K OW0 L OW0 N IY S AE T AO RRR
kolonist|K OW0 L OW0 N IH S T
kolos|K OW0 L AO S
kolossaal|K OW0 L AO S AE L
kom|K AO M
komaf|K AO M AA F
kombuis|K AO M B ER Y UW1 S
komeet|K OW0 M EH0 T
komen|K OW0 M AH0 N
komenij|K OW0 M AH0 N EH IY
komenijswinkel|K OW0 M AH0 N EH IY S V IH NG K AH0 L
komiek|K OW0 M IY K
komiekeling|K OW0 M IY K AH0 L IH NG
komijn|K OW0 M EH IY N
komijnekaas|K OW0 M EH IY N AH0 K AE S
komisch|K OW0 M IY S
komkommer|K AO M K AO M AH0 RRR
komkommertijd|K AO M K AO M AH0 RRR T EH IY T
komma|K AO M AE
kommaneuker|K AO M AE N OE K AH0 RRR
kommavlinder|K AO M AE V L IH N D AH0 RRR
kompas|K AO M P AA S
kompel|K AO M P AH0 L
komplot|K AO M P L AO T
kompres|K AO M P RRR EH S
kompromat|K AO M P RRR OW0 M AA T
komt|K AO M T
kon|K AO N
kond|K AO N T
kondigen|K AO N D AH0 HH AH0 N
konfijt|K AO N F EH IY T
kongo|K AO NG G OW0
kongsi|K AO NG S IY
konijn|K OW0 N EH IY N
konijnenhok|K OW0 N EH IY N AH0 N AO K
konijnenhol|K OW0 N EH IY N AH0 N AO L
konijnenvoer|K OW0 N EH IY N AH0 N V UW RRR
koning|K OW0 N IH NG
koningin|K OW0 N IH NG IH N
koninginnebrij|K OW0 N IH NG IH N AH0 B RRR EH IY
koninginnedag|K OW0 N IH NG IH N AH0 D AA HH
koninginnenpage|K OW0 N IH NG IH N AH0 N P AE ZH AH0
koningscobra|K OW0 N IH NG S K OW0 B RRR AE
koningsdag|K OW0 N IH NG S D AA HH
koningshuis|K OW0 N IH NG S ER Y UW1 S
koningsmantel|K OW0 N IH NG S M AA N T AH0 L
koningsmoord|K OW0 N IH NG S M OW0 RRR T
koningspinguïn|K OW0 N IH NG S P IH NG G V IH N
koninklijk|K OW0 N IH NG K L AH0 K
koninkrijk|K OW0 N IH NG K RRR EH IY K
konkelen|K AO NG K AH0 L AH0 N
kont|K AO N T
kontekletser|K AO N T AH0 K L EH T S AH0 RRR
konterfeitsel|K AO N T AH0 RRR F EH IY T S AH0 L
kontzak|K AO N T S AA K
konvooi|K AO N V OW0 IY
konvooieren|K AO N V OW0 Y EH0 RRR AH0 N
koog|K OW0 HH
kooi|K OW0 IY
kooij|K OW0 IY
kooivechter|K OW0 IY V EH HH T AH0 RRR
kooivechtster|K OW0 IY V EH HH T S T AH0 RRR
kookboek|K OW0 K B UW K
kookkunst|K OW0 K N S T
kookplaat|K OW0 K P L AE T
kookpot|K OW0 K P AO T
kookpunt|K OW0 K P N T
kookt|K OW0 K T
kool|K OW0 L
kooldioxide|K OW0 L D IY AO K S IY D AH0
koolmees|K OW0 L M EH0 S
koolmonoxide|K OW0 L M OW0 N AO K S IY D AH0
koolraap|K OW0 L RRR AE P
koolrabi|K OW0 L RRR AE B IY
koolsla|K OW0 L S L AE
koolstof|K OW0 L S T AO F
koolstofassimilatie|K OW0 L S T AO F AA S IY M IY L AE T S IY
koolstofdioxide|K OW0 L S T AO F D IY AO K S IY D AH0
koolstofmonoxide|K OW0 L S T AO F M OW0 N AO K S IY D AH0
koolwitje|K OW0 L V IH T Y AH0
koolzaadolie|K OW0 L Z AE T OW0 L IY
koolzuur|K OW0 L Z Y UW1 RRR
koop|K OW0 P
koopavond|K OW0 P AE V AO N T
koopjesjager|K OW0 P Y AH0 S Y AE HH AH0 RRR
koopman|K OW0 P M AA N
koopmansgeest|K OW0 P M AA N S HH EH0 S T
koopmanskapitalisme|K OW0 P M AA N S K AE P IY T AE L IH S M AH0
koopstad|K OW0 P S T AA T
koopt|K OW0 P T
koopvaarder|K OW0 P F AE RRR D AH0 RRR
koopvaardij|K OW0 P F AE RRR D EH IY
koopvaardijschip|K OW0 P F AE RRR D EH IY S HH IH P
koopzondag|K OW0 P S AO N D AA HH
koor|K OW0 RRR
koorbisschop|K OW0 RRR B IH S HH AO P
koorddanser|K OW0 RRR T D AA N S AH0 RRR
koorddanseres|K OW0 RRR T D AA N S AH0 RRR EH S
koorhek|K OW0 RRR EH K
koorknaap|K OW0 RRR K N AE P
koormuziek|K OW0 RRR M Y UW1 Z IY K
koorts|K OW0 RRR T S
koortsachtig|K OW0 RRR T S AA HH T AH0 HH
koortsdroom|K OW0 RRR T S D RRR OW0 M
koorzanger|K OW0 RRR Z AA NG AH0 RRR
koorzangeres|K OW0 RRR Z AA NG AH0 RRR EH S
koosjer|K OW0 SH AH0 RRR
koosnaam|K OW0 S N AE M
koot|K OW0 T
kootwijk|K OW0 T V EH IY K
kop|K AO P
kope|K OW0 P AH0
kopen|K OW0 P AH0 N
kopend|K OW0 P AH0 N T
koper|K OW0 P AH0 RRR
koperen|K OW0 P AH0 RRR AH0 N
kopermijn|K OW0 P AH0 RRR M EH IY N
kopersmid|K OW0 P AH0 RRR S M IH T
koperstuk|K OW0 P AH0 RRR S T K
koperwerk|K OW0 P AH0 RRR V EH RRR K
kopiist|K OW0 P IY IH S T
kopiiste|K OW0 P IY IH S T AH0
kopij|K OW0 P EH IY
kopiëren|K OW0 P IY EH0 RRR AH0 N
kopje|K AO P Y AH0
kopkaas|K AO P K AE S
koplamp|K AO P L AA M P
koploper|K AO P L OW0 P AH0 RRR
koppel|K AO P AH0 L
koppelteken|K AO P AH0 L T EH0 K AH0 N
koppig|K AO P AH0 HH
koppigaard|K AO P AH0 HH AE RRR T
koprol|K AO P RRR AO L
koprollen|K AO P RRR AO L AH0 N
kopstem|K AO P S T EH M
kopstoot|K AO P S T OW0 T
kopstuk|K AO P S T K
koptelefoon|K AO P T EH0 L AH0 F OW0 N
koptisch|K AO P T IY S
kopvod|K AO P F AO T
kopvoorn|K AO P F OW0 RRR N
kor|K AO RRR
koraal|K OW0 RRR AE L
koraaldier|K OW0 RRR AE L D IY RRR
koraaleiland|K OW0 RRR AE L EH IY L AA N T
koraalrif|K OW0 RRR AE L RRR IH F
koraalrood|K OW0 RRR AE L RRR OW0 T
koran|K OW0 RRR AA N
kordaat|K AO RRR D AE T
kordaatheid|K AO RRR D AE T EH IY T
korea|K OW0 RRR EH0 AE
koreaan|K OW0 RRR EH0 AE N
koreaans|K OW0 RRR EH0 AE N S
koreaoorlog|K OW0 RRR EH0 AE OW0 RRR L AO HH
koren|K OW0 RRR AH0 N
korenbloem|K OW0 RRR AH0 N B L UW M
korenbout|K OW0 RRR AH0 N B AA UW T
korenhalm|K OW0 RRR AH0 N AA L M
korf|K AO RRR F
korfbal|K AO RRR F B AA L
korfballen|K AO RRR F B AA L AH0 N
korhaan|K AO RRR AE N
korhen|K AO RRR EH N
korhoen|K AO RRR UW N
korjaal|K AO RRR Y AE L
kornet|K AO RRR N EH T
kornoelje|K AO RRR N UW L Y AH0
kornuit|K AO RRR N ER Y UW1 T
korporaal|K AO RRR P OW0 RRR AE L
korps|K AO RRR P S
korrel|K AO RRR AH0 L
korrelig|K AO RRR AH0 L AH0 HH
korren|K AO RRR AH0 N
korsaar|K AO RRR S AE RRR
korst|K AO RRR S T
korstmos|K AO RRR S T M AO S
korsworm|K AO RRR S V AO RRR M
kort|K AO RRR T
kortelings|K AO RRR T AH0 L IH NG S
korten|K AO RRR T AH0 N
kortharig|K AO RRR T AE RRR AH0 HH
kortheid|K AO RRR T EH IY T
kortheidshalve|K AO RRR T EH IY T S AA L V AH0
korting|K AO RRR T IH NG
kortingsbon|K AO RRR T IH NG S B AO N
kortschrift|K AO RRR T S HH RRR IH F T
kortzichtig|K AO RRR T S IH HH T AH0 HH
korver|K AO RRR V AH0 RRR
korvet|K AO RRR V EH T
kosmenger|K AO S M EH NG AH0 RRR
kosmogonie|K AO S M OW0 HH OW0 N IY
kosmonaut|K AO S M OW0 N AA UW T
kosmopoliet|K AO S M OW0 P OW0 L IY T
kosmopolitisch|K AO S M OW0 P OW0 L IY T IY S
kosmopolitisme|K AO S M OW0 P OW0 L IY T IH S M AH0
kosmopolitismus|K AO S M OW0 P OW0 L IY T IH S M S
kosovaar|K AO S OW0 V AE RRR
kosovo|K AO S OW0 V OW0
kost|K AO S T
kostbaar|K AO S T B AE RRR
kostbaarheid|K AO S T B AE RRR EH IY T
kostelijk|K AO S T AH0 L AH0 K
kosteloos|K AO S T AH0 L OW0 S
kosteloost|K AO S T AH0 L OW0 S T
kostelozer|K AO S T AH0 L OW0 Z AH0 RRR
kosten|K AO S T AH0 N
kostenloost|K AO S T AH0 N L OW0 S T
kostenlozer|K AO S T AH0 N L OW0 Z AH0 RRR
koster|K AO S T AH0 RRR
kosthuis|K AO S T ER Y UW1 S
kostprijs|K AO S T P RRR EH IY S
kostschool|K AO S T S HH OW0 L
kostuum|K AO S T Y UW1 M
kostuumfilm|K AO S T Y UW1 M F IH L M
kostwinner|K AO S T V IH N AH0 RRR
kot|K AO T
koter|K OW0 T AH0 RRR
koto|K OW0 T OW0
kots|K AO T S
kotsen|K AO T S AH0 N
kotsmisselijk|K AO T S M IH S AH0 L AH0 K
kou|K AA UW
koud|K AA UW T
koudbloedig|K AA UW T B L UW D AH0 HH
koudbloedige|K AA UW T B L UW D AH0 HH AH0
koudwaterkraan|K AA UW T V AE T AH0 RRR K RRR AE N
koudwatervrees|K AA UW T V AE T AH0 RRR V RRR EH0 S
koukleum|K AA UW K L OE M
kous|K AA UW S
kousenband|K AA UW S AH0 N B AA N T
kousenbandslang|K AA UW S AH0 N B AA N T S L AA NG
kout|K AA UW T
kouten|K AA UW T AH0 N
kouw|K AA UW
kouwe|K AA UW AH0
kouwenberg|K AA UW AH0 N B EH RRR HH
kouwenhoven|K AA UW AH0 N OW0 V AH0 N
koze|K OW0 Z AH0
kozijn|K OW0 Z EH IY N
kraag|K RRR AE HH
kraagbeer|K RRR AE HH B EH0 RRR
kraaghagedis|K RRR AE HH AE HH AH0 D IH S
kraai|K RRR AE IY
kraaiachtige|K RRR AE IY AA HH T AH0 HH AH0
kraaien|K RRR AE IY AH0 N
kraaiennest|K RRR AE Y AH0 N EH S T
kraaienpoot|K RRR AE IY AH0 N P OW0 T
kraak|K RRR AE K
kraakbeenvis|K RRR AE K B EH0 N V IH S
kraakhelder|K RRR AE K EH L D AH0 RRR
kraakstem|K RRR AE K S T EH M
kraal|K RRR AE L
kraaloog|K RRR AE L OW0 HH
kraam|K RRR AE M
kraambed|K RRR AE M B EH T
kraamkamer|K RRR AE M K AE M AH0 RRR
kraamkoorts|K RRR AE M K OW0 RRR T S
kraamnest|K RRR AE M N EH S T
kraamsterfte|K RRR AE M S T EH RRR F T AH0
kraamvrouw|K RRR AE M V RRR AA UW
kraamvrouwenkoorts|K RRR AE M V RRR AA UW AH0 N K OW0 RRR T S
kraamvrouwensterfte|K RRR AE M V RRR AA UW AH0 N S T EH RRR F T AH0
kraamwijn|K RRR AE M V EH IY N
kraan|K RRR AE N
kraanmachinist|K RRR AE M AA SH IY N IH S T
kraanvogel|K RRR AE N V OW0 HH AH0 L
kraanwater|K RRR AE N V AE T AH0 RRR
krab|K RRR AA P
krabben|K RRR AA B AH0 N
krabbenscheer|K RRR AA B AH0 N S HH EH0 RRR
krabbezakje|K RRR AA B AH0 Z AA K Y AH0
krabpaal|K RRR AA P AE L
krach|K RRR AA HH
kracht|K RRR AA HH T
krachtdadig|K RRR AA HH T D AE D AH0 HH
krachteloos|K RRR AA HH T AH0 L OW0 S
krachtig|K RRR AA HH T AH0 HH
krachtmeting|K RRR AA HH T M EH0 T IH NG
krachtmoment|K RRR AA HH T M OW0 M EH N T
krachtstroom|K RRR AA HH T S T RRR OW0 M
krachtterm|K RRR AA HH T EH RRR M
krachttoer|K RRR AA HH T UW RRR
krachtveld|K RRR AA HH T F EH L T
krak|K RRR AA K
krakeend|K RRR AA K EH0 N T
krakeling|K RRR AE K AH0 L IH NG
kraken|K RRR AE K AH0 N
kraker|K RRR AE K AH0 RRR
krakkemikkig|K RRR AA K AH0 M IH K AH0 HH
kralingen|K RRR AE L IH NG AH0 N
kram|K RRR AA M
kramer|K RRR AE M AH0 RRR
kranenburg|K RRR AE N AH0 N B RRR HH
kranendonk|K RRR AE N AH0 N D AO NG K
krankjorum|K RRR AA NG K Y OW0 RRR M
krans|K RRR AA N S
kranssalie|K RRR AA N S AE L IY
kransslagader|K RRR AA N S L AA HH AE D AH0 RRR
krant|K RRR AA N T
krantenjongen|K RRR AA N T AH0 N Y AO NG AH0 N
krantenknipsel|K RRR AA N T AH0 N K N IH P S AH0 L
krantenkop|K RRR AA N T AH0 N K AO P
krantenpapier|K RRR AA N T AH0 N P AE P IY RRR
krap|K RRR AA P
kras|K RRR AA S
kraslot|K RRR AA S L AO T
krassen|K RRR AA S AH0 N
krat|K RRR AA T
krater|K RRR AE T AH0 RRR
kratermeer|K RRR AE T AH0 RRR M EH0 RRR
krediet|K RRR AH0 D IY T
kredietkaart|K RRR AH0 D IY T K AE RRR T
kredietmarkt|K RRR AH0 D IY T M AA RRR K T
kreeft|K RRR EH0 F T
kreeftslak|K RRR EH0 F T S L AA K
kregelig|K RRR EH0 HH AH0 L AH0 HH
krekel|K RRR EH0 K AH0 L
krekelhuis|K RRR EH0 K AH0 L ER Y UW1 S
kreng|K RRR EH NG
krenken|K RRR EH NG K AH0 N
krent|K RRR EH N T
krentenbol|K RRR EH N T AH0 N B AO L
krentenbrood|K RRR EH N T AH0 N B RRR OW0 T
krenterig|K RRR EH N T AH0 RRR AH0 HH
krenwik|K RRR EH N V IH K
kretek|K RRR EH T EH K
kreukel|K RRR OE K AH0 L
kreukelzone|K RRR OE K AH0 L Z AO N AH0
kreupel|K RRR OE P AH0 L
kreupelhout|K RRR OE P AH0 L AA UW T
krib|K RRR IH P
kribbe|K RRR IH B AH0
kriek|K RRR IY K
krieken|K RRR IY K AH0 N
kriel|K RRR IY L
krielkip|K RRR IY L K IH P
krijg|K RRR EH IY HH
krijgen|K RRR EH IY HH AH0 N
krijger|K RRR EH IY HH AH0 RRR
krijgsbuit|K RRR EH IY HH S B ER Y UW1 T
krijgsdienst|K RRR EH IY HH S D IY N S T
krijgsgevangen|K RRR EH IY HH S HH AH0 V AA NG AH0 N
krijgsgevangene|K RRR EH IY HH S HH AH0 V AA NG AH0 N AH0
krijgsgevangenschap|K RRR EH IY HH S HH AH0 V AA NG AH0 N S HH AA P
krijgsgod|K RRR EH IY HH S HH AO T
krijgsgodin|K RRR EH IY HH S HH AO D IH N
krijgshaftig|K RRR EH IY HH S AA F T AH0 HH
krijgsheer|K RRR EH IY HH S EH0 RRR
krijgsmacht|K RRR EH IY HH S M AA HH T
krijgsman|K RRR EH IY HH S M AA N
krijgsolifant|K RRR EH IY HH S OW0 L IY F AA N T
krijgstocht|K RRR EH IY HH S T AO HH T
krijgsverrichting|K RRR EH IY HH S F EH RRR RRR IH HH T IH NG
krijgswet|K RRR EH IY HH S V EH T
krijt|K RRR EH IY T
krijten|K RRR EH IY T AH0 N
krikken|K RRR IH K AH0 N
krim|K RRR IH M
krimi|K RRR IY M IY
krimpen|K RRR IH M P AH0 N
krimpkous|K RRR IH M P K AA UW S
krimpverbinding|K RRR IH M P F EH RRR B IH N D IH NG
kring|K RRR IH NG
kringloopeconomie|K RRR IH NG L OW0 P EH0 K OW0 N OW0 M IY
kringloopwinkel|K RRR IH NG L OW0 P V IH NG K AH0 L
kris|K RRR IH S
kristal|K RRR IH S T AA L
kristallijn|K RRR IH S T AA L EH IY N
kristalsuiker|K RRR IH S T AA L S ER Y UW1 K AH0 RRR
kritiek|K RRR IY T IY K
kritisch|K RRR IY T IY S
kritiseren|K RRR IY T IY Z EH0 RRR AH0 N
kroatië|K RRR OW0 AE T S IY Y AH0
krocht|K RRR AO HH T
kroeg|K RRR UW HH
kroegentocht|K RRR UW HH AH0 N T AO HH T
kroegtijger|K RRR UW HH T EH IY HH AH0 RRR
kroep|K RRR UW P
kroepoek|K RRR UW P UW K
kroes|K RRR UW S
kroeshaar|K RRR UW S AE RRR
kroft|K RRR AO F T
krokant|K RRR OW0 K AA N T
kroket|K RRR OW0 K EH T
krokodil|K RRR OW0 K OW0 D IH L
krokodillentranen|K RRR OW0 K OW0 D IH L AH0 N T RRR AE N AH0 N
krokus|K RRR OW0 K S
krokusvakantie|K RRR OW0 K S F AE K AA N T S IY
krom|K RRR AO M
kromming|K RRR AO M IH NG
kromspraak|K RRR AO M S P RRR AE K
kromtaal|K RRR AO M T AE L
kromzwaard|K RRR AO M Z V AE RRR T
kronen|K RRR OW0 N AH0 N
kroniek|K RRR OW0 N IY K
kroniekschrijver|K RRR OW0 N IY K S HH RRR EH IY V AH0 RRR
kroning|K RRR OW0 N IH NG
kronkelen|K RRR AO NG K AH0 L AH0 N
kroon|K RRR OW0 N
kroonblad|K RRR OW0 N B L AA T
kroondomein|K RRR OW0 N D OW0 M EH IY N
kroongetuige|K RRR OW0 N HH AH0 T ER Y UW1 HH AH0
kroonjuweel|K RRR OW0 N Y Y UW1 V EH0 L
kroonkraan|K RRR OW0 N K RRR AE N
kroonlijst|K RRR OW0 N L EH IY S T
kroonluchter|K RRR OW0 N L HH T AH0 RRR
kroonprins|K RRR OW0 N P RRR IH N S
kroonprinses|K RRR OW0 N P RRR IH N S EH S
kroontjespen|K RRR OW0 N T Y AH0 S P EH N
kroonveldheer|K RRR OW0 N V EH L T EH0 RRR
kroos|K RRR OW0 S
kroost|K RRR OW0 S T
kroot|K RRR OW0 T
krop|K RRR AO P
krot|K RRR AO T
kruid|K RRR ER Y UW1 T
kruiden|K RRR ER Y UW1 D AH0 N
kruidenier|K RRR ER Y UW1 D AH0 N IY RRR
kruideniersgeest|K RRR ER Y UW1 D AH0 N IY RRR S HH EH0 S T
kruideniersmentaliteit|K RRR ER Y UW1 D AH0 N IY RRR S M EH N T AE L IY T EH IY T
kruidenierswinkel|K RRR ER Y UW1 D AH0 N IY RRR S V IH NG K AH0 L
kruidenthee|K RRR ER Y UW1 D AH0 N T EH0
kruidig|K RRR ER Y UW1 D AH0 HH
kruidnagel|K RRR ER Y UW1 T N AE HH AH0 L
kruidnagelsigaret|K RRR ER Y UW1 T N AE HH AH0 L S IY HH AE RRR EH T
kruien|K RRR ER Y UW1 AH0 N
kruier|K RRR ER Y UW1 AH0 RRR
kruik|K RRR ER Y UW1 K
kruikenmoeder|K RRR ER Y UW1 K AH0 N M UW D AH0 RRR
kruimeldief|K RRR ER Y UW1 M AH0 L D IY F
kruimelvlaai|K RRR ER Y UW1 M AH0 L V L AE IY
kruin|K RRR ER Y UW1 N
kruipbrem|K RRR ER Y UW1 P B RRR EH M
kruipdier|K RRR ER Y UW1 P D IY RRR
kruipen|K RRR ER Y UW1 P AH0 N
kruirad|K RRR ER Y UW1 RRR AA T
kruis|K RRR ER Y UW1 S
kruisbes|K RRR ER Y UW1 S B EH S
kruisbestuiving|K RRR ER Y UW1 S B AH0 S T ER Y UW1 V IH NG
kruisboog|K RRR ER Y UW1 S B OW0 HH
kruisboogbout|K RRR ER Y UW1 S B OW0 HH B AA UW T
kruisboogschutter|K RRR ER Y UW1 S B OW0 HH S HH T AH0 RRR
