a|AO
legkorábbi|L EH K OW0 RRR AE B IY
legkoszosabb|L EH K OW0 S OW0 SH AO B
legkovászosabb|L EH K OW0 V AE S OW0 SH AO B
legkozmopolitább|L EH K OW0 Z M OW0 P OW0 L IY T AE B
legkreatívabb|L EH K RRR EH AO T IY V AO B
legkreatívabban|L EH K RRR EH AO T IY V AO B AO N
legkritikusabb|L EH K RRR IY T IY K UW SH AO B
legkulturálisabb|L EH K UW L T UW RRR AE L IY SH AO B
legkurtábban|L EH K UW RRR T AE B AO N
legkuszább|L EH K UW S AE B
legkvalitatívabb|L EH K V AO L IY T AO T IY V AO B
legkvantitatívabb|L EH K V AO N T IY T AO T IY V AO B
legkábítóbb|L EH K AE B IY T OW0 B
legkárosabb|L EH K AE RRR OW0 SH AO B
legkártékonyabb|L EH K AE RRR T EH0 K OW0 N IY0 AO B
legkékebb|L EH K EH0 K EH B
legkékesebb|L EH K EH0 K EH SH EH B
legkékvérűbb|L EH K EH0 K V EH0 RRR Y UW1 B
legkényelmesebb|L EH K EH0 N IY0 EH L M EH SH EH B
legkényelmesebben|L EH K EH0 N IY0 EH L M EH SH EH B EH N
legkényelmetlenebb|L EH K EH0 N IY0 EH L M EH T L EH N EH B
legképesebb|L EH K EH0 P EH SH EH B
legképtelenebb|L EH K EH0 P T EH L EH N EH B
legképzettebb|L EH K EH0 B Z EH T EH B
legkérészéletűbb|L EH K EH0 RRR EH0 S EH0 L EH T Y UW1 B
legkészebb|L EH K EH0 S EH B
legkésőbb|L EH K EH0 SH OE B
legkésőbbi|L EH K EH0 SH OE B IY
legkétségesebb|L EH K EH0 T EH0 G EH SH EH B
legkíméletesebb|L EH K IY M EH0 L EH T EH SH EH B
legkímélőbb|L EH K IY M EH0 L OE B
legkínosabb|L EH K IY N OW0 SH AO B
legkísérletezőbb|L EH K IY SH EH0 RRR L EH T EH Z OE B
legkísértetiesebb|L EH K IY SH EH0 RRR T EH T IY Y EH SH EH B
legkívánatosabb|L EH K IY V AE N AO T OW0 SH AO B
legkíváncsibb|L EH K IY V AE N T IY B
legkórosabb|L EH K OW0 RRR OW0 SH AO B
legködösebb|L EH K OE D OE SH EH B
legködösebben|L EH K OE D OE SH EH B EH N
legkölcsönösebb|L EH K OE L T OE N OE SH EH B
legköltőibb|L EH K OE L T OE Y IY B
legkönnyebb|L EH K OE N IY0 EH B
legkönnyebben|L EH K OE N IY0 EH B EH N
legkönnyedebb|L EH K OE N IY0 EH D EH B
legkönnyelműbb|L EH K OE N IY0 EH L M Y UW1 B
legkönnyesebb|L EH K OE N IY0 EH SH EH B
legkörnyezetkímélőbb|L EH K OE RRR N IY0 EH Z EH T K IY M EH0 L OE B
legkörültekintőbb|L EH K OE RRR Y UW1 L T EH K IY N T OE B
legkötelezőbb|L EH K OE T EH L EH Z OE B
legkötetlenebb|L EH K OE T EH T L EH N EH B
legkötöttebb|L EH K OE T OE T EH B
legkötőbb|L EH K OE T OE B
legkötődőbb|L EH K OE T OE D OE B
legkövetelőbb|L EH K OE V EH T EH L OE B
legkövetőbb|L EH K OE V EH T OE B
legkövérebb|L EH K OE V EH0 RRR EH B
legközelebb|L EH K OE Z EH L EH B
legközelebbi|L EH K OE Z EH L EH B IY
legközlékenyebb|L EH K OE Z L EH0 K EH N IY0 EH B
legközvetlenebb|L EH K OE Z V EH T L EH N EH B
legközvetlenebbül|L EH K OE Z V EH T L EH N EH B Y UW1 L
legközépszerűbb|L EH K OE Z EH0 P S EH RRR Y UW1 B
legközérthetőbb|L EH K OE Z EH0 RRR T HH EH T OE B
legközönségesebb|L EH K OE Z OE N SH EH0 G EH SH EH B
legközönyösebb|L EH K OE Z OE N IY0 OE SH EH B
legközösségibb|L EH K OE Z OE SH EH0 G IY B
legkülvárosibb|L EH K Y UW1 L V AE RRR OW0 SH IY B
legkülönbözőbb|L EH K Y UW1 L OE M B OE Z OE B
legkülönfélébb|L EH K Y UW1 L OE F EH0 L EH0 B
legkülönlegesebb|L EH K Y UW1 L OE N L EH G EH SH EH B
legkülönállóbb|L EH K Y UW1 L OE N AE L OW0 B
legkülönösebb|L EH K Y UW1 L OE N OE SH EH B
legkülönösebben|L EH K Y UW1 L OE N OE SH EH B EH N
leglagymatagabb|L EH G L AO G M AO T AO G AO B
leglangyosabb|L EH G L AO N IY0 G OW0 SH AO B
leglaposabb|L EH G L AO P OW0 SH AO B
leglassabb|L EH G L AO SH AO B
leglassabban|L EH G L AO SH AO B AO N
leglatyakosabb|L EH G L AO K HH AO K OW0 SH AO B
leglazább|L EH G L AO Z AE B
legledérebb|L EH G L EH D EH0 RRR EH B
leglefordíthatatlanabb|L EH G L EH F OW0 RRR D IY T HH AO T AO T L AO N AO B
leglegendásabb|L EH G L EH G EH N D AE SH AO B
leglegálisabb|L EH G L EH G AE L IY SH AO B
leglehetetlenebb|L EH G L EH HH EH T EH T L EH N EH B
leglekötelezettebb|L EH G L EH K OE T EH L EH Z EH T EH B
legleleményesebb|L EH G L EH L EH M EH0 N IY0 EH SH EH B
leglelkesebb|L EH G L EH L K EH SH EH B
leglelketlenebb|L EH G L EH L K EH T L EH N EH B
leglelkiismeretesebb|L EH G L EH L K IY IY SH M EH RRR EH T EH SH EH B
leglenyűgözőbb|L EH G L EH N IY0 Y UW1 G OE Z OE B
legleprább|L EH G L EH P RRR AE B
leglevegőtlenebb|L EH G L EH V EH G OE T L EH N EH B
leglevéltelenebb|L EH G L EH V EH0 L T EH L EH N EH B
legleíróbb|L EH G L EH Y IY RRR OW0 B
leglidércesebb|L EH G L IY D EH0 RRR T EH SH EH B
leglilább|L EH G L IY L AE B
leglobbanékonyabb|L EH G L OW0 B AO N EH0 K OW0 N IY0 AO B
leglobogóbb|L EH G L OW0 B OW0 G OW0 B
leglogikusabb|L EH G L OW0 G IY K UW SH AO B
leglokálisabb|L EH G L OW0 K AE L IY SH AO B
leglombtalanabb|L EH G L OW0 M P T AO L AO N AO B
leglomhább|L EH G L OW0 M AE B
leglovagiasabb|L EH G L OW0 V AO G IY Y AO SH AO B
leglovagiatlanabb|L EH G L OW0 V AO G IY Y AO T L AO N AO B
leglustább|L EH G L UW SH T AE B
leglágyabb|L EH G L AE G AO B
leglágyabban|L EH G L AE G AO B AO N
leglányosabb|L EH G L AE N IY0 OW0 SH AO B
legláthatatlanabb|L EH G L AE T HH AO T AO T L AO N AO B
legláthatóbb|L EH G L AE T HH AO T OW0 B
leglátszólagosabb|L EH G L AE T OW0 L AO G OW0 SH AO B
leglátványosabb|L EH G L AE T V AE N IY0 OW0 SH AO B
leglázadóbb|L EH G L AE Z AO D OW0 B
leglédúsabb|L EH G L EH0 D UW SH AO B
legléhább|L EH G L EH0 AE B
leglélegzetelállítóbb|L EH G L EH0 L EH G Z EH T EH L AE L IY T OW0 B
leglényegesebb|L EH G L EH0 N IY0 EH G EH SH EH B
leglényegtelenebb|L EH G L EH0 N IY0 EH K T EH L EH N EH B
legmagasabb|L EH G M AO G AO SH AO B
legmagasztosabb|L EH G M AO G AO S T OW0 SH AO B
legmagányosabb|L EH G M AO G AE N IY0 OW0 SH AO B
legmagátólértetődőbb|L EH G M AO G AE T OW0 L EH0 RRR T EH T OE D OE B
legmakacsabb|L EH G M AO K AO T AO B
legmakacsabbul|L EH G M AO K AO T AO B UW L
legmakulátlanabb|L EH G M AO K UW L AE T L AO N AO B
legmaróbb|L EH G M AO RRR OW0 B
legmasszívabb|L EH G M AO S IY V AO B
legmatuzsálemibb|L EH G M AO T UW ZH AE L EH M IY B
legmechanikusabban|L EH G M EH AO N IY K UW SH AO B AO N
legmeddőbb|L EH G M EH D OE B
legmegalapozottabb|L EH G M EH G AO L AO P OW0 Z OW0 T AO B
legmegalázóbb|L EH G M EH G AO L AE Z OW0 B
legmegbocsátóbb|L EH G M EH G B OW0 T AE T OW0 B
legmegbízhatatlanabb|L EH G M EH G B IY S HH AO T AO T L AO N AO B
legmegbízhatóbb|L EH G M EH G B IY S HH AO T OW0 B
legmegelégedettebb|L EH G M EH G EH L EH0 G EH D EH T EH B
legmegengedettebb|L EH G M EH G EH NG G EH D EH T EH B
legmegfelelőbb|L EH G M EH K F EH L EH L OE B
legmegfoghatatlanabb|L EH G M EH K F OW0 K HH AO T AO T L AO N AO B
legmeggondolatlanabb|L EH G M EH G OW0 N D OW0 L AO T L AO N AO B
legmeggondoltabb|L EH G M EH G OW0 N D OW0 L T AO B
legmeggyőzőbb|L EH G M EH G G OE Z OE B
legmeghatározottabb|L EH G M EH K HH AO T AE RRR OW0 Z OW0 T AO B
legmeghatározóbb|L EH G M EH K HH AO T AE RRR OW0 Z OW0 B
legmeghatóbb|L EH G M EH K HH AO T OW0 B
legmegindítóbb|L EH G M EH G IY N D IY T OW0 B
legmegközelíthetőbb|L EH G M EH K OE Z EH L IY T HH EH T OE B
legmegkülönböztethetetlenebb|L EH G M EH K Y UW1 L OE M B OE S T EH T HH EH T EH T L EH N EH B
legmeglepettebb|L EH G M EH G L EH P EH T EH B
legmeglepőbb|L EH G M EH G L EH P OE B
legmeglepőbben|L EH G M EH G L EH P OE B EH N
legmegmagyarázhatatlanabb|L EH G M EH G M AO G AO RRR AE S HH AO T AO T L AO N AO B
legmegmaradóbb|L EH G M EH G M AO RRR AO D OW0 B
legmegnyugtatóbb|L EH G M EH G N IY0 UW K T AO T OW0 B
legmegrázóbb|L EH G M EH G RRR AE Z OW0 B
legmegszokottabb|L EH G M EH K S OW0 K OW0 T AO B
legmegszállottabb|L EH G M EH K S AE L OW0 T AO B
legmegtévesztőbb|L EH G M EH K T EH0 V EH S T OE B
legmegállíthatatlanabb|L EH G M EH G AE L IY T HH AO T AO T L AO N AO B
legmelegebb|L EH G M EH L EH G EH B
legmennyeibb|L EH G M EH N IY0 EH Y IY B
legmentőbb|L EH G M EH N T OE B
legmenőbb|L EH G M EH N OE B
legmeredekebb|L EH G M EH RRR EH D EH K EH B
legmerevebb|L EH G M EH RRR EH V EH B
legmerőbb|L EH G M EH RRR OE B
legmesszebb|L EH G M EH S EH B
legmesterségesebb|L EH G M EH SH T EH RRR SH EH0 G EH SH EH B
legmetszőbb|L EH G M EH T OE B
legmeztelenebb|L EH G M EH S T EH L EH N EH B
legmisztikusabb|L EH G M IY S T IY K UW SH AO B
legmocsarasabb|L EH G M OW0 T AO RRR AO SH AO B
legmocskosabb|L EH G M OW0 T K OW0 SH AO B
legmodernebb|L EH G M OW0 D EH RRR N EH B
legmogorvább|L EH G M OW0 G OW0 RRR V AE B
legmohóbban|L EH G M OW0 OW0 B AO N
legmorálisabban|L EH G M OW0 RRR AE L IY SH AO B AO N
legmostohább|L EH G M OW0 SH T OW0 AE B
legmozgalmasabb|L EH G M OW0 Z G AO L M AO SH AO B
legmulandóbb|L EH G M UW L AO N D OW0 B
legmulyább|L EH G M UW Y AE B
legmámorosabb|L EH G M AE M OW0 RRR OW0 SH AO B
legmásabb|L EH G M AE SH AO B
legmásnaposabb|L EH G M AE SH N AO P OW0 SH AO B
legméltatlanabb|L EH G M EH0 L T AO T L AO N AO B
legméltóbb|L EH G M EH0 L T OW0 B
legméltóságteljesebb|L EH G M EH0 L T OW0 SH AE K T EH Y EH SH EH B
legmélyebb|L EH G M EH0 Y EH B
legmérgesebb|L EH G M EH0 RRR G EH SH EH B
legmérgezettebb|L EH G M EH0 RRR G EH Z EH T EH B
legmérgezőbb|L EH G M EH0 RRR G EH Z OE B
legmérhetetlenebb|L EH G M EH0 RRR EH T EH T L EH N EH B
legmérhetőbb|L EH G M EH0 RRR EH T OE B
legmérsékeltebb|L EH G M EH0 RRR SH EH0 K EH L T EH B
legmérsékeltebben|L EH G M EH0 RRR SH EH0 K EH L T EH B EH N
legmértékletesebb|L EH G M EH0 RRR T EH0 K L EH T EH SH EH B
legmézesebb|L EH G M EH0 Z EH SH EH B
legmódszeresebb|L EH G M OW0 T EH RRR EH SH EH B
legmókásabb|L EH G M OW0 K AE SH AO B
legművelhetőbb|L EH G M Y UW1 V EH L EH T OE B
legműveltebb|L EH G M Y UW1 V EH L T EH B
legművészibb|L EH G M Y UW1 V EH0 S IY B
legnagyobb|L EH G N AO G OW0 B
legnagyszerűbb|L EH G N AO K HH S EH RRR Y UW1 B
legnarancsosabb|L EH G N AO RRR AO N T OW0 SH AO B
legnedvdúsabb|L EH G N EH D V D UW SH AO B
legnehezebb|L EH G N EH HH EH Z EH B
legnehezebben|L EH G N EH HH EH Z EH B EH N
legnemesebb|L EH G N EH M EH SH EH B
legnesztelenebb|L EH G N EH S T EH L EH N EH B
legnevelőbb|L EH G N EH V EH L OE B
legnormálisabb|L EH G N OW0 RRR M AE L IY SH AO B
legnyakatekertebb|L EH G N IY0 AO K AO T EH K EH RRR T EH B
legnyersebb|L EH G N IY0 EH RRR SH EH B
legnyilvánosabban|L EH G N IY0 IY L V AE N OW0 SH AO B AO N
legnyilvánvalóbban|L EH G N IY0 IY L V AE V AO L OW0 B AO N
legnyitottabb|L EH G N IY0 IY T OW0 T AO B
legnyomasztóbb|L EH G N IY0 OW0 M AO S T OW0 B
legnyomottabb|L EH G N IY0 OW0 M OW0 T AO B
legnyomósabb|L EH G N IY0 OW0 M OW0 SH AO B
legnyugatibb|L EH G N IY0 UW G AO T IY B
legnyugodtabb|L EH G N IY0 UW G OW0 T AO B
legnyugtalanítóbb|L EH G N IY0 UW K T AO L AO N IY T OW0 B
legnyíltabb|L EH G N IY0 IY L T AO B
legnyíltabban|L EH G N IY0 IY L T AO B AO N
legnélkülözhetetlenebb|L EH G N EH0 L K Y UW1 L OE S HH EH T EH T L EH N EH B
legnémább|L EH G N EH0 M AE B
legnépszerűbb|L EH G N EH0 P S EH RRR Y UW1 B
legnézettebb|L EH G N EH0 Z EH T EH B
legokosabb|L EH G OW0 K OW0 SH AO B
legolajosabb|L EH G OW0 L AO Y OW0 SH AO B
legolcsóbb|L EH G OW0 L T OW0 B
legolvadtabb|L EH G OW0 L V AO T AO B
legolvashatatlanabb|L EH G OW0 L V AO SH HH AO T AO T L AO N AO B
legolvashatóbb|L EH G OW0 L V AO SH HH AO T OW0 B
legolvasottabb|L EH G OW0 L V AO SH OW0 T AO B
legominózusabb|L EH G OW0 M IY N OW0 Z UW SH AO B
legostobább|L EH G OW0 SH T OW0 B AE B
legotthonosabb|L EH G OW0 T HH OW0 N OW0 SH AO B
legpaprikásabb|L EH K P AO P RRR IY K AE SH AO B
legparancsolgatóbb|L EH K P AO RRR AO N T OW0 L G AO T OW0 B
legparanoiásabb|L EH K P AO RRR AO N OW0 Y AE SH AO B
legparányibb|L EH K P AO RRR AE N IY0 IY B
legpezsgőbb|L EH K P EH ZH G OE B
legpimaszabb|L EH K P IY M AO S AO B
legpirosabb|L EH K P IY RRR OW0 SH AO B
legpiszkosabb|L EH K P IY S K OW0 SH AO B
legplátóibb|L EH K P L AE T OW0 Y IY B
legpocakosabb|L EH K P OW0 T AO K OW0 SH AO B
legpokolibb|L EH K P OW0 K OW0 L IY B
legpompásabb|L EH K P OW0 M P AE SH AO B
legpontatlanabb|L EH K P OW0 N T AO T L AO N AO B
legpontosabban|L EH K P OW0 N T OW0 SH AO B AO N
legporosabb|L EH K P OW0 RRR OW0 SH AO B
legpozitívabb|L EH K P OW0 Z IY T IY V AO B
legpraktikusabb|L EH K P RRR AO K T IY K UW SH AO B
legprimitívebb|L EH K P RRR IY M IY T IY V EH B
legprivilegizáltabb|L EH K P RRR IY V IY L EH G IY Z AE L T AO B
legproblematikusabb|L EH K P RRR OW0 B L EH M AO T IY K UW SH AO B
legprostituáltabb|L EH K P RRR OW0 SH T IY T UW AE L T AO B
legprovokatívabban|L EH K P RRR OW0 V OW0 K AO T IY V AO B AO N
legpuhább|L EH K P UW AE B
legpusztítóbb|L EH K P UW S T IY T OW0 B
legpárnásabb|L EH K P AE RRR N AE SH AO B
legpökhendibb|L EH K P OE K HH EH N D IY B
legracionálisabb|L EH G RRR AO T IY Y OW0 N AE L IY SH AO B
legradikálisabb|L EH G RRR AO D IY K AE L IY SH AO B
legradioaktívabb|L EH G RRR AO D IY Y OW0 AO K T IY V AO B
legrafináltabb|L EH G RRR AO F IY N AE L T AO B
legragacsosabb|L EH G RRR AO G AO T OW0 SH AO B
legragadozóbb|L EH G RRR AO G AO D OW0 Z OW0 B
legragadósabb|L EH G RRR AO G AO D OW0 SH AO B
legragyogóbb|L EH G RRR AO G OW0 G OW0 B
legrajongóbb|L EH G RRR AO Y OW0 NG G OW0 B
legravaszabb|L EH G RRR AO V AO S AO B
legrealisztikusabb|L EH G RRR EH AO L IY S T IY K UW SH AO B
legrejtelmesebb|L EH G RRR EH Y T EH L M EH SH EH B
legrejtettebb|L EH G RRR EH Y T EH T EH B
legrejtélyesebb|L EH G RRR EH Y T EH0 Y EH SH EH B
legrelevánsabb|L EH G RRR EH L EH V AE N SH AO B
legremekebb|L EH G RRR EH M EH K EH B
legreményteljesebb|L EH G RRR EH M EH0 N IY0 T EH Y EH SH EH B
legrendezettebb|L EH G RRR EH N D EH Z EH T EH B
legrendszeresebben|L EH G RRR EH N T EH RRR EH SH EH B EH N
legrendületlenebbül|L EH G RRR EH N D Y UW1 L EH T L EH N EH B Y UW1 L
legrettegettebb|L EH G RRR EH T EH G EH T EH B
legriasztóbb|L EH G RRR IY Y AO S T OW0 B
legridegebb|L EH G RRR IY D EH G EH B
legritkább|L EH G RRR IY T K AE B
legritkábban|L EH G RRR IY T K AE B AO N
legritmikusabb|L EH G RRR IY T M IY K UW SH AO B
legrituálisabban|L EH G RRR IY T UW AE L IY SH AO B AO N
legromantikusabb|L EH G RRR OW0 M AO N T IY K UW SH AO B
legromlottabb|L EH G RRR OW0 M L OW0 T AO B
legromosabb|L EH G RRR OW0 M OW0 SH AO B
legrongyosabb|L EH G RRR OW0 N IY0 G OW0 SH AO B
legrosszabb|L EH G RRR OW0 S AO B
legrozsdásabb|L EH G RRR OW0 ZH D AE SH AO B
legrugalmasabb|L EH G RRR UW G AO L M AO SH AO B
legruganyosabb|L EH G RRR UW G AO N IY0 OW0 SH AO B
legrusztikusabb|L EH G RRR UW S T IY K UW SH AO B
legrágósabb|L EH G RRR AE G OW0 SH AO B
legrégebbi|L EH G RRR EH0 G EH B IY
legrégibb|L EH G RRR EH0 G IY B
legrémisztőbb|L EH G RRR EH0 M IY S T OE B
legrészegebb|L EH G RRR EH0 S EH G EH B
legrészegítőbb|L EH G RRR EH0 S EH G IY T OE B
legrészletesebb|L EH G RRR EH0 S L EH T EH SH EH B
legrészrehajlóbb|L EH G RRR EH0 S RRR EH AO Y L OW0 B
legrózsásabb|L EH G RRR OW0 ZH AE SH AO B
legrövidebb|L EH G RRR OE V IY D EH B
legrövidebben|L EH G RRR OE V IY D EH B EH N
legrövidítettebb|L EH G RRR OE V IY D IY T EH T EH B
legsajátosabb|L EH K SH AO Y AE T OW0 SH AO B
legsavanyúbb|L EH K SH AO V AO N IY0 UW B
legsavasabb|L EH K SH AO V AO SH AO B
legsebezhetetlenebb|L EH K SH EH B EH S HH EH T EH T L EH N EH B
legsegítőbb|L EH K SH EH G IY T OE B
legsejtelmesebb|L EH K SH EH Y T EH L M EH SH EH B
legsekélyebb|L EH K SH EH K EH0 Y EH B
legsekélyesebb|L EH K SH EH K EH0 Y EH SH EH B
legsematikusabban|L EH K SH EH M AO T IY K UW SH AO B AO N
legsikeresebb|L EH K SH IY K EH RRR EH SH EH B
legsikertelenebb|L EH K SH IY K EH RRR T EH L EH N EH B
legspekulatívabb|L EH K SH P EH K UW L AO T IY V AO B
legspontánabban|L EH K SH P OW0 N T AE N AO B AO N
legstílusosabb|L EH K SH T IY L UW SH OW0 SH AO B
legsugárzóbb|L EH K SH UW G AE RRR Z OW0 B
legsuttogóbb|L EH K SH UW T OW0 G OW0 B
legszabadabb|L EH K S AO B AO D AO B
legszabadabban|L EH K S AO B AO D AO B AO N
legszabályosabb|L EH K S AO B AE Y OW0 SH AO B
legszabályszerűbb|L EH K S AO B AE Y S EH RRR Y UW1 B
legszabálytalanabb|L EH K S AO B AE Y T AO L AO N AO B
legszagtalanabb|L EH K S AO K T AO L AO N AO B
legszakadtabb|L EH K S AO K AO T AO B
legszakszerűbb|L EH K S AO K S EH RRR Y UW1 B
legszaporább|L EH K S AO P OW0 RRR AE B
legszebb|L EH K S EH B
legszebben|L EH K S EH B EH N
legszebbik|L EH K S EH B IY K
legszegényebb|L EH K S EH G EH0 N IY0 EH B
legszegényesebb|L EH K S EH G EH0 N IY0 EH SH EH B
legszelesebb|L EH K S EH L EH SH EH B
legszellemesebb|L EH K S EH L EH M EH SH EH B
legszellősebb|L EH K S EH L OE SH EH B
legszelídebb|L EH K S EH L IY D EH B
legszembetűnőbb|L EH K S EH M B EH T Y UW1 N OE B
legszemetesebb|L EH K S EH M EH T EH SH EH B
legszemléletesebb|L EH K S EH M L EH0 L EH T EH SH EH B
legszemtelenebb|L EH K S EH M T EH L EH N EH B
legszemölcsösebb|L EH K S EH M OE L T OE SH EH B
legszennyesebb|L EH K S EH N IY0 EH SH EH B
legszennyezettebb|L EH K S EH N IY0 EH Z EH T EH B
legszentimentálisabb|L EH K S EH N T IY M EH N T AE L IY SH AO B
legszenvedőbb|L EH K S EH V EH D OE B
legszerencsésebb|L EH K S EH RRR EH N T EH0 SH EH B
legszerencsétlenebb|L EH K S EH RRR EH N T EH0 T L EH N EH B
legszeretőbb|L EH K S EH RRR EH T OE B
legszerkesztettebb|L EH K S EH RRR K EH S T EH T EH B
legszerteágazóbb|L EH K S EH RRR T EH AE G AO Z OW0 B
legszervezettebb|L EH K S EH RRR V EH Z EH T EH B
legszerényebb|L EH K S EH RRR EH0 N IY0 EH B
legszeszélyesebb|L EH K S EH S EH0 Y EH SH EH B
legszigorúbb|L EH K S IY G OW0 RRR UW B
legszimpatikusabb|L EH K S IY M P AO T IY K UW SH AO B
legszimplább|L EH K S IY M P L AE B
legszimptomatikusabb|L EH K S IY M P T OW0 M AO T IY K UW SH AO B
legszociálisabb|L EH K S OW0 T IY Y AE L IY SH AO B
legszokottabb|L EH K S OW0 K OW0 T AO B
legszokványosabb|L EH K S OW0 K V AE N IY0 OW0 SH AO B
legszolgalelkűbb|L EH K S OW0 L G AO L EH L K Y UW1 B
legszomorúbb|L EH K S OW0 M OW0 RRR UW B
legszorosabb|L EH K S OW0 RRR OW0 SH AO B
legszutykosabb|L EH K S UW K HH K OW0 SH AO B
legszámosabb|L EH K S AE M OW0 SH AO B
legszámítóbb|L EH K S AE M IY T OW0 B
legszánalmasabb|L EH K S AE N AO L M AO SH AO B
legszándékosabb|L EH K S AE N D EH0 K OW0 SH AO B
legszándékosabban|L EH K S AE N D EH0 K OW0 SH AO B AO N
legszárazabb|L EH K S AE RRR AO Z AO B
legszélesebb|L EH K S EH0 L EH SH EH B
legszínesebb|L EH K S IY N EH SH EH B
legszívesebben|L EH K S IY V EH SH EH B EH N
legszívtelenebb|L EH K S IY F T EH L EH N EH B
legszívélyesebb|L EH K S IY V EH0 Y EH SH EH B
legszívélyesebben|L EH K S IY V EH0 Y EH SH EH B EH N
legszófogadóbb|L EH K S OW0 F OW0 G AO D OW0 B
legszórakoztatóbb|L EH K S OW0 RRR AO K OW0 S T AO T OW0 B
legszövevényesebb|L EH K S OE V EH V EH0 N IY0 EH SH EH B
legszükségesebb|L EH K S Y UW1 K SH EH0 G EH SH EH B
legszürrealistább|L EH K S Y UW1 RRR EH AO L IY SH T AE B
legszűkebb|L EH K S Y UW1 K EH B
legszűkítettebb|L EH K S Y UW1 K IY T EH T EH B
legsántább|L EH K SH AE N T AE B
legsápatagabb|L EH K SH AE P AO T AO G AO B
legsárgább|L EH K SH AE RRR G AE B
legsárgásabb|L EH K SH AE RRR G AE SH AO B
legsértegetőbb|L EH K SH EH0 RRR T EH G EH T OE B
legsértettebb|L EH K SH EH0 RRR T EH T EH B
legsértőbb|L EH K SH EH0 RRR T OE B
legsérültebb|L EH K SH EH0 RRR Y UW1 L T EH B
legsósabb|L EH K SH OW0 SH AO B
legsóvárgóbb|L EH K SH OW0 V AE RRR G OW0 B
legsötétebb|L EH K SH OE T EH0 T EH B
legsúlyosabb|L EH K SH UW Y OW0 SH AO B
legsüketebb|L EH K SH Y UW1 K EH T EH B
legsürgősebb|L EH K SH Y UW1 RRR G OE SH EH B
legtagadhatatlanabb|L EH K T AO G AO T HH AO T AO T L AO N AO B
legtakarékosabb|L EH K T AO K AO RRR EH0 K OW0 SH AO B
legtalpraesettebb|L EH K T AO L P RRR AO EH SH EH T EH B
legtalálékonyabb|L EH K T AO L AE L EH0 K OW0 N IY0 AO B
legtanultabb|L EH K T AO N UW L T AO B
legtapasztalatlanabb|L EH K T AO P AO S T AO L AO T L AO N AO B
legtapasztaltabb|L EH K T AO P AO S T AO L T AO B
legtarkább|L EH K T AO RRR K AE B
legtartózkodóbb|L EH K T AO RRR T OW0 S K OW0 D OW0 B
legtehetetlenebb|L EH K T EH HH EH T EH T L EH N EH B
legtehetségesebb|L EH K T EH HH EH T EH0 G EH SH EH B
legtekervényesebb|L EH K T EH K EH RRR V EH0 N IY0 EH SH EH B
legteljesebb|L EH K T EH Y EH SH EH B
legteljesebben|L EH K T EH Y EH SH EH B EH N
legtelítettebb|L EH K T EH L IY T EH T EH B
legterjedelmesebb|L EH K T EH RRR Y EH D EH L M EH SH EH B
legtermészetesebb|L EH K T EH RRR M EH0 S EH T EH SH EH B
legtermészetesebben|L EH K T EH RRR M EH0 S EH T EH SH EH B EH N
legtetszőbb|L EH K T EH T OE B
legtiltakozóbb|L EH K T IY L T AO K OW0 Z OW0 B
legtisztább|L EH K T IY S T AE B
legtitokzatosabb|L EH K T IY T OW0 G Z AO T OW0 SH AO B
legtoleránsabb|L EH K T OW0 L EH RRR AE N SH AO B
legtombolóbb|L EH K T OW0 M B OW0 L OW0 B
legtradicionálisabb|L EH K T RRR AO D IY T IY Y OW0 N AE L IY SH AO B
legtragikomikusabb|L EH K T RRR AO G IY K OW0 M IY K UW SH AO B
legtudatlanabb|L EH K T UW D AO T L AO N AO B
legtudományosabb|L EH K T UW D OW0 M AE N IY0 OW0 SH AO B
legtudósabb|L EH K T UW D OW0 SH AO B
legtágabb|L EH K T AE G AO B
legtágasabb|L EH K T AE G AO SH AO B
legtámogatóbb|L EH K T AE M OW0 G AO T OW0 B
legtártabb|L EH K T AE RRR T AO B
legtávolabb|L EH K T AE V OW0 L AO B
legtávolabbi|L EH K T AE V OW0 L AO B IY
legtávolibb|L EH K T AE V OW0 L IY B
legtöbb|L EH K T OE B
legtöbben|L EH K T OE B EH N
legtöbbet|L EH K T OE B EH T
legtöbbször|L EH K T OE P S OE RRR
legtökéletesebb|L EH K T OE K EH0 L EH T EH SH EH B
legtökéletesebben|L EH K T OE K EH0 L EH T EH SH EH B EH N
legtökéletlenebb|L EH K T OE K EH0 L EH T L EH N EH B
legtömörítettebb|L EH K T OE M OE RRR IY T EH T EH B
legtöretlenebb|L EH K T OE RRR EH T L EH N EH B
legtörvényesebb|L EH K T OE RRR V EH0 N IY0 EH SH EH B
legtörékenyebb|L EH K T OE RRR EH0 K EH N IY0 EH B
legtúlsúlyosabb|L EH K T UW L SH UW Y OW0 SH AO B
legtúlzsúfoltabb|L EH K T UW L ZH UW F OW0 L T AO B
legtünékenyebb|L EH K T Y UW1 N EH0 K EH N IY0 EH B
legtürelmesebb|L EH K T Y UW1 RRR EH L M EH SH EH B
legtürelmesebben|L EH K T Y UW1 RRR EH L M EH SH EH B EH N
legtürelmetlenebb|L EH K T Y UW1 RRR EH L M EH T L EH N EH B
legtürelmetlenebbül|L EH K T Y UW1 RRR EH L M EH T L EH N EH B Y UW1 L
legtüzesebb|L EH K T Y UW1 Z EH SH EH B
