aa|AA
neuraalitietokone|N EH0 UW RRR AA L IY T IY EH0 T OW0 K OW0 N EH0 Q
neuraaliverkko|N EH0 UW RRR AA L IY V EH0 RRR K OW0
neuroanatomia|N EH0 UW RRR OW0 AA N AA T OW0 M IY AA
neurobiologi|N EH0 UW RRR OW0 B IY OW0 L OW0 G IY
neurobiologia|N EH0 UW RRR OW0 B IY OW0 L OW0 G IY AA
neuroblasti|N EH0 UW RRR OW0 B L AA S T IY
neuroendokrinologia|N EH0 UW RRR OW0 EH0 N D OW0 K RRR IY N OW0 L OW0 G IY AA
neurofibromatoosi|N EH0 UW RRR OW0 F IY B RRR OW0 M AA T OW0 S IY
neurofysiologi|N EH0 UW RRR OW0 F Y UW1 S IY OW0 L OW0 G IY
neurofysiologia|N EH0 UW RRR OW0 F Y UW1 S IY OW0 L OW0 G IY AA
neurohypofyysi|N EH0 UW RRR OW0 HH Y UW1 P OW0 F Y UW1 S IY
neuroimmunologia|N EH0 UW RRR OW0 IY M UW N OW0 L OW0 G IY AA
neurolaskenta|N EH0 UW RRR OW0 L AA S K EH0 N T AA
neurolingvistinen|N EH0 UW RRR OW0 L IY NG V IY S T IY N EH0 N
neurologia|N EH0 UW RRR OW0 L OW0 G IY AA
neurooma|N EH0 UW RRR OW0 M AA
neuroosi|N EH0 UW RRR OW0 S IY
neuropaattinen|N EH0 UW RRR OW0 P AA T IY N EH0 N
neuropsykologi|N EH0 UW RRR OW0 P S Y UW1 K OW0 L OW0 G IY
neuropsykologia|N EH0 UW RRR OW0 P S Y UW1 K OW0 L OW0 G IY AA
neurosirkulatorinen|N EH0 UW RRR OW0 S IY RRR K UW L AA T OW0 RRR IY N EH0 N
neurosyfilis|N EH0 UW RRR OW0 S Y UW1 F IY L IY S
neurotietokone|N EH0 UW RRR OW0 T IY EH0 T OW0 K OW0 N EH0 Q
neurotisoitua|N EH0 UW RRR OW0 T IY S OW0 IY T UW AA Q
neuroverkko|N EH0 UW RRR OW0 V EH0 RRR K OW0
neutraali|N EH0 UW T RRR AA L IY
neutraalialkio|N EH0 UW T RRR AA L IY AA L K IY OW0
neutraalius|N EH0 UW T RRR AA L IY UW S
neutralisaatiotekniikka|N EH0 UW T RRR AA L IY S AA T IY OW0 T EH0 K N IY K AA
neutralisoida|N EH0 UW T RRR AA L IY S OW0 IY D AA Q
neutralisoiminen|N EH0 UW T RRR AA L IY S OW0 IY M IY N EH0 N
neutralisoituminen|N EH0 UW T RRR AA L IY S OW0 IY T UW M IY N EH0 N
neutraloiminen|N EH0 UW T RRR AA L OW0 IY M IY N EH0 N
neutraloituminen|N EH0 UW T RRR AA L OW0 IY T UW M IY N EH0 N
neutri|N EH0 UW T RRR IY
neutriino|N EH0 UW T RRR IY N OW0
neutrofiili|N EH0 UW T RRR OW0 F IY L IY
neutroni|N EH0 UW T RRR OW0 N IY
neutroniluku|N EH0 UW T RRR OW0 N IY L UW K UW
neutropenia|N EH0 UW T RRR OW0 P EH0 N IY AA
neuvo|N EH0 UW W OW0 Q
neuvoa|N EH0 UW W OW0 AA Q
neuvokkaasti|N EH0 UW W OW0 K K AA S T IY Q
neuvokki|N EH0 UW W OW0 K IY
neuvolakortti|N EH0 UW W OW0 L AA K OW0 RRR T IY
neuvolakäynti|N EH0 UW W OW0 L AA K AE Y UW1 N T IY
neuvominen|N EH0 UW W OW0 M IY N EH0 N
neuvontanumero|N EH0 UW W OW0 N T AA N UW M EH0 RRR OW0
neuvos|N EH0 UW W OW0 S
neuvosmies|N EH0 UW W OW0 S M IY EH0 S
neuvostoarmeija|N EH0 UW W OW0 S T OW0 AA RRR M EH0 IY Y AA
neuvostohallitus|N EH0 UW W OW0 S T OW0 HH AA L IY T UW S
neuvostohenkinen|N EH0 UW W OW0 S T OW0 HH EH0 NG K IY N EH0 N
neuvostoihminen|N EH0 UW W OW0 S T OW0 IY HH M IY N EH0 N
neuvostojärjestelmä|N EH0 UW W OW0 S T OW0 Y AE RRR Y EH0 S T EH0 L M AE
neuvostokansalainen|N EH0 UW W OW0 S T OW0 K AA N S AA L AA IY N EH0 N
neuvostoliitto|N EH0 UW W OW0 S T OW0 L IY T OW0
neuvostoliittolaisuus|N EH0 UW W OW0 S T OW0 L IY T OW0 L AA IY S UW S
neuvostomyönteinen|N EH0 UW W OW0 S T OW0 M Y UW1 OE N T EH0 IY N EH0 N
neuvostosotilas|N EH0 UW W OW0 S T OW0 S OW0 T IY L AA S
neuvostovalmisteinen|N EH0 UW W OW0 S T OW0 V AA L M IY S T EH0 IY N EH0 N
neuvostovalta|N EH0 UW W OW0 S T OW0 V AA L T AA
neuvostovaltio|N EH0 UW W OW0 S T OW0 V AA L T IY OW0
neuvostovastainen|N EH0 UW W OW0 S T OW0 V AA S T AA IY N EH0 N
neuvostovastaisuus|N EH0 UW W OW0 S T OW0 V AA S T AA IY S UW S
neuvotteleminen|N EH0 UW W OW0 T T EH0 L EH0 M IY N EH0 N
neuvottelukokous|N EH0 UW W OW0 T T EH0 L UW K OW0 K OW0 UW S
neuvottelukosketus|N EH0 UW W OW0 T EH0 L UW K OW0 S K EH0 T UW S
neuvotteluosapuoli|N EH0 UW W OW0 T EH0 L UW OW0 S AA P UW OW0 L IY
neuvottelupäivät|N EH0 UW W OW0 T EH0 L UW P AE IY V AE T
neuvotteluratkaisu|N EH0 UW W OW0 T EH0 L UW RRR AA T K AA IY S UW
neuvottelutaito|N EH0 UW W OW0 T EH0 L UW T AA IY T OW0
neuvottelutaitoinen|N EH0 UW W OW0 T EH0 L UW T AA IY T OW0 IY N EH0 N
neuvotteluteitse|N EH0 UW W OW0 T EH0 L UW T EH0 IY T S EH0 Q
neuvottelutilaisuus|N EH0 UW W OW0 T EH0 L UW T IY L AA IY S UW S
neuvottelutulos|N EH0 UW W OW0 T T EH0 L UW T UW L OW0 S
neva|N EH0 V AA
nevada|N EH0 V AA D AA
nevajärvi|N EH0 V AA Y AE RRR V IY
nevakorpi|N EH0 V AA K OW0 RRR P IY
nevalainen|N EH0 V AA L AA IY N EH0 N
nevaniitty|N EH0 V AA N IY T Y UW1
nevanlinna|N EH0 V AA N L IY N AA
nevaräme|N EH0 V AA RRR AE M EH0 Q
nevoittua|N EH0 V OW0 IY T T UW AA Q
newfoundland|N Y Y UW1 F AA UW N D L AE N D
newton|N Y UW1 T OW0 N
newtonilainen|N Y UW1 T OW0 N IY L AA IY N EH0 N
niagaran|N IY AA G AA RRR AA N
nide|N IY D EH0 Q
nidoksittain|N IY D OW0 K S IY T AA IY N
nidos|N IY D OW0 S
nidosluku|N IY D OW0 S L UW K UW
nielaista|N IY EH0 L AA IY S T AA Q
nieleksiä|N IY EH0 L EH0 K S IY AE Q
nielemishäiriö|N IY EH0 L EH0 M IY S HH AE IY RRR IY OE
nielemisvaikeus|N IY EH0 L EH0 M IY S V AA IY K EH0 UW S
niellä|N IY EH0 L AE Q
nielu|N IY EH0 L UW
nieluoire|N IY EH0 L UW OW0 IY RRR EH0 Q
nieluontelo|N IY EH0 L UW OW0 N T EH0 L OW0
nielurisa|N IY EH0 L UW RRR IY S AA
niemeke|N IY EH0 M EH0 K EH0 Q
niemelä|N IY EH0 M EH0 L AE
niemenkärki|N IY EH0 M EH0 NG K AE RRR K IY
niemennenä|N IY EH0 M EH0 N N EH0 N AE
niemennokka|N IY EH0 M EH0 N N OW0 K AA
niemi|N IY EH0 M IY
nieminen|N IY EH0 M IY N EH0 N
nieriä|N IY EH0 RRR IY AE
nietos|N IY EH0 T OW0 S
nietostaa|N IY EH0 T OW0 S T AA Q
nietostua|N IY EH0 T OW0 S T UW AA Q
nietzscheläisyys|N IY T SH EH0 L AE IY S Y UW1 S
niger|N IY G EH0 RRR
nigerialainen|N IY G EH0 RRR IY AA L AA IY N EH0 N
nigeriläinen|N IY G EH0 RRR IY L AE IY N EH0 N
nigiri|N IY G IY RRR IY
nihilismi|N IY IY L IY S M IY
nihilisti|N IY IY L IY S T IY
nihkeillä|N IY HH K EH0 IY L AE Q
nihkeys|N IY HH K EH0 Y UW1 S
nihkeä|N IY HH K EH0 AE
nihkeästi|N IY HH K EH0 AE S T IY Q
nihti|N IY HH T IY
nii|N IY
niiaaminen|N IY AA M IY N EH0 N
niiata|N IY AA T AA Q
niiaus|N IY AA UW S
niiden|N IY D EH0 N
niikseen|N IY K S EH0 N
niilinkrokotiili|N IY L IY NG K RRR OW0 K OW0 T IY L IY
niillä|N IY L AE
niilo|N IY L OW0
niimpä|N IY M P AE
niin|N IY N
niina|N IY N AA
niinet|N IY N EH0 T
niini|N IY N IY
niinikoppa|N IY N IY K OW0 P AA
niinikori|N IY N IY K OW0 RRR IY
niinikuitu|N IY N IY K UW IY T UW
niinimatto|N IY N IY M AA T OW0
niininen|N IY N IY N EH0 N
niinisyy|N IY N IY S Y UW1
niinisäkki|N IY N IY S AE K IY
niinityö|N IY N IY T Y UW1 OE
niinkö|N IY NG K OE
niisi|N IY S IY Q
niisinauha|N IY S IY N AA UW AA
niisipuu|N IY S IY P UW
niisittäminen|N IY S IY T T AE M IY N EH0 N
niisiä|N IY S IY AE Q
niiskahtaa|N IY S K AA HH T AA Q
niiskaus|N IY S K AA UW S
niiskuttaa|N IY S K UW T AA Q
niiskuttaminen|N IY S K UW T T AA M IY N EH0 N
niistäminen|N IY S T AE M IY N EH0 N
niistää|N IY S T AE Q
niitata|N IY T AA T AA Q
niitellä|N IY T EH0 L AE Q
niitos|N IY T OW0 S
niittaaminen|N IY T AA M IY N EH0 N
niittauskone|N IY T AA UW S K OW0 N EH0 Q
niittausvasara|N IY T AA UW S V AA S AA RRR AA
niitten|N IY T EH0 N
niitti|N IY T IY
niittiliitos|N IY T IY L IY T OW0 S
niittirivi|N IY T IY RRR IY V IY
niittisauma|N IY T IY S AA UW M AA
niittokone|N IY T OW0 K OW0 N EH0 Q
niittomurskain|N IY T OW0 M UW RRR S K AA IY N
niittosilppuri|N IY T OW0 S IY L P UW RRR IY
niittosirppi|N IY T OW0 S IY RRR P IY
niittu|N IY T UW
niitty|N IY T Y UW1
niittyheinä|N IY T Y UW1 HH EH0 IY N AE
niittyhumala|N IY T Y UW1 HH UW M AA L AA
niittyinen|N IY T Y UW1 IY N EH0 N
niittykasvi|N IY T Y UW1 K AA S V IY
niittykellukka|N IY T Y UW1 K EH0 L UW K AA
niittykirvinen|N IY T Y UW1 K IY RRR V IY N EH0 N
niittykukka|N IY T Y UW1 K UW K AA
niittykullero|N IY T Y UW1 K UW L EH0 RRR OW0
niittyleinikki|N IY T Y UW1 L EH0 IY N IY K IY
niittynätkelmä|N IY T Y UW1 N AE T K EH0 L M AE
niittypirtti|N IY T Y UW1 P IY RRR T IY
niittysauna|N IY T Y UW1 S AA UW N AA
niittysuolaheinä|N IY T Y UW1 S UW OW0 L AA HH EH0 IY N AE
niittyvilla|N IY T Y UW1 V IY L AA
niittäjä|N IY T AE Y AE
niittäminen|N IY T AE M IY N EH0 N
niittää|N IY T AE Q
nikamahoito|N IY K AA M AA HH OW0 IY T OW0
nikara|N IY K AA RRR AA
nikarainen|N IY K AA RRR AA IY N EH0 N
nikkaroida|N IY K AA RRR OW0 IY D AA Q
nikkaroiminen|N IY K AA RRR OW0 IY M IY N EH0 N
nikkarointi|N IY K AA RRR OW0 IY N T IY
nikkeli|N IY K EH0 L IY
nikkeliallergia|N IY K EH0 L IY AA L EH0 RRR G IY AA
nikkeliallergikko|N IY K EH0 L IY AA L EH0 RRR G IY K OW0
nikkelikaivos|N IY K EH0 L IY K AA IY V OW0 S
nikkelöidä|N IY K EH0 L OE IY D AE Q
nikkilä|N IY K IY L AE
niklas|N IY K L AA S
niklaus|N IY K L AA UW S
niko|N IY K OW0
nikola|N IY K OW0 L AA
nikolai|N IY K OW0 L AA IY
nikotella|N IY K OW0 T EH0 L AA Q
nikotiini|N IY K OW0 T IY N IY
nikotiinimyrkytys|N IY K OW0 T IY N IY M Y UW1 RRR K Y UW1 T Y UW1 S
nikottaminen|N IY K OW0 T T AA M IY N EH0 N
nikotteleminen|N IY K OW0 T T EH0 L EH0 M IY N EH0 N
nikotus|N IY K OW0 T UW S
niksaa|N IY K S AA Q
niksahtaa|N IY K S AA HH T AA Q
niksahtaminen|N IY K S AA HH T AA M IY N EH0 N
niksautella|N IY K S AA UW T EH0 L AA Q
niksautus|N IY K S AA UW T UW S
niksi|N IY K S IY
niksua|N IY K S UW AA Q
nikula|N IY K UW L AA
nila|N IY L AA
nilakerros|N IY L AA K EH0 RRR OW0 S
nilelle|N IY L EH0 L EH0 Q
nilellä|N IY L EH0 L AE
nilja|N IY L Y AA
nilkansuojus|N IY L K AA N S UW OW0 Y UW S
nilkka|N IY L K AA
nilkkain|N IY L K AA IY N
nilkkakenkä|N IY L K AA K EH0 NG K AE
nilkkaketju|N IY L K AA K EH0 T Y UW
nilkkanivel|N IY L K AA N IY V EH0 L
nilkkapituinen|N IY L K AA P IY T UW IY N EH0 N
nilkkaremmi|N IY L K AA RRR EH0 M IY
nilkkaremmikenkä|N IY L K AA RRR EH0 M IY K EH0 NG K AE
nilkkarengas|N IY L K AA RRR EH0 NG AA S
nilkkasukka|N IY L K AA S UW K AA
nilkki|N IY L K IY
nilkuttaminen|N IY L K UW T T AA M IY N EH0 N
nilkutus|N IY L K UW T UW S
nillittää|N IY L IY T AE Q
nilpotentti|N IY L P OW0 T EH0 N T IY
nim|N IY M
nimbostratus|N IY M B OW0 S T RRR AA T UW S
nimbus|N IY M B UW S
nimellinen|N IY M EH0 L L IY N EH0 N
nimellisarvoinen|N IY M EH0 L IY S AA RRR V OW0 IY N EH0 N
nimellisjännite|N IY M EH0 L IY S Y AE N IY T EH0 Q
nimelliskorko|N IY M EH0 L IY S K OW0 RRR K OW0
nimellismitta|N IY M EH0 L IY S M IY T AA
nimellispalkka|N IY M EH0 L IY S P AA L K AA
nimellistaso|N IY M EH0 L IY S T AA S OW0
nimellisteho|N IY M EH0 L IY S T EH0 OW0
nimellisvirta|N IY M EH0 L IY S V IY RRR T AA
nimenanto|N IY M EH0 N AA N T OW0
nimenhuuto|N IY M EH0 N HH UW T OW0
nimenhuutoäänestys|N IY M EH0 N HH UW T OW0 AE N EH0 S T Y UW1 S
nimenkirjoittaja|N IY M EH0 NG K IY RRR Y OW0 IY T T AA Y AA
nimenkirjoitusoikeus|N IY M EH0 NG K IY RRR Y OW0 IY T UW S OW0 IY K EH0 UW S
nimenmuutos|N IY M EH0 M M UW T OW0 S
nimenomaan|N IY M EH0 N OW0 M AA N
nimenselvennys|N IY M EH0 N S EH0 L V EH0 N Y UW1 S
nimenselvennös|N IY M EH0 N S EH0 L V EH0 N OE S
nimenväärennys|N IY M EH0 N V AE RRR EH0 N Y UW1 S
nimenväärennös|N IY M EH0 N V AE RRR EH0 N OE S
nimestäminen|N IY M EH0 S T AE M IY N EH0 N
nimestää|N IY M EH0 S T AE Q
nimetä|N IY M EH0 T AE Q
nimetön|N IY M EH0 T OE N
nimeäminen|N IY M EH0 AE M IY N EH0 N
nimi|N IY M IY
nimiavaruus|N IY M IY AA V AA RRR UW S
nimihakemisto|N IY M IY HH AA K EH0 M IY S T OW0
nimihenkilö|N IY M IY HH EH0 NG K IY L OE
nimikilpi|N IY M IY K IY L P IY
nimikirja|N IY M IY K IY RRR Y AA
nimikirjanote|N IY M IY K IY RRR Y AA N OW0 T EH0 Q
nimikirjoitus|N IY M IY K IY RRR Y OW0 IY T UW S
nimikkohevonen|N IY M IY K OW0 HH EH0 V OW0 N EH0 N
nimikkokatu|N IY M IY K OW0 K AA T UW
nimikkokaupunki|N IY M IY K OW0 K AA UW P UW NG K IY
nimikkokuppi|N IY M IY K OW0 K UW P IY
nimikkolaji|N IY M IY K OW0 L AA Y IY
nimikkolähetti|N IY M IY K OW0 L AE EH0 T IY
nimikkoseura|N IY M IY K OW0 S EH0 UW RRR AA
nimikkotuoli|N IY M IY K OW0 T UW OW0 L IY
nimikortti|N IY M IY K OW0 RRR T IY
nimikristillinen|N IY M IY K RRR IY S T IY L L IY N EH0 N
nimikristillisyys|N IY M IY K RRR IY S T IY L L IY S Y UW1 S
nimikristitty|N IY M IY K RRR IY S T IY T Y UW1
nimikuulu|N IY M IY K UW L UW
nimilaatta|N IY M IY L AA T AA
nimilehti|N IY M IY L EH0 HH T IY
nimileima|N IY M IY L EH0 IY M AA
nimileimasin|N IY M IY L EH0 IY M AA S IY N
nimilippu|N IY M IY L IY P UW
nimilista|N IY M IY L IY S T AA
nimiloppu|N IY M IY L OW0 P UW
nimiluettelo|N IY M IY L UW EH0 T T EH0 L OW0
nimimies|N IY M IY M IY EH0 S
nimimuisti|N IY M IY M UW IY S T IY
niminen|N IY M IY N EH0 N
nimineula|N IY M IY N EH0 UW L AA
niminovelli|N IY M IY N OW0 V EH0 L IY
nimiosa|N IY M IY OW0 S AA
nimiosake|N IY M IY OW0 S AA K EH0 Q
nimipäivälahja|N IY M IY P AE IY V AE L AA HH Y AA
nimipäiväonnittelu|N IY M IY P AE IY V AE OW0 N IY T T EH0 L UW
nimipäiväsankari|N IY M IY P AE IY V AE S AA NG K AA RRR IY
nimipäivät|N IY M IY P AE IY V AE T
nimiruno|N IY M IY RRR UW N OW0
nimisiirto|N IY M IY S IY RRR T OW0
nimisivu|N IY M IY S IY V UW
nimismies|N IY M IY S M IY EH0 S
nimismiespiiri|N IY M IY S M IY EH0 S P IY RRR IY
nimistönhuolto|N IY M IY S T OE N HH UW OW0 L T OW0
nimitapa|N IY M IY T AA P AA
nimitaulu|N IY M IY T AA UW L UW
nimitellä|N IY M IY T EH0 L AE Q
nimittäminen|N IY M IY T T AE M IY N EH0 N
nimittämiskirja|N IY M IY T AE M IY S K IY RRR Y AA
nimittämisoikeus|N IY M IY T AE M IY S OW0 IY K EH0 UW S
nimittää|N IY M IY T AE Q
nimitutkimus|N IY M IY T UW T K IY M UW S
nimitysjärjestelmä|N IY M IY T Y UW1 S Y AE RRR Y EH0 S T EH0 L M AE
nimityskierros|N IY M IY T Y UW1 S K IY EH0 RRR OW0 S
nimityskirja|N IY M IY T Y UW1 S K IY RRR Y AA
nimitysoikeus|N IY M IY T Y UW1 S OW0 IY K EH0 UW S
nimivakuus|N IY M IY V AA K UW S
nimiö|N IY M IY OE
nimiölehti|N IY M IY OE L EH0 HH T IY
nimiösivu|N IY M IY OE S IY V UW
nimmari|N IY M AA RRR IY
nina|N IY N AA
ninja|N IY N Y AA
nipistin|N IY P IY S T IY N
nipistäminen|N IY P IY S T AE M IY N EH0 N
nipistää|N IY P IY S T AE Q
nipo|N IY P OW0
nipottaminen|N IY P OW0 T T AA M IY N EH0 N
nipotus|N IY P OW0 T UW S
nippi|N IY P IY
nippu|N IY P UW
nippulautta|N IY P UW L AA UW T AA
nippulauttaus|N IY P UW L AA UW T AA UW S
nippunosturi|N IY P UW N OW0 S T UW RRR IY
nippuratkaisu|N IY P UW RRR AA T K AA IY S UW
nippuside|N IY P UW S IY D EH0 Q
nipsahtaminen|N IY P S AA HH T AA M IY N EH0 N
nipsu|N IY P S UW
nipuittain|N IY P UW IY T AA IY N
nipukallinen|N IY P UW K AA L IY N EH0 N
niputtaminen|N IY P UW T T AA M IY N EH0 N
nirhaista|N IY RRR HH AA IY S T AA Q
nirhalaitainen|N IY RRR HH AA L AA IY T AA IY N EH0 N
nirhama|N IY RRR HH AA M AA
nirhata|N IY RRR HH AA T AA Q
nirhiä|N IY RRR HH IY AE Q
nirkko|N IY RRR K OW0
nirpalla|N IY RRR P AA L AA
nirpallaan|N IY RRR P AA L AA N
nirpassa|N IY RRR P AA S AA
nirppa|N IY RRR P AA
nirppanenä|N IY RRR P AA N EH0 N AE
nirppanokka|N IY RRR P AA N OW0 K AA
nirppanokkainen|N IY RRR P AA N OW0 K AA IY N EH0 N
nirri|N IY RRR IY
nirskuttaminen|N IY RRR S K UW T T AA M IY N EH0 N
nirsosti|N IY RRR S OW0 S T IY Q
nirsous|N IY RRR S OW0 UW S
nisiini|N IY S IY N IY
niska|N IY S K AA
niskaharjas|N IY S K AA HH AA RRR Y AA S
niskaheitto|N IY S K AA HH EH0 IY T OW0
niskahirsi|N IY S K AA HH IY RRR S IY
niskahius|N IY S K AA HH IY UW S
niskakipu|N IY S K AA K IY P UW
niskakoulu|N IY S K AA K OW0 UW L UW
niskakuoppa|N IY S K AA K UW OW0 P AA
niskala|N IY S K AA L AA
niskalenkkitoppi|N IY S K AA L EH0 NG K IY T OW0 P IY
niskaluu|N IY S K AA L UW
niskanen|N IY S K AA N EH0 N
niskaoja|N IY S K AA OW0 Y AA
niskaote|N IY S K AA OW0 T EH0 Q
niskapalkki|N IY S K AA P AA L K IY
niskaperseote|N IY S K AA P EH0 RRR S EH0 Q OW0 T EH0 Q
niskapuu|N IY S K AA P UW
niskasuojus|N IY S K AA S UW OW0 Y UW S
niskasärky|N IY S K AA S AE RRR K Y UW1
niskatuki|N IY S K AA T UW K IY
niskatukka|N IY S K AA T UW K AA
niskatyyny|N IY S K AA T Y UW1 N Y UW1
niskavillat|N IY S K AA V IY L AA T
niskoitella|N IY S K OW0 IY T EH0 L AA Q
nispero|N IY S P EH0 RRR OW0
nissi|N IY S IY
nisti|N IY S T IY Q
nistipata|N IY S T IY P AA T AA
nisu|N IY S UW
nisä|N IY S AE
nisäkäs|N IY S AE K AE S
nisäkäslaji|N IY S AE K AE S L AA Y IY
nisäkästiede|N IY S AE K AE S T IY EH0 D EH0 Q
nisäkästieteellinen|N IY S AE K AE S T IY EH0 T EH0 L L IY N EH0 N
nisäkästutkija|N IY S AE K AE S T UW T K IY Y AA
nisälisäke|N IY S AE L IY S AE K EH0 Q
nitistys|N IY T IY S T Y UW1 S
nitistä|N IY T IY S T AE Q
nitistää|N IY T IY S T AE Q
nitkuttaa|N IY T K UW T AA Q
nitoa|N IY T OW0 AA Q
nitomahakanen|N IY T OW0 M AA HH AA K AA N EH0 N
nitomakone|N IY T OW0 M AA K OW0 N EH0 Q
nitomalaite|N IY T OW0 M AA L AA IY T EH0 Q
nitomapistooli|N IY T OW0 M AA P IY S T OW0 L IY
nitomasinkilä|N IY T OW0 M AA S IY NG K IY L AE
nitominen|N IY T OW0 M IY N EH0 N
nitraatti|N IY T RRR AA T IY
nitraattifilmi|N IY T RRR AA T IY F IY L M IY
nitraattityppi|N IY T RRR AA T IY T Y UW1 P IY
nitrata|N IY T RRR AA T AA Q
nitraus|N IY T RRR AA UW S
nitrifikaatio|N IY T RRR IY F IY K AA T IY OW0
nitriitti|N IY T RRR IY T IY
nitro|N IY T RRR OW0
nitroa|N IY T RRR OW0 AA
nitrogenaasi|N IY T RRR OW0 G EH0 N AA S IY
niukahko|N IY UW K AA HH K OW0
niukahtaa|N IY UW K AA HH T AA Q
niukahtaminen|N IY UW K AA HH T AA M IY N EH0 N
niukalti|N IY UW K AA L T IY Q
niukennus|N IY UW K EH0 N UW S
niukentaa|N IY UW K EH0 N T AA Q
niukentuminen|N IY UW K EH0 N T UW M IY N EH0 N
niukkaeleinen|N IY UW K AA EH0 L EH0 IY N EH0 N
niukkalajinen|N IY UW K AA L AA Y IY N EH0 N
niukkaluminen|N IY UW K AA L UW M IY N EH0 N
niukkaravinteinen|N IY UW K AA RRR AA V IY N T EH0 IY N EH0 N
niukkasanaisesti|N IY UW K AA S AA N AA IY S EH0 S T IY Q
niukkuus|N IY UW K UW S
niva|N IY V AA
nivala|N IY V AA L AA
nivalainen|N IY V AA L AA IY N EH0 N
nivalalainen|N IY V AA L AA L AA IY N EH0 N
nivelistö|N IY V EH0 L IY S T OE
niveljalkainen|N IY V EH0 L Y AA L K AA IY N EH0 N
niveljäykistymä|N IY V EH0 L Y AE Y UW1 K IY S T Y UW1 M AE
niveljäykkyys|N IY V EH0 L Y AE Y UW1 K Y UW1 S
nivelketju|N IY V EH0 L K EH0 T Y UW
nivelkipu|N IY V EH0 L K IY P UW
nivelkuoppa|N IY V EH0 L K UW OW0 P AA
nivelkytkin|N IY V EH0 L K Y UW1 T K IY N
nivellevy|N IY V EH0 L L EH0 V Y UW1
nivelliitos|N IY V EH0 L L IY T OW0 S
nivelmato|N IY V EH0 L M AA T OW0
nivelnasta|N IY V EH0 L N AA S T AA
nivelneste|N IY V EH0 L N EH0 S T EH0 Q
nivelpinta|N IY V EH0 L P IY N T AA
nivelpsoriaasi|N IY V EH0 L P S OW0 RRR IY AA S IY
nivelpussi|N IY V EH0 L P UW S IY
nivelraitiovaunu|N IY V EH0 L RRR AA IY T IY OW0 V AA UW N UW
nivelrokko|N IY V EH0 L RRR OW0 K OW0
nivelrusto|N IY V EH0 L RRR UW S T OW0
nivelsairaus|N IY V EH0 L S AA IY RRR AA UW S
nivelsärky|N IY V EH0 L S AE RRR K Y UW1
niveltappi|N IY V EH0 L T AA P IY
niveltauti|N IY V EH0 L T AA UW T IY
niveltyä|N IY V EH0 L T Y UW1 AE Q
niveltää|N IY V EH0 L T AE Q
nivelvoide|N IY V EH0 L V OW0 IY D EH0 Q
nivelväli|N IY V EH0 L V AE L IY
niveläes|N IY V EH0 L AE EH0 S
niverä|N IY V EH0 RRR AE
niveräinen|N IY V EH0 RRR AE IY N EH0 N
nivominen|N IY V OW0 M IY N EH0 N
nivoutua|N IY V OW0 UW T UW AA Q
nivoutuminen|N IY V OW0 UW T UW M IY N EH0 N
nivunen|N IY V UW N EH0 N
nivus|N IY V UW S
nivusrauhanen|N IY V UW S RRR AA UW AA N EH0 N
nivustaive|N IY V UW S T AA IY V EH0 Q
nizza|N IY T S AA
nizzansalaatti|N IY T S AA N S AA L AA T IY
nmky|AE N AE M K OW0 Y UW1
nnky|AE N AE NG K OW0 Y UW1
no|N OW0
nobo|N OW0 B OW0
nodulaarinen|N OW0 D UW L AA RRR IY N EH0 N
noen|N OW0 EH0 N
noet|N OW0 EH0 T
nogai|N OW0 G AA IY
noh|N OW0 HH
noheva|N OW0 EH0 V AA
noi|N OW0 IY
noidankattila|N OW0 IY D AA NG K AA T IY L AA
noidankehä|N OW0 IY D AA NG K EH0 AE
noidanlukko|N OW0 IY D AA N L UW K OW0
noiden|N OW0 IY D EH0 N
noiduttu|N OW0 IY D UW T UW Q
noin|N OW0 IY N
noita|N OW0 IY T AA
noitakonsti|N OW0 IY T AA K OW0 N S T IY
noitapiiri|N OW0 IY T AA P IY RRR IY
noitarovio|N OW0 IY T AA RRR OW0 V IY OW0
noitasapatti|N OW0 IY T AA S AA P AA T IY
noitausko|N OW0 IY T AA UW S K OW0
noitavaino|N OW0 IY T AA V AA IY N OW0
noitten|N OW0 IY T EH0 N
noitua|N OW0 IY T UW AA Q
noituminen|N OW0 IY T UW M IY N EH0 N
noja|N OW0 Y AA
nojapuuliike|N OW0 Y AA P UW L IY K EH0 Q
nojassa|N OW0 Y AA S AA
nojata|N OW0 Y AA T AA Q
nojatikas|N OW0 Y AA T IY K AA S
nojatuoli|N OW0 Y AA T UW OW0 L IY
nojatuolimatka|N OW0 Y AA T UW OW0 L IY M AA T K AA
nokakkain|N OW0 K AA K AA IY N
nokata|N OW0 K AA T AA Q
nokatusten|N OW0 K AA T UW S T EH0 N
nokeaminen|N OW0 K EH0 AA M IY N EH0 N
noki|N OW0 K IY Q
nokia|N OW0 K IY AA
nokialainen|N OW0 K IY AA L AA IY N EH0 N
nokihärmä|N OW0 K IY HH AE RRR M AE
nokikana|N OW0 K IY K AA N AA
nokikkain|N OW0 K IY K AA IY N
nokikolari|N OW0 K IY K OW0 L AA RRR IY
nokiluukku|N OW0 K IY L UW K UW
nokimusta|N OW0 K IY M UW S T AA
nokin|N OW0 K IY N
nokipalo|N OW0 K IY P AA L OW0
nokiperhonen|N OW0 K IY P EH0 RRR HH OW0 N EH0 N
nokipoika|N OW0 K IY P OW0 IY K AA
