ᆜ|Y UW0
브리튼|P UW0 R IY T UW0 N
브리티시컬럼비아|P UW0 R IY T IY SH IY K AH L L AH M B IY AE
브리핑|P UW0 R IY P IY NG
블라디미르|P UW0 L L AE D IY M IY R UW0
블라디보스토크|P UW0 L L AE D IY B OW0 S UW0 T OW0 K HH UW0
블라우스|P UW0 L L AE UW S UW0
블라인드|P UW0 L L AE IY N D UW0
블라지보스또크|P UW0 L L AE D IY B OW0 S UW0 T OW0 K HH UW0
블럭|P UW0 L L AH K
블로거|P UW0 L L OW0 G AH
블로그|P UW0 L L OW0 G UW0
블록|P UW0 L L OW0 K
블록버스터|P UW0 L L OW0 K P AH S UW0 T AH
블루길|P UW0 L L UW G IY L
블루진|P UW0 L L UW D IY N
블룸폰테인|P UW0 L L UW M P OW0 N T EH0 IY N
블링블링|P UW0 L IY L IY IY NG B UW0 L IY L IY IY NG
비|P IY
비각|P IY G AE K
비겁|P IY G AH P
비결|P IY G Y AH L
비계|P IY G Y EH0
비고|P IY G OW0
비골|P IY G OW0 L
비골리|P IY G OW0 L IY L IY IY
비관|P IY G W AE N
비교|P IY G Y OW0
비교급|P IY G Y OW0 K UW0 P
비교적|P IY G Y OW0 D AH K
비교하다|P IY G Y OW0 AE D AE
비구니|P IY G UW N IY
비구름|P IY G UW R UW0 M
비극|P IY G UW0 K
비금비금|P IY G UW0 M B IY G UW0 M
비기다|P IY G IY D AE
비김|P IY G IY M
비끼다|P IY K IY D AE
비난|P IY N AE N
비난하다|P IY N AE N AE D AE
비날론|P IY N AE L L OW0 N
비네거|P IY N EH0 G AH
비녀|P IY N IY0 AH
비누|P IY N UW
비눗방울|P IY N UW T P AE NG UW L
비늘|P IY N UW0 L
비늘흰발망둑|P IY N UW0 R IY IY N B AE L M AE NG D UW K
비니|P IY N IY
비니루|P IY N IY R UW
비닉|P IY N IY K
비닐|P IY N IY L
비다|P IY D AE
비단|P IY D AE N
비단길|P IY D AE N K IY L
비단잉어|P IY D AE N IY NG AH
비단털들쥐|P IY D AE N T AH L D UW0 L IY D IY
비단털등줄쥐|P IY D AE N T AH L D UW0 NG D UW L IY D IY
비단털쥐|P IY D AE N T AH L IY D IY
비데오|P IY D EH0 OW0
비데오필림|P IY D EH0 OW0 P IY L IY L IY IY M
비둘기|P IY D UW L G IY
비둘기조롱이|P IY D UW L G IY D OW0 R OW0 NG IY
비듬|P IY D UW0 M
비디오|P IY D IY OW0
비디오테이프|P IY D IY OW0 T EH0 IY P UW0
비뚤다|P IY T UW L D AE
비뚤어지다|P IY T UW R AH D IY D AE
비로소|P IY R OW0 S OW0
비롯되다|P IY R OW0 T T W EH0 D AE
비롯하다|P IY R OW0 T AE D AE
비료|P IY R Y OW0
비루스|P IY R UW S UW0
비르|P IY R UW0
비름|P IY R UW0 M
비리다|P IY R IY D AE
비만|P IY M AE N
비망록|P IY M AE NG N OW0 K
비명|P IY M Y AH NG
비밀|P IY M IY L
비밀리|P IY M IY L IY L IY IY
비밀번호|P IY M IY L B AH N V OW0
비밀스럽다|P IY M IY L S UW0 R AH P T AE
비박|P IY B AE K
비방|P IY B AE NG
비버|P IY B AH
비번|P IY B AH N
비법|P IY P AH P
비비다|P IY B IY D AE
비빔|P IY B IY M
비빔밥|P IY B IY M P AE P
비사우|P IY S AE UW
비상|P IY S AE NG
비상하다|P IY S AE NG AE D AE
비서|P IY S AH
비소|P IY S OW0
비속어|P IY S OW0 G AH
비숍|P IY SH OW0 P
비수|P IY S UW
비슈케크|P IY SH UW K EH0 K HH UW0
비스무트|P IY S UW0 M UW T UW0
비스켓|P IY S UW0 K EH0 T
비슷하다|P IY S UW0 T AE D AE
비싸다|P IY S AE D AE
비약하다|P IY Y AE K AE D AE
비어|P IY AH
비엔나|P IY EH0 N N AE
비엔티안|P IY EH0 N T IY AE N
비역|P IY Y AH K
비염|P IY Y AH M
비오리|P IY OW0 R IY
비옥|P IY OW0 K
비옥하다|P IY OW0 K AE D AE
비용|P IY Y OW0 NG
비우다|P IY UW D AE
비웃다|P IY UW T T AE
비유|P IY Y UW
비율|P IY Y UW L
비읍|P IY UW0 P
비자|P IY D AE
비자나무|P IY D AE N AE M UW
비잔티온|P IY D AE N T IY OW0 N
비잔티움|P IY D AE N T IY UW M
비적|P IY D AH K
비주얼노벨|P IY D UW AH L L OW0 B EH0 L
비중|P IY D UW NG
비참|P IY T AE M
비추다|P IY T UW D AE
비취|P IY T IY
비치다|P IY T IY D AE
비치발리볼|P IY T IY B AE L IY L IY IY B OW0 L
비타민|P IY T AE M IY N
비트|P IY T UW0
비트박스|P IY T UW0 B AE K S UW0
비트코인|P IY T UW0 K OW0 IY N
비틀거리다|P IY T UW0 L G AH R IY D AE
비파|P IY P AE
비파나무|P IY P AE N AE M UW
비판|P IY P AE N
비판적|P IY P AE N IY0 D AH K
비판하다|P IY P AE N AE D AE
비평|P IY P Y AH NG
비평가|P IY P Y AH NG G AE
비폭력|P IY P OW0 NG N IY0 AH K
비하다|P IY AE D AE
비휴|P IY IY UW
빅토르|P IY K T OW0 R UW0
빅토리아|P IY K T OW0 R IY AE
빈|P IY N
빈곤|P IY N G OW0 N
빈뇨|P IY N N IY0 OW0
빈도|P IY N D OW0
빈땅|P IY N T AE NG
빈민|P IY N M IY N
빈민가|P IY N M IY N G AE
빈민굴|P IY N M IY N G UW L
빈방|P IY N B AE NG
빈부|P IY N B UW
빈약|P IY N IY0 AE K
빈유|P IY N IY0 UW
빈자|P IY N IY0 D AE
빈지문|P IY N IY0 D IY M UW N
빈지워칭|P IY N IY0 D IY W AH T IY NG
빈칸|P IY N K AE N
빈터|P IY N T AH
빈트후크|P IY N T UW0 V UW K HH UW0
빈틈|P IY N T UW0 M
빌뉴스|P IY L IY L IY UW S UW0
빌다|P IY L D AE
빌딩|P IY L D IY NG
빌리다|P IY L IY L IY IY D AE
빌미|P IY L M IY
빗|P IY T
빗금|P IY T K UW0 M
빗기다|P IY T K IY D AE
빗다|P IY T T AE
빗물|P IY N M UW L
빗자루|P IY T T AE R UW
빗장뼈|P IY T T AE NG P Y AH
빗치|P IY T T IY
빙|P IY NG
빙결|P IY NG G Y AH L
빙고|P IY NG G OW0
빙과|P IY NG G W AE
빙글빙글|P IY NG G UW0 L B IY NG G UW0 L
빙빙|P IY NG B IY NG
빙산|P IY NG S AE N
빙상관|P IY NG S AE NG G W AE N
빙상무용|P IY NG S AE NG M UW Y OW0 NG
빙수|P IY NG S UW
빙어|P IY NG AH
빙점|P IY NG D AH M
빙정|P IY NG D AH NG
빙하|P IY NG AE
빙하쥐|P IY NG AE D IY
빚|P IY T
빚다|P IY T T AE
빚음감|P IY D UW0 M G AE M
빛|P IY T
빛깔|P IY T K AE L
빛나다|P IY N N AE D AE
빛알|P IY T AE L
빠가|P AE G AE
빠구리|P AE G UW R IY
빠그르르|P AE G UW0 R UW0 R UW0
빠글빠글|P AE G UW0 L P AE G UW0 L
빠다|P AE D AE
빠듯하다|P AE D UW0 T AE D AE
빠따|P AE T AE
빠뜨리다|P AE T UW0 R IY D AE
빠르다|P AE R UW0 D AE
빠리|P AE R IY
빠빠|P AE P AE
빠사삭|P AE S AE S AE K
빠삭|P AE S AE K
빠삭빠삭|P AE S AE K P AE S AE K
빠스락|P AE S UW0 R AE K
빠스락빠스락|P AE S UW0 R AE K P AE S UW0 R AE K
빠이빠이|P AE IY P AE IY
빠져나가다|P AE D AH N AE G AE D AE
빠져나오다|P AE D AH N AE OW0 D AE
빠지다|P AE D IY D AE
빡치다|P AE K T IY D AE
빤스|P AE N S UW0
빤스런|P AE N S UW0 R AH N
빤짝|P AE N IY0 T AE K
빤짝빤짝|P AE N IY0 T AE K P AE N IY0 T AE K
빤쯔|P AE N IY0 T UW0
빨강|P AE L G AE NG
빨갛다|P AE L G AE T AE
빨다|P AE L D AE
빨딱|P AE L T AE K
빨리|P AE L IY L IY IY
빨리감다|P AE L IY L IY IY G AE M T AE
빨리빨리|P AE L IY L IY IY P AE L IY L IY IY
빨아먹다|P AE R AE M AH K T AE
빨찌산|P AE L IY T IY S AE N
빵|P AE NG
빵가루|P AE NG K AE R UW
빵나무|P AE NG N AE M UW
빵집|P AE NG T IY P
빻다|P AE T AE
빼놓다|P EH N OW0 T AE
빼다|P EH D AE
빼닫이|P EH0 D AE D IY
빼닮다|P EH D AE M T AE
뺄셈|P EH L S EH0 M
뺏다|P EH T T AE
뺨|P Y AE M
뻐그르르|P AH G UW0 R UW0 R UW0
뻐글뻐글|P AH G UW0 L P AH G UW0 L
뻐꾸기|P AH K UW G IY
뻐서석|P AH S AH S AH K
뻐석|P AH S AH K
뻐석뻐석|P AH S AH K P AH S AH K
뻐스|P AH S UW0
뻐스럭|P AH S UW0 R AH K
뻐스럭뻐스럭|P AH S UW0 R AH K P AH S UW0 R AH K
뻔뻔스럽다|P AH N P AH N S UW0 R AH P T AE
뻔뻔하다|P AH N P AH N AE D AE
뻔쩍|P AH N IY0 T AH K
뻔쩍뻔쩍|P AH N IY0 T AH K P AH N IY0 T AH K
뻔하다|P AH N AE D AE
뻗다|P AH T T AE
뻘떡|P AH L T AH K
뻘쭘|P AH L IY T UW M
뻘쭘하다|P AH L IY T UW M AE D AE
뻥|P AH NG
뼈|P Y AH
뼈마디|P Y AH M AE D IY
뼈살촉|P Y AH S AE L IY T OW0 K
뼛골|P Y AH T K OW0 L
뽀그르르|P OW0 G UW0 R UW0 R UW0
뽀글뽀글|P OW0 G UW0 L P OW0 G UW0 L
뽀르뚜갈|P OW0 R UW0 T UW G AE L
뽀뽀|P OW0 P OW0
뽀뽀하다|P OW0 P OW0 AE D AE
뽀사삭|P OW0 S AE S AE K
뽀사삭뽀사삭|P OW0 S AE S AE K P OW0 S AE S AE K
뽀삭|P OW0 S AE K
뽀삭뽀삭|P OW0 S AE K P OW0 S AE K
뽀스락|P OW0 S UW0 R AE K
뽀스락뽀스락|P OW0 S UW0 R AE K P OW0 S UW0 R AE K
뽀얗다|P OW0 Y AE T AE
뽈스까|P OW0 L S UW0 K AE
뽈스카|P OW0 L S UW0 K AE
뽐프|P OW0 M P UW0
뽑다|P OW0 P T AE
뽑히다|P OW0 P IY D AE
뽕|P OW0 NG
뽕나무|P OW0 NG N AE M UW
뾰족하다|P Y OW0 D OW0 K AE D AE
뿌그르르|P UW G UW0 R UW0 R UW0
뿌글뿌글|P UW G UW0 L P UW G UW0 L
뿌리|P UW R IY
뿌리다|P UW R IY D AE
뿌리혹|P UW R IY V OW0 K
뿌서석|P UW S AH S AH K
뿌서석뿌서석|P UW S AH S AH K P UW S AH S AH K
뿌석|P UW S AH K
뿌석뿌석|P UW S AH K P UW S AH K
뿌셔뿌셔|P UW SH AH P UW SH AH
뿌스럭|P UW S UW0 R AH K
뿌스럭뿌스럭|P UW S UW0 R AH K P UW S UW0 R AH K
뿌시다|P UW SH IY D AE
뿌옇다|P UW Y AH T AE
뿐|P UW N
뿔|P UW L
뿔논병아리|P UW L L OW0 N B Y AH NG AE R IY
뿔종다리|P UW L IY D OW0 NG D AE R IY
뿜다|P UW M T AE
쁠류스|P UW0 L IY L IY UW S UW0
삐까삐까|P IY K AE P IY K AE
삐다|P IY D AE
삐딱하다|P IY T AE K AE D AE
삐뚤다|P IY T UW L D AE
삐침|P IY T IY M
삐침별|P IY T IY M B Y AH L
삘|P IY L
삥|P IY NG
삥궐|P IY NG G W AH L
삥삥|P IY NG P IY NG
삥샹|P IY NG SH AE NG
사|S AE
사거리|S AE G AH R IY
사건|S AE K AH N
사격|S AE G Y AH K
사계|S AE G Y EH0
사고|S AE G OW0
사골|S AE G OW0 L
사과|S AE G W AE
사과나무|S AE G W AE N AE M UW
사과주|S AE G W AE D UW
사과하다|S AE G W AE AE D AE
사교|S AE G Y OW0
사구|S AE G UW
사귀|S AE G IY
사귀다|S AE G IY D AE
사극|S AE G UW0 K
사기|S AE G IY
사기꾼|S AE G IY K UW N
사기죄|S AE G IY D W EH0
사까시|S AE K AE SH IY
사꾸라|S AE K UW R AE
사나|S AE N AE
사나이|S AE N AE IY
사납다|S AE N AE P T AE
사냥|S AE N IY0 AE NG
사냥꾼|S AE N IY0 AE NG K UW N
사냥하다|S AE N IY0 AE NG AE D AE
사다|S AE D AE
사다리|S AE D AE R IY
사닥다리|S AE D AE K T AE R IY
사단|S AE D AE N
사담|S AE D AE M
사동사|S AE D OW0 NG S AE
사둘|S AE D UW L
사라|S AE R AE
사라예보|S AE R AE Y EH0 B OW0
사라지다|S AE R AE D IY D AE
사람|S AE R AE M
사람갈음이름씨|S AE R AE M G AE R UW0 M IY R UW0 M SH IY
사람들|S AE R AE M D UW0 L
사람비김법|S AE R AE M B IY G IY M B AH P
사랍다|S AE R AE P T AE
사랑|S AE R AE NG
사랑니|S AE R AE NG N IY
사랑스럽다|S AE R AE NG S UW0 R AH P T AE
사랑싸움|S AE R AE NG S AE UW M
사랑하다|S AE R AE NG AE D AE
사략선|S AE R Y AE K S AH N
사령부|S AE R Y AH NG B UW
사례|S AE R Y EH0
사로잡다|S AE R OW0 D AE P T AE
사뢰다|S AE R W EH0 D AE
사료|S AE R Y OW0
사루기|S AE R UW G IY
사륜차|S AE R Y UW N IY0 T AE
사르르|S AE R UW0 R UW0
사리|S AE R IY
사리사욕|S AE R IY S AE Y OW0 K
사리원|S AE R IY W AH N
사립|S AE R IY P
사립문|S AE R IY M M UW N
사마귀|S AE M AE G IY
사마륨|S AE M AE R Y UW M
사마리아|S AE M AE R IY AE
사막|S AE M AE K
사막화|S AE M AE K W AE
사망|S AE M AE NG
사망자|S AE M AE NG D AE
사망하다|S AE M AE NG AE D AE
사면|S AE M Y AH N
사모|S AE M OW0
사모바르|S AE M OW0 B AE R UW0
사모뿔|S AE M OW0 P UW L
사모아|S AE M OW0 AE
사무라이|S AE M UW R AE IY
사무소|S AE M UW S OW0
사무실|S AE M UW SH IY L
사무치다|S AE M UW T IY D AE
사물|S AE M UW L
사물놀이|S AE M UW L L OW0 R IY
사바나|S AE B AE N AE
사바사|S AE B AE S AE
사발|S AE B AE L
사방|S AE B AE NG
사방치기|S AE B AE NG T IY G IY
사방팔방|S AE B AE NG P AE L B AE NG
사법|S AE B AH P
사보타주|S AE B OW0 T AE D UW
사본|S AE B OW0 N
사뿐|S AE P UW N
사뿐사뿐|S AE P UW N S AE P UW N
사사롭다|S AE S AE R OW0 P T AE
사사오입|S AE S AE OW0 IY P
사상|S AE S AE NG
사서|S AE S AH
사서오경|S AE S AH OW0 G Y AH NG
사설|S AE S AH L
사성음|S AE S AH NG UW0 M
사소하다|S AE S OW0 AE D AE
사수|S AE S UW
사스|S AE S UW0
사슬|S AE S UW0 L
사슴|S AE S UW0 M
사시|S AE SH IY
사시미|S AE SH IY M IY
사신|S AE SH IY N
사실|S AE SH IY L
사실무근|S AE SH IY L M UW G UW0 N
사실상|S AE SH IY L S AE NG
사실은|S AE SH IY R UW0 N
사심|S AE SH IY M
사십|S AE SH IY P
사악|S AE AE K
사악하다|S AE AE K AE D AE
사안|S AE AE N
사양|S AE Y AE NG
사양하다|S AE Y AE NG AE D AE
사업|S AE AH P
사업가|S AE AH P K AE
사업주|S AE AH P T UW
사업차|S AE AH P T AE
사역원|S AE Y AH G W AH N
사용|S AE Y OW0 NG
사용되다|S AE Y OW0 NG D W EH0 D AE
사용자|S AE Y OW0 NG D AE
사용하다|S AE Y OW0 NG AE D AE
사우나|S AE UW N AE
사우디아라비아|S AE UW D IY AE R AE B IY AE
사우스다코타|S AE UW S UW0 D AE K OW0 T AE
사울|S AE UW L
사원|S AE W AH N
사월|S AE W AH L
사위|S AE IY
사유|S AE Y UW
사육제|S AE Y UW K T EH0
사이|S AE IY
사이다|S AE IY D AE
사이렌|S AE IY R EH0 N
사이버불링|S AE IY B AH B UW L IY L IY IY NG
사이보그|S AE IY B OW0 G UW0
사이비|S AE IY B IY
사이시옷|S AE IY SH IY OW0 T
사이즈|S AE IY D UW0
사이클링|S AE IY K HH UW0 L IY L IY IY NG
사이트|S AE IY T UW0
사이폰|S AE IY P OW0 N
사인|S AE IY N
사인하다|S AE IY N AE D AE
사임|S AE IY M
사자|S AE D AE
사자고추|S AE D AE G OW0 T UW
사장|S AE D AE NG
사전|S AE D AH N
사절|S AE D AH L
사정|S AE D AH NG
사제|S AE D EH0
사족|S AE D OW0 K
사종|S AE D OW0 NG
사증|S AE T UW0 NG
사지|S AE D IY
사직|S AE D IY K
사진|S AE D IY N
사진기|S AE D IY N G IY
사진빨|S AE D IY N P AE L
사진사|S AE D IY N S AE
사진술|S AE D IY N S UW L
사진첩|S AE D IY N IY0 T AH P
사찰|S AE T AE L
사창|S AE T AE NG
사천|S AE T AH N
사철|S AE T AH L
사철나무|S AE T AH L L AE M UW
사체|S AE T EH0
사초|S AE T OW0
사촌|S AE T OW0 N
사춘|S AE T UW N
사춘기|S AE T UW N G IY
사치품|S AE T IY P UW M
사칭|S AE T IY NG
사쿠라|S AE K UW R AE
사타구니|S AE T AE G UW N IY
사탄|S AE T AE N
사탄교|S AE T AE N G Y OW0
사탕|S AE T AE NG
사탕수수|S AE T AE NG S UW S UW
사통|S AE T OW0 NG
사투르누스|S AE T UW R UW0 N UW S UW0
사투리|S AE T UW R IY
사튀로스|S AE T IY R OW0 S UW0
사파리|S AE P AE R IY
사팔뜨기|S AE P AE L T UW0 G IY
사푼|S AE P UW N
사푼사푼|S AE P UW N S AE P UW N
사필귀정|S AE P IY L G IY D AH NG
사하다|S AE AE D AE
사하라|S AE AE R AE
사학|S AE AE K
사할린|S AE AE L IY L IY IY N
사항|S AE AE NG
사향|S AE IY AE NG
사향고양이|S AE IY AE NG G OW0 Y AE NG IY
사향노루|S AE IY AE NG N OW0 R UW
사향땃쥐|S AE IY AE NG T AE T T IY
사향소|S AE IY AE NG S OW0
사향쥐|S AE IY AE NG D IY
사형|S AE IY AH NG
사화산|S AE V W AE S AE N
사회|S AE V W EH0
사회적|S AE V W EH0 D AH K
사회주의|S AE V W EH0 D UW IY
사회학|S AE V W EH0 AE K
사흘|S AE HH UW0 L
삭|S AE K
삭이다|S AE G IY D AE
삭제|S AE K T EH0
삭제하다|S AE K T EH0 AE D AE
삯|S AE K
산|S AE N
산골|S AE N K OW0 L
산과|S AE N K W AE
산꿩의밥|S AE N K W AH NG IY B AE P
산달|S AE N D AE L
산당화|S AE N D AE NG V W AE
산동|S AE N D OW0 NG
산둥|S AE N D UW NG
산등성이|S AE N T UW0 NG S AH NG IY
산딸기|S AE N T AE L G IY
산딸나무|S AE N T AE L L AE M UW
산마리노|S AE N M AE R IY N OW0
산문|S AE N M UW N
산보|S AE N P OW0
산봉우리|S AE N P OW0 NG UW R IY
산불|S AE N P UW L
산뽕나무|S AE N P OW0 NG N AE M UW
산살바도르|S AE N S AE L B AE D OW0 R UW0
산서|S AE N S AH
산소|S AE N S OW0
산술|S AE N S UW L
산스크리트어|S AE N S UW0 K HH UW0 R IY T UW0 AH
산시|S AE N SH IY
산신각|S AE N SH IY N G AE K
산아|S AE N AE
산양|S AE N IY0 AE NG
산업|S AE N AH P
산업화|S AE N AH P W AE
산장|S AE N IY0 D AE NG
산전|S AE N IY0 D AH N
산주인|S AE N IY0 D UW IY N
산천|S AE N IY0 T AH N
산초|S AE N IY0 T OW0
산초나무|S AE N IY0 T OW0 N AE M UW
산토끼|S AE N T OW0 K IY
산토도밍고|S AE N T OW0 D OW0 M IY NG G OW0
산티아고|S AE N T IY AE G OW0
산파|S AE N P AE
산판|S AE N P AE N
산호|S AE N V OW0
산호세|S AE N V OW0 S EH0
산호초|S AE N V OW0 T OW0
산화물|S AE N V W AE M UW L
살갗|S AE L G AE T
살결|S AE L G Y AH L
살결물|S AE L K Y AH L M UW L
살구|S AE L G UW
살균|S AE L G Y UW N
살그머니|S AE L G UW0 M AH N IY
살근살근|S AE L G UW0 N S AE L G UW0 N
살금살금|S AE L G UW0 M S AE L G UW0 M
살까기|S AE L K AE G IY
살다|S AE L D AE
살롱|S AE L L OW0 NG
살리다|S AE L IY L IY IY D AE
살림|S AE L IY L IY IY M
살림살이|S AE L IY L IY IY M S AE R IY
살며시|S AE L M Y AH SH IY
살무사|S AE L M UW S AE
살별|S AE L B Y AH L
살살|S AE L S AE L
살살하다|S AE L S AE R AE D AE
살아가다|S AE R AE G AE D AE
살아남다|S AE R AE N AE M T AE
살아오다|S AE R AE OW0 D AE
살육|S AE R Y UW K
살인|S AE R IY N
살인자|S AE R IY N IY0 D AE
살짝|S AE L IY T AE K
살짝살짝|S AE L IY T AE K S AE L IY T AE K
살찌다|S AE L IY T IY D AE
살찌우다|S AE L IY T IY UW D AE
살찐|S AE L IY T IY N
살처분|S AE L IY T AH B UW N
살치|S AE L IY T IY
살펴보다|S AE L P Y AH B OW0 D AE
살포시|S AE L P OW0 SH IY
살푸시|S AE L P UW SH IY
살풍경|S AE L P UW NG G Y AH NG
살피|S AE L P IY
살피다|S AE L P IY D AE
삵|S AE K
삶|S AE M
삶다|S AE M T AE
삼|S AE M
삼겹살|S AE M G Y AH P S AE L
삼계탕|S AE M G Y EH0 T AE NG
삼공|S AE M G OW0 NG
삼광|S AE M G W AE NG
삼국|S AE M G UW K
삼나라|S AE M N AE R AE
삼나무|S AE M N AE M UW
삼다|S AE M T AE
삼단논법|S AE M D AE N N OW0 N P AH P
삼동|S AE M D OW0 NG
삼라만상|S AE M N AE M AE N S AE NG
삼루수|S AE M N UW S UW
삼륜차|S AE M N IY0 UW N IY0 T AE
삼림|S AE M N IY M
삼림욕|S AE M N IY M N IY0 OW0 K
삼바|S AE M B AE
삼선|S AE M S AH N
삼성|S AE M S AH NG
삼수|S AE M S UW
삼신|S AE M SH IY N
삼십|S AE M SH IY P
삼십육계|S AE M SH IY B Y UW K K Y EH0
삼엽기|S AE M Y AH P K IY
삼월|S AE M W AH L
삼위일체|S AE M IY IY L IY T EH0
삼인칭|S AE M IY N IY0 T IY NG
삼족|S AE M D OW0 K
삼줄|S AE M D UW L
삼진|S AE M D IY N
삼차원|S AE M T AE W AH N
삼척|S AE M T AH K
삼초|S AE M T OW0
삼촌|S AE M T OW0 N
삼춘|S AE M T UW N
삼한|S AE M AE N
삽|S AE P
삽신|S AE P SH IY N
삽입|S AE B IY P
삽입곡|S AE B IY P K OW0 K
삽화|S AE P W AE
삿갓|S AE T K AE T
삿포로|S AE T P OW0 R OW0
상|S AE NG
상간|S AE NG G AE N
상견례|S AE NG G Y AH L IY L IY EH0
상관|S AE NG G W AE N
상관하다|S AE NG G W AE N AE D AE
상권|S AE NG G W AH N
상급|S AE NG G UW0 P
상냥하다|S AE NG N IY0 AE NG AE D AE
상념|S AE NG N IY0 AH M
상놈|S AE NG N OW0 M
상담|S AE NG D AE M
상담하다|S AE NG D AE M AE D AE
상당|S AE NG D AE NG
상당하다|S AE NG D AE NG AE D AE
상당히|S AE NG D AE NG IY IY
상록수|S AE NG N OW0 K S UW
상륙|S AE NG N IY0 UW K
상무|S AE NG M UW
상반신|S AE NG B AE N SH IY N
상사|S AE NG S AE
상사병|S AE NG S AE P Y AH NG
상상|S AE NG S AE NG
상상력|S AE NG S AE NG N IY0 AH K
상상하다|S AE NG S AE NG AE D AE
상선벌악|S AE NG S AH N B AH R AE K
상성|S AE NG S AH NG
상세하다|S AE NG S EH0 AE D AE
상속|S AE NG S OW0 K
상속인|S AE NG S OW0 G IY N
상수|S AE NG S UW
상수리|S AE NG S UW R IY
상수리나무|S AE NG S UW R IY N AE M UW
상스럽다|S AE NG S UW0 R AH P T AE
상식|S AE NG SH IY K
상실|S AE NG SH IY L
상아|S AE NG AE
상아탑|S AE NG AE T AE P
상어|S AE NG AH
상업|S AE NG AH P
상여|S AE NG Y AH
상완삼두근|S AE NG W AE N S AE M D UW G UW0 N
상완이두근|S AE NG W AE N IY D UW G UW0 N
상원|S AE NG W AH N
상원의원|S AE NG W AH N IY W AH N
상위어|S AE NG IY AH
상응|S AE NG UW0 NG
상의|S AE NG IY
상의하다|S AE NG IY AE D AE
상이하다|S AE NG IY AE D AE
상인|S AE NG IY N
상임|S AE NG IY M
상자|S AE NG D AE
상점|S AE NG D AH M
상징|S AE NG D IY NG
상징하다|S AE NG D IY NG AE D AE
상처|S AE NG T AH
상체|S AE NG T EH0
상추|S AE NG T UW
상투메|S AE NG T UW M EH0
상트페테르부르크|S AE NG T UW0 P EH0 T EH0 R UW0 B UW R UW0 K HH UW0
상표|S AE NG P Y OW0
상품|S AE NG P UW M
상하다|S AE NG AE D AE
상하이|S AE NG AE IY
상하이어|S AE NG AE IY AH
상형|S AE NG IY AH NG
상호|S AE NG V OW0
상환되다|S AE NG V W AE N D W EH0 D AE
상황|S AE NG V W AE NG
샅|S AE T
새|S EH
새가슴|S EH G AE S UW0 M
새다|S EH D AE
새똥|S EH T OW0 NG
새집|S EH D IY P
새치기|S EH T IY G IY
새호리기|S EH V OW0 R IY G IY
새홀리기|S EH V OW0 L IY L IY IY G IY
색시|S EH K SH IY
샘|S EH M
샛길|S EH T K IY L
샛별|S EH T P Y AH L
생|S EH NG
생쥐|S EH NG D IY
샤먼|SH AE M AH N
샤발|SH AE B AE L
샤쓰|SH AE S UW0
샤워|SH AE W AH
샤쯔|SH AE T UW0
샤타|SH AE T AE
샤프펜실|SH AE P UW0 P EH0 N SH IY L
샬럿타운|SH AE L L AH T T AE UW N
샴페인|SH AE M P EH0 IY N
샴푸|SH AE M P UW
샹들리에|SH AE NG D UW0 L IY L IY IY EH0
샹차이|SH AE NG T AE IY
서|S AH
서강|S AH G AE NG
서경|S AH G Y AH NG
서고|S AH G OW0
서과|S AH G W AE
서구|S AH G UW
서귀포|S AH G IY P OW0
서남|S AH N AE M
서너|S AH N AH
서넛|S AH N AH T
서늘하다|S AH N UW0 R AE D AE
서다|S AH D AE
서당|S AH D AE NG
서도|S AH D OW0
서독|S AH D OW0 K
서두르다|S AH D UW R UW0 D AE
서라벌|S AH R AE B AH L
서랍|S AH R AE P
서로|S AH R OW0
서류|S AH R Y UW
서류가방|S AH R Y UW G AE B AE NG
서류철|S AH R Y UW T AH L
서른|S AH R UW0 N
서리|S AH R IY
서밋|S AH M IY T
서반아|S AH B AE N AE
서발|S AH B AE L
서방|S AH B AE NG
서버|S AH B AH
서벌|S AH B AH L
서법|S AH P AH P
서부|S AH B UW
서부극|S AH B UW G UW0 K
서브컬처|S AH B UW0 K AH L IY T AH
서비스|S AH B IY S UW0
서뿐|S AH P UW N
서뿐서뿐|S AH P UW N S AH P UW N
서사하라|S AH S AE AE R AE
서슴다|S AH S UW0 M D AE
서식|S AH SH IY K
서양|S AH Y AE NG
서양갈까마귀|S AH Y AE NG G AE L K AE M AE G IY
서양메꽃|S AH Y AE NG M EH0 K OW0 T
서양인|S AH Y AE NG IY N
서양자두|S AH Y AE NG D AE D UW
서양화|S AH Y AE NG V W AE
서어나무|S AH AH N AE M UW
서예|S AH Y EH0
서왕모|S AH W AE NG M OW0
서운하다|S AH UW N AE D AE
서울|S AH UW L
서울공화국|S AH UW L K OW0 NG V W AE G UW K
서월|S AH W AH L
서이|S AH IY
서인|S AH IY N
서장|S AH D AE NG
서점|S AH D AH M
서진|S AH D IY N
서쪽|S AH T OW0 K
서체|S AH T EH0
서커스|S AH K AH S UW0
서클|S AH K HH UW0 L
서평|S AH P Y AH NG
서표|S AH P Y OW0
서푼|S AH P UW N
서푼서푼|S AH P UW N S AH P UW N
서하|S AH AE
석|S AH K
석가|S AH K K AE
석가모니|S AH K K AE M OW0 N IY
석감|S AH K K AE M
석거|S AH K K AH
석고|S AH K K OW0
석고판|S AH K K OW0 P AE N
석관|S AH K K W AE N
석궁|S AH K K UW NG
석다|S AH K T AE
석달|S AH K T AE L
석랍|S AH NG N AE P
석류|S AH NG N IY0 UW
