'ayé|'ajé
ibikíbi|ibikíbi
ibiṣẹ́|ibiʃɛ́
ibi’ṣẹ́|ibi’ʃɛ́
ibodè|ibodè
ibojì|ibod͡ʒì
ibà|ibà
ibìkan|ibìkan
ibìkankan|ibìkankan
ibí|ibí
ibòji|ibòd͡ʒi
ibòmíràn|ibòmíràn
ibòòji|ibòòd͡ʒi
ibùba|ibùba
ibùdó|ibùdó
ibùdókọ̀|ibùdókɔ̀
ibùgbé|ibùɡ͡bé
ibùjókòó|ibùd͡ʒókòó
ibùjẹ|ibùd͡ʒɛ
ibùso|ibùso
ibùsùn|ibùsùn
ibùsọ̀|ibùsɔ̀
ibú|ibú
ibẹ̀|ibɛ̀
idala|idala
idayìí|idajìí
iddo|iddo
idumea|idumea
idà|idà
idàkídà|idàkídà
idán|idán
idì|idì
idílé|idílé
iffa|iffa
ifita|ifita
ifá|ifá
ifálékè|ifálékè
ifẹ̀|ifɛ̀
iga|iɡa
igbe|iɡ͡be
igbá|iɡ͡bá
igbákejì|iɡ͡báked͡ʒì
igbó|iɡ͡bó
igi|iɡi
igikígi|iɡikíɡi
igimú|iɡimú
igà|iɡà
igàn|iɡàn
igún|iɡún
igúnnugún|iɡúnnuɡún
igẹ̀|iɡɛ̀
iho|iho
ihò|ihò
ijà|id͡ʒà
ijó|id͡ʒó
ijù|id͡ʒù
ijọ́|id͡ʒɔ́
ikoniomu|ikoniomu
ikun’mú|ikũ’mú
ikán|ikán
iké|iké
ikùn|ikùn
ikú|ikú
ikún|ikún
ikúu|ikúu
ikọ̀|ikɔ̀
ikọ́|ikɔ́
illirikoni|illirikoni
ilà|ilà
ilè|ilè
ilé|ilé
ilédélé|ilédélé
ilée|ilée
iléelẹ̀|iléelɛ̀
ilékílé|ilékílé
ilémobọ́lá|ilémobɔ́lá
ilésanmí|ilésanmí
iléyá|iléjá
iléèwé|iléèwé
ilé’|ilé’
ilú|ilú
ilẹ̀|ilɛ̀
ilẹ̀kùn|ilɛ̀kùn
ilẹ̀ẹ|ilɛ̀ɛ
immeri|immeri
imri|imri
imí|imí
imú|imú
imọ̀|imɔ̀
inu|ĩu
inuwọ̀|ĩuwɔ̀
iná|ĩá
inú|ĩú
inúnibíni|ĩúnibíni
inúu|ĩúu
ipa|ik͡pa
ipadò|ik͡padò
ipasẹ̀|ik͡pasɛ̀
ipele|ik͡pele
ipá|ik͡pá
ipò|ik͡pò
ipòkípò|ik͡pòkík͡pò
ire|ire
irin|irĩ
irinwó|irĩwó
irinwó|irĩwó
irinṣẹ́|irĩʃɛ́
iré|iré
irùngbọ̀n|irùnɡ͡bɔ̀n
irú|irú
irúgbìn|irúɡ͡bìn
irọ̀|irɔ̀
irọ́|irɔ́
isaaki|isaaki
isaiah|isaiah
isakari|isakari
isari|isari
isiah|isiah
iskariotu|iskariotu
israẹli|israɛli
isà|isà
isó|isó
isẹ́|isɛ́
itali|itali
itamari|itamari
itasi|itasi
itreamu|itreamu
itri|itri
ittai|ittai
iturea|iturea
itọ́|itɔ́
iwàlọlá|iwàlɔlá
iwájú|iwád͡ʒú
iyanrìn|ijanrìn
iye|ije
iyebiye|ijebije
iyebíye|ijebíje
iyàn|ijàn
iyàrá|ijàrá
iyá|ijá
iyán|iján
iyè|ijè
iyèkan|ijèkan
iyèméjì|ijèméd͡ʒì
iyé|ijé
iyì|ijì
iyùn|ijùn
iyẹ̀pẹ̀|ijɛ̀k͡pɛ̀
iyọ̀|ijɔ̀
iójú|iód͡ʒú
iṣan|iʃan
iṣboṣeti|iʃboʃeti
iṣi|iʃi
iṣifi|iʃifi
iṣmaeli|iʃmaeli
iṣé|iʃé
iṣẹ́|iʃɛ́
iṣẹ́kíṣẹ́|iʃɛ́kíʃɛ́
i’|i’
ja|d͡ʒa
jaakani|d͡ʒaakani
jaani|d͡ʒaani
jaaṣaniah|d͡ʒaaʃaniah
jabbok|d͡ʒabbok
jabesi|d͡ʒabesi
jabini|d͡ʒabĩi
jabne|d͡ʒabne
jabneeli|d͡ʒabneeli
jada|d͡ʒada
jaddua|d͡ʒaddua
jadoni|d͡ʒadoni
jaeli|d͡ʒaeli
jafani|d͡ʒafani
jafeti|d͡ʒafeti
jafia|d͡ʒafia
jafileti|d͡ʒafileti
jagun|d͡ʒaɡũ
jagunjagun|d͡ʒaɡũd͡ʒaɡũ
jaguri|d͡ʒaɡuri
jahasi|d͡ʒahasi
jahasieli|d͡ʒahasieli
jahati|d͡ʒahati
jahdieli|d͡ʒahdieli
jairi|d͡ʒairi
jairu|d͡ʒairu
jakali|d͡ʒakali
jakini|d͡ʒakĩi
jakinti|d͡ʒakĩti
jakọbu|d͡ʒakɔbu
jakọbu’|d͡ʒakɔbu’
jalabíà|d͡ʒalabíà
jalamu|d͡ʒalamu
jaleeli|d͡ʒaleeli
jalè|d͡ʒalè
jamberi|d͡ʒamberi
jamini|d͡ʒamĩi
janai|d͡ʒanai
janesi|d͡ʒanesi
janoa|d͡ʒanoa
jaredi|d͡ʒaredi
jariha|d͡ʒariha
jarmatu|d͡ʒarmatu
jaseeli|d͡ʒaseeli
jaseri|d͡ʒaseri
jasieli|d͡ʒasieli
jasoni|d͡ʒasoni
jasperi|d͡ʒask͡peri
jayé|d͡ʒajé
jayéjayé|d͡ʒajéd͡ʒajé
jaṣubu|d͡ʒaʃubu
jearimu|d͡ʒearimu
jeberekiah|d͡ʒeberekiah
jebusi|d͡ʒebusi
jedaiah|d͡ʒedaiah
jediaeli|d͡ʒediaeli
jedutuni|d͡ʒedutũi
jefta|d͡ʒefta
jefunne|d͡ʒefũne
jegari|d͡ʒeɡari
jehiah|d͡ʒehiah
jehieli|d͡ʒehieli
jehoahasi|d͡ʒehoahasi
jehoaṣi|d͡ʒehoaʃi
jehohanani|d͡ʒehohanani
jehoiada|d͡ʒehoiada
jehoiakimu|d͡ʒehoiakimu
jehoiakini|d͡ʒehoiakĩi
jehoida|d͡ʒehoida
jehonadabu|d͡ʒehonadabu
jehoramu|d͡ʒehoramu
jehoṣafati|d͡ʒehoʃafati
jehu|d͡ʒehu
jeieli|d͡ʒeieli
jekameamu|d͡ʒekameamu
jekoniah|d͡ʒekoniah
jerahmeeli|d͡ʒerahmeeli
jeremiah|d͡ʒeremiah
jeriah|d͡ʒeriah
jeriko|d͡ʒeriko
jerimoti|d͡ʒerimoti
jeroboamu|d͡ʒeroboamu
jerohamu|d͡ʒerohamu
jerueli|d͡ʒerueli
jerusalẹmu|d͡ʒerusalɛmu
jeruṣa|d͡ʒeruʃa
jesaniah|d͡ʒesaniah
jese|d͡ʒese
jesebeli|d͡ʒesebeli
jesreeli|d͡ʒesreeli
jesu|d͡ʒesu
jeteri|d͡ʒeteri
jetro|d͡ʒetro
jeturi|d͡ʒeturi
jeun|d͡ʒeũ
jeuṣi|d͡ʒeuʃi
jeṣaiah|d͡ʒeʃaiah
jeṣua|d͡ʒeʃua
jeṣuruni|d͡ʒeʃurũi
jini|d͡ʒĩi
jinlẹ̀|d͡ʒĩlɛ̀
jiyàn|d͡ʒijàn
jo|d͡ʒo
joabu|d͡ʒoabu
joah|d͡ʒoah
joana|d͡ʒoana
joanna|d͡ʒoanna
joaṣi|d͡ʒoaʃi
jobu|d͡ʒobu
joda|d͡ʒoda
jogli|d͡ʒoɡli
jogún|d͡ʒoɡún
johanani|d͡ʒohanani
johanu|d͡ʒohanu
joiada|d͡ʒoiada
jojo|d͡ʒod͡ʒo
jokebedi|d͡ʒokebedi
jokimeamu|d͡ʒokimeamu
jokneamu|d͡ʒokneamu
joktani|d͡ʒoktani
jokṣani|d͡ʒokʃani
jona|d͡ʒona
jonamu|d͡ʒonamu
jonatani|d͡ʒonatani
joppa|d͡ʒok͡pk͡pa
joramu|d͡ʒoramu
jordani|d͡ʒordani
jorimu|d͡ʒorimu
jorkeamu|d͡ʒorkeamu
joró|d͡ʒoró
josabadi|d͡ʒosabadi
josadaki|d͡ʒosadaki
jose|d͡ʒose
josiah|d͡ʒosiah
josẹfu|d͡ʒosɛfu
jotamu|d͡ʒotamu
jotbata|d͡ʒotbata
jowú|d͡ʒowú
joyè|d͡ʒojè
joẹli|d͡ʒoɛli
ju|d͡ʒu
jubali|d͡ʒubali
juda|d͡ʒuda
judasi|d͡ʒudasi
judea|d͡ʒudea
juditi|d͡ʒuditi
julia|d͡ʒulia
juliusi|d͡ʒuliusi
junia|d͡ʒũia
junifa|d͡ʒũifa
jupiteri|d͡ʒuk͡piteri
justu|d͡ʒustu
jutta|d͡ʒutta
juwọ́|d͡ʒuwɔ́
juùyà|d͡ʒuùjà
jà|d͡ʒà
jàdídùn|d͡ʒàdídùn
jàgídíjàgan|d͡ʒàɡídíd͡ʒàɡan
jàlabíà|d͡ʒàlabíà
jànkanjànkàn|d͡ʒànkand͡ʒànkàn
jàre|d͡ʒàre
jàńtìrẹrẹ|d͡ʒàńtìrɛrɛ
jàǹdùkú|d͡ʒàǹdùkú
já|d͡ʒá
jábọ̀|d͡ʒábɔ̀
jábọ́|d͡ʒábɔ́
jáde|d͡ʒáde
jáfara|d͡ʒáfara
jáfáfá|d͡ʒáfáfá
jákànde|d͡ʒákànde
jákèjádò|d͡ʒákèd͡ʒádò
jákọ́bù|d͡ʒákɔ́bù
jálá|d͡ʒálá
jáláyà|d͡ʒálájà
jálẹ̀|d͡ʒálɛ̀
jámọ́|d͡ʒámɔ́
járọ́ọ|d͡ʒárɔ́ɔ
jásí|d͡ʒásí
játijàti|d͡ʒátid͡ʒàti
játọ́|d͡ʒátɔ́
jáwé|d͡ʒáwé
jáwọ́|d͡ʒáwɔ́
jáyà|d͡ʒájà
jáńtìrẹrẹ|d͡ʒáńtìrɛrɛ
jèhóvà|d͡ʒèhóvà
jèrè|d͡ʒèrè
jé|d͡ʒé
jéró|d͡ʒéró
jésù|d͡ʒésù
jì|d͡ʒì
jìjàdù|d͡ʒìd͡ʒàdù
jìjàkadì|d͡ʒìd͡ʒàkadì
jìn|d͡ʒìn
jìnnà|d͡ʒìnnà
jìnnàjìnnà|d͡ʒìnnàd͡ʒìnnà
jìnnìjìnnì|d͡ʒìnnìd͡ʒìnnì
jìnà|d͡ʒìnà
jìnádù|d͡ʒìnádù
jìtá|d͡ʒìtá
jìyà|d͡ʒìjà
jì́nà|d͡ʒì́nà
jìṣẹ́|d͡ʒìʃɛ́
jí|d͡ʒí
jíbádé|d͡ʒíbádé
jíbówú|d͡ʒíbówú
jíbọ́lá|d͡ʒíbɔ́lá
jídé|d͡ʒídé
jíire|d͡ʒíire
jíjiyàn|d͡ʒíd͡ʒijàn
jíju|d͡ʒíd͡ʒu
jíjà|d͡ʒíd͡ʒà
jíjáde|d͡ʒíd͡ʒáde
jíjìn|d͡ʒíd͡ʒìn
jíjìnnà|d͡ʒíd͡ʒìnnà
jíjìyà|d͡ʒíd͡ʒìjà
jíjí|d͡ʒíd͡ʒí
jíjó|d͡ʒíd͡ʒó
jíjóná|d͡ʒíd͡ʒóná
jíjẹ|d͡ʒíd͡ʒɛ
jíjẹ́|d͡ʒíd͡ʒɛ́
jímọ̀|d͡ʒímɔ̀
jíngírí|d͡ʒínɡírí
jíròrò|d͡ʒíròrò
jíyìn|d͡ʒíjìn
jíǹde|d͡ʒíǹde
jíǹde’|d͡ʒíǹde’
jíǹkí|d͡ʒíǹkí
jíṣẹ́|d͡ʒíʃɛ́
jó|d͡ʒó
jókòó|d͡ʒókòó
jóni|d͡ʒóni
jóná|d͡ʒóná
jórun|d͡ʒórũ
jù|d͡ʒù
jùlọ|d͡ʒùlɔ
jùmọ̀|d͡ʒùmɔ̀
jùwọ́n|d͡ʒùwɔ́n
jùyà|d͡ʒùjà
jùú|d͡ʒùú
jú|d͡ʒú
júbà|d͡ʒúbà
júfù|d͡ʒúfù
júujùu|d͡ʒúud͡ʒùu
júwe|d͡ʒúwe
júù|d͡ʒúù
júù’|d͡ʒúù’
j̣ẹ|d͡ʒ̣ɛ
jẹ|d͡ʒɛ
jẹmí|d͡ʒɛmí
jẹrun|d͡ʒɛrũ
jẹun|d͡ʒɛũ
jẹun’|d͡ʒɛũ’
jẹyọ|d͡ʒɛjɔ
jẹyọ̀|d͡ʒɛjɔ̀
jẹ̀bi|d͡ʒɛ̀bi
jẹ̀díjẹ̀dí|d͡ʒɛ̀díd͡ʒɛ̀dí
jẹ̀jẹ̀|d͡ʒɛ̀d͡ʒɛ̀
jẹ̀lílì|d͡ʒɛ̀lílì
jẹ̀mílá|d͡ʒɛ̀mílá
jẹ̀’ka|d͡ʒɛ̀’ka
jẹ́|d͡ʒɛ́
jẹ́jẹ́|d͡ʒɛ́d͡ʒɛ́
jẹ́jọ́|d͡ʒɛ́d͡ʒɔ́
jẹ́lú|d͡ʒɛ́lú
jẹ́rìí|d͡ʒɛ́rìí
jẹ́wọ́|d͡ʒɛ́wɔ́
jẹ́ẹ́|d͡ʒɛ́ɛ́
jẹ́ẹ́jẹ́|d͡ʒɛ́ɛ́d͡ʒɛ́
jẹ́’|d͡ʒɛ́’
jẹ’|d͡ʒɛ’
jẹ’kà|d͡ʒɛ’kà
jọ|d͡ʒɔ
jọba|d͡ʒɔba
jọjú|d͡ʒɔd͡ʒú
jọjọ|d͡ʒɔd͡ʒɔ
jọláadé|d͡ʒɔláadé
jọra|d͡ʒɔra
jọ̀|d͡ʒɔ̀
jọ̀jọ̀|d͡ʒɔ̀d͡ʒɔ̀
jọ̀kan|d͡ʒɔ̀kan
jọ̀kújọ̀kú|d͡ʒɔ̀kúd͡ʒɔ̀kú
jọ̀run|d͡ʒɔ̀rũ
jọ̀wọ́|d͡ʒɔ̀wɔ́
jọ̀ọ́|d͡ʒɔ̀ɔ́
jọ́|d͡ʒɔ́
jọ́ba|d͡ʒɔ́ba
jọ́sìn|d͡ʒɔ́sìn
j’íṣẹ́|d͡ʒ’íʃɛ́
j’òkuta|d͡ʒ’òkuta
j’̣ọba|d͡ʒ’̣ɔba
j’ọba|d͡ʒ’ɔba
k|k
ka|ka
kabulu|kabulu
kabṣeeli|kabʃeeli
kadeṣi|kadeʃi
kadmieli|kadmieli
kafitori|kafitori
kaiafa|kaiafa
kainani|kaĩani
kaini|kaĩi
kalamusi|kalamusi
kaldea|kaldea
kalebu|kalebu
kalifóníà|kalifóníà
kalkedoni|kalkedoni
kalẹ̀|kalɛ̀
kan|kan
kana|kana
kandake|kandake
kaneliani|kaneliani
kankan|kankan
kanlẹ̀|kanlɛ̀
kannáà|kannáà
kannítorí|kannítorí
kanra|kanra
kanrí|kanrí
kantíkantí|kantíkantí
kanáà|kanáà
kan’|kan’
kapernaumu|kak͡pernaumu
kappadokia|kak͡pk͡padokia
karea|karea
karisoliti|karisoliti
karmeli|karmeli
karmi|karmi
karpu|kark͡pu
karùn|karùn
kasia|kasia
kasifia|kasifia
kasitoru|kasitoru
katati|katati
kauda|kauda
kawó|kawó
kaánà|kaánà
kaṣini|kaʃĩi
kebari|kebari
kedari|kedari
kedema|kedema
kedemoti|kedemoti
kedere|kedere
kedeṣi|kedeʃi
kedorlaomeri|kedorlaomeri
kefa|kefa
kehelata|kehelata
keila|keila
keje|ked͡ʒe
kejilelogun|ked͡ʒileloɡũ
kejì|ked͡ʒì
kejìdínlógójì|ked͡ʒìdínlóɡód͡ʒì
kejìdínlógún|ked͡ʒìdínlóɡún
kejìlá|ked͡ʒìlá
kejìléláàádọ́ta|ked͡ʒìléláàádɔ́ta
keke|keke
kemoṣi|kemoʃi
kenaana|kenaana
kenaani|kenaani
kenani|kenani
kenaniah|kenaniah
kenasi|kenasi
keni|keni
kenissiti|kenissiti
kenkerea|kenkerea
kenny|kennj
kereti|kereti
kerioti|kerioti
kerubu|kerubu
kesarea|kesarea
kesari|kesari
kesibu|kesibu
ketekete|ketekete
keéjìdílógún|keéd͡ʒìdílóɡún
keétàdílógún|keétàdílóɡún
keṣiṣi|keʃiʃi
kidironi|kidironi
kidoni|kidoni
kilaudiu|kilaudiu
kileopa|kileok͡pa
kilikia|kilikia
kilopa|kilok͡pa
kimbali|kimbali
kimhamu|kimhamu
kin|kĩ
kinamoni|kĩamoni
kiní|kĩí
kiníyẹn|kĩíjɛ̃
kiosi|kiosi
kirene|kirene
kiri|kiri
kiriataimu|kiriataimu
kiriati|kiriati
kirisitali|kirisitali
kirisoleti|kirisoleti
kirusi|kirusi
kisiloti|kisiloti
kittimu|kittimu
kiṣi|kiʃi
kiṣioni|kiʃioni
klaudia|klaudia
klementi|klementi
knidu|knidu
koa|koa
kodoro|kodoro
kodò|kodò
kofí|kofí
kogún|koɡún
kohati|kohati
kojú|kod͡ʒú
kokoko|kokoko
koli|koli
kolose|kolose
koniah|koniah
koná|koná
kooro|kooro
kora|kora
korasini|korasĩi
korianderi|korianderi
korneliu|korneliu
korobá|korobá
koríko|koríko
korò|korò
kosamu|kosamu
kosi|kosi
koókàndílógún|koókàndílóɡún
ko’ná|ko’ná
krete|krete
krisipu|krisik͡pu
kristali|kristali
kristi|kristi
kristiani|kristiani
kristi’|kristi’
krìstẹ́nì|krìstɛ́nì
ku|ku
kuartu|kuartu
kumini|kumĩi
kun|kũ
kunkun|kũkũ
kusa|kusa
kuumití|kuumití
kuṣi|kuʃi
ku’lẹ̀|ku’lɛ̀
kwá|kwá
kà|kà
kàb|kàb
kàbùkù|kàbùkù
kàdúná|kàdúná
kàfáyá|kàfájá
kàkà|kàkà
kàkàkà|kàkàkà
kàn|kàn
kànga|kànɡa
kànkan|kànkan
kànkùn|kànkùn
kànlẹ̀kùun|kànlɛ̀kùũ
kànnàkànnà|kànnàkànnà
kànìnkànìn|kànìnkànìn
kàrún|kàrún
kàrúndinlogun|kàrúndĩloɡũ
kàtàkàtà|kàtàkàtà
kàwé|kàwé
kàyéfi|kàjéfi
kàǹkan|kàǹkan
kà’wé|kà’wé
ká|ká
kábíyèsí|kábíjèsí
kádàrá|kádàrá
kádírì|kádírì
kádírí|kádírí
kájọlà|kád͡ʒɔlà
káká|káká
kákò|kákò
kálámù|kálámù
kálẹ̀|kálɛ̀
kán|kán
kángun|kánɡũ
kánjú|kánd͡ʒú
kánkán|kánkán
kárakára|kárakára
kárí|kárí
káróunwí|káróũwí
kásowọ́pọ̀|kásowɔ́k͡pɔ̀
kásẹ̀|kásɛ̀
kátikàti|kátikàti
káwọ́|káwɔ́
káyé|kájé
káà|káà
káàkiri|káàkiri
káàánú|káàánú
káàárẹ̀|káàárɛ̀
káàárọ̀|káàárɔ̀
káṣọpẹ́|káʃɔk͡pɛ́
kèfèrí|kèfèrí
kèje|kèd͡ʒe
kèjì|kèd͡ʒì
kèjìlá|kèd͡ʒìlá
kèké|kèké
kèrémí|kèrémí
ké|ké
kéde|kéde
kégbe|kéɡ͡be
kékeké|kékeké
kékeré|kékeré
kékèké|kékèké
kérora|kérora
kéré|kéré
kérésì|kérésì
kérúbù|kérúbù
kétu|kétu
kété|kété
kéékèèké|kéékèèké
kì|kì
kìjikìji|kìd͡ʒikìd͡ʒi
kìkì|kìkì
kìkìdá|kìkìdá
kìlọ̀|kìlɔ̀
kìn|kìn
kìnnìún|kìnnìún
kìtìtìtì|kìtìtìtì
kìí|kìí
kí|kí
kíbúra|kíbúra
kífá|kífá
kígbe|kíɡ͡be
kíka|kíka
kíkan|kíkan
kíkankíkan|kíkankíkan
kíkoná|kíkoná
kíkorò|kíkorò
kíkà|kíkà
kíkàn|kíkàn
kíkàwé|kíkàwé
kíká|kíká
kíkì|kíkì
kíkí|kíkí
kíkíní|kíkíní
kíkó|kíkó
kíkùn|kíkùn
kíkú|kíkú
kíkún|kíkún
kíkúnná|kíkúnná
kíkẹ̀|kíkɛ̀
kíkọ|kíkɔ
kíkọ̀|kíkɔ̀
kíkọ̀sílẹ̀|kíkɔ̀sílɛ̀
kíkọ́|kíkɔ́
kílàsì|kílàsì
kíláásì|kíláásì
kílódé|kílódé
kín|kín
kíndìnrín|kíndìnrín
kíni|kíni
kínkínní|kínkínní
kínla|kínla
kíní|kíní
kínǹiún|kínǹiún
kírun|kírũ
kítíkítí|kítíkítí
kíyèsi|kíjèsi
kíyèsára|kíjèsára
kíyèsí|kíjèsí
kíá|kíá
kíákíá|kíákíá
kíṣìnì|kíʃìnì
kí’fá|kí’fá
kò|kò
kòfowórọlá|kòfowórɔlá
kòfẹ́sọ̀|kòfɛ́sɔ̀
kòkò|kòkò
kòkòrò|kòkòrò
kòkó|kòkó
kòsémánìí|kòsémánìí
kòsókó|kòsókó
kòsọ́kọ́|kòsɔ́kɔ́
kòtò|kòtò
kòtún|kòtún
kòtẹ́milọ́rùn|kòtɛ́milɔ́rùn
kòó|kòó
kòńgẹ́|kòńɡɛ́
kó|kó
kóbáa|kóbáa
kódà|kódà
kójọ|kód͡ʒɔ
kójọpọ̀|kód͡ʒɔk͡pɔ̀
kókò|kókò
kókó|kókó
kókósẹ̀|kókósɛ̀
kólòbó|kólòbó
kóná|kóná
kóo|kóo
kópa|kók͡pa
kórajọ|kórad͡ʒɔ
kórira|kórira
kórè|kórè
kórìíra|kórìíra
kórílẹ̀|kórílɛ̀
kóró|kóró
kóò|kóò
kóórè|kóórè
kù|kù
kùkùté|kùkùté
kùmọ̀|kùmɔ̀
kùn|kùn
kùnà|kùnà
kùtù|kùtù
kùtùkùtù|kùtùkùtù
kùú|kùú
kú|kú
kúdí|kúdí
kúkú|kúkú
kúkúrú|kúkúrú
kún|kún
kúnkun|kúnkũ
kúnlé|kúnlé
kúnlẹ̀|kúnlɛ̀
kúnná|kúnná
kúrò|kúrò
kúrò’|kúrò’
kúrú|kúrú
kúùkàlẹ̀|kúùkàlɛ̀
kúúrù|kúúrù
kúṣẹ̀ẹ́|kúʃɛ̀ɛ́
kú’|kú’
kạ́n|kạ́n
kẹfà|kɛfà
kẹrinlelogun|kɛrĩleloɡũ
kẹrìndínlọ́gbọ̀n|kɛrìndínlɔ́ɡ͡bɔ̀n
kẹrìnlá|kɛrìnlá
kẹsànán|kɛsànán
kẹtalelogun|kɛtaleloɡũ
kẹtàdínlógbọ̀n|kɛtàdínlóɡ͡bɔ̀n
kẹtàdínlógójì|kɛtàdínlóɡód͡ʒì
kẹtàdínlógún|kɛtàdínlóɡún
kẹtàdínlọ́gbọ̀n|kɛtàdínlɔ́ɡ͡bɔ̀n
kẹtàlá|kɛtàlá
kẹtàlélógún|kɛtàlélóɡún
kẹwàá|kɛwàá
kẹwá|kɛwá
kẹ̀|kɛ̀
kẹ̀fà|kɛ̀fà
kẹ̀gbẹ́|kɛ̀ɡ͡bɛ́
kẹ̀jọ|kɛ̀d͡ʒɔ
kẹ̀kẹ́|kɛ̀kɛ́
kẹ̀rin|kɛ̀rĩ
kẹ̀rinlá|kɛ̀rĩlá
kẹ̀sàán|kɛ̀sàán
kẹ̀sán|kɛ̀sán
kẹ̀ta|kɛ̀ta
kẹ̀talá|kɛ̀talá
kẹ̀wá|kɛ̀wá
kẹ̀yìn|kɛ̀jìn
kẹ́|kɛ́
kẹ́dùn|kɛ́dùn
kẹ́gbẹ́|kɛ́ɡ͡bɛ́
kẹ́gàn|kɛ́ɡàn
kẹ́hìndé|kɛ́hìndé
kẹ́kọ̀ọ́|kɛ́kɔ̀ɔ́
kẹ́lẹ́|kɛ́lɛ́
kẹ́lẹ́kẹ́lẹ́|kɛ́lɛ́kɛ́lɛ́
kẹ́tù|kɛ́tù
kẹ́tẹ́kẹ́tẹ́|kɛ́tɛ́kɛ́tɛ́
kẹ́yìn|kɛ́jìn
kẹ́ẹ|kɛ́ɛ
kẹ́ẹ̀dógún|kɛ́ɛ̀dóɡún
kẹẹ́rìndílógún|kɛɛ́rìndílóɡún
kọ|kɔ
kọbi|kɔbi
kọjá|kɔd͡ʒá
kọjálọ|kɔd͡ʒálɔ
kọjú|kɔd͡ʒú
kọjúsọ́kọ|kɔd͡ʒúsɔ́kɔ
kọkanlelogun|kɔkanleloɡũ
kọkànlá|kɔkànlá
kọlu|kɔlu
kọlà|kɔlà
kọlù|kɔlù
kọminú|kɔmĩú
kọrin|kɔrĩ
kọrinti|kɔrĩti
kọsẹ̀|kɔsɛ̀
kọ̀|kɔ̀
kọ̀kan|kɔ̀kan
kọ̀kanlá|kɔ̀kanlá
kọ̀kànlélógún|kɔ̀kànlélóɡún
kọ̀lọ̀kọ̀lọ̀|kɔ̀lɔ̀kɔ̀lɔ̀
kọ̀nga|kɔ̀nɡa
kọ̀rọ̀|kɔ̀rɔ̀
kọ̀sílẹ̀|kɔ̀sílɛ̀
kọ̀tún|kɔ̀tún
kọ̀wé|kɔ̀wé
kọ̀ọ̀|kɔ̀ɔ̀
kọ̀ọ̀kan|kɔ̀ɔ̀kan
kọ̀ọ́|kɔ̀ɔ́
kọ́|kɔ́
kọ́bọ́ọ̀dù|kɔ́bɔ́ɔ̀dù
kọ́kànlá|kɔ́kànlá
kọ́kọ́|kɔ́kɔ́
kọ́kọ́rọ́|kɔ́kɔ́rɔ́
kọ́lá|kɔ́lá
kọ́ládé|kɔ́ládé
kọ́lápọ̀|kɔ́lák͡pɔ̀
kọ́lé|kɔ́lé
kọ́lémọ́lé|kɔ́lémɔ́lé
kọ́léṣùgbọ́n|kɔ́léʃùɡ͡bɔ́n
kọ́lẹ́|kɔ́lɛ́
kọ́lọ́fín|kɔ́lɔ́fín
kọ́ni|kɔ́ni
kọ́ni’|kɔ́ni’
kọ́núukọ́họ|kɔ́núukɔ́hɔ
kọ́ọ̀bù|kɔ́ɔ̀bù
kọ́ọ̀sì|kɔ́ɔ̀sì
kọ́ọ́pù|kɔ́ɔ́k͡pù
kọ́’|kɔ́’
kọ́’lé|kɔ́’lé
kọ́”|kɔ́”
kọọ́|kɔɔ́
kọ’sẹ̀|kɔ’sɛ̀
kọ’ṣẹ́|kɔ’ʃɛ́
k’àkànpọ̀|k’àkànk͡pɔ̀
k’áwa|k’áwa
k’éyàn|k’éjàn
k’óun|k’óũ
k’ọ́|k’ɔ́
l'omidan|l'omidan
l'ábàáwọlé|l'ábàáwɔlé
laadani|laadani
labani|labani
lada|lada
lahadi|lahadi
lahai|lahai
lahmi|lahmi
laiṣa|laiʃa
lakiṣi|lakiʃi
lakkumu|lakkumu
lama|lama
lameki|lameki
laodikea|laodikea
lasaru|lasaru
lasea|lasea
lati|lati
latin|latĩ
lawo|lawo
layé|lajé
laá|laá
le|le
lea|lea
leannoti|leannoti
lebanoni|lebanoni
lebo|lebo
leboati|leboati
lebona|lebona
lefi|lefi
leka|leka
lekki|lekki
lemueli|lemueli
lemọ́lemọ́|lemɔ́lemɔ́
lera|lera
letusi|letusi
leumiti|leumiti
libataini|libataĩi
libia|libia
libina|libĩa
libinati|libĩati
libni|libni
lida|lida
lidia|lidia
ligioni|liɡioni
likaonia|likaonia
likia|likia
linu|lĩu
lisania|lisania
lisia|lisia
lita|lita
litírésọ̀|litírésɔ̀
lo|lo
lodi|lodi
lojú|lod͡ʒú
lori|lori
lorí|lorí
lorúkọ|lorúkɔ
lotani|lotani
lowó|lowó
loyan|lojan
loúnjẹ|loúnd͡ʒɛ
lu|lu
ludi|ludi
luhiti|luhiti
lukiu|lukiu
luku|luku
lulẹ̀|lulɛ̀
lulẹ̀’|lulɛ̀’
lusi|lusi
lysra|ljsra
là|là
làjà|làd͡ʒà
làkàkà|làkàkà
lànà|lànà
làpálàpá|làk͡pálàk͡pá
làsàn|làsàn
làwa|làwa
làwọn|làwɔ̃
làá|làá
làágùn|làáɡùn
làálàá|làálàá
làǹtilanti|làǹtilanti
là’|là’
lá|lá
láago|láaɡo
lábàwọ́n|lábàwɔ́n
lábísí|lábísí
lábùkù|lábùkù
lábẹ́|lábɛ́
lábẹ́lẹ̀|lábɛ́lɛ̀
ládi|ládi
ládiípọ̀|ládiík͡pɔ̀
ládugbó|láduɡ͡bó
ládé|ládé
ládòkè|ládòkè
