ሀ|hə
ትንቅንቅ|tɨnɨkʼɨnɨkʼ
ትንበያ|tɨnɨbəja
ትንቢት|tɨnɨbit
ትንቢቶች|tɨnɨbitot͡ʃ
ትንተና|tɨnɨtəna
ትንታኔ|tɨnɨtane
ትንና|tɨnɨna
ትንንሾቹ|tɨnɨnɨʃot͡ʃu
ትንንሾች|tɨnɨnɨʃot͡ʃ
ትንኮሳ|tɨnɨkosa
ትንፋሻችን|tɨnɨfaʃat͡ʃɨn
ትንፋሽ|tɨnɨfaʃ
ትንፋሿ|tɨnɨfaʃwa
ትኖራለች|tɨnoralət͡ʃ
ትእዛዙ|tɨɨzazu
ትእዛዛቸው|tɨɨzazat͡ʃəw
ትእዛዝ|tɨɨzaz
ትእዛዞች|tɨɨzazot͡ʃ
ትእይንተ|tɨɨjɨnɨtə
ትእይንት|tɨɨjɨnɨt
ትእግስ|tɨɨɡɨs
ትእግስት|tɨɨɡɨsɨt
ትከሻ|tɨkəʃa
ትኩረ|tɨkurə
ትኩረቱ|tɨkurətu
ትኩረታቸው|tɨkurətat͡ʃəw
ትኩረት|tɨkurət
ትኩስ|tɨkus
ትኬቱን|tɨketun
ትኬት|tɨket
ትክክለኛ|tɨkɨkɨləɲa
ትክክል|tɨkɨkɨl
ትወድ|tɨwəd
ትውልዱ|tɨwɨlɨdu
ትውልዳቸው|tɨwɨlɨdat͡ʃəw
ትውልድ|tɨwɨlɨd
ትውልዶች|tɨwɨlɨdot͡ʃ
ትውውቁ|tɨwɨwɨkʼu
ትውውቅ|tɨwɨwɨkʼ
ትውፊት|tɨwɨfit
ትዛዙ|tɨzazu
ትዛዝ|tɨzaz
ትዝታ|tɨzɨta
ትየለሌ|tɨjələle
ትያትር|tɨjatɨr
ትይዩ|tɨjɨju
ትዳር|tɨdar
ትገነጣጠ|tɨɡənətʼatʼə
ትገኛ|tɨɡəɲa
ትገዛ|tɨɡəza
ትጉህ|tɨɡuh
ትጋ|tɨɡa
ትግሉ|tɨɡɨlu
ትግላቸው|tɨɡɨlat͡ʃəw
ትግላችን|tɨɡɨlat͡ʃɨn
ትግል|tɨɡɨl
ትግሎች|tɨɡɨlot͡ʃ
ትግረ|tɨɡɨrə
ትግረኛ|tɨɡɨrəɲa
ትግሪኛ|tɨɡɨriɲa
ትግራ|tɨɡɨra
ትግራዊያን|tɨɡɨrawijan
ትግራዩ|tɨɡɨraju
ትግራይ|tɨɡɨraj
ትግራዮች|tɨɡɨrajot͡ʃ
ትግሬ|tɨɡɨre
ትግሬው|tɨɡɨrew
ትግርኛ|tɨɡɨrɨɲa
ትጠቀሙ|tɨtʼəkʼəmu
ትጠቀምበት|tɨtʼəkʼəmɨbət
ትጠይቀኝ|tɨtʼəjɨkʼəɲ
ትጥቁ|tɨtʼɨkʼu
ትጥቅ|tɨtʼɨkʼ
ትጥቆች|tɨtʼɨkʼot͡ʃ
ትጨል|tɨt͡ʃʼəl
ትፋ|tɨfa
ቶ|to
ቶሌዶ|toledo
ቶሎ|tolo
ቶማስ|tomas
ቶምሳ|tomɨsa
ቶሪ|tori
ቶር|tor
ቶሮንቶ|toronɨto
ቶቭ|tov
ቶተንሀም|totənɨhəm
ቶታል|total
ቶቹ|tot͡ʃu
ቶቹን|tot͡ʃun
ቶቻቸው|tot͡ʃat͡ʃəw
ቶቻቸውን|tot͡ʃat͡ʃəwɨn
ቶቻችን|tot͡ʃat͡ʃɨn
ቶቼ|tot͡ʃe
ቶች|tot͡ʃ
ቶችና|tot͡ʃɨna
ቶችን|tot͡ʃɨn
ቶቿ|tot͡ʃʷa
ቶኒ|toni
ቶኔ|tone
ቶን|ton
ቶንቦላ|tonɨbola
ቶአል|toəl
ቶክቹማ|tokɨt͡ʃuma
ቶይንቢ|tojɨnɨbi
ቶፕ|top
ቷ|tʷa
ቷል|tʷal
ቷት|tʷat
ቷቸዋል|tʷat͡ʃəwal
ቷን|tʷan
ቸ|t͡ʃə
ቸልተኝነት|t͡ʃəlɨtəɲɨnət
ቸልታ|t͡ʃəlɨta
ቸረው|t͡ʃərəw
ቸራተን|t͡ʃəratən
ቸራቸው|t͡ʃərat͡ʃəw
ቸር|t͡ʃər
ቸርነት|t͡ʃərɨnət
ቸስተሩ|t͡ʃəsɨtəru
ቸስኮስ|t͡ʃəsɨkos
ቸኮል|t͡ʃəkol
ቸኳይ|t͡ʃəkʷaj
ቸዋለሁ|t͡ʃəwaləhu
ቸዋለን|t͡ʃəwalən
ቸዋል|t͡ʃəwal
ቸው|t͡ʃəw
ቸውም|t͡ʃəwɨm
ቸውና|t͡ʃəwɨna
ቸውን|t͡ʃəwɨn
ቸውንም|t͡ʃəwɨnɨm
ቸውንና|t͡ʃəwɨnɨna
ቸገረ|t͡ʃəɡərə
ቸገሩ|t͡ʃəɡəru
ቸገራ|t͡ʃəɡəra
ቸገራቸው|t͡ʃəɡərat͡ʃəw
ቸገር|t͡ʃəɡər
ቸግረው|t͡ʃəɡɨrəw
ቸግራቸው|t͡ʃəɡɨrat͡ʃəw
ቸግሮ|t͡ʃəɡɨro
ቹ|t͡ʃu
ቹን|t͡ʃun
ቺ|t͡ʃi
ቺሊ|t͡ʃili
ቺሊያዊ|t͡ʃilijawi
ቺላቬርት|t͡ʃilaverɨt
ቺዮ|t͡ʃijo
ቺፕ|t͡ʃip
ቻ|t͡ʃa
ቻለ|t͡ʃalə
ቻለሁ|t͡ʃaləhu
ቻለች|t͡ʃalət͡ʃ
ቻለንን|t͡ʃalənɨn
ቻለው|t͡ʃaləw
ቻሉ|t͡ʃalu
ቻሉት|t͡ʃalut
ቻላት|t͡ʃalat
ቻላቸው|t͡ʃalat͡ʃəw
ቻል|t͡ʃal
ቻልነው|t͡ʃalɨnəw
ቻልን|t͡ʃalɨn
ቻልኩ|t͡ʃalɨku
ቻልኩት|t͡ʃalɨkut
ቻልክ|t͡ʃalɨk
ቻምፒየንስ|t͡ʃamɨpijənɨs
ቻርልተን|t͡ʃarɨlɨtən
ቻርተሩ|t͡ʃarɨtəru
ቻርተር|t͡ʃarɨtər
ቻርተን|t͡ʃarɨtən
ቻብነኩ|t͡ʃabɨnəku
ቻት|t͡ʃat
ቻቸው|t͡ʃat͡ʃəw
ቻቸውም|t͡ʃat͡ʃəwɨm
ቻቸውን|t͡ʃat͡ʃəwɨn
ቻችሁ|t͡ʃat͡ʃɨhu
ቻችሁን|t͡ʃat͡ʃɨhun
ቻችን|t͡ʃat͡ʃɨn
ቻችንም|t͡ʃat͡ʃɨnɨm
ቻችንን|t͡ʃat͡ʃɨnɨn
ቻው|t͡ʃaw
ቻይና|t͡ʃajɨna
ቻድ|t͡ʃad
ቻፕዊሳ|t͡ʃapɨwisa
ቼ|t͡ʃe
ቼልሲ|t͡ʃelɨsi
ቼክ|t͡ʃek
ቼዋለሁ|t͡ʃewaləhu
ቼፕኩሚ|t͡ʃepɨkumi
ች|t͡ʃ
ችሁ|t͡ʃɨhu
ችሁት|t͡ʃɨhut
ችሁትን|t͡ʃɨhutɨn
ችሁን|t͡ʃɨhun
ችሁንም|t͡ʃɨhunɨm
ችለዋል|t͡ʃɨləwal
ችለው|t͡ʃɨləw
ችሉ|t͡ʃɨlu
ችል|t͡ʃɨl
ችልም|t͡ʃɨlɨm
ችልበት|t͡ʃɨlɨbət
ችሎ|t͡ʃɨlo
ችሎቱ|t͡ʃɨlotu
ችሎታ|t͡ʃɨlota
ችሎታቸው|t͡ʃɨlotat͡ʃəw
ችሎታው|t͡ʃɨlotaw
ችሎታዬን|t͡ʃɨlotajen
ችሎት|t͡ʃɨlot
ችሎቶች|t͡ʃɨlotot͡ʃ
ችሏል|t͡ʃɨlʷal
ችም|t͡ʃɨm
ችርቻሮ|t͡ʃɨrɨt͡ʃaro
ችሮታ|t͡ʃɨrota
ችበት|t͡ʃɨbət
ችበትን|t͡ʃɨbətɨn
ችብኝ|t͡ʃɨbɨɲ
ችኋለሁ|t͡ʃɨhʷaləhu
ችኋል|t͡ʃɨhʷal
ችን|t͡ʃɨn
ችንን|t͡ʃɨnɨn
ችኝ|t͡ʃɨɲ
ችኩል|t͡ʃɨkul
ችኮላ|t͡ʃɨkola
ችው|t͡ʃɨw
ችውን|t͡ʃɨwɨn
ችጋር|t͡ʃɨɡar
ችግረኛ|t͡ʃɨɡɨrəɲa
ችግሩ|t͡ʃɨɡɨru
ችግራቸው|t͡ʃɨɡɨrat͡ʃəw
ችግራችን|t͡ʃɨɡɨrat͡ʃɨn
ችግር|t͡ʃɨɡɨr
ችግሮቹ|t͡ʃɨɡɨrot͡ʃu
ችግሮቻቸው|t͡ʃɨɡɨrot͡ʃat͡ʃəw
ችግሮቻችን|t͡ʃɨɡɨrot͡ʃat͡ʃɨn
ችግሮች|t͡ʃɨɡɨrot͡ʃ
ቾ|t͡ʃo
ቾቹ|t͡ʃot͡ʃu
ቾች|t͡ʃot͡ʃ
ቿ|t͡ʃʷa
ቿን|t͡ʃʷan
ኋላ|hʷala
ኋላው|hʷalaw
ኋት|hʷat
ኋቸው|hʷat͡ʃəw
ኋይት|hʷajɨt
ነ|nə
ነሀሴ|nəhəse
ነሀስ|nəhəs
ነር|nər
ነርስ|nərɨs
ነርሶች|nərɨsot͡ʃ
ነርቮች|nərɨvot͡ʃ
ነሮች|nərot͡ʃ
ነሰ|nəsə
ነሱ|nəsu
ነሱም|nəsum
ነሱት|nəsut
ነሲቡ|nəsibu
ነሳ|nəsa
ነሳቸው|nəsat͡ʃəw
ነሳች|nəsat͡ʃ
ነሽ|nəʃ
ነቀል|nəkʼəl
ነቀምት|nəkʼəmɨt
ነቀፈ|nəkʼəfə
ነቀፉ|nəkʼəfu
ነቀፌታ|nəkʼəfeta
ነቁ|nəkʼu
ነቃ|nəkʼa
ነቃት|nəkʼat
ነቄ|nəkʼe
ነቅ|nəkʼ
ነቅል|nəkʼɨl
ነቅሎ|nəkʼɨlo
ነቅፈዋ|nəkʼɨfəwa
ነበረ|nəbərə
ነበረበትም|nəbərəbətɨm
ነበረባት|nəbərəbat
ነበረብን|nəbərəbɨn
ነበረች|nəbərət͡ʃ
ነበረችው|nəbərət͡ʃɨw
ነበረኝ|nəbərəɲ
ነበረው|nəbərəw
ነበሩ|nəbəru
ነበሩበት|nəbərubət
ነበሩት|nəbərut
ነበራት|nəbərat
ነበራቸው|nəbərat͡ʃəw
ነበር|nəbər
ነበርኩ|nəbərɨku
ነበብ|nəbəb
ነቢያት|nəbijat
ነቢያችን|nəbijat͡ʃɨn
ነባር|nəbar
ነብር|nəbɨr
ነብባችሁ|nəbɨbat͡ʃɨhu
ነብዩ|nəbɨju
ነቱ|nətu
ነቱም|nətum
ነቱን|nətun
ነታረ|nətarə
ነታቸው|nətat͡ʃəw
ነታቸውን|nətat͡ʃəwɨn
ነታችን|nətat͡ʃɨn
ነታችንን|nətat͡ʃɨnɨn
ነታችው|nətat͡ʃɨw
ነቴ|nəte
ነቴን|nəten
ነት|nət
ነትና|nətɨna
ነትን|nətɨn
ነትዎ|nətɨwo
ነቶች|nətot͡ʃ
ነቷ|nətʷa
ነቷን|nətʷan
ነች|nət͡ʃ
ነናል|nənal
ነን|nən
ነኚህ|nəɲih
ነኝ|nəɲ
ነከሱ|nəkəsu
ነከስኩ|nəkəsɨku
ነካ|nəka
ነካቸው|nəkat͡ʃəw
ነካክ|nəkak
ነካው|nəkaw
ነክ|nək
ነክቶ|nəkɨto
ነክቷ|nəkɨtʷa
ነወ|nəwə
ነዋል|nəwal
ነዋሪ|nəwari
ነዋሪው|nəwariw
ነዋሪዎቹ|nəwariwot͡ʃu
ነዋሪዎች|nəwariwot͡ʃ
ነው|nəw
ነውን|nəwɨn
ነዙት|nəzut
ነዚህ|nəzih
ነዛው|nəzaw
ነደ|nədə
ነደው|nədəw
ነደዱ|nədədu
ነደፈ|nədəfə
ነደፉ|nədəfu
ነዱ|nədu
ነዳ|nəda
ነዳያን|nədajan
ነዳጅ|nədad͡ʒ
ነድ|nəd
ነድፍ|nədɨf
ነጃ|nəd͡ʒa
ነጃድ|nəd͡ʒad
ነጆ|nəd͡ʒo
ነገ|nəɡə
ነገረ|nəɡərə
ነገረችኝ|nəɡərət͡ʃɨɲ
ነገረን|nəɡərən
ነገረኛ|nəɡərəɲa
ነገረኝ|nəɡərəɲ
ነገረው|nəɡərəw
ነገሩ|nəɡəru
ነገሩት|nəɡərut
ነገሩን|nəɡərun
ነገሩኝ|nəɡəruɲ
ነገራት|nəɡərat
ነገራቸው|nəɡərat͡ʃəw
ነገራችሁ|nəɡərat͡ʃɨhu
ነገራችን|nəɡərat͡ʃɨn
ነገር|nəɡər
ነገርኩ|nəɡərɨku
ነገሮች|nəɡərot͡ʃ
ነገሰ|nəɡəsə
ነገስቱ|nəɡəsɨtu
ነገስታት|nəɡəsɨtat
ነገስት|nəɡəsɨt
ነገው|nəɡəw
ነጉ|nəɡu
ነጊብ|nəɡib
ነጋ|nəɡa
ነጋሪት|nəɡarit
ነጋሶ|nəɡaso
ነጋዴ|nəɡade
ነጋዴዎች|nəɡadewot͡ʃ
ነጋገ|nəɡaɡə
ነጋገሩ|nəɡaɡəru
ነጋገራቸው|nəɡaɡərat͡ʃəw
ነጋገር|nəɡaɡər
ነጋግሯቸው|nəɡaɡɨrʷat͡ʃəw
ነግ|nəɡ
ነግረኝ|nəɡɨrəɲ
ነግረው|nəɡɨrəw
ነግሩን|nəɡɨrun
ነግራችሁ|nəɡɨrat͡ʃɨhu
ነግዱ|nəɡɨdu
ነጠላ|nətʼəla
ነጣ|nətʼa
ነጥሎ|nətʼɨlo
ነጥቀዋል|nətʼɨkʼəwal
ነጥቀው|nətʼɨkʼəw
ነጥቃ|nətʼɨkʼa
ነጥብ|nətʼɨb
ነጥቦች|nətʼɨbot͡ʃ
ነጬን|nət͡ʃʼen
ነጭ|nət͡ʃʼ
ነጮች|nət͡ʃʼot͡ʃ
ነጯ|nət͡ʃʼʷa
ነጸብራቅ|nət͡sʼəbɨrakʼ
ነጻ|nət͡sʼa
ነጻነቱ|nət͡sʼanətu
ነጻነታቸው|nət͡sʼanətat͡ʃəw
ነጻነታችን|nət͡sʼanətat͡ʃɨn
ነጻነት|nət͡sʼanət
ነጻው|nət͡sʼaw
ነጻይቱ|nət͡sʼajɨtu
ነጻጸር|nət͡sʼat͡sʼər
ነፈገ|nəfəɡə
ነፈጋቸው|nəfəɡat͡ʃəw
ነፍሰ|nəfɨsə
ነፍሳቸው|nəfɨsat͡ʃəw
ነፍሴ|nəfɨse
ነፍስ|nəfɨs
ነፍገው|nəfɨɡəw
ነፍጠኛ|nəfɨtʼəɲa
ነፍጠኞች|nəfɨtʼəɲot͡ʃ
ነፍጥ|nəfɨtʼ
ኑ|nu
ኑረው|nurəw
ኑር|nur
ኑሮ|nuro
ኑሮአችን|nuroət͡ʃɨn
ኑሮው|nurow
ኑሯቸው|nurʷat͡ʃəw
ኑበት|nubət
ኒ|ni
ኒምቆዲሞስ|nimɨkʼodimos
ኒሞኒያ|nimonija
ኒስ|nis
ኒሻን|niʃan
ኒቆዲሞስ|nikʼodimos
ኒታ|nita
ኒት|nit
ኒቷ|nitʷa
ኒንግ|ninɨɡ
ኒካራጓና|nikaraɡʷana
ኒክ|nik
ኒክሰን|nikɨsən
ኒኮላ|nikola
ኒኮሎ|nikolo
ኒው|niw
ኒውስ|niwɨs
ኒውተን|niwɨtən
ኒውካልስል|niwɨkalɨsɨl
ኒውካስል|niwɨkasɨl
ኒውዮርኩ|niwɨjorɨku
ኒውዮርክ|niwɨjorɨk
ኒውጀርሲ|niwɨd͡ʒərɨsi
ኒዘርላንድ|nizərɨlanɨd
ኒየር|nijər
ኒያላ|nijala
ኒያሚ|nijami
ኒያርክ|nijarɨk
ኒዮ|nijo
ኒጀር|nid͡ʒər
ኒጌ|niɡe
ና|na
ናለች|nalət͡ʃ
ናል|nal
ናሙና|namuna
ናሚቢያ|namibija
ናርኮቲክ|narɨkotik
ናሽናል|naʃɨnal
ናቅ|nakʼ
ናቅፋ|nakʼɨfa
ናታን|natan
ናትናኤል|natɨnael
ናቸው|nat͡ʃəw
ናቸውም|nat͡ʃəwɨm
ናቸውን|nat͡ʃəwɨn
ናካታ|nakata
ናክሯል|nakɨrʷal
ናውቅ|nawɨkʼ
ናውናቸው|nawɨnat͡ʃəw
ናውያን|nawɨjan
ናዚዎች|naziwot͡ʃ
ናዝራውያን|nazɨrawɨjan
ናዝሬቱ|nazɨretu
ናዝሬት|nazɨret
ናይል|najɨl
ናይሮቢ|najɨrobi
ናይክ|najɨk
ናይጄሪያ|najɨd͡ʒerija
ናደድ|nadəd
ናገሩ|naɡəru
ናገሩት|naɡərut
ናገር|naɡər
ናፋቂ|nafakʼi
ናፍሱት|nafɨsut
ናፍቄ|nafɨkʼe
ናፍቆት|nafɨkʼot
ኔ|ne
ኔል|nel
ኔሽን|neʃɨn
ኔታ|neta
ኔው|new
ኔዘርላንድ|nezərɨlanɨd
ኔፓድ|nepad
ን|n
ንም|nɨm
ንሰራሩ|nɨsəraru
ንሰራራ|nɨsərara
ንስኩላን|nɨsɨkulan
ንሸራተቱ|nɨʃəratətu
ንሾቿ|nɨʃot͡ʃʷa
ንቀ|nɨkʼə
ንቀሳ|nɨkʼəsa
ንቀሳቀሱ|nɨkʼəsakʼəsu
ንቀሳቀስ|nɨkʼəsakʼəs
ንቀሳቅስ|nɨkʼəsakʼɨs
ንቀት|nɨkʼət
ንቁ|nɨkʼu
ንቅናቄ|nɨkʼɨnakʼe
ንቅዘት|nɨkʼɨzət
ንቆ|nɨkʼo
ንቆቅልሹ|nɨkʼokʼɨlɨʃu
ንቋሽሽ|nɨkʼʷaʃɨʃ
ንበረክክ|nɨbərəkɨk
ንባብ|nɨbab
ንብረቱ|nɨbɨrətu
ንብረታቸው|nɨbɨrətat͡ʃəw
ንብረት|nɨbɨrət
ንብረቶ|nɨbɨrəto
ንብረቶቹ|nɨbɨrətot͡ʃu
ንብረቶች|nɨbɨrətot͡ʃ
ንትርክ|nɨtɨrɨk
ንና|nɨna
ንኡሳን|nɨusan
ንኡስ|nɨus
ንክች|nɨkɨt͡ʃ
ንክኪ|nɨkɨki
ንኳኳ|nɨkʷakʷa
ንዋንክዎ|nɨwanɨkɨwo
ንዋያተ|nɨwajatə
ንዋያቸውን|nɨwajat͡ʃəwɨn
ንዋይ|nɨwaj
ንዚባሩ|nɨzibaru
ንዣብ|nɨʒab
ንዱ|nɨdu
ንዳ|nɨda
ንዳዱን|nɨdadun
ንዴቱ|nɨdetu
ንዴቴ|nɨdete
ንዴት|nɨdet
ንድስና|nɨdɨsɨna
ንገላቱ|nɨɡəlatu
ንገላታ|nɨɡəlata
ንገረኝ|nɨɡərəɲ
ንገዳገድ|nɨɡədaɡəd
ንጉሰ|nɨɡusə
ንጉሱ|nɨɡusu
ንጉሳችን|nɨɡusat͡ʃɨn
ንጉሳውያን|nɨɡusawɨjan
ንጉሴ|nɨɡuse
ንጉስ|nɨɡus
ንጉሶች|nɨɡusot͡ʃ
ንጋ|nɨɡa
ንጋቱ|nɨɡatu
ንግ|nɨɡ
ንግሊዙ|nɨɡɨlizu
ንግስተ|nɨɡɨsɨtə
ንግስት|nɨɡɨsɨt
ንግስቷ|nɨɡɨsɨtʷa
ንግተን|nɨɡɨtən
ንግዱ|nɨɡɨdu
ንግዳቸው|nɨɡɨdat͡ʃəw
ንግድ|nɨɡɨd
ንግዶች|nɨɡɨdot͡ʃ
ንግግሩ|nɨɡɨɡɨru
ንግግራቸው|nɨɡɨɡɨrat͡ʃəw
ንግግር|nɨɡɨɡɨr
ንግግሮች|nɨɡɨɡɨrot͡ʃ
ንጠባጠብ|nɨtʼəbatʼəb
ንጣፍ|nɨtʼaf
ንጣፎች|nɨtʼafot͡ʃ
ንጥቂያ|nɨtʼɨkʼija
ንጸባረ|nɨt͡sʼəbarə
ንጸባረቁ|nɨt͡sʼəbarəkʼu
ንጸባርቅ|nɨt͡sʼəbarɨkʼ
ንጹህ|nɨt͡sʼuh
ንጽህና|nɨt͡sʼɨhɨna
ንፋስ|nɨfas
ንፍገት|nɨfɨɡət
ኖ|no
ኖህ|noh
ኖረ|norə
ኖረች|norət͡ʃ
ኖረን|norən
ኖረዋል|norəwal
ኖረው|norəw
ኖሩ|noru
ኖሩት|norut
ኖራት|norat
ኖራቸው|norat͡ʃəw
ኖራችሁ|norat͡ʃɨhu
ኖሬ|nore
ኖር|nor
ኖርማ|norɨma
ኖርማላይዜሽን|norɨmalajɨzeʃɨn
ኖርበት|norɨbət
ኖርዌይ|norɨwej
ኖሮ|noro
ኖሯ|norʷa
ኖሯቸው|norʷat͡ʃəw
ኖቬል|novel
ኖቲንግሀም|notinɨɡɨhəm
ኖት|not
ኖቶች|notot͡ʃ
ኖቹ|not͡ʃu
ኖች|not͡ʃ
ኖችን|not͡ʃɨn
ኖፓል|nopal
ኗ|nwa
ኗል|nwal
ኗሪ|nwari
ኗሪዎች|nwariwot͡ʃ
ኗቸው|nwat͡ʃəw
ኗን|nwan
ኘ|ɲə
ኘሬስ|ɲəres
ኘሮ|ɲəro
ኘሮቴስታንት|ɲərotesɨtanɨt
ኘሮጀክት|ɲərod͡ʒəkɨt
ኘው|ɲəw
ኙ|ɲu
ኙን|ɲun
ኚሁ|ɲihu
ኛ|ɲa
ኛለሁ|ɲaləhu
ኛለች|ɲalət͡ʃ
ኛለን|ɲalən
ኛል|ɲal
ኛዋ|ɲawa
ኛው|ɲaw
ኜ|ɲe
ኝ|ɲ
ኝም|ɲɨm
ኝነት|ɲɨnət
ኞ|ɲo
ኞቹ|ɲot͡ʃu
ኞቻቸው|ɲot͡ʃat͡ʃəw
ኞች|ɲot͡ʃ
ኟ|ɲʷa
ኟት|ɲʷat
ኟቸው|ɲʷat͡ʃəw
ኟን|ɲʷan
አ|ə
አሀዝ|əhəz
አሀዞች|əhəzot͡ʃ
አሁኑ|əhunu
አሁን|əhun
አሄ|əhe
አህሎ|əhɨlo
አህመድ|əhɨməd
አህያ|əhɨja
አህጉሩ|əhɨɡuru
አህጉራት|əhɨɡurat
አህጉራችን|əhɨɡurat͡ʃɨn
አህጉሮች|əhɨɡurot͡ʃ
አለ|ələ
አለሁ|ələhu
አለመ|ələmə
አለመሆኑ|ələməhonu
አለመኖሩ|ələmənoru
አለመግባባቶች|ələməɡɨbabatot͡ʃ
አለመፈጸሟን|ələməfət͡sʼəmʷan
አለሙ|ələmu
አለማ|ələma
አለማቀፋዊ|ələmakʼəfawi
አለማችን|ələmat͡ʃɨn
አለማየሁ|ələmajəhu
አለማድረጉ|ələmadɨrəɡu
አለም|ələm
አለምአቀፍ|ələmɨəkʼəf
አለቀሰ|ələkʼəsə
አለቀሱ|ələkʼəsu
አለቃ|ələkʼa
አለቆቹ|ələkʼot͡ʃu
አለቆቻቸው|ələkʼot͡ʃat͡ʃəw
አለቆች|ələkʼot͡ʃ
አለበለዚያ|ələbələzija
አለባበስ|ələbabəs
አለኝታ|ələɲɨta
አለፈ|ələfə
አሉ|əlu
አሉባልተኞች|əlubalɨtəɲot͡ʃ
አሉባልታ|əlubalɨta
አሉታዊ|əlutawi
አሉት|əlut
አሊ|əli
አሊቴና|əlitena
አላ|əla
አላህ|əlah
አላለም|əlaləm
አላሉ|əlalu
አላልኩ|əlalɨku
አላመነ|əlamənə
አላመጣ|əlamətʼa
አላሙዲ|əlamudi
አላሚ|əlami
አላማ|əlama
አላማቸው|əlamat͡ʃəw
አላማችን|əlamat͡ʃɨn
አላማዋ|əlamawa
አላማው|əlamaw
አላማዎች|əlamawot͡ʃ
አላምረው|əlamɨrəw
አላስ|əlas
አላስቻ|əlasɨt͡ʃa
አላቀረ|əlakʼərə
አላብራ|əlabɨra
አላወ|əlawə
አላውቀው|əlawɨkʼəw
አላውቃ|əlawɨkʼa
አላውቅ|əlawɨkʼ
አላየሁ|əlajəhu
አላደረ|əladərə
አላደረገ|əladərəɡə
አላደረጉ|əladərəɡu
አላገ|əlaɡə
አላገኘ|əlaɡəɲə
አላገኙ|əlaɡəɲu
አላፊ|əlafi
አሌ|əle
አሌክሳን|əlekɨsan
አሌክስ|əlekɨs
አል|əl
አልሆነ|əlɨhonə
አልሆን|əlɨhon
አልለቀቁም|əlɨləkʼəkʼum
አልሚ|əlɨmi
አልማዝ|əlɨmaz
አልሰማ|əlɨsəma
አልሰጠ|əlɨsətʼə
አልሻ|əlɨʃa
አልቀረ|əlɨkʼərə
አልቃኢዳ|əlɨkʼaida
አልቃይዳ|əlɨkʼajɨda
አልቅሰ|əlɨkʼɨsə
አልቆ|əlɨkʼo
አልበሽር|əlɨbəʃɨr
አልባ|əlɨba
አልባሳት|əlɨbasat
አልቤር|əlɨber
አልቤርጐ|əlɨberɨɡʷe
አልተ|əlɨtə
አልተረዳ|əlɨtərəda
አልተሰጠ|əlɨtəsətʼə
አልተሳ|əlɨtəsa
አልተሳካ|əlɨtəsaka
አልተስማማ|əlɨtəsɨmama
አልተቻለ|əlɨtət͡ʃalə
አልተናገር|əlɨtənaɡər
አልተወ|əlɨtəwə
አልተዋጠ|əlɨtəwatʼə
አልተው|əlɨtəw
አልተደረገ|əlɨtədərəɡə
አልተጀመረም|əlɨtəd͡ʒəmərəm
አልተፈቀደ|əlɨtəfəkʼədə
አልቱራቢ|əlɨturabi
አልታ|əlɨta
አልታወቀ|əlɨtawəkʼə
አልቻለ|əlɨt͡ʃalə
አልቻሉም|əlɨt͡ʃalum
አልቻል|əlɨt͡ʃal
አልችል|əlɨt͡ʃɨl
አልነበረ|əlɨnəbərə
አልነበሩ|əlɨnəbəru
አልነበር|əlɨnəbər
አልአሙዲ|əlɨəmudi
አልኢትሀድ|əlɨitɨhəd
አልክ|əlɨk
አልጀርስ|əlɨd͡ʒərɨs
አልጄሪያ|əlɨd͡ʒerija
አልገባ|əlɨɡəba
አልጋ|əlɨɡa
አልጫ|əlɨt͡ʃʼa
አልፈ|əlɨfə
አልፈው|əlɨfəw
አልፎ|əlɨfo
አሎሎ|əlolo
አመለካከ|əmələkakə
አመለካከታቸው|əmələkakətat͡ʃəw
አመለካከት|əmələkakət
አመለጡ|əmələtʼu
አመላክ|əməlak
አመልካቹ|əməlɨkat͡ʃu
አመልክ|əməlɨk
አመልክቶ|əməlɨkɨto
አመራ|əməra
አመራሩ|əməraru
አመራራቸው|əmərarat͡ʃəw
አመራር|əmərar
አመርቂ|əmərɨkʼi
አመሰግ|əməsəɡ
አመሻሸግ|əməʃaʃəɡ
አመቱ|əmətu
አመታት|əmətat
አመታዊ|əmətawi
አመቴ|əməte
አመት|əmət
አመቷ|əmətʷa
አመቺ|əmət͡ʃi
አመነ|əmənə
አመንቴ|əmənɨte
አመንኩ|əmənɨku
አመዛኙ|əməzaɲu
አመዳደቡ|əmədadəbu
አመዳደብ|əmədadəb
አመጣ|əmətʼa
አመጹ|əmət͡sʼu
አመጽ|əmət͡sʼ
አሙ|əmu
አሙዲ|əmudi
አሚ|əmi
አሚቼ|əmit͡ʃe
አማ|əma
አማልክት|əmalɨkɨt
አማረ|əmarə
አማራ|əmara
አማራው|əmaraw
አማራጭ|əmarat͡ʃʼ
አማራጮች|əmarat͡ʃʼot͡ʃ
አማር|əmar
አማርኛ|əmarɨɲa
አማሮች|əmarot͡ʃ
አማተር|əmatər
አማኑኤል|əmanuel
አማኒያን|əmanijan
አማን|əman
አማኞች|əmaɲot͡ʃ
አማካ|əmaka
አማካሪ|əmakari
አማካሪዎች|əmakariwot͡ʃ
አማካኝነት|əmakaɲɨnət
አማካይ|əmakaj
አማካዮ|əmakajo
አማዱ|əmadu
አማጺ|əmat͡sʼi
አማጺያኑ|əmat͡sʼijanu
አማጺያን|əmat͡sʼijan
አማጽያኑ|əmat͡sʼɨjanu
