'ики'|'ikʰi'
сонгоод|sɔnɡɔːt
сонгоорой|sɔnɡɔːrɔj
сонгуул|sɔnɡʊːɮ
сонгуулийн|sɔnɡʊːɮiːn
сонгуульд|sɔnɡʊːɮʲt
сониноо|sɔninɔː
сониноос|sɔninɔːs
сонирхлыг|sɔnirxɮiːɡ
сонирхлын|sɔnirxɮiːn
сонирхож|sɔnirxɔt͡ʃ
сонирхолтой|sɔnirxɔɮtʰɔj
сонирхон|sɔnirxɔn
сонирхох|sɔnirxɔx
сонирхуулан|sɔnirxʊːɮan
соном|sɔnɔm
сонсголын|sɔnsɡɔɮiːn
сонсгоё|sɔnsɡɔj
сонсов|sɔnsɔw
сонсогдов|sɔnsɔɡtɔw
сонсогдож|sɔnsɔɡtɔt͡ʃ
сонсогдоно|sɔnsɔɡtɔnɔ
сонсогдохгүй|sɔnsɔɡtɔxɡuj
сонсож|sɔnsɔt͡ʃ
сонсоно|sɔnsɔnɔ
сонсоогүй|sɔnsɔːɡuj
сонсоод|sɔnsɔːt
сонсохдоо|sɔnsɔxtɔː
сонсохоос|sɔnsɔxɔːs
сонсохыг|sɔnsɔxiːɡ
сонссон|sɔnssɔn
сонстов|sɔnstʰɔw
сонстоно|sɔnstʰɔnɔ
сонстох|sɔnstʰɔx
сооичиро|sɔːit͡ʃʰirɔ
соотой|sɔːtʰɔj
сор|sɔr
сорвийг|sɔrwiːɡ
соргог|sɔrɡɔɡ
сорж|sɔrt͡ʃ
сорилтыг|sɔriɮtʰiːɡ
сормуус|sɔrmʊːs
сорогч|sɔrɔɡt͡ʃʰ
сорт|sɔrtʰ
сортоотой|sɔrtʰɔːtʰɔj
соруулан|sɔrʊːɮan
софи|sɔfi
сохлтн|sɔxɮtʰn
сохлхла|sɔxɮxɮa
сохор|sɔxɔr
соёв|sɔjw
соёл|sɔjɮ
соёлд|sɔjɮt
соёлыг|sɔjɮiːɡ
соёлын|sɔjɮiːn
соёот|sɔjɔtʰ
соңсад|sɔңsat
соңсв|sɔңsw
соңсгдв|sɔңsɡtw
соңсдг|sɔңstɡ
соңсдго|sɔңstɡɔ
соңсл|sɔңsɮ
соңслат|sɔңsɮatʰ
соңслго|sɔңsɮɡɔ
соңсна|sɔңsna
соңссн|sɔңssn
соңсснас|sɔңssnas
соңстн|sɔңstʰn
соңсув|sɔңsʊw
соңсх|sɔңsx
соңсхар|sɔңsxar
соңсхврта|sɔңsxwrtʰa
соңсчанав|sɔңst͡ʃʰanaw
соңсчкад|sɔңst͡ʃʰkʰat
спорт|spʰɔrtʰ
спратл|spʰratʰɮ
сталинч|stʰaɮint͡ʃʰ
стандарт|stʰantartʰ
стандартыг|stʰantartʰiːɡ
станцын|stʰant͡sʰiːn
стивен|stʰiwJin
стресс|stʰrJiss
стюарт|stʰJuartʰ
стёвельс|stʰJɔwJiɮʲs
суваг|sʊwaɡ
суваргын|sʊwarɡiːn
сувд|sʊwt
сувилагч|sʊwiɮaɡt͡ʃʰ
сувилахад|sʊwiɮaxat
сувилж|sʊwiɮt͡ʃ
сугалаагаа|sʊɡaɮaːɡaː
сугалдаргалж|sʊɡaɮtarɡaɮt͡ʃ
сугар|sʊɡar
сугараад|sʊɡaraːt
судал|sʊtaɮ
судалгаа|sʊtaɮɡaː
судалгааг|sʊtaɮɡaːɡ
судалгаанд|sʊtaɮɡaːnt
судалгааны|sʊtaɮɡaːniː
судалгааныхаа|sʊtaɮɡaːniːxaː
судалж|sʊtaɮt͡ʃ
судаллаа|sʊtaɮɮaː
судалтан|sʊtaɮtʰan
судас|sʊtas
судлаач|sʊtɮaːt͡ʃʰ
судлаачдад|sʊtɮaːt͡ʃʰtat
судлаачид|sʊtɮaːt͡ʃʰit
судлалд|sʊtɮaɮt
судлах|sʊtɮax
судруудын|sʊtrʊːtiːn
суза|sʊt͡sa
сузад|sʊt͡sat
сулаас|sʊɮaːs
сулдх|sʊɮtx
сулдхад|sʊɮtxat
сулдхачд|sʊɮtxat͡ʃʰt
сулдхна|sʊɮtxna
сулдхх|sʊɮtxx
сулдххиг|sʊɮtxxiɡ
сулдхҗ|sʊɮtxҗ
суллавал|sʊɮɮawaɮ
султай|sʊɮtʰaj
сумаар|sʊmaːr
суманд|sʊmant
сумны|sʊmniː
сумыг|sʊmiːɡ
сумын|sʊmiːn
сур|sʊr
сураарай|sʊraːraj
сураг|sʊraɡ
сураггүй|sʊraɡɡuj
сураглан|sʊraɡɮan
сурад|sʊrat
суралцаж|sʊraɮt͡sʰat͡ʃ
суралцан|sʊraɮt͡sʰan
суралцуулах|sʊraɮt͡sʰʊːɮax
суралцхаар|sʊraɮt͡sʰxaːr
сурахаар|sʊraxaːr
сурв|sʊrw
сурврмуд|sʊrwrmʊt
сургаал|sʊrɡaːɮ
сургаалаа|sʊrɡaːɮaː
сургаалаас|sʊrɡaːɮaːs
сургаалыг|sʊrɡaːɮiːɡ
сургаалын|sʊrɡaːɮiːn
сургаана|sʊrɡaːna
сургаж|sʊrɡat͡ʃ
сургалт|sʊrɡaɮtʰ
сургалтын|sʊrɡaɮtʰiːn
сургамжилж|sʊrɡamt͡ʃiɮt͡ʃ
сургамжтай|sʊrɡamt͡ʃtʰaj
сурган|sʊrɡan
сургасан|sʊrɡasan
сургуули|sʊrɡʊːɮi
сургуулиа|sʊrɡʊːɮia
сургуулиас|sʊrɡʊːɮias
сургуулиасаа|sʊrɡʊːɮiasaː
сургуулид|sʊrɡʊːɮit
сургуулийг|sʊrɡʊːɮiːɡ
сургуулийн|sʊrɡʊːɮiːn
сургуулийнхан|sʊrɡʊːɮiːnxan
сургуулилалт|sʊrɡʊːɮiɮaɮtʰ
сургуулилтаа|sʊrɡʊːɮiɮtʰaː
сургуулиуд|sʊrɡʊːɮiʊt
сургуульд|sʊrɡʊːɮʲt
сургуульдаа|sʊrɡʊːɮʲtaː
сурдг|sʊrtɡ
сурлаа|sʊrɮaː
сурлага|sʊrɮaɡa
сурлагатай|sʊrɮaɡatʰaj
сурна|sʊrna
сурсан|sʊrsan
сурснд|sʊrsnt
суртаг|sʊrtʰaɡ
суртал|sʊrtʰaɮ
сурталчилгаа|sʊrtʰaɮt͡ʃʰiɮɡaː
сурталчлахын|sʊrtʰaɮt͡ʃʰɮaxiːn
суртахуун|sʊrtʰaxʊːn
суртлаар|sʊrtʰɮaːr
суртн|sʊrtʰn
сурхин|sʊrxin
сурхла|sʊrxɮa
сурцхав|sʊrt͡sʰxaw
сурч|sʊrt͡ʃʰ
сурчихсан|sʊrt͡ʃʰixsan
сурчхаад|sʊrt͡ʃʰxaːt
сурчээ|sʊrt͡ʃʰɛː
сурҗ|sʊrҗ
сурҗана|sʊrҗana
сурһад|sʊrһat
сурһмҗ|sʊrһmҗ
сурһсн|sʊrһsn
сурһульч|sʊrһʊɮʲt͡ʃʰ
сурһульчнр|sʊrһʊɮʲt͡ʃʰnr
сурһульчнран|sʊrһʊɮʲt͡ʃʰnran
сурһульчнриг|sʊrһʊɮʲt͡ʃʰnriɡ
сурһульчнрин|sʊrһʊɮʲt͡ʃʰnrin
сурһульчнрнь|sʊrһʊɮʲt͡ʃʰnrnʲ
сурһульчнрт|sʊrһʊɮʲt͡ʃʰnrtʰ
сурһульчнртан|sʊrһʊɮʲt͡ʃʰnrtʰan
сурһульчнртаһан|sʊrһʊɮʲt͡ʃʰnrtʰaһan
суу|sʊː
суув|sʊːw
суугаа|sʊːɡaː
суугаагүй|sʊːɡaːɡuj
суугаад|sʊːɡaːt
суугаач|sʊːɡaːt͡ʃʰ
суудаг|sʊːtaɡ
суудал|sʊːtaɮ
суудалдаа|sʊːtaɮtaː
суудалтай|sʊːtaɮtʰaj
суудлаа|sʊːtɮaː
суудлын|sʊːtɮiːn
сууж|sʊːt͡ʃ
суужээ|sʊːt͡ʃɛː
суулаа|sʊːɮaː
суулгаад|sʊːɮɡaːt
суулгаж|sʊːɮɡat͡ʃ
суулгах|sʊːɮɡax
суулгахаар|sʊːɮɡaxaːr
суулһад|sʊːɮһat
суулһв|sʊːɮһw
суулһгдҗ|sʊːɮһɡtҗ
суулһтн|sʊːɮһtʰn
суулһҗ|sʊːɮһҗ
суун|sʊːn
сууна|sʊːna
суунаглан|sʊːnaɡɮan
суурилсан|sʊːriɮsan
суурилуулж|sʊːriɮʊːɮt͡ʃ
суурин|sʊːrin
сууринд|sʊːrint
суурьшилгүй|sʊːrʲʃiɮɡuj
суурьших|sʊːrʲʃix
суусаар|sʊːsaːr
суусан|sʊːsan
суусн|sʊːsn
сууснаа|sʊːsnaː
суусныг|sʊːsniːɡ
суусрын|sʊːsriːn
суут|sʊːtʰ
суухад|sʊːxat
суухдаа|sʊːxtaː
сууцаа|sʊːt͡sʰaː
сууцгаав|sʊːt͡sʰɡaːw
сууцгаагаад|sʊːt͡sʰɡaːɡaːt
сууцнууд|sʊːt͡sʰnʊːt
сууцны|sʊːt͡sʰniː
сууцхав|sʊːt͡sʰxaw
суучих|sʊːt͡ʃʰix
сууҗ|sʊːҗ
сууһад|sʊːһat
сэвжид|sɛwt͡ʃit
сэвжидэд|sɛwt͡ʃitɛt
сэвс|sɛws
сэвэлзэн|sɛwɛɮt͡sɛn
сэвэлзэнэ|sɛwɛɮt͡sɛnɛ
сэвэрн|sɛwɛrn
сэгсгэр|sɛɡsɡɛr
сэдвийг|sɛtwiːɡ
сэдвээр|sɛtwɛːr
сэджээ|sɛtt͡ʃɛː
сэдрэх|sɛtrɛx
сэдэв|sɛtɛw
сэдэвтэй|sɛtɛwtʰɛj
сэжиглэж|sɛt͡ʃiɡɮɛt͡ʃ
сэжигтний|sɛt͡ʃiɡtʰniː
сэжигтэйг|sɛt͡ʃiɡtʰɛjɡ
сэжигтэн|sɛt͡ʃiɡtʰɛn
сэлгэгдэх|sɛɮɡɛɡtɛx
сэлгэдэг|sɛɮɡɛtɛɡ
сэлд|sɛɮt
сэлмийн|sɛɮmiːn
сэлэм|sɛɮɛm
сэлэнгэ|sɛɮɛnɡɛ
сэлүүрдэж|sɛɮuːrtɛt͡ʃ
сэм|sɛm
сэмжин|sɛmt͡ʃin
сэмлаж|sɛmɮat͡ʃ
сэмрээд|sɛmrɛːt
сэмхэн|sɛmxɛn
сэн|sɛn
сэнтий|sɛntʰiː
сэр|sɛr
сэргийлж|sɛrɡiːɮt͡ʃ
сэргийлэх|sɛrɡiːɮɛx
сэргийлэхийг|sɛrɡiːɮɛxiːɡ
сэргэнэ|sɛrɡɛnɛ
сэргээлт|sɛrɡɛːɮtʰ
сэргээх|sɛrɡɛːx
сэрдэлт|sɛrtɛɮtʰ
сэржмийг|sɛrt͡ʃmiːɡ
сэржээ|sɛrt͡ʃɛː
сэрнэ|sɛrnɛ
сэрэмж|sɛrɛmt͡ʃ
сэрэмжийн|sɛrɛmt͡ʃiːn
сэрэмжлүүлнэ|sɛrɛmt͡ʃɮuːɮnɛ
сэрэхгүй|sɛrɛxɡuj
сэрэхэд|sɛrɛxɛt
сэрээгээд|sɛrɛːɡɛːt
сэрээе|sɛrɛːJi
сэрүүн|sɛruːn
сэт|sɛtʰ
сэтгэгдлээ|sɛtʰɡɛɡtɮɛː
сэтгэгдэл|sɛtʰɡɛɡtɛɮ
сэтгэгдэлтэй|sɛtʰɡɛɡtɛɮtʰɛj
сэтгэлгээ|sɛtʰɡɛɮɡɛː
сэтгэлд|sɛtʰɡɛɮt
сэтгэлдээ|sɛtʰɡɛɮtɛː
сэтгэлзүйн|sɛtʰɡɛɮt͡sujn
сэтгэлийг|sɛtʰɡɛɮiːɡ
сэтгэлийн|sɛtʰɡɛɮiːn
сэтгэлийнхээ|sɛtʰɡɛɮiːnxɛː
сэтгэлтэй|sɛtʰɡɛɮtʰɛj
сэтгэлчлэн|sɛtʰɡɛɮt͡ʃʰɮɛn
сэтгэлээ|sɛtʰɡɛɮɛː
сэтгэлээр|sɛtʰɡɛɮɛːr
сэтгэлээсээ|sɛtʰɡɛɮɛːsɛː
сэтгэмж|sɛtʰɡɛmt͡ʃ
сэтгэнэ|sɛtʰɡɛnɛ
сэтгэх|sɛtʰɡɛx
сэтгэхгүй|sɛtʰɡɛxɡuj
сэтгэхүйтэй|sɛtʰɡɛxujtʰɛj
сэтгүүлд|sɛtʰɡuːɮt
сэтгүүлч|sɛtʰɡuːɮt͡ʃʰ
сэтгүүлчид|sɛtʰɡuːɮt͡ʃʰit
сэтгүүлчтэй|sɛtʰɡuːɮt͡ʃʰtʰɛj
сэхээ|sɛxɛː
сэхээтнүүдийн|sɛxɛːtʰnuːtiːn
сэцэн|sɛt͡sʰɛn
сээр|sɛːr
сээрийг|sɛːriːɡ
сээрийн|sɛːriːn
сүглийнэ|suɡɮiːnɛ
сүжигтэй|sut͡ʃiɡtʰɛj
сүзгтә|sut͡sɡtʰә
сүзгч|sut͡sɡt͡ʃʰ
сүзгән|sut͡sɡәn
сүйгээ|sujɡɛː
сүйд|sujt
сүйдсэн|sujtsɛn
сүйтгэж|sujtʰɡɛt͡ʃ
сүл|suɮ
сүлд|suɮt
сүлдэнд|suɮtɛnt
сүлжиж|suɮt͡ʃit͡ʃ
сүлжээ|suɮt͡ʃɛː
сүлжээнд|suɮt͡ʃɛːnt
сүлжээний|suɮt͡ʃɛːniː
сүлжээтэй|suɮt͡ʃɛːtʰɛj
сүлэхгүй|suɮɛxɡuj
сүм|sum
сүмд|sumt
сүмийг|sumiːɡ
сүмин|sumin
сүмснь|sumsnʲ
сүнгэнүүлэн|sunɡɛnuːɮɛn
сүр|sur
сүргээ|surɡɛː
сүргээрээ|surɡɛːrɛː
сүрдв|surtw
сүрдлһн|surtɮһn
сүрдцхәв|surtt͡sʰxәw
сүрдүүлэн|surtuːɮɛn
сүрдәд|surtәt
сүрлэг|surɮɛɡ
сүртэй|surtʰɛj
сүртә|surtʰә
сүрхий|surxiː
сүрэглээд|surɛɡɮɛːt
сүсэг|susɛɡ
сүсэглэдэг|susɛɡɮɛtɛɡ
сүхбаатарын|suxpaːtʰariːn
сүхбаатрийн|suxpaːtʰriːn
сүүгээ|suːɡɛː
сүүдрт|suːtrtʰ
сүүдрээсээ|suːtrɛːsɛː
сүүдэртэх|suːtɛrtʰɛx
сүүл|suːɮ
сүүлд|suːɮt
сүүлднь|suːɮtnʲ
сүүлдээ|suːɮtɛː
сүүлийг|suːɮiːɡ
сүүлийн|suːɮiːn
сүүлнээсээ|suːɮnɛːsɛː
сүүлтэй|suːɮtʰɛj
сүүлчийн|suːɮt͡ʃʰiːn
сүүлчийнхээ|suːɮt͡ʃʰiːnxɛː
сүүлэн|suːɮɛn
сүүлээр|suːɮɛːr
сүүлээрээ|suːɮɛːrɛː
сүүмийн|suːmiːn
сүүмэлзэвч|suːmɛɮt͡sɛwt͡ʃʰ
сүүмэлзэж|suːmɛɮt͡sɛt͡ʃ
сүүмэлзэх|suːmɛɮt͡sɛx
сүүн|suːn
сә|sә
сәкгдв|sәkʰɡtw
сәкҗ|sәkʰҗ
сәкүс|sәkʰus
сәкүсдиг|sәkʰustiɡ
сәкүсн|sәkʰusn
сәкүснәс|sәkʰusnәs
сәкүстә|sәkʰustʰә
сәкүсәр|sәkʰusәr
сән|sәn
сәнҗ|sәnҗ
сәәниг|sәәniɡ
сәәнәр|sәәnәr
сәәнәснь|sәәnәsnʲ
сәәхн|sәәxn
сө|so
сөгднәв|soɡtnәw
сөгдтн|soɡttʰn
сөгдхәр|soɡtxәr
сөгдҗ|soɡtҗ
сөгдәд|soɡtәt
сөрдг|sortɡ
сөрлһн|sorɮһn
сөрлһнлә|sorɮһnɮә
сөрхәр|sorxәr
сөрәд|sorәt
сөрөг|soroɡ
сөхөгдөнө|soxoɡtono
сөүл|souɮ
сөөвң|soːwң
сөөвңгүд|soːwңɡut
сөөвңгүдтән|soːwңɡuttʰәn
сөөг|soːɡ
сөөднь|soːtnʲ
сөөни|soːni
сөөхий|soːxiː
сөөһәр|soːһәr
сөөһәс|soːһәs
та|tʰa
тааваар|tʰaːwaːr
тааварлаад|tʰaːwarɮaːt
таагүй|tʰaːɡuj
тааж|tʰaːt͡ʃ
таалагдалгүй|tʰaːɮaɡtaɮɡuj
таалагдахгүй|tʰaːɮaɡtaxɡuj
таалагддаг|tʰaːɮaɡttaɡ
тааламжтай|tʰaːɮamt͡ʃtʰaj
таалар|tʰaːɮar
тааларн|tʰaːɮarn
таалдаг|tʰaːɮtaɡ
таалта|tʰaːɮtʰa
таалтн|tʰaːɮtʰn
таалҗ|tʰaːɮҗ
таамаг|tʰaːmaɡ
таамагт|tʰaːmaɡtʰ
таанр|tʰaːnr
таанрин|tʰaːnrin
таараа|tʰaːraː
таарав|tʰaːraw
тааралдав|tʰaːraɮtaw
тааралдаж|tʰaːraɮtat͡ʃ
тааралдлаа|tʰaːraɮtɮaː
тааралдсангүй|tʰaːraɮtsanɡuj
таардаггүй|tʰaːrtaɡɡuj
таарлһнар|tʰaːrɮһnar
таарна|tʰaːrna
таарсан|tʰaːrsan
тааруулжээ|tʰaːrʊːɮt͡ʃɛː
таарч|tʰaːrt͡ʃʰ
таасад|tʰaːsat
таасв|tʰaːsw
тааслго|tʰaːsɮɡɔ
тааста|tʰaːstʰa
таатай|tʰaːtʰaj
тааҗ|tʰaːҗ
таваг|tʰawaɡ
таван|tʰawan
тавдгч|tʰawtɡt͡ʃʰ
тавиад|tʰawiat
тавив|tʰawiw
тавигдаж|tʰawiɡtat͡ʃ
тавигдана|tʰawiɡtana
тавилаа|tʰawiɮaː
тавилга|tʰawiɮɡa
тавилгын|tʰawiɮɡiːn
тавн|tʰawn
тавны|tʰawniː
тавр|tʰawr
тавтай|tʰawtʰaj
тавуул|tʰawʊːɮ
тавхн|tʰawxn
тавьдаг|tʰawʲtaɡ
тавьж|tʰawʲt͡ʃ
тавьжээ|tʰawʲt͡ʃɛː
тавьсан|tʰawʲsan
тавьснаар|tʰawʲsnaːr
таг|tʰaɡ
тагнах|tʰaɡnax
тагнуулд|tʰaɡnʊːɮt
тагнуулын|tʰaɡnʊːɮiːn
тагчг|tʰaɡt͡ʃʰɡ
тадда|tʰatta
тадн|tʰatn
тадна|tʰatna
таднар|tʰatnar
таднас|tʰatnas
таднд|tʰatnt
тадниг|tʰatniɡ
таднла|tʰatnɮa
таднур|tʰatnʊr
тайвань|tʰajwanʲ
тайвныг|tʰajwniːɡ
тайвширдаг|tʰajwʃirtaɡ
тайвширлаа|tʰajwʃirɮaː
тайвширна|tʰajwʃirna
тайвширч|tʰajwʃirt͡ʃʰ
тайгаас|tʰajɡaːs
тайж|tʰajt͡ʃ
тайжийнд|tʰajt͡ʃiːnt
тайзан|tʰajt͡san
тайлагнадаг|tʰajɮaɡnataɡ
тайлал|tʰajɮaɮ
тайлан|tʰajɮan
тайлангийн|tʰajɮanɡiːn
тайлбар|tʰajɮpar
тайлбарлаад|tʰajɮparɮaːt
тайлбарлав|tʰajɮparɮaw
тайлбарладаг|tʰajɮparɮataɡ
тайлбарласнаас|tʰajɮparɮasnaːs
тайлбарлах|tʰajɮparɮax
тайлбарлая|tʰajɮparɮaj
тайлбарыг|tʰajɮpariːɡ
тайлж|tʰajɮt͡ʃ
тайрмал|tʰajrmaɮ
тайруулахад|tʰajrʊːɮaxat
такамура|tʰakʰamʊra
тал|tʰaɮ
талаар|tʰaɮaːr
талаарх|tʰaɮaːrx
талаас|tʰaɮaːs
талаасаа|tʰaɮaːsaː
талан|tʰaɮan
талбайгаар|tʰaɮpajɡaːr
талбайд|tʰaɮpajt
талбарт|tʰaɮpartʰ
талд|tʰaɮt
талдаа|tʰaɮtaː
талдан|tʰaɮtan
талийгаачийн|tʰaɮiːɡaːt͡ʃʰiːn
талнь|tʰaɮnʲ
талтай|tʰaɮtʰaj
талуудтай|tʰaɮʊːttʰaj
талуудынхаа|tʰaɮʊːtiːnxaː
талхыг|tʰaɮxiːɡ
талыг|tʰaɮiːɡ
талын|tʰaɮiːn
там|tʰam
тамгыг|tʰamɡiːɡ
тамез|tʰamJit͡s
тамирчин|tʰamirt͡ʃʰin
тамирын|tʰamiriːn
тамлуулавч|tʰamɮʊːɮawt͡ʃʰ
тамхи|tʰamxi
тамхины|tʰamxiniː
тамхичид|tʰamxit͡ʃʰit
тамын|tʰamiːn
тана|tʰana
танаас|tʰanaːs
танай|tʰanaj
танан|tʰanan
танар|tʰanar
танас|tʰanas
тангараглаж|tʰanɡaraɡɮat͡ʃ
танд|tʰant
таниад|tʰaniat
танигдана|tʰaniɡtana
танигдах|tʰaniɡtax
танигдахгүй|tʰaniɡtaxɡuj
танигдсан|tʰaniɡtsan
танил|tʰaniɮ
танилтай|tʰaniɮtʰaj
танилцаагүй|tʰaniɮt͡sʰaːɡuj
танилцаж|tʰaniɮt͡sʰat͡ʃ
танилцах|tʰaniɮt͡sʰax
танилцлаа|tʰaniɮt͡sʰɮaː
танилцсанд|tʰaniɮt͡sʰsant
танилцсандаа|tʰaniɮt͡sʰsantaː
танилцуулахаар|tʰaniɮt͡sʰʊːɮaxaːr
танилцуулж|tʰaniɮt͡sʰʊːɮt͡ʃ
танилцуулъя|tʰaniɮt͡sʰʊːɮъJa
танимагцаа|tʰanimaɡt͡sʰaː
таниулсан|tʰaniʊɮsan
таних|tʰanix
танихгүй|tʰanixɡuj
танкийн|tʰankʰiːn
танла|tʰanɮa
тантай|tʰantʰaj
танхимаар|tʰanximaːr
танхимд|tʰanximt
танхимыг|tʰanximiːɡ
таны|tʰaniː
таныг|tʰaniːɡ
таных|tʰaniːx
тань|tʰanʲ
таньв|tʰanʲw
таньж|tʰanʲt͡ʃ
таньсн|tʰanʲsn
таняд|tʰanJat
тараад|tʰaraːt
тараахын|tʰaraːxiːn
тараг|tʰaraɡ
тарад|tʰarat
таралңгин|tʰaraɮңɡin
таран|tʰaran
тараҗ|tʰaraҗ
тарвагыг|tʰarwaɡiːɡ
таргалсан|tʰarɡaɮsan
таргалчихаа|tʰarɡaɮt͡ʃʰixaː
тариа|tʰaria
тариаваасаар|tʰariawaːsaːr
тариан|tʰarian
тарианд|tʰariant
тарианы|tʰarianiː
тариатай|tʰariatʰaj
таримал|tʰarimaɮ
тартагтаа|tʰartʰaɡtʰaː
тарха|tʰarxa
тархагч|tʰarxaɡt͡ʃʰ
тархадг|tʰarxatɡ
тархасн|tʰarxasn
тархахар|tʰarxaxar
тархаҗ|tʰarxaҗ
тархаһад|tʰarxaһat
тархжээ|tʰarxt͡ʃɛː
тархитай|tʰarxitʰaj
тарчилгах|tʰart͡ʃʰiɮɡax
таршиш|tʰarʃiʃ
тарьж|tʰarʲt͡ʃ
тарьсан|tʰarʲsan
тарҗ|tʰarҗ
тарһн|tʰarһn
тас|tʰas
тасалбал|tʰasaɮpaɮ
тасалбар|tʰasaɮpar
тасалбараа|tʰasaɮparaː
тасалбарыг|tʰasaɮpariːɡ
тасалгаанд|tʰasaɮɡaːnt
тасалгааны|tʰasaɮɡaːniː
тасалгаатай|tʰasaɮɡaːtʰaj
тасардаггүй|tʰasartaɡɡuj
тасарсан|tʰasarsan
тасгийн|tʰasɡiːn
таслагдсан|tʰasɮaɡtsan
таслад|tʰasɮat
таслан|tʰasɮan
таслахад|tʰasɮaxat
таслахгүй|tʰasɮaxɡuj
таслуулсан|tʰasɮʊːɮsan
таслҗ|tʰasɮҗ
тасраад|tʰasraːt
тасрав|tʰasraw
тасралтгүй|tʰasraɮtʰɡuj
тасран|tʰasran
тасрха|tʰasrxa
татаад|tʰatʰaːt
татагдах|tʰatʰaɡtax
татагджээ|tʰatʰaɡtt͡ʃɛː
татад|tʰatʰat
татаж|tʰatʰat͡ʃ
таталцлын|tʰatʰaɮt͡sʰɮiːn
татам|tʰatʰam
татан|tʰatʰan
татахгүйгээр|tʰatʰaxɡujɡɛːr
татахуйц|tʰatʰaxʊit͡sʰ
татвал|tʰatʰwaɮ
татварыг|tʰatʰwariːɡ
татгалздаг|tʰatʰɡaɮt͡staɡ
татгдна|tʰatʰɡtna
татгдсинь|tʰatʰɡtsinʲ
татдаг|tʰatʰtaɡ
татжээ|tʰatʰt͡ʃɛː
татна|tʰatʰna
татсан|tʰatʰsan
татуулан|tʰatʰʊːɮan
татчихлаа|tʰatʰt͡ʃʰixɮaː
татчкхмн|tʰatʰt͡ʃʰkʰxmn
татҗ|tʰatʰҗ
тахалд|tʰaxaɮt
тахилга|tʰaxiɮɡa
тахилгын|tʰaxiɮɡiːn
тахилч|tʰaxiɮt͡ʃʰ
тахир|tʰaxir
тахирлан|tʰaxirɮan
тахирлана|tʰaxirɮana
тахиулах|tʰaxiʊɮax
тачаал|tʰat͡ʃʰaːɮ
тачаалаас|tʰat͡ʃʰaːɮaːs
тачалтаһар|tʰat͡ʃʰaɮtʰaһar
тачигнаж|tʰat͡ʃʰiɡnat͡ʃ
тачигнан|tʰat͡ʃʰiɡnan
ташаарагдсан|tʰaʃaːraɡtsan
ташуд|tʰaʃʊt
ташуур|tʰaʃʊːr
ташуураа|tʰaʃʊːraː
ташхла|tʰaʃxɮa
теврәд|tʰJiwrәt
тегеран|tʰJiɡJiran
тегераны|tʰJiɡJiraniː
тегәд|tʰJiɡәt
тегәдчн|tʰJiɡәtt͡ʃʰn
тедн|tʰJitn
теднд|tʰJitnt
тедндән|tʰJitntәn
тедниг|tʰJitniɡ
теднлә|tʰJitnɮә
теднь|tʰJitnʲ
теднүр|tʰJitnur
теднә|tʰJitnә
теднән|tʰJitnәn
теднәс|tʰJitnәs
тедүкнд|tʰJitukʰnt
теев|tʰJiJiw
тееһәд|tʰJiJiһәt
телевизийн|tʰJiɮJiwit͡siːn
телефоны|tʰJiɮJifɔniː
телтр|tʰJiɮtʰr
темдг|tʰJimtɡ
темдглв|tʰJimtɡɮw
темдглхин|tʰJimtɡɮxin
темдгләд|tʰJimtɡɮәt
температуртаа|tʰJimpʰJiratʰʊrtʰaː
темс|tʰJims
темсиг|tʰJimsiɡ
темсинь|tʰJimsinʲ
темснәснь|tʰJimsnәsnʲ
темцҗ|tʰJimt͡sʰҗ
темцүлҗ|tʰJimt͡sʰuɮҗ
темцәд|tʰJimt͡sʰәt
темәнә|tʰJimәnә
тенд|tʰJint
тендән|tʰJintәn
тер|tʰJir
тергнд|tʰJirɡnt
тергндән|tʰJirɡntәn
тергнә|tʰJirɡnә
тергтәһинь|tʰJirɡtʰәһinʲ
терзинь|tʰJirt͡sinʲ
термлсн|tʰJirmɮsn
тернь|tʰJirnʲ
террористууд|tʰJirrɔristʰʊːt
тертн|tʰJirtʰn
терчн|tʰJirt͡ʃʰn
терүг|tʰJiruɡ
терүгән|tʰJiruɡәn
терүн|tʰJirun
терүнд|tʰJirunt
терүнлә|tʰJirunɮә
терүнә|tʰJirunә
терүнәс|tʰJirunәs
тесҗ|tʰJisҗ
теткв|tʰJitʰkʰw
техникийг|tʰJixnikʰiːɡ
техникийн|tʰJixnikʰiːn
техникумд|tʰJixnikʰʊmt
технократ|tʰJixnɔkʰratʰ
технологи|tʰJixnɔɮɔɡi
технологийн|tʰJixnɔɮɔɡiːn
технологиор|tʰJixnɔɮɔɡiɔr
теҗәл|tʰJiҗәɮ
теҗәхв|tʰJiҗәxw
теҗәхин|tʰJiҗәxin
теҗәхәр|tʰJiҗәxәr
теңгр|tʰJiңɡr
теңгрин|tʰJiңɡrin
теңгрт|tʰJiңɡrtʰ
теңгрәс|tʰJiңɡrәs
теңгс|tʰJiңɡs
теңгсиг|tʰJiңɡsiɡ
теңгсин|tʰJiңɡsin
теңгсмүд|tʰJiңɡsmut
теңгст|tʰJiңɡstʰ
теңгсүр|tʰJiңɡsur
тиберәд|tʰipJirәt
тивийг|tʰiwiːɡ
тивээс|tʰiwɛːs
тиигтлән|tʰiiɡtʰɮәn
тиигтхә|tʰiiɡtʰxә
тиигхд|tʰiiɡxt
